Fecha y Hora;B-301A - Bomba A desgasificador
2025-05-07 18:36:26;5319.00
2025-05-07 18:36:25;4469.00
2025-05-07 18:36:24;3619.00
2025-05-07 18:36:23;2769.00
2025-05-07 18:36:22;1919.00
2025-05-07 18:36:21;1069.00
2025-05-07 18:36:20;219.00
2025-05-07 18:36:19;631.00
2025-05-07 18:36:18;1481.00
2025-05-07 18:36:17;2331.00
2025-05-07 18:36:16;3181.00
2025-05-07 18:36:15;4031.00
2025-05-07 18:36:14;4881.00
2025-05-07 18:36:13;5731.00
2025-05-07 18:36:12;6581.00
2025-05-07 18:36:11;7431.00
2025-05-07 18:36:10;8281.00
2025-05-07 18:36:09;9131.00
2025-05-07 18:36:08;9981.00
2025-05-07 18:36:07;9167.00
2025-05-07 18:36:06;8317.00
2025-05-07 18:36:05;7467.00
2025-05-07 18:36:04;6617.00
2025-05-07 18:36:03;5767.00
2025-05-07 18:36:02;4917.00
2025-05-07 18:36:01;4067.00
2025-05-07 18:36:00;3217.00
2025-05-07 18:35:59;2367.00
2025-05-07 18:35:58;1517.00
2025-05-07 18:35:57;667.00
2025-05-07 18:35:56;183.00
2025-05-07 18:35:55;1033.00
2025-05-07 18:35:54;1883.00
2025-05-07 18:35:53;2733.00
2025-05-07 18:35:52;3583.00
2025-05-07 18:35:51;4433.00
2025-05-07 18:35:50;5283.00
2025-05-07 18:35:49;6133.00
2025-05-07 18:35:48;6983.00
2025-05-07 18:35:47;7833.00
2025-05-07 18:35:46;8683.00
2025-05-07 18:35:45;9533.00
2025-05-07 18:35:44;9615.00
2025-05-07 18:35:43;8765.00
2025-05-07 18:35:42;7915.00
2025-05-07 18:35:41;7065.00
2025-05-07 18:35:40;6215.00
2025-05-07 18:35:39;5365.00
2025-05-07 18:35:38;4515.00
2025-05-07 18:35:37;3665.00
2025-05-07 18:35:36;2815.00
2025-05-07 18:35:35;1965.00
2025-05-07 18:35:34;1115.00
2025-05-07 18:35:33;265.00
2025-05-07 18:35:32;585.00
2025-05-07 18:35:31;1435.00
2025-05-07 18:35:30;2285.00
2025-05-07 18:35:29;3135.00
2025-05-07 18:35:28;3985.00
2025-05-07 18:35:27;4835.00
2025-05-07 18:35:26;5685.00
2025-05-07 18:35:25;6535.00
2025-05-07 18:35:24;7385.00
2025-05-07 18:35:23;8235.00
2025-05-07 18:35:22;9085.00
2025-05-07 18:35:21;9935.00
2025-05-07 18:35:20;9213.00
2025-05-07 18:35:19;8363.00
2025-05-07 18:35:18;7513.00
2025-05-07 18:35:17;6663.00
2025-05-07 18:35:16;5813.00
2025-05-07 18:35:15;4963.00
2025-05-07 18:35:14;4113.00
2025-05-07 18:35:13;3263.00
2025-05-07 18:35:12;2413.00
2025-05-07 18:35:11;1563.00
2025-05-07 18:35:10;713.00
2025-05-07 18:35:09;137.00
2025-05-07 18:35:08;987.00
2025-05-07 18:35:07;1837.00
2025-05-07 18:35:06;2687.00
2025-05-07 18:35:05;3537.00
2025-05-07 18:35:04;4387.00
2025-05-07 18:35:03;5237.00
2025-05-07 18:35:02;6087.00
2025-05-07 18:35:01;6937.00
2025-05-07 18:35:00;7787.00
2025-05-07 18:34:59;8637.00
2025-05-07 18:34:58;9487.00
2025-05-07 18:34:57;9661.00
2025-05-07 18:34:56;8811.00
2025-05-07 18:34:55;7961.00
2025-05-07 18:34:54;7111.00
2025-05-07 18:34:53;6261.00
2025-05-07 18:34:52;5411.00
2025-05-07 18:34:51;4561.00
2025-05-07 18:34:50;3711.00
2025-05-07 18:34:49;2861.00
2025-05-07 18:34:48;2011.00
2025-05-07 18:34:47;1161.00
2025-05-07 18:34:46;311.00
2025-05-07 18:34:45;539.00
2025-05-07 18:34:44;1389.00
2025-05-07 18:34:43;2239.00
2025-05-07 18:34:42;3089.00
2025-05-07 18:34:41;3939.00
2025-05-07 18:34:40;4789.00
2025-05-07 18:34:39;5639.00
2025-05-07 18:34:38;6489.00
2025-05-07 18:34:37;7339.00
2025-05-07 18:34:36;8189.00
2025-05-07 18:34:35;9039.00
2025-05-07 18:34:34;9889.00
2025-05-07 18:34:33;9259.00
2025-05-07 18:34:32;8409.00
2025-05-07 18:34:31;7559.00
2025-05-07 18:34:30;6709.00
2025-05-07 18:34:29;5859.00
2025-05-07 18:34:28;5009.00
2025-05-07 18:34:27;4159.00
2025-05-07 18:34:26;3309.00
2025-05-07 18:34:25;2459.00
2025-05-07 18:34:24;1609.00
2025-05-07 18:34:23;759.00
2025-05-07 18:34:22;91.00
2025-05-07 18:34:21;941.00
2025-05-07 18:34:20;1791.00
2025-05-07 18:34:19;2641.00
2025-05-07 18:34:18;3491.00
2025-05-07 18:34:17;4341.00
2025-05-07 18:34:16;5191.00
2025-05-07 18:34:15;6041.00
2025-05-07 18:34:14;6891.00
2025-05-07 18:34:13;7741.00
2025-05-07 18:34:12;8591.00
2025-05-07 18:34:11;9441.00
2025-05-07 18:34:10;9707.00
2025-05-07 18:34:09;8857.00
2025-05-07 18:34:08;8007.00
2025-05-07 18:34:07;7157.00
2025-05-07 18:34:06;6307.00
2025-05-07 18:34:05;5457.00
2025-05-07 18:34:04;4607.00
2025-05-07 18:34:03;3757.00
2025-05-07 18:34:02;2907.00
2025-05-07 18:34:01;2057.00
2025-05-07 18:34:00;1207.00
2025-05-07 18:33:59;357.00
2025-05-07 18:33:58;493.00
2025-05-07 18:33:57;1343.00
2025-05-07 18:33:56;2193.00
2025-05-07 18:33:55;3043.00
2025-05-07 18:33:54;3893.00
2025-05-07 18:33:53;4743.00
2025-05-07 18:33:52;5593.00
2025-05-07 18:33:51;6443.00
2025-05-07 18:33:50;7293.00
2025-05-07 18:33:49;8143.00
2025-05-07 18:33:48;8993.00
2025-05-07 18:33:47;9843.00
2025-05-07 18:33:46;9305.00
2025-05-07 18:33:45;8455.00
2025-05-07 18:33:44;7605.00
2025-05-07 18:33:43;6755.00
2025-05-07 18:33:42;5905.00
2025-05-07 18:33:41;5055.00
2025-05-07 18:33:40;4205.00
2025-05-07 18:33:39;3355.00
2025-05-07 18:33:38;2505.00
2025-05-07 18:33:37;1655.00
2025-05-07 18:33:36;805.00
2025-05-07 18:33:35;45.00
2025-05-07 18:33:34;895.00
2025-05-07 18:33:33;1745.00
2025-05-07 18:33:32;2595.00
2025-05-07 18:33:31;3445.00
2025-05-07 18:33:30;4295.00
2025-05-07 18:33:29;5145.00
2025-05-07 18:33:28;5995.00
2025-05-07 18:33:27;6845.00
2025-05-07 18:33:26;7695.00
2025-05-07 18:33:25;8545.00
2025-05-07 18:33:24;9395.00
2025-05-07 18:33:23;9753.00
2025-05-07 18:33:22;8903.00
2025-05-07 18:33:21;8053.00
2025-05-07 18:33:20;7203.00
2025-05-07 18:33:19;6353.00
2025-05-07 18:33:18;5503.00
2025-05-07 18:33:17;4653.00
2025-05-07 18:33:16;3803.00
2025-05-07 18:33:15;2953.00
2025-05-07 18:33:14;2103.00
2025-05-07 18:33:13;1253.00
2025-05-07 18:33:12;403.00
2025-05-07 18:33:11;447.00
2025-05-07 18:33:10;1297.00
2025-05-07 18:33:09;2147.00
2025-05-07 18:33:08;2997.00
2025-05-07 18:33:07;3847.00
2025-05-07 18:33:06;4697.00
2025-05-07 18:33:05;5547.00
2025-05-07 18:33:04;6397.00
2025-05-07 18:33:03;7247.00
2025-05-07 18:33:02;8097.00
2025-05-07 18:33:01;8947.00
2025-05-07 18:33:00;9797.00
2025-05-07 18:32:59;9351.00
2025-05-07 18:32:58;8501.00
2025-05-07 18:32:57;7651.00
2025-05-07 18:32:56;6801.00
2025-05-07 18:32:55;5951.00
2025-05-07 18:32:54;5101.00
2025-05-07 18:32:53;4251.00
2025-05-07 18:32:52;3401.00
2025-05-07 18:32:51;2551.00
2025-05-07 18:32:50;1701.00
2025-05-07 18:32:49;851.00
2025-05-07 18:32:48;1.00
2025-05-07 18:32:47;849.00
2025-05-07 18:32:46;1699.00
2025-05-07 18:32:45;2549.00
2025-05-07 18:32:44;3399.00
2025-05-07 18:32:43;4249.00
2025-05-07 18:32:42;5099.00
2025-05-07 18:32:41;5949.00
2025-05-07 18:32:40;6799.00
2025-05-07 18:32:39;7649.00
2025-05-07 18:32:38;8499.00
2025-05-07 18:32:37;9349.00
2025-05-07 18:32:36;9799.00
2025-05-07 18:32:35;8949.00
2025-05-07 18:32:34;8099.00
2025-05-07 18:32:33;7249.00
2025-05-07 18:32:32;6399.00
2025-05-07 18:32:31;5549.00
2025-05-07 18:32:30;4699.00
2025-05-07 18:32:29;3849.00
2025-05-07 18:32:28;2999.00
