Fecha y Hora;B-202 - Bomba mezclador
2025-05-07 18:36:26;5318.00
2025-05-07 18:36:25;4468.00
2025-05-07 18:36:24;3618.00
2025-05-07 18:36:23;2768.00
2025-05-07 18:36:22;1918.00
2025-05-07 18:36:21;1068.00
2025-05-07 18:36:20;218.00
2025-05-07 18:36:19;632.00
2025-05-07 18:36:18;1482.00
2025-05-07 18:36:17;2332.00
2025-05-07 18:36:16;3182.00
2025-05-07 18:36:15;4032.00
2025-05-07 18:36:14;4882.00
2025-05-07 18:36:13;5732.00
2025-05-07 18:36:12;6582.00
2025-05-07 18:36:11;7432.00
2025-05-07 18:36:10;8282.00
2025-05-07 18:36:09;9132.00
2025-05-07 18:36:08;9982.00
2025-05-07 18:36:07;9166.00
2025-05-07 18:36:06;8316.00
2025-05-07 18:36:05;7466.00
2025-05-07 18:36:04;6616.00
2025-05-07 18:36:03;5766.00
2025-05-07 18:36:02;4916.00
2025-05-07 18:36:01;4066.00
2025-05-07 18:36:00;3216.00
2025-05-07 18:35:59;2366.00
2025-05-07 18:35:58;1516.00
2025-05-07 18:35:57;666.00
2025-05-07 18:35:56;184.00
2025-05-07 18:35:55;1034.00
2025-05-07 18:35:54;1884.00
2025-05-07 18:35:53;2734.00
2025-05-07 18:35:52;3584.00
2025-05-07 18:35:51;4434.00
2025-05-07 18:35:50;5284.00
2025-05-07 18:35:49;6134.00
2025-05-07 18:35:48;6984.00
2025-05-07 18:35:47;7834.00
2025-05-07 18:35:46;8684.00
2025-05-07 18:35:45;9534.00
2025-05-07 18:35:44;9614.00
2025-05-07 18:35:43;8764.00
2025-05-07 18:35:42;7914.00
2025-05-07 18:35:41;7064.00
2025-05-07 18:35:40;6214.00
2025-05-07 18:35:39;5364.00
2025-05-07 18:35:38;4514.00
2025-05-07 18:35:37;3664.00
2025-05-07 18:35:36;2814.00
2025-05-07 18:35:35;1964.00
2025-05-07 18:35:34;1114.00
2025-05-07 18:35:33;264.00
2025-05-07 18:35:32;586.00
2025-05-07 18:35:31;1436.00
2025-05-07 18:35:30;2286.00
2025-05-07 18:35:29;3136.00
2025-05-07 18:35:28;3986.00
2025-05-07 18:35:27;4836.00
2025-05-07 18:35:26;5686.00
2025-05-07 18:35:25;6536.00
2025-05-07 18:35:24;7386.00
2025-05-07 18:35:23;8236.00
2025-05-07 18:35:22;9086.00
2025-05-07 18:35:21;9936.00
2025-05-07 18:35:20;9212.00
2025-05-07 18:35:19;8362.00
2025-05-07 18:35:18;7512.00
2025-05-07 18:35:17;6662.00
2025-05-07 18:35:16;5812.00
2025-05-07 18:35:15;4962.00
2025-05-07 18:35:14;4112.00
2025-05-07 18:35:13;3262.00
2025-05-07 18:35:12;2412.00
2025-05-07 18:35:11;1562.00
2025-05-07 18:35:10;712.00
2025-05-07 18:35:09;138.00
2025-05-07 18:35:08;988.00
2025-05-07 18:35:07;1838.00
2025-05-07 18:35:06;2688.00
2025-05-07 18:35:05;3538.00
2025-05-07 18:35:04;4388.00
2025-05-07 18:35:03;5238.00
2025-05-07 18:35:02;6088.00
2025-05-07 18:35:01;6938.00
2025-05-07 18:35:00;7788.00
2025-05-07 18:34:59;8638.00
2025-05-07 18:34:58;9488.00
2025-05-07 18:34:57;9660.00
2025-05-07 18:34:56;8810.00
2025-05-07 18:34:55;7960.00
2025-05-07 18:34:54;7110.00
2025-05-07 18:34:53;6260.00
2025-05-07 18:34:52;5410.00
2025-05-07 18:34:51;4560.00
2025-05-07 18:34:50;3710.00
2025-05-07 18:34:49;2860.00
2025-05-07 18:34:48;2010.00
2025-05-07 18:34:47;1160.00
2025-05-07 18:34:46;310.00
2025-05-07 18:34:45;540.00
2025-05-07 18:34:44;1390.00
2025-05-07 18:34:43;2240.00
2025-05-07 18:34:42;3090.00
2025-05-07 18:34:41;3940.00
2025-05-07 18:34:40;4790.00
2025-05-07 18:34:39;5640.00
2025-05-07 18:34:38;6490.00
2025-05-07 18:34:37;7340.00
2025-05-07 18:34:36;8190.00
2025-05-07 18:34:35;9040.00
2025-05-07 18:34:34;9890.00
2025-05-07 18:34:33;9258.00
2025-05-07 18:34:32;8408.00
2025-05-07 18:34:31;7558.00
2025-05-07 18:34:30;6708.00
2025-05-07 18:34:29;5858.00
2025-05-07 18:34:28;5008.00
2025-05-07 18:34:27;4158.00
2025-05-07 18:34:26;3308.00
2025-05-07 18:34:25;2458.00
2025-05-07 18:34:24;1608.00
2025-05-07 18:34:23;758.00
2025-05-07 18:34:22;92.00
2025-05-07 18:34:21;942.00
2025-05-07 18:34:20;1792.00
2025-05-07 18:34:19;2642.00
2025-05-07 18:34:18;3492.00
2025-05-07 18:34:17;4342.00
2025-05-07 18:34:16;5192.00
2025-05-07 18:34:15;6042.00
2025-05-07 18:34:14;6892.00
2025-05-07 18:34:13;7742.00
2025-05-07 18:34:12;8592.00
2025-05-07 18:34:11;9442.00
2025-05-07 18:34:10;9706.00
2025-05-07 18:34:09;8856.00
2025-05-07 18:34:08;8006.00
2025-05-07 18:34:07;7156.00
2025-05-07 18:34:06;6306.00
2025-05-07 18:34:05;5456.00
2025-05-07 18:34:04;4606.00
2025-05-07 18:34:03;3756.00
2025-05-07 18:34:02;2906.00
2025-05-07 18:34:01;2056.00
2025-05-07 18:34:00;1206.00
2025-05-07 18:33:59;356.00
2025-05-07 18:33:58;494.00
2025-05-07 18:33:57;1344.00
2025-05-07 18:33:56;2194.00
2025-05-07 18:33:55;3044.00
2025-05-07 18:33:54;3894.00
2025-05-07 18:33:53;4744.00
2025-05-07 18:33:52;5594.00
2025-05-07 18:33:51;6444.00
2025-05-07 18:33:50;7294.00
2025-05-07 18:33:49;8144.00
2025-05-07 18:33:48;8994.00
2025-05-07 18:33:47;9844.00
2025-05-07 18:33:46;9304.00
2025-05-07 18:33:45;8454.00
2025-05-07 18:33:44;7604.00
2025-05-07 18:33:43;6754.00
2025-05-07 18:33:42;5904.00
2025-05-07 18:33:41;5054.00
2025-05-07 18:33:40;4204.00
2025-05-07 18:33:39;3354.00
2025-05-07 18:33:38;2504.00
2025-05-07 18:33:37;1654.00
2025-05-07 18:33:36;804.00
2025-05-07 18:33:35;46.00
2025-05-07 18:33:34;896.00
2025-05-07 18:33:33;1746.00
2025-05-07 18:33:32;2596.00
2025-05-07 18:33:31;3446.00
2025-05-07 18:33:30;4296.00
2025-05-07 18:33:29;5146.00
2025-05-07 18:33:28;5996.00
2025-05-07 18:33:27;6846.00
2025-05-07 18:33:26;7696.00
2025-05-07 18:33:25;8546.00
2025-05-07 18:33:24;9396.00
2025-05-07 18:33:23;9752.00
2025-05-07 18:33:22;8902.00
2025-05-07 18:33:21;8052.00
2025-05-07 18:33:20;7202.00
2025-05-07 18:33:19;6352.00
2025-05-07 18:33:18;5502.00
2025-05-07 18:33:17;4652.00
2025-05-07 18:33:16;3802.00
2025-05-07 18:33:15;2952.00
2025-05-07 18:33:14;2102.00
2025-05-07 18:33:13;1252.00
2025-05-07 18:33:12;402.00
2025-05-07 18:33:11;448.00
2025-05-07 18:33:10;1298.00
2025-05-07 18:33:09;2148.00
2025-05-07 18:33:08;2998.00
2025-05-07 18:33:07;3848.00
2025-05-07 18:33:06;4698.00
2025-05-07 18:33:05;5548.00
2025-05-07 18:33:04;6398.00
2025-05-07 18:33:03;7248.00
2025-05-07 18:33:02;8098.00
2025-05-07 18:33:01;8948.00
2025-05-07 18:33:00;9798.00
2025-05-07 18:32:59;9350.00
2025-05-07 18:32:58;8500.00
2025-05-07 18:32:57;7650.00
2025-05-07 18:32:56;6800.00
2025-05-07 18:32:55;5950.00
2025-05-07 18:32:54;5100.00
2025-05-07 18:32:53;4250.00
2025-05-07 18:32:52;3400.00
2025-05-07 18:32:51;2550.00
2025-05-07 18:32:50;1700.00
2025-05-07 18:32:49;850.00
2025-05-07 18:32:48;0.00
2025-05-07 18:32:47;850.00
2025-05-07 18:32:46;1700.00
2025-05-07 18:32:45;2550.00
2025-05-07 18:32:44;3400.00
2025-05-07 18:32:43;4250.00
2025-05-07 18:32:42;5100.00
2025-05-07 18:32:41;5950.00
2025-05-07 18:32:40;6800.00
2025-05-07 18:32:39;7650.00
2025-05-07 18:32:38;8500.00
2025-05-07 18:32:37;9350.00
2025-05-07 18:32:36;9798.00
2025-05-07 18:32:35;8948.00
2025-05-07 18:32:34;8098.00
2025-05-07 18:32:33;7248.00
2025-05-07 18:32:32;6398.00
2025-05-07 18:32:31;5548.00
2025-05-07 18:32:30;4698.00
2025-05-07 18:32:29;3848.00
2025-05-07 18:32:28;2998.00
2025-05-07 18:32:27;2148.00
2025-05-07 18:32:26;1298.00
2025-05-07 18:32:25;448.00
2025-05-07 18:32:24;402.00
2025-05-07 18:32:23;1252.00
2025-05-07 18:32:22;2102.00
2025-05-07 18:32:21;2952.00
2025-05-07 18:32:20;3802.00
2025-05-07 18:32:19;4652.00
2025-05-07 18:32:18;5502.00
2025-05-07 18:32:17;6352.00
2025-05-07 18:32:16;7202.00
2025-05-07 18:32:15;8052.00
2025-05-07 18:32:14;8902.00
2025-05-07 18:32:13;9752.00
2025-05-07 18:32:12;9396.00
2025-05-07 18:32:11;8546.00
2025-05-07 18:32:10;7696.00
2025-05-07 18:32:09;6846.00
2025-05-07 18:32:08;5996.00
2025-05-07 18:32:07;5146.00
2025-05-07 18:32:06;4296.00
2025-05-07 18:32:05;3446.00
2025-05-07 18:32:04;2596.00
2025-05-07 18:32:03;1746.00
2025-05-07 18:32:02;896.00
2025-05-07 18:32:01;46.00
2025-05-07 18:32:00;804.00
2025-05-07 18:31:59;1654.00
2025-05-07 18:31:58;2504.00
2025-05-07 18:31:57;3354.00
2025-05-07 18:31:56;4204.00
