Fecha y Hora;KV-2012 - Válvula venteo M-201
2025-05-07 18:36:26;53270.00
2025-05-07 18:36:25;44770.00
2025-05-07 18:36:24;36270.00
2025-05-07 18:36:23;27770.00
2025-05-07 18:36:22;19270.00
2025-05-07 18:36:21;10770.00
2025-05-07 18:36:20;2270.00
2025-05-07 18:36:19;6230.00
2025-05-07 18:36:18;14730.00
2025-05-07 18:36:17;23230.00
2025-05-07 18:36:16;31730.00
2025-05-07 18:36:15;40230.00
2025-05-07 18:36:14;48730.00
2025-05-07 18:36:13;57230.00
2025-05-07 18:36:12;65730.00
2025-05-07 18:36:11;74230.00
2025-05-07 18:36:10;82730.00
2025-05-07 18:36:09;91230.00
2025-05-07 18:36:08;99730.00
2025-05-07 18:36:07;91750.00
2025-05-07 18:36:06;83250.00
2025-05-07 18:36:05;74750.00
2025-05-07 18:36:04;66250.00
2025-05-07 18:36:03;57750.00
2025-05-07 18:36:02;49250.00
2025-05-07 18:36:01;40750.00
2025-05-07 18:36:00;32250.00
2025-05-07 18:35:59;23750.00
2025-05-07 18:35:58;15250.00
2025-05-07 18:35:57;6750.00
2025-05-07 18:35:56;1750.00
2025-05-07 18:35:55;10250.00
2025-05-07 18:35:54;18750.00
2025-05-07 18:35:53;27250.00
2025-05-07 18:35:52;35750.00
2025-05-07 18:35:51;44250.00
2025-05-07 18:35:50;52750.00
2025-05-07 18:35:49;61250.00
2025-05-07 18:35:48;69750.00
2025-05-07 18:35:47;78250.00
2025-05-07 18:35:46;86750.00
2025-05-07 18:35:45;95250.00
2025-05-07 18:35:44;96230.00
2025-05-07 18:35:43;87730.00
2025-05-07 18:35:42;79230.00
2025-05-07 18:35:41;70730.00
2025-05-07 18:35:40;62230.00
2025-05-07 18:35:39;53730.00
2025-05-07 18:35:38;45230.00
2025-05-07 18:35:37;36730.00
2025-05-07 18:35:36;28230.00
2025-05-07 18:35:35;19730.00
2025-05-07 18:35:34;11230.00
2025-05-07 18:35:33;2730.00
2025-05-07 18:35:32;5770.00
2025-05-07 18:35:31;14270.00
2025-05-07 18:35:30;22770.00
2025-05-07 18:35:29;31270.00
2025-05-07 18:35:28;39770.00
2025-05-07 18:35:27;48270.00
2025-05-07 18:35:26;56770.00
2025-05-07 18:35:25;65270.00
2025-05-07 18:35:24;73770.00
2025-05-07 18:35:23;82270.00
2025-05-07 18:35:22;90770.00
2025-05-07 18:35:21;99270.00
2025-05-07 18:35:20;92210.00
2025-05-07 18:35:19;83710.00
2025-05-07 18:35:18;75210.00
2025-05-07 18:35:17;66710.00
2025-05-07 18:35:16;58210.00
2025-05-07 18:35:15;49710.00
2025-05-07 18:35:14;41210.00
2025-05-07 18:35:13;32710.00
2025-05-07 18:35:12;24210.00
2025-05-07 18:35:11;15710.00
2025-05-07 18:35:10;7210.00
2025-05-07 18:35:09;1290.00
2025-05-07 18:35:08;9790.00
2025-05-07 18:35:07;18290.00
2025-05-07 18:35:06;26790.00
2025-05-07 18:35:05;35290.00
2025-05-07 18:35:04;43790.00
2025-05-07 18:35:03;52290.00
2025-05-07 18:35:02;60790.00
2025-05-07 18:35:01;69290.00
2025-05-07 18:35:00;77790.00
2025-05-07 18:34:59;86290.00
2025-05-07 18:34:58;94790.00
2025-05-07 18:34:57;96690.00
2025-05-07 18:34:56;88190.00
2025-05-07 18:34:55;79690.00
2025-05-07 18:34:54;71190.00
2025-05-07 18:34:53;62690.00
2025-05-07 18:34:52;54190.00
2025-05-07 18:34:51;45690.00
2025-05-07 18:34:50;37190.00
2025-05-07 18:34:49;28690.00
2025-05-07 18:34:48;20190.00
2025-05-07 18:34:47;11690.00
