Fecha y Hora;SV-4017 - Indicador sobrepresión S-401
2025-05-07 18:36:26;5823.00
2025-05-07 18:36:25;4973.00
2025-05-07 18:36:24;4123.00
2025-05-07 18:36:23;3273.00
2025-05-07 18:36:22;2423.00
2025-05-07 18:36:21;1573.00
2025-05-07 18:36:20;723.00
2025-05-07 18:36:19;127.00
2025-05-07 18:36:18;977.00
2025-05-07 18:36:17;1827.00
2025-05-07 18:36:16;2677.00
2025-05-07 18:36:15;3527.00
2025-05-07 18:36:14;4377.00
2025-05-07 18:36:13;5227.00
2025-05-07 18:36:12;6077.00
2025-05-07 18:36:11;6927.00
2025-05-07 18:36:10;7777.00
2025-05-07 18:36:09;8627.00
2025-05-07 18:36:08;9477.00
2025-05-07 18:36:07;9671.00
2025-05-07 18:36:06;8821.00
2025-05-07 18:36:05;7971.00
2025-05-07 18:36:04;7121.00
2025-05-07 18:36:03;6271.00
2025-05-07 18:36:02;5421.00
2025-05-07 18:36:01;4571.00
2025-05-07 18:36:00;3721.00
2025-05-07 18:35:59;2871.00
2025-05-07 18:35:58;2021.00
2025-05-07 18:35:57;1171.00
2025-05-07 18:35:56;321.00
2025-05-07 18:35:55;529.00
2025-05-07 18:35:54;1379.00
2025-05-07 18:35:53;2229.00
2025-05-07 18:35:52;3079.00
2025-05-07 18:35:51;3929.00
2025-05-07 18:35:50;4779.00
2025-05-07 18:35:49;5629.00
2025-05-07 18:35:48;6479.00
2025-05-07 18:35:47;7329.00
2025-05-07 18:35:46;8179.00
2025-05-07 18:35:45;9029.00
2025-05-07 18:35:44;9879.00
2025-05-07 18:35:43;9269.00
2025-05-07 18:35:42;8419.00
2025-05-07 18:35:41;7569.00
2025-05-07 18:35:40;6719.00
2025-05-07 18:35:39;5869.00
2025-05-07 18:35:38;5019.00
2025-05-07 18:35:37;4169.00
2025-05-07 18:35:36;3319.00
2025-05-07 18:35:35;2469.00
2025-05-07 18:35:34;1619.00
2025-05-07 18:35:33;769.00
2025-05-07 18:35:32;81.00
2025-05-07 18:35:31;931.00
2025-05-07 18:35:30;1781.00
2025-05-07 18:35:29;2631.00
2025-05-07 18:35:28;3481.00
2025-05-07 18:35:27;4331.00
2025-05-07 18:35:26;5181.00
2025-05-07 18:35:25;6031.00
2025-05-07 18:35:24;6881.00
2025-05-07 18:35:23;7731.00
2025-05-07 18:35:22;8581.00
2025-05-07 18:35:21;9431.00
2025-05-07 18:35:20;9717.00
2025-05-07 18:35:19;8867.00
2025-05-07 18:35:18;8017.00
2025-05-07 18:35:17;7167.00
2025-05-07 18:35:16;6317.00
2025-05-07 18:35:15;5467.00
2025-05-07 18:35:14;4617.00
2025-05-07 18:35:13;3767.00
2025-05-07 18:35:12;2917.00
2025-05-07 18:35:11;2067.00
2025-05-07 18:35:10;1217.00
2025-05-07 18:35:09;367.00
2025-05-07 18:35:08;483.00
2025-05-07 18:35:07;1333.00
2025-05-07 18:35:06;2183.00
2025-05-07 18:35:05;3033.00
2025-05-07 18:35:04;3883.00
2025-05-07 18:35:03;4733.00
2025-05-07 18:35:02;5583.00
2025-05-07 18:35:01;6433.00
2025-05-07 18:35:00;7283.00
2025-05-07 18:34:59;8133.00
2025-05-07 18:34:58;8983.00
2025-05-07 18:34:57;9833.00
2025-05-07 18:34:56;9315.00
2025-05-07 18:34:55;8465.00
2025-05-07 18:34:54;7615.00
2025-05-07 18:34:53;6765.00
2025-05-07 18:34:52;5915.00
2025-05-07 18:34:51;5065.00
2025-05-07 18:34:50;4215.00
2025-05-07 18:34:49;3365.00
2025-05-07 18:34:48;2515.00
2025-05-07 18:34:47;1665.00
2025-05-07 18:34:46;815.00
2025-05-07 18:34:45;35.00
2025-05-07 18:34:44;885.00
2025-05-07 18:34:43;1735.00
2025-05-07 18:34:42;2585.00
2025-05-07 18:34:41;3435.00
2025-05-07 18:34:40;4285.00
2025-05-07 18:34:39;5135.00
2025-05-07 18:34:38;5985.00
2025-05-07 18:34:37;6835.00
2025-05-07 18:34:36;7685.00
2025-05-07 18:34:35;8535.00
2025-05-07 18:34:34;9385.00
2025-05-07 18:34:33;9763.00
2025-05-07 18:34:32;8913.00
2025-05-07 18:34:31;8063.00
2025-05-07 18:34:30;7213.00
2025-05-07 18:34:29;6363.00
2025-05-07 18:34:28;5513.00
2025-05-07 18:34:27;4663.00
2025-05-07 18:34:26;3813.00
2025-05-07 18:34:25;2963.00
2025-05-07 18:34:24;2113.00
2025-05-07 18:34:23;1263.00
2025-05-07 18:34:22;413.00
2025-05-07 18:34:21;437.00
2025-05-07 18:34:20;1287.00
2025-05-07 18:34:19;2137.00
2025-05-07 18:34:18;2987.00
2025-05-07 18:34:17;3837.00
2025-05-07 18:34:16;4687.00
2025-05-07 18:34:15;5537.00
2025-05-07 18:34:14;6387.00
2025-05-07 18:34:13;7237.00
2025-05-07 18:34:12;8087.00
2025-05-07 18:34:11;8937.00
2025-05-07 18:34:10;9787.00
2025-05-07 18:34:09;9361.00
2025-05-07 18:34:08;8511.00
2025-05-07 18:34:07;7661.00
2025-05-07 18:34:06;6811.00
2025-05-07 18:34:05;5961.00
2025-05-07 18:34:04;5111.00
2025-05-07 18:34:03;4261.00
2025-05-07 18:34:02;3411.00
2025-05-07 18:34:01;2561.00
2025-05-07 18:34:00;1711.00
2025-05-07 18:33:59;861.00
2025-05-07 18:33:58;11.00
2025-05-07 18:33:57;839.00
2025-05-07 18:33:56;1689.00
2025-05-07 18:33:55;2539.00
2025-05-07 18:33:54;3389.00
2025-05-07 18:33:53;4239.00
2025-05-07 18:33:52;5089.00
2025-05-07 18:33:51;5939.00
2025-05-07 18:33:50;6789.00
2025-05-07 18:33:49;7639.00
2025-05-07 18:33:48;8489.00
2025-05-07 18:33:47;9339.00
2025-05-07 18:33:46;9809.00
2025-05-07 18:33:45;8959.00
2025-05-07 18:33:44;8109.00
2025-05-07 18:33:43;7259.00
2025-05-07 18:33:42;6409.00
2025-05-07 18:33:41;5559.00
2025-05-07 18:33:40;4709.00
2025-05-07 18:33:39;3859.00
2025-05-07 18:33:38;3009.00
2025-05-07 18:33:37;2159.00
2025-05-07 18:33:36;1309.00
2025-05-07 18:33:35;459.00
2025-05-07 18:33:34;391.00
2025-05-07 18:33:33;1241.00
2025-05-07 18:33:32;2091.00
2025-05-07 18:33:31;2941.00
2025-05-07 18:33:30;3791.00
2025-05-07 18:33:29;4641.00
2025-05-07 18:33:28;5491.00
2025-05-07 18:33:27;6341.00
2025-05-07 18:33:26;7191.00
2025-05-07 18:33:25;8041.00
2025-05-07 18:33:24;8891.00
2025-05-07 18:33:23;9741.00
2025-05-07 18:33:22;9407.00
2025-05-07 18:33:21;8557.00
2025-05-07 18:33:20;7707.00
2025-05-07 18:33:19;6857.00
2025-05-07 18:33:18;6007.00
2025-05-07 18:33:17;5157.00
2025-05-07 18:33:16;4307.00
2025-05-07 18:33:15;3457.00
2025-05-07 18:33:14;2607.00
2025-05-07 18:33:13;1757.00
2025-05-07 18:33:12;907.00
2025-05-07 18:33:11;57.00
2025-05-07 18:33:10;793.00
2025-05-07 18:33:09;1643.00
2025-05-07 18:33:08;2493.00
2025-05-07 18:33:07;3343.00
2025-05-07 18:33:06;4193.00
2025-05-07 18:33:05;5043.00
2025-05-07 18:33:04;5893.00
2025-05-07 18:33:03;6743.00
2025-05-07 18:33:02;7593.00
2025-05-07 18:33:01;8443.00
2025-05-07 18:33:00;9293.00
2025-05-07 18:32:59;9855.00
2025-05-07 18:32:58;9005.00
2025-05-07 18:32:57;8155.00
2025-05-07 18:32:56;7305.00
2025-05-07 18:32:55;6455.00
2025-05-07 18:32:54;5605.00
2025-05-07 18:32:53;4755.00
2025-05-07 18:32:52;3905.00
2025-05-07 18:32:51;3055.00
2025-05-07 18:32:50;2205.00
2025-05-07 18:32:49;1355.00
2025-05-07 18:32:48;505.00
2025-05-07 18:32:47;345.00
2025-05-07 18:32:46;1195.00
2025-05-07 18:32:45;2045.00
2025-05-07 18:32:44;2895.00
2025-05-07 18:32:43;3745.00
2025-05-07 18:32:42;4595.00
2025-05-07 18:32:41;5445.00
2025-05-07 18:32:40;6295.00
2025-05-07 18:32:39;7145.00
2025-05-07 18:32:38;7995.00
2025-05-07 18:32:37;8845.00
2025-05-07 18:32:36;9695.00
2025-05-07 18:32:35;9453.00
2025-05-07 18:32:34;8603.00
2025-05-07 18:32:33;7753.00
2025-05-07 18:32:32;6903.00
2025-05-07 18:32:31;6053.00
2025-05-07 18:32:30;5203.00
2025-05-07 18:32:29;4353.00
2025-05-07 18:32:28;3503.00
2025-05-07 18:32:27;2653.00
2025-05-07 18:32:26;1803.00
2025-05-07 18:32:25;953.00
2025-05-07 18:32:24;103.00
2025-05-07 18:32:23;747.00
2025-05-07 18:32:22;1597.00
2025-05-07 18:32:21;2447.00
2025-05-07 18:32:20;3297.00
2025-05-07 18:32:19;4147.00
2025-05-07 18:32:18;4997.00
2025-05-07 18:32:17;5847.00
2025-05-07 18:32:16;6697.00
2025-05-07 18:32:15;7547.00
2025-05-07 18:32:14;8397.00
2025-05-07 18:32:13;9247.00
2025-05-07 18:32:12;9901.00
2025-05-07 18:32:11;9051.00
2025-05-07 18:32:10;8201.00
2025-05-07 18:32:09;7351.00
2025-05-07 18:32:08;6501.00
2025-05-07 18:32:07;5651.00
2025-05-07 18:32:06;4801.00
2025-05-07 18:32:05;3951.00
2025-05-07 18:32:04;3101.00
2025-05-07 18:32:03;2251.00
2025-05-07 18:32:02;1401.00
2025-05-07 18:32:01;551.00
2025-05-07 18:32:00;299.00
2025-05-07 18:31:59;1149.00
2025-05-07 18:31:58;1999.00
2025-05-07 18:31:57;2849.00
2025-05-07 18:31:56;3699.00
2025-05-07 18:31:55;4549.00
2025-05-07 18:31:54;5399.00
2025-05-07 18:31:53;6249.00
2025-05-07 18:31:52;7099.00
2025-05-07 18:31:51;7949.00
2025-05-07 18:31:50;8799.00
2025-05-07 18:31:49;9649.00
2025-05-07 18:31:48;9499.00
2025-05-07 18:31:47;8649.00
2025-05-07 18:31:46;7799.00
