Fecha y Hora;KV-5010 - Válvula aislar entrada E-501
2025-05-07 18:36:26;53370.00
2025-05-07 18:36:25;44870.00
2025-05-07 18:36:24;36370.00
2025-05-07 18:36:23;27870.00
2025-05-07 18:36:22;19370.00
2025-05-07 18:36:21;10870.00
2025-05-07 18:36:20;2370.00
2025-05-07 18:36:19;6130.00
2025-05-07 18:36:18;14630.00
2025-05-07 18:36:17;23130.00
2025-05-07 18:36:16;31630.00
2025-05-07 18:36:15;40130.00
2025-05-07 18:36:14;48630.00
2025-05-07 18:36:13;57130.00
2025-05-07 18:36:12;65630.00
2025-05-07 18:36:11;74130.00
2025-05-07 18:36:10;82630.00
2025-05-07 18:36:09;91130.00
2025-05-07 18:36:08;99630.00
2025-05-07 18:36:07;91850.00
2025-05-07 18:36:06;83350.00
2025-05-07 18:36:05;74850.00
2025-05-07 18:36:04;66350.00
2025-05-07 18:36:03;57850.00
2025-05-07 18:36:02;49350.00
2025-05-07 18:36:01;40850.00
2025-05-07 18:36:00;32350.00
2025-05-07 18:35:59;23850.00
2025-05-07 18:35:58;15350.00
2025-05-07 18:35:57;6850.00
2025-05-07 18:35:56;1650.00
2025-05-07 18:35:55;10150.00
2025-05-07 18:35:54;18650.00
2025-05-07 18:35:53;27150.00
2025-05-07 18:35:52;35650.00
2025-05-07 18:35:51;44150.00
2025-05-07 18:35:50;52650.00
2025-05-07 18:35:49;61150.00
2025-05-07 18:35:48;69650.00
2025-05-07 18:35:47;78150.00
2025-05-07 18:35:46;86650.00
2025-05-07 18:35:45;95150.00
2025-05-07 18:35:44;96330.00
2025-05-07 18:35:43;87830.00
2025-05-07 18:35:42;79330.00
2025-05-07 18:35:41;70830.00
2025-05-07 18:35:40;62330.00
2025-05-07 18:35:39;53830.00
2025-05-07 18:35:38;45330.00
2025-05-07 18:35:37;36830.00
2025-05-07 18:35:36;28330.00
2025-05-07 18:35:35;19830.00
2025-05-07 18:35:34;11330.00
2025-05-07 18:35:33;2830.00
2025-05-07 18:35:32;5670.00
2025-05-07 18:35:31;14170.00
2025-05-07 18:35:30;22670.00
2025-05-07 18:35:29;31170.00
2025-05-07 18:35:28;39670.00
2025-05-07 18:35:27;48170.00
2025-05-07 18:35:26;56670.00
2025-05-07 18:35:25;65170.00
2025-05-07 18:35:24;73670.00
2025-05-07 18:35:23;82170.00
2025-05-07 18:35:22;90670.00
2025-05-07 18:35:21;99170.00
2025-05-07 18:35:20;92310.00
2025-05-07 18:35:19;83810.00
2025-05-07 18:35:18;75310.00
2025-05-07 18:35:17;66810.00
2025-05-07 18:35:16;58310.00
2025-05-07 18:35:15;49810.00
2025-05-07 18:35:14;41310.00
2025-05-07 18:35:13;32810.00
2025-05-07 18:35:12;24310.00
2025-05-07 18:35:11;15810.00
2025-05-07 18:35:10;7310.00
2025-05-07 18:35:09;1190.00
2025-05-07 18:35:08;9690.00
2025-05-07 18:35:07;18190.00
2025-05-07 18:35:06;26690.00
2025-05-07 18:35:05;35190.00
2025-05-07 18:35:04;43690.00
2025-05-07 18:35:03;52190.00
2025-05-07 18:35:02;60690.00
2025-05-07 18:35:01;69190.00
2025-05-07 18:35:00;77690.00
2025-05-07 18:34:59;86190.00
2025-05-07 18:34:58;94690.00
2025-05-07 18:34:57;96790.00
2025-05-07 18:34:56;88290.00
2025-05-07 18:34:55;79790.00
2025-05-07 18:34:54;71290.00
2025-05-07 18:34:53;62790.00
2025-05-07 18:34:52;54290.00
2025-05-07 18:34:51;45790.00
2025-05-07 18:34:50;37290.00
2025-05-07 18:34:49;28790.00
2025-05-07 18:34:48;20290.00
2025-05-07 18:34:47;11790.00
2025-05-07 18:34:46;3290.00
2025-05-07 18:34:45;5210.00
2025-05-07 18:34:44;13710.00
2025-05-07 18:34:43;22210.00
2025-05-07 18:34:42;30710.00
2025-05-07 18:34:41;39210.00
2025-05-07 18:34:40;47710.00
2025-05-07 18:34:39;56210.00
2025-05-07 18:34:38;64710.00
2025-05-07 18:34:37;73210.00
2025-05-07 18:34:36;81710.00
2025-05-07 18:34:35;90210.00
2025-05-07 18:34:34;98710.00
2025-05-07 18:34:33;92770.00
2025-05-07 18:34:32;84270.00
2025-05-07 18:34:31;75770.00
2025-05-07 18:34:30;67270.00
2025-05-07 18:34:29;58770.00
2025-05-07 18:34:28;50270.00
2025-05-07 18:34:27;41770.00
2025-05-07 18:34:26;33270.00
2025-05-07 18:34:25;24770.00
2025-05-07 18:34:24;16270.00
2025-05-07 18:34:23;7770.00
2025-05-07 18:34:22;730.00
2025-05-07 18:34:21;9230.00
2025-05-07 18:34:20;17730.00
2025-05-07 18:34:19;26230.00
2025-05-07 18:34:18;34730.00
2025-05-07 18:34:17;43230.00
2025-05-07 18:34:16;51730.00
2025-05-07 18:34:15;60230.00
2025-05-07 18:34:14;68730.00
