Fecha y Hora;TT-402A - Temperatura estator bomba B-402A
2025-05-07 18:36:26;58.07
2025-05-07 18:36:25;49.57
2025-05-07 18:36:24;41.07
2025-05-07 18:36:23;32.57
2025-05-07 18:36:22;24.07
2025-05-07 18:36:21;15.57
2025-05-07 18:36:20;7.07
2025-05-07 18:36:19;1.43
2025-05-07 18:36:18;9.93
2025-05-07 18:36:17;18.43
2025-05-07 18:36:16;26.93
2025-05-07 18:36:15;35.43
2025-05-07 18:36:14;43.93
2025-05-07 18:36:13;52.43
2025-05-07 18:36:12;60.93
2025-05-07 18:36:11;69.43
2025-05-07 18:36:10;77.93
2025-05-07 18:36:09;86.43
2025-05-07 18:36:08;94.93
2025-05-07 18:36:07;96.55
2025-05-07 18:36:06;88.05
2025-05-07 18:36:05;79.55
2025-05-07 18:36:04;71.05
2025-05-07 18:36:03;62.55
2025-05-07 18:36:02;54.05
2025-05-07 18:36:01;45.55
2025-05-07 18:36:00;37.05
2025-05-07 18:35:59;28.55
2025-05-07 18:35:58;20.05
2025-05-07 18:35:57;11.55
2025-05-07 18:35:56;3.05
2025-05-07 18:35:55;5.45
2025-05-07 18:35:54;13.95
2025-05-07 18:35:53;22.45
2025-05-07 18:35:52;30.95
2025-05-07 18:35:51;39.45
2025-05-07 18:35:50;47.95
2025-05-07 18:35:49;56.45
2025-05-07 18:35:48;64.95
2025-05-07 18:35:47;73.45
2025-05-07 18:35:46;81.95
2025-05-07 18:35:45;90.45
2025-05-07 18:35:44;98.95
2025-05-07 18:35:43;92.53
2025-05-07 18:35:42;84.03
2025-05-07 18:35:41;75.53
2025-05-07 18:35:40;67.03
2025-05-07 18:35:39;58.53
2025-05-07 18:35:38;50.03
2025-05-07 18:35:37;41.53
2025-05-07 18:35:36;33.03
2025-05-07 18:35:35;24.53
2025-05-07 18:35:34;16.03
2025-05-07 18:35:33;7.53
2025-05-07 18:35:32;0.97
2025-05-07 18:35:31;9.47
2025-05-07 18:35:30;17.97
2025-05-07 18:35:29;26.47
2025-05-07 18:35:28;34.97
2025-05-07 18:35:27;43.47
2025-05-07 18:35:26;51.97
2025-05-07 18:35:25;60.47
2025-05-07 18:35:24;68.97
2025-05-07 18:35:23;77.47
2025-05-07 18:35:22;85.97
2025-05-07 18:35:21;94.47
2025-05-07 18:35:20;97.01
2025-05-07 18:35:19;88.51
2025-05-07 18:35:18;80.01
2025-05-07 18:35:17;71.51
2025-05-07 18:35:16;63.01
2025-05-07 18:35:15;54.51
2025-05-07 18:35:14;46.01
2025-05-07 18:35:13;37.51
2025-05-07 18:35:12;29.01
2025-05-07 18:35:11;20.51
2025-05-07 18:35:10;12.01
2025-05-07 18:35:09;3.51
2025-05-07 18:35:08;4.99
2025-05-07 18:35:07;13.49
2025-05-07 18:35:06;21.99
2025-05-07 18:35:05;30.49
2025-05-07 18:35:04;38.99
2025-05-07 18:35:03;47.49
2025-05-07 18:35:02;55.99
2025-05-07 18:35:01;64.49
2025-05-07 18:35:00;72.99
2025-05-07 18:34:59;81.49
2025-05-07 18:34:58;89.99
2025-05-07 18:34:57;98.49
2025-05-07 18:34:56;92.99
2025-05-07 18:34:55;84.49
2025-05-07 18:34:54;75.99
2025-05-07 18:34:53;67.49
2025-05-07 18:34:52;58.99
2025-05-07 18:34:51;50.49
2025-05-07 18:34:50;41.99
2025-05-07 18:34:49;33.49
2025-05-07 18:34:48;24.99
2025-05-07 18:34:47;16.49
2025-05-07 18:34:46;7.99
2025-05-07 18:34:45;0.51
2025-05-07 18:34:44;9.01
2025-05-07 18:34:43;17.51
2025-05-07 18:34:42;26.01
2025-05-07 18:34:41;34.51
2025-05-07 18:34:40;43.01
2025-05-07 18:34:39;51.51
2025-05-07 18:34:38;60.01
2025-05-07 18:34:37;68.51
2025-05-07 18:34:36;77.01
2025-05-07 18:34:35;85.51
2025-05-07 18:34:34;94.01
2025-05-07 18:34:33;97.47
2025-05-07 18:34:32;88.97
2025-05-07 18:34:31;80.47
2025-05-07 18:34:30;71.97
2025-05-07 18:34:29;63.47
2025-05-07 18:34:28;54.97
2025-05-07 18:34:27;46.47
2025-05-07 18:34:26;37.97
2025-05-07 18:34:25;29.47
2025-05-07 18:34:24;20.97
2025-05-07 18:34:23;12.47
2025-05-07 18:34:22;3.97
2025-05-07 18:34:21;4.53
2025-05-07 18:34:20;13.03
2025-05-07 18:34:19;21.53
2025-05-07 18:34:18;30.03
2025-05-07 18:34:17;38.53
2025-05-07 18:34:16;47.03
2025-05-07 18:34:15;55.53
2025-05-07 18:34:14;64.03
2025-05-07 18:34:13;72.53
2025-05-07 18:34:12;81.03
2025-05-07 18:34:11;89.53
2025-05-07 18:34:10;98.03
2025-05-07 18:34:09;93.45
2025-05-07 18:34:08;84.95
2025-05-07 18:34:07;76.45
2025-05-07 18:34:06;67.95
2025-05-07 18:34:05;59.45
2025-05-07 18:34:04;50.95
2025-05-07 18:34:03;42.45
2025-05-07 18:34:02;33.95
2025-05-07 18:34:01;25.45
2025-05-07 18:34:00;16.95
2025-05-07 18:33:59;8.45
2025-05-07 18:33:58;0.05
2025-05-07 18:33:57;8.55
2025-05-07 18:33:56;17.05
2025-05-07 18:33:55;25.55
2025-05-07 18:33:54;34.05
2025-05-07 18:33:53;42.55
2025-05-07 18:33:52;51.05
2025-05-07 18:33:51;59.55
2025-05-07 18:33:50;68.05
2025-05-07 18:33:49;76.55
2025-05-07 18:33:48;85.05
2025-05-07 18:33:47;93.55
2025-05-07 18:33:46;97.93
2025-05-07 18:33:45;89.43
2025-05-07 18:33:44;80.93
2025-05-07 18:33:43;72.43
2025-05-07 18:33:42;63.93
2025-05-07 18:33:41;55.43
2025-05-07 18:33:40;46.93
2025-05-07 18:33:39;38.43
2025-05-07 18:33:38;29.93
2025-05-07 18:33:37;21.43
2025-05-07 18:33:36;12.93
2025-05-07 18:33:35;4.43
2025-05-07 18:33:34;4.07
2025-05-07 18:33:33;12.57
2025-05-07 18:33:32;21.07
2025-05-07 18:33:31;29.57
2025-05-07 18:33:30;38.07
2025-05-07 18:33:29;46.57
2025-05-07 18:33:28;55.07
2025-05-07 18:33:27;63.57
2025-05-07 18:33:26;72.07
2025-05-07 18:33:25;80.57
2025-05-07 18:33:24;89.07
2025-05-07 18:33:23;97.57
2025-05-07 18:33:22;93.91
2025-05-07 18:33:21;85.41
2025-05-07 18:33:20;76.91
2025-05-07 18:33:19;68.41
2025-05-07 18:33:18;59.91
2025-05-07 18:33:17;51.41
2025-05-07 18:33:16;42.91
2025-05-07 18:33:15;34.41
2025-05-07 18:33:14;25.91
2025-05-07 18:33:13;17.41
2025-05-07 18:33:12;8.91
2025-05-07 18:33:11;0.41
2025-05-07 18:33:10;8.09
2025-05-07 18:33:09;16.59
2025-05-07 18:33:08;25.09
2025-05-07 18:33:07;33.59
2025-05-07 18:33:06;42.09
2025-05-07 18:33:05;50.59
2025-05-07 18:33:04;59.09
2025-05-07 18:33:03;67.59
2025-05-07 18:33:02;76.09
2025-05-07 18:33:01;84.59
2025-05-07 18:33:00;93.09
2025-05-07 18:32:59;98.39
2025-05-07 18:32:58;89.89
2025-05-07 18:32:57;81.39
2025-05-07 18:32:56;72.89
2025-05-07 18:32:55;64.39
2025-05-07 18:32:54;55.89
2025-05-07 18:32:53;47.39
2025-05-07 18:32:52;38.89
2025-05-07 18:32:51;30.39
2025-05-07 18:32:50;21.89
2025-05-07 18:32:49;13.39
2025-05-07 18:32:48;4.89
2025-05-07 18:32:47;3.61
2025-05-07 18:32:46;12.11
2025-05-07 18:32:45;20.61
2025-05-07 18:32:44;29.11
2025-05-07 18:32:43;37.61
2025-05-07 18:32:42;46.11
2025-05-07 18:32:41;54.61
2025-05-07 18:32:40;63.11
2025-05-07 18:32:39;71.61
2025-05-07 18:32:38;80.11
2025-05-07 18:32:37;88.61
2025-05-07 18:32:36;97.11
2025-05-07 18:32:35;94.37
2025-05-07 18:32:34;85.87
2025-05-07 18:32:33;77.37
2025-05-07 18:32:32;68.87
2025-05-07 18:32:31;60.37
2025-05-07 18:32:30;51.87
2025-05-07 18:32:29;43.37
2025-05-07 18:32:28;34.87
2025-05-07 18:32:27;26.37
2025-05-07 18:32:26;17.87
2025-05-07 18:32:25;9.37
2025-05-07 18:32:24;0.87
2025-05-07 18:32:23;7.63
2025-05-07 18:32:22;16.13
2025-05-07 18:32:21;24.63
2025-05-07 18:32:20;33.13
2025-05-07 18:32:19;41.63
2025-05-07 18:32:18;50.13
2025-05-07 18:32:17;58.63
2025-05-07 18:32:16;67.13
2025-05-07 18:32:15;75.63
2025-05-07 18:32:14;84.13
2025-05-07 18:32:13;92.63
2025-05-07 18:32:12;98.85
2025-05-07 18:32:11;90.35
2025-05-07 18:32:10;81.85
2025-05-07 18:32:09;73.35
2025-05-07 18:32:08;64.85
2025-05-07 18:32:07;56.35
2025-05-07 18:32:06;47.85
2025-05-07 18:32:05;39.35
2025-05-07 18:32:04;30.85
2025-05-07 18:32:03;22.35
2025-05-07 18:32:02;13.85
2025-05-07 18:32:01;5.35
2025-05-07 18:32:00;3.15
2025-05-07 18:31:59;11.65
2025-05-07 18:31:58;20.15
2025-05-07 18:31:57;28.65
2025-05-07 18:31:56;37.15
2025-05-07 18:31:55;45.65
2025-05-07 18:31:54;54.15
2025-05-07 18:31:53;62.65
2025-05-07 18:31:52;71.15
2025-05-07 18:31:51;79.65
2025-05-07 18:31:50;88.15
2025-05-07 18:31:49;96.65
2025-05-07 18:31:48;94.83
2025-05-07 18:31:47;86.33
2025-05-07 18:31:46;77.83
2025-05-07 18:31:45;69.33
2025-05-07 18:31:44;60.83
2025-05-07 18:31:43;52.33
2025-05-07 18:31:42;43.83
2025-05-07 18:31:41;35.33
2025-05-07 18:31:40;26.83
2025-05-07 18:31:39;18.33
2025-05-07 18:31:38;9.83
2025-05-07 18:31:37;1.33
2025-05-07 18:31:36;7.17
2025-05-07 18:31:35;15.67
2025-05-07 18:31:34;24.17
2025-05-07 18:31:33;32.67
2025-05-07 18:31:32;41.17
2025-05-07 18:31:31;49.67
2025-05-07 18:31:30;58.17
2025-05-07 18:31:29;66.67
2025-05-07 18:31:28;75.17
2025-05-07 18:31:27;83.67
2025-05-07 18:31:26;92.17
2025-05-07 18:31:25;99.31
2025-05-07 18:31:24;90.81
2025-05-07 18:31:23;82.31
2025-05-07 18:31:22;73.81
2025-05-07 18:31:21;65.31
2025-05-07 18:31:20;56.81
2025-05-07 18:31:19;48.31
2025-05-07 18:31:18;39.81
2025-05-07 18:31:17;31.31
2025-05-07 18:31:16;22.81
2025-05-07 18:31:15;14.31
2025-05-07 18:31:14;5.81
2025-05-07 18:31:13;2.69
2025-05-07 18:31:12;11.19
2025-05-07 18:31:11;19.69
2025-05-07 18:31:10;28.19
2025-05-07 18:31:09;36.69
2025-05-07 18:31:08;45.19
2025-05-07 18:31:07;53.69
2025-05-07 18:31:06;62.19
2025-05-07 18:31:05;70.69
2025-05-07 18:31:04;79.19
2025-05-07 18:31:03;87.69
2025-05-07 18:31:02;96.19
2025-05-07 18:31:01;95.29
2025-05-07 18:31:00;86.79
2025-05-07 18:30:59;78.29
2025-05-07 18:30:58;69.79
2025-05-07 18:30:57;61.29
2025-05-07 18:30:56;52.79
2025-05-07 18:30:55;44.29
2025-05-07 18:30:54;35.79
2025-05-07 18:30:53;27.29
2025-05-07 18:30:52;18.79
2025-05-07 18:30:51;10.29
2025-05-07 18:30:50;1.79
2025-05-07 18:30:49;6.71
2025-05-07 18:30:48;15.21
2025-05-07 18:30:47;23.71
2025-05-07 18:30:46;32.21
2025-05-07 18:30:45;40.71
2025-05-07 18:30:44;49.21
2025-05-07 18:30:43;57.71
2025-05-07 18:30:42;66.21
2025-05-07 18:30:41;74.71
2025-05-07 18:30:40;83.21
2025-05-07 18:30:39;91.71
2025-05-07 18:30:38;99.77
2025-05-07 18:30:37;91.27
2025-05-07 18:30:36;82.77
2025-05-07 18:30:35;74.27
2025-05-07 18:30:34;65.77
2025-05-07 18:30:33;57.27
2025-05-07 18:30:32;48.77
2025-05-07 18:30:31;40.27
2025-05-07 18:30:30;31.77
2025-05-07 18:30:29;23.27
2025-05-07 18:30:28;14.77
2025-05-07 18:30:27;6.27
2025-05-07 18:30:26;2.23
2025-05-07 18:30:25;10.73
2025-05-07 18:30:24;19.23
2025-05-07 18:30:23;27.73
2025-05-07 18:30:22;36.23
2025-05-07 18:30:21;44.73
2025-05-07 18:30:20;53.23
2025-05-07 18:30:19;61.73
2025-05-07 18:30:18;70.23
2025-05-07 18:30:17;78.73
2025-05-07 18:30:16;87.23
2025-05-07 18:30:15;95.73
2025-05-07 18:30:14;95.75
2025-05-07 18:30:13;87.25
2025-05-07 18:30:12;78.75
2025-05-07 18:30:11;70.25
2025-05-07 18:30:10;61.75
2025-05-07 18:30:09;53.25
2025-05-07 18:30:08;44.75
2025-05-07 18:30:07;36.25
2025-05-07 18:30:06;27.75
2025-05-07 18:30:05;19.25
2025-05-07 18:30:04;10.75
2025-05-07 18:30:03;2.25
2025-05-07 18:30:02;6.25
2025-05-07 18:30:01;14.75
