Fecha y Hora;CV-3023 - Válvula control presión entrada R-303
2025-05-07 18:36:26;53.43
2025-05-07 18:36:25;44.93
2025-05-07 18:36:24;36.43
2025-05-07 18:36:23;27.93
2025-05-07 18:36:22;19.43
2025-05-07 18:36:21;10.93
2025-05-07 18:36:20;2.43
2025-05-07 18:36:19;6.07
2025-05-07 18:36:18;14.57
2025-05-07 18:36:17;23.07
2025-05-07 18:36:16;31.57
2025-05-07 18:36:15;40.07
2025-05-07 18:36:14;48.57
2025-05-07 18:36:13;57.07
2025-05-07 18:36:12;65.57
2025-05-07 18:36:11;74.07
2025-05-07 18:36:10;82.57
2025-05-07 18:36:09;91.07
2025-05-07 18:36:08;99.57
2025-05-07 18:36:07;91.91
2025-05-07 18:36:06;83.41
2025-05-07 18:36:05;74.91
2025-05-07 18:36:04;66.41
2025-05-07 18:36:03;57.91
2025-05-07 18:36:02;49.41
2025-05-07 18:36:01;40.91
2025-05-07 18:36:00;32.41
2025-05-07 18:35:59;23.91
2025-05-07 18:35:58;15.41
2025-05-07 18:35:57;6.91
2025-05-07 18:35:56;1.59
2025-05-07 18:35:55;10.09
2025-05-07 18:35:54;18.59
2025-05-07 18:35:53;27.09
2025-05-07 18:35:52;35.59
2025-05-07 18:35:51;44.09
2025-05-07 18:35:50;52.59
2025-05-07 18:35:49;61.09
2025-05-07 18:35:48;69.59
2025-05-07 18:35:47;78.09
2025-05-07 18:35:46;86.59
2025-05-07 18:35:45;95.09
2025-05-07 18:35:44;96.39
2025-05-07 18:35:43;87.89
2025-05-07 18:35:42;79.39
2025-05-07 18:35:41;70.89
2025-05-07 18:35:40;62.39
2025-05-07 18:35:39;53.89
2025-05-07 18:35:38;45.39
2025-05-07 18:35:37;36.89
2025-05-07 18:35:36;28.39
2025-05-07 18:35:35;19.89
2025-05-07 18:35:34;11.39
2025-05-07 18:35:33;2.89
2025-05-07 18:35:32;5.61
2025-05-07 18:35:31;14.11
2025-05-07 18:35:30;22.61
2025-05-07 18:35:29;31.11
2025-05-07 18:35:28;39.61
2025-05-07 18:35:27;48.11
2025-05-07 18:35:26;56.61
2025-05-07 18:35:25;65.11
2025-05-07 18:35:24;73.61
2025-05-07 18:35:23;82.11
2025-05-07 18:35:22;90.61
2025-05-07 18:35:21;99.11
2025-05-07 18:35:20;92.37
2025-05-07 18:35:19;83.87
2025-05-07 18:35:18;75.37
2025-05-07 18:35:17;66.87
2025-05-07 18:35:16;58.37
2025-05-07 18:35:15;49.87
2025-05-07 18:35:14;41.37
2025-05-07 18:35:13;32.87
2025-05-07 18:35:12;24.37
2025-05-07 18:35:11;15.87
2025-05-07 18:35:10;7.37
2025-05-07 18:35:09;1.13
2025-05-07 18:35:08;9.63
2025-05-07 18:35:07;18.13
2025-05-07 18:35:06;26.63
2025-05-07 18:35:05;35.13
2025-05-07 18:35:04;43.63
2025-05-07 18:35:03;52.13
2025-05-07 18:35:02;60.63
2025-05-07 18:35:01;69.13
2025-05-07 18:35:00;77.63
2025-05-07 18:34:59;86.13
2025-05-07 18:34:58;94.63
2025-05-07 18:34:57;96.85
2025-05-07 18:34:56;88.35
2025-05-07 18:34:55;79.85
2025-05-07 18:34:54;71.35
2025-05-07 18:34:53;62.85
2025-05-07 18:34:52;54.35
2025-05-07 18:34:51;45.85
2025-05-07 18:34:50;37.35
2025-05-07 18:34:49;28.85
2025-05-07 18:34:48;20.35
2025-05-07 18:34:47;11.85
2025-05-07 18:34:46;3.35
2025-05-07 18:34:45;5.15
2025-05-07 18:34:44;13.65
2025-05-07 18:34:43;22.15
2025-05-07 18:34:42;30.65
2025-05-07 18:34:41;39.15
2025-05-07 18:34:40;47.65
2025-05-07 18:34:39;56.15
2025-05-07 18:34:38;64.65
2025-05-07 18:34:37;73.15
2025-05-07 18:34:36;81.65
2025-05-07 18:34:35;90.15
2025-05-07 18:34:34;98.65
2025-05-07 18:34:33;92.83
2025-05-07 18:34:32;84.33
2025-05-07 18:34:31;75.83
2025-05-07 18:34:30;67.33
2025-05-07 18:34:29;58.83
2025-05-07 18:34:28;50.33
2025-05-07 18:34:27;41.83
2025-05-07 18:34:26;33.33
2025-05-07 18:34:25;24.83
2025-05-07 18:34:24;16.33
2025-05-07 18:34:23;7.83
2025-05-07 18:34:22;0.67
2025-05-07 18:34:21;9.17
2025-05-07 18:34:20;17.67
2025-05-07 18:34:19;26.17
2025-05-07 18:34:18;34.67
2025-05-07 18:34:17;43.17
2025-05-07 18:34:16;51.67
2025-05-07 18:34:15;60.17
2025-05-07 18:34:14;68.67
2025-05-07 18:34:13;77.17
2025-05-07 18:34:12;85.67
2025-05-07 18:34:11;94.17
2025-05-07 18:34:10;97.31
2025-05-07 18:34:09;88.81
2025-05-07 18:34:08;80.31
2025-05-07 18:34:07;71.81
2025-05-07 18:34:06;63.31
2025-05-07 18:34:05;54.81
2025-05-07 18:34:04;46.31
2025-05-07 18:34:03;37.81
2025-05-07 18:34:02;29.31
2025-05-07 18:34:01;20.81
2025-05-07 18:34:00;12.31
2025-05-07 18:33:59;3.81
2025-05-07 18:33:58;4.69
2025-05-07 18:33:57;13.19
2025-05-07 18:33:56;21.69
2025-05-07 18:33:55;30.19
2025-05-07 18:33:54;38.69
2025-05-07 18:33:53;47.19
2025-05-07 18:33:52;55.69
2025-05-07 18:33:51;64.19
2025-05-07 18:33:50;72.69
2025-05-07 18:33:49;81.19
2025-05-07 18:33:48;89.69
2025-05-07 18:33:47;98.19
2025-05-07 18:33:46;93.29
2025-05-07 18:33:45;84.79
2025-05-07 18:33:44;76.29
2025-05-07 18:33:43;67.79
2025-05-07 18:33:42;59.29
2025-05-07 18:33:41;50.79
2025-05-07 18:33:40;42.29
2025-05-07 18:33:39;33.79
2025-05-07 18:33:38;25.29
2025-05-07 18:33:37;16.79
2025-05-07 18:33:36;8.29
2025-05-07 18:33:35;0.21
2025-05-07 18:33:34;8.71
2025-05-07 18:33:33;17.21
2025-05-07 18:33:32;25.71
2025-05-07 18:33:31;34.21
2025-05-07 18:33:30;42.71
2025-05-07 18:33:29;51.21
2025-05-07 18:33:28;59.71
2025-05-07 18:33:27;68.21
2025-05-07 18:33:26;76.71
2025-05-07 18:33:25;85.21
2025-05-07 18:33:24;93.71
2025-05-07 18:33:23;97.77
2025-05-07 18:33:22;89.27
2025-05-07 18:33:21;80.77
2025-05-07 18:33:20;72.27
2025-05-07 18:33:19;63.77
2025-05-07 18:33:18;55.27
2025-05-07 18:33:17;46.77
2025-05-07 18:33:16;38.27
2025-05-07 18:33:15;29.77
2025-05-07 18:33:14;21.27
2025-05-07 18:33:13;12.77
2025-05-07 18:33:12;4.27
2025-05-07 18:33:11;4.23
2025-05-07 18:33:10;12.73
2025-05-07 18:33:09;21.23
2025-05-07 18:33:08;29.73
2025-05-07 18:33:07;38.23
2025-05-07 18:33:06;46.73
2025-05-07 18:33:05;55.23
2025-05-07 18:33:04;63.73
2025-05-07 18:33:03;72.23
2025-05-07 18:33:02;80.73
2025-05-07 18:33:01;89.23
2025-05-07 18:33:00;97.73
2025-05-07 18:32:59;93.75
2025-05-07 18:32:58;85.25
2025-05-07 18:32:57;76.75
2025-05-07 18:32:56;68.25
2025-05-07 18:32:55;59.75
2025-05-07 18:32:54;51.25
2025-05-07 18:32:53;42.75
2025-05-07 18:32:52;34.25
2025-05-07 18:32:51;25.75
2025-05-07 18:32:50;17.25
2025-05-07 18:32:49;8.75
2025-05-07 18:32:48;0.25
2025-05-07 18:32:47;8.25
2025-05-07 18:32:46;16.75
2025-05-07 18:32:45;25.25
2025-05-07 18:32:44;33.75
2025-05-07 18:32:43;42.25
2025-05-07 18:32:42;50.75
2025-05-07 18:32:41;59.25
2025-05-07 18:32:40;67.75
2025-05-07 18:32:39;76.25
2025-05-07 18:32:38;84.75
2025-05-07 18:32:37;93.25
2025-05-07 18:32:36;98.23
2025-05-07 18:32:35;89.73
2025-05-07 18:32:34;81.23
2025-05-07 18:32:33;72.73
2025-05-07 18:32:32;64.23
2025-05-07 18:32:31;55.73
2025-05-07 18:32:30;47.23
2025-05-07 18:32:29;38.73
2025-05-07 18:32:28;30.23
2025-05-07 18:32:27;21.73
2025-05-07 18:32:26;13.23
2025-05-07 18:32:25;4.73
2025-05-07 18:32:24;3.77
2025-05-07 18:32:23;12.27
2025-05-07 18:32:22;20.77
2025-05-07 18:32:21;29.27
2025-05-07 18:32:20;37.77
2025-05-07 18:32:19;46.27
2025-05-07 18:32:18;54.77
2025-05-07 18:32:17;63.27
2025-05-07 18:32:16;71.77
2025-05-07 18:32:15;80.27
2025-05-07 18:32:14;88.77
2025-05-07 18:32:13;97.27
2025-05-07 18:32:12;94.21
2025-05-07 18:32:11;85.71
2025-05-07 18:32:10;77.21
2025-05-07 18:32:09;68.71
2025-05-07 18:32:08;60.21
2025-05-07 18:32:07;51.71
2025-05-07 18:32:06;43.21
2025-05-07 18:32:05;34.71
2025-05-07 18:32:04;26.21
2025-05-07 18:32:03;17.71
2025-05-07 18:32:02;9.21
2025-05-07 18:32:01;0.71
2025-05-07 18:32:00;7.79
2025-05-07 18:31:59;16.29
2025-05-07 18:31:58;24.79
2025-05-07 18:31:57;33.29
2025-05-07 18:31:56;41.79
2025-05-07 18:31:55;50.29
2025-05-07 18:31:54;58.79
2025-05-07 18:31:53;67.29
2025-05-07 18:31:52;75.79
2025-05-07 18:31:51;84.29
2025-05-07 18:31:50;92.79
2025-05-07 18:31:49;98.69
2025-05-07 18:31:48;90.19
2025-05-07 18:31:47;81.69
2025-05-07 18:31:46;73.19
2025-05-07 18:31:45;64.69
2025-05-07 18:31:44;56.19
2025-05-07 18:31:43;47.69
2025-05-07 18:31:42;39.19
2025-05-07 18:31:41;30.69
2025-05-07 18:31:40;22.19
2025-05-07 18:31:39;13.69
2025-05-07 18:31:38;5.19
2025-05-07 18:31:37;3.31
2025-05-07 18:31:36;11.81
2025-05-07 18:31:35;20.31
2025-05-07 18:31:34;28.81
2025-05-07 18:31:33;37.31
2025-05-07 18:31:32;45.81
2025-05-07 18:31:31;54.31
2025-05-07 18:31:30;62.81
2025-05-07 18:31:29;71.31
2025-05-07 18:31:28;79.81
2025-05-07 18:31:27;88.31
2025-05-07 18:31:26;96.81
2025-05-07 18:31:25;94.67
2025-05-07 18:31:24;86.17
2025-05-07 18:31:23;77.67
2025-05-07 18:31:22;69.17
2025-05-07 18:31:21;60.67
2025-05-07 18:31:20;52.17
2025-05-07 18:31:19;43.67
2025-05-07 18:31:18;35.17
2025-05-07 18:31:17;26.67
2025-05-07 18:31:16;18.17
2025-05-07 18:31:15;9.67
2025-05-07 18:31:14;1.17
2025-05-07 18:31:13;7.33
2025-05-07 18:31:12;15.83
2025-05-07 18:31:11;24.33
2025-05-07 18:31:10;32.83
2025-05-07 18:31:09;41.33
2025-05-07 18:31:08;49.83
2025-05-07 18:31:07;58.33
2025-05-07 18:31:06;66.83
2025-05-07 18:31:05;75.33
2025-05-07 18:31:04;83.83
2025-05-07 18:31:03;92.33
2025-05-07 18:31:02;99.15
2025-05-07 18:31:01;90.65
2025-05-07 18:31:00;82.15
2025-05-07 18:30:59;73.65
2025-05-07 18:30:58;65.15
2025-05-07 18:30:57;56.65
2025-05-07 18:30:56;48.15
2025-05-07 18:30:55;39.65
2025-05-07 18:30:54;31.15
2025-05-07 18:30:53;22.65
2025-05-07 18:30:52;14.15
2025-05-07 18:30:51;5.65
2025-05-07 18:30:50;2.85
2025-05-07 18:30:49;11.35
2025-05-07 18:30:48;19.85
2025-05-07 18:30:47;28.35
2025-05-07 18:30:46;36.85
2025-05-07 18:30:45;45.35
2025-05-07 18:30:44;53.85
2025-05-07 18:30:43;62.35
2025-05-07 18:30:42;70.85
2025-05-07 18:30:41;79.35
2025-05-07 18:30:40;87.85
2025-05-07 18:30:39;96.35
2025-05-07 18:30:38;95.13
2025-05-07 18:30:37;86.63
2025-05-07 18:30:36;78.13
2025-05-07 18:30:35;69.63
2025-05-07 18:30:34;61.13
2025-05-07 18:30:33;52.63
2025-05-07 18:30:32;44.13
2025-05-07 18:30:31;35.63
2025-05-07 18:30:30;27.13
2025-05-07 18:30:29;18.63
2025-05-07 18:30:28;10.13
2025-05-07 18:30:27;1.63
2025-05-07 18:30:26;6.87
2025-05-07 18:30:25;15.37
2025-05-07 18:30:24;23.87
2025-05-07 18:30:23;32.37
2025-05-07 18:30:22;40.87
2025-05-07 18:30:21;49.37
2025-05-07 18:30:20;57.87
2025-05-07 18:30:19;66.37
2025-05-07 18:30:18;74.87
2025-05-07 18:30:17;83.37
2025-05-07 18:30:16;91.87
2025-05-07 18:30:15;99.61
2025-05-07 18:30:14;91.11
2025-05-07 18:30:13;82.61
2025-05-07 18:30:12;74.11
2025-05-07 18:30:11;65.61
2025-05-07 18:30:10;57.11
2025-05-07 18:30:09;48.61
2025-05-07 18:30:08;40.11
2025-05-07 18:30:07;31.61
2025-05-07 18:30:06;23.11
2025-05-07 18:30:05;14.61
2025-05-07 18:30:04;6.11
2025-05-07 18:30:03;2.39
2025-05-07 18:30:02;10.89
2025-05-07 18:30:01;19.39
2025-05-07 18:30:00;27.89
2025-05-07 18:29:59;36.39
2025-05-07 18:29:58;44.89
2025-05-07 18:29:57;53.39
2025-05-07 18:29:56;61.89
