Fecha y Hora;PIC-3032 - Presión reactor R-303
2025-05-07 18:36:26;57.96
2025-05-07 18:36:25;49.46
2025-05-07 18:36:24;40.96
2025-05-07 18:36:23;32.46
2025-05-07 18:36:22;23.96
2025-05-07 18:36:21;15.46
2025-05-07 18:36:20;6.96
2025-05-07 18:36:19;1.54
2025-05-07 18:36:18;10.04
2025-05-07 18:36:17;18.54
2025-05-07 18:36:16;27.04
2025-05-07 18:36:15;35.54
2025-05-07 18:36:14;44.04
2025-05-07 18:36:13;52.54
2025-05-07 18:36:12;61.04
2025-05-07 18:36:11;69.54
2025-05-07 18:36:10;78.04
2025-05-07 18:36:09;86.54
2025-05-07 18:36:08;95.04
2025-05-07 18:36:07;96.44
2025-05-07 18:36:06;87.94
2025-05-07 18:36:05;79.44
2025-05-07 18:36:04;70.94
2025-05-07 18:36:03;62.44
2025-05-07 18:36:02;53.94
2025-05-07 18:36:01;45.44
2025-05-07 18:36:00;36.94
2025-05-07 18:35:59;28.44
2025-05-07 18:35:58;19.94
2025-05-07 18:35:57;11.44
2025-05-07 18:35:56;2.94
2025-05-07 18:35:55;5.56
2025-05-07 18:35:54;14.06
2025-05-07 18:35:53;22.56
2025-05-07 18:35:52;31.06
2025-05-07 18:35:51;39.56
2025-05-07 18:35:50;48.06
2025-05-07 18:35:49;56.56
2025-05-07 18:35:48;65.06
2025-05-07 18:35:47;73.56
2025-05-07 18:35:46;82.06
2025-05-07 18:35:45;90.56
2025-05-07 18:35:44;99.06
2025-05-07 18:35:43;92.42
2025-05-07 18:35:42;83.92
2025-05-07 18:35:41;75.42
2025-05-07 18:35:40;66.92
2025-05-07 18:35:39;58.42
2025-05-07 18:35:38;49.92
2025-05-07 18:35:37;41.42
2025-05-07 18:35:36;32.92
2025-05-07 18:35:35;24.42
2025-05-07 18:35:34;15.92
2025-05-07 18:35:33;7.42
2025-05-07 18:35:32;1.08
2025-05-07 18:35:31;9.58
2025-05-07 18:35:30;18.08
2025-05-07 18:35:29;26.58
2025-05-07 18:35:28;35.08
2025-05-07 18:35:27;43.58
2025-05-07 18:35:26;52.08
2025-05-07 18:35:25;60.58
2025-05-07 18:35:24;69.08
2025-05-07 18:35:23;77.58
2025-05-07 18:35:22;86.08
2025-05-07 18:35:21;94.58
2025-05-07 18:35:20;96.90
2025-05-07 18:35:19;88.40
2025-05-07 18:35:18;79.90
2025-05-07 18:35:17;71.40
2025-05-07 18:35:16;62.90
2025-05-07 18:35:15;54.40
2025-05-07 18:35:14;45.90
2025-05-07 18:35:13;37.40
2025-05-07 18:35:12;28.90
2025-05-07 18:35:11;20.40
2025-05-07 18:35:10;11.90
2025-05-07 18:35:09;3.40
2025-05-07 18:35:08;5.10
2025-05-07 18:35:07;13.60
2025-05-07 18:35:06;22.10
2025-05-07 18:35:05;30.60
2025-05-07 18:35:04;39.10
2025-05-07 18:35:03;47.60
2025-05-07 18:35:02;56.10
2025-05-07 18:35:01;64.60
2025-05-07 18:35:00;73.10
2025-05-07 18:34:59;81.60
2025-05-07 18:34:58;90.10
2025-05-07 18:34:57;98.60
2025-05-07 18:34:56;92.88
2025-05-07 18:34:55;84.38
2025-05-07 18:34:54;75.88
2025-05-07 18:34:53;67.38
2025-05-07 18:34:52;58.88
2025-05-07 18:34:51;50.38
2025-05-07 18:34:50;41.88
2025-05-07 18:34:49;33.38
2025-05-07 18:34:48;24.88
2025-05-07 18:34:47;16.38
2025-05-07 18:34:46;7.88
2025-05-07 18:34:45;0.62
2025-05-07 18:34:44;9.12
2025-05-07 18:34:43;17.62
2025-05-07 18:34:42;26.12
2025-05-07 18:34:41;34.62
2025-05-07 18:34:40;43.12
2025-05-07 18:34:39;51.62
2025-05-07 18:34:38;60.12
2025-05-07 18:34:37;68.62
2025-05-07 18:34:36;77.12
2025-05-07 18:34:35;85.62
2025-05-07 18:34:34;94.12
2025-05-07 18:34:33;97.36
2025-05-07 18:34:32;88.86
2025-05-07 18:34:31;80.36
2025-05-07 18:34:30;71.86
2025-05-07 18:34:29;63.36
2025-05-07 18:34:28;54.86
2025-05-07 18:34:27;46.36
2025-05-07 18:34:26;37.86
2025-05-07 18:34:25;29.36
2025-05-07 18:34:24;20.86
2025-05-07 18:34:23;12.36
2025-05-07 18:34:22;3.86
2025-05-07 18:34:21;4.64
2025-05-07 18:34:20;13.14
2025-05-07 18:34:19;21.64
2025-05-07 18:34:18;30.14
2025-05-07 18:34:17;38.64
2025-05-07 18:34:16;47.14
2025-05-07 18:34:15;55.64
2025-05-07 18:34:14;64.14
2025-05-07 18:34:13;72.64
2025-05-07 18:34:12;81.14
2025-05-07 18:34:11;89.64
2025-05-07 18:34:10;98.14
2025-05-07 18:34:09;93.34
2025-05-07 18:34:08;84.84
2025-05-07 18:34:07;76.34
2025-05-07 18:34:06;67.84
2025-05-07 18:34:05;59.34
2025-05-07 18:34:04;50.84
2025-05-07 18:34:03;42.34
2025-05-07 18:34:02;33.84
