Fecha y Hora;PIT-301A - Presión salida bomba B-301A
2025-05-07 18:36:26;53.63
2025-05-07 18:36:25;45.13
2025-05-07 18:36:24;36.63
2025-05-07 18:36:23;28.13
2025-05-07 18:36:22;19.63
2025-05-07 18:36:21;11.13
2025-05-07 18:36:20;2.63
2025-05-07 18:36:19;5.87
2025-05-07 18:36:18;14.37
2025-05-07 18:36:17;22.87
2025-05-07 18:36:16;31.37
2025-05-07 18:36:15;39.87
2025-05-07 18:36:14;48.37
2025-05-07 18:36:13;56.87
2025-05-07 18:36:12;65.37
2025-05-07 18:36:11;73.87
2025-05-07 18:36:10;82.37
2025-05-07 18:36:09;90.87
2025-05-07 18:36:08;99.37
2025-05-07 18:36:07;92.11
2025-05-07 18:36:06;83.61
2025-05-07 18:36:05;75.11
2025-05-07 18:36:04;66.61
2025-05-07 18:36:03;58.11
2025-05-07 18:36:02;49.61
2025-05-07 18:36:01;41.11
2025-05-07 18:36:00;32.61
2025-05-07 18:35:59;24.11
2025-05-07 18:35:58;15.61
2025-05-07 18:35:57;7.11
2025-05-07 18:35:56;1.39
2025-05-07 18:35:55;9.89
2025-05-07 18:35:54;18.39
2025-05-07 18:35:53;26.89
2025-05-07 18:35:52;35.39
2025-05-07 18:35:51;43.89
2025-05-07 18:35:50;52.39
2025-05-07 18:35:49;60.89
2025-05-07 18:35:48;69.39
2025-05-07 18:35:47;77.89
2025-05-07 18:35:46;86.39
2025-05-07 18:35:45;94.89
2025-05-07 18:35:44;96.59
2025-05-07 18:35:43;88.09
2025-05-07 18:35:42;79.59
2025-05-07 18:35:41;71.09
2025-05-07 18:35:40;62.59
2025-05-07 18:35:39;54.09
2025-05-07 18:35:38;45.59
2025-05-07 18:35:37;37.09
2025-05-07 18:35:36;28.59
2025-05-07 18:35:35;20.09
2025-05-07 18:35:34;11.59
2025-05-07 18:35:33;3.09
2025-05-07 18:35:32;5.41
2025-05-07 18:35:31;13.91
2025-05-07 18:35:30;22.41
2025-05-07 18:35:29;30.91
2025-05-07 18:35:28;39.41
2025-05-07 18:35:27;47.91
2025-05-07 18:35:26;56.41
2025-05-07 18:35:25;64.91
2025-05-07 18:35:24;73.41
2025-05-07 18:35:23;81.91
2025-05-07 18:35:22;90.41
2025-05-07 18:35:21;98.91
2025-05-07 18:35:20;92.57
2025-05-07 18:35:19;84.07
2025-05-07 18:35:18;75.57
2025-05-07 18:35:17;67.07
2025-05-07 18:35:16;58.57
2025-05-07 18:35:15;50.07
2025-05-07 18:35:14;41.57
2025-05-07 18:35:13;33.07
2025-05-07 18:35:12;24.57
2025-05-07 18:35:11;16.07
2025-05-07 18:35:10;7.57
2025-05-07 18:35:09;0.93
2025-05-07 18:35:08;9.43
2025-05-07 18:35:07;17.93
2025-05-07 18:35:06;26.43
2025-05-07 18:35:05;34.93
2025-05-07 18:35:04;43.43
2025-05-07 18:35:03;51.93
2025-05-07 18:35:02;60.43
2025-05-07 18:35:01;68.93
2025-05-07 18:35:00;77.43
2025-05-07 18:34:59;85.93
