Fecha y Hora;DR-3037 - Indicador sobrepresión R-303
2025-05-07 18:36:26;5821.00
2025-05-07 18:36:25;4971.00
2025-05-07 18:36:24;4121.00
2025-05-07 18:36:23;3271.00
2025-05-07 18:36:22;2421.00
2025-05-07 18:36:21;1571.00
2025-05-07 18:36:20;721.00
2025-05-07 18:36:19;129.00
2025-05-07 18:36:18;979.00
2025-05-07 18:36:17;1829.00
2025-05-07 18:36:16;2679.00
2025-05-07 18:36:15;3529.00
2025-05-07 18:36:14;4379.00
2025-05-07 18:36:13;5229.00
2025-05-07 18:36:12;6079.00
2025-05-07 18:36:11;6929.00
2025-05-07 18:36:10;7779.00
2025-05-07 18:36:09;8629.00
2025-05-07 18:36:08;9479.00
2025-05-07 18:36:07;9669.00
2025-05-07 18:36:06;8819.00
2025-05-07 18:36:05;7969.00
2025-05-07 18:36:04;7119.00
2025-05-07 18:36:03;6269.00
2025-05-07 18:36:02;5419.00
2025-05-07 18:36:01;4569.00
2025-05-07 18:36:00;3719.00
2025-05-07 18:35:59;2869.00
2025-05-07 18:35:58;2019.00
2025-05-07 18:35:57;1169.00
2025-05-07 18:35:56;319.00
2025-05-07 18:35:55;531.00
2025-05-07 18:35:54;1381.00
2025-05-07 18:35:53;2231.00
2025-05-07 18:35:52;3081.00
2025-05-07 18:35:51;3931.00
2025-05-07 18:35:50;4781.00
2025-05-07 18:35:49;5631.00
2025-05-07 18:35:48;6481.00
2025-05-07 18:35:47;7331.00
2025-05-07 18:35:46;8181.00
2025-05-07 18:35:45;9031.00
2025-05-07 18:35:44;9881.00
2025-05-07 18:35:43;9267.00
2025-05-07 18:35:42;8417.00
2025-05-07 18:35:41;7567.00
2025-05-07 18:35:40;6717.00
2025-05-07 18:35:39;5867.00
2025-05-07 18:35:38;5017.00
2025-05-07 18:35:37;4167.00
2025-05-07 18:35:36;3317.00
2025-05-07 18:35:35;2467.00
2025-05-07 18:35:34;1617.00
2025-05-07 18:35:33;767.00
2025-05-07 18:35:32;83.00
2025-05-07 18:35:31;933.00
2025-05-07 18:35:30;1783.00
2025-05-07 18:35:29;2633.00
2025-05-07 18:35:28;3483.00
2025-05-07 18:35:27;4333.00
2025-05-07 18:35:26;5183.00
2025-05-07 18:35:25;6033.00
2025-05-07 18:35:24;6883.00
2025-05-07 18:35:23;7733.00
2025-05-07 18:35:22;8583.00
2025-05-07 18:35:21;9433.00
2025-05-07 18:35:20;9715.00
2025-05-07 18:35:19;8865.00
2025-05-07 18:35:18;8015.00
2025-05-07 18:35:17;7165.00
2025-05-07 18:35:16;6315.00
2025-05-07 18:35:15;5465.00
2025-05-07 18:35:14;4615.00
2025-05-07 18:35:13;3765.00
2025-05-07 18:35:12;2915.00
2025-05-07 18:35:11;2065.00
2025-05-07 18:35:10;1215.00
2025-05-07 18:35:09;365.00
2025-05-07 18:35:08;485.00
2025-05-07 18:35:07;1335.00
2025-05-07 18:35:06;2185.00
2025-05-07 18:35:05;3035.00
2025-05-07 18:35:04;3885.00
2025-05-07 18:35:03;4735.00
2025-05-07 18:35:02;5585.00
2025-05-07 18:35:01;6435.00
2025-05-07 18:35:00;7285.00
2025-05-07 18:34:59;8135.00
2025-05-07 18:34:58;8985.00
2025-05-07 18:34:57;9835.00
2025-05-07 18:34:56;9313.00
2025-05-07 18:34:55;8463.00
2025-05-07 18:34:54;7613.00
2025-05-07 18:34:53;6763.00
2025-05-07 18:34:52;5913.00
2025-05-07 18:34:51;5063.00
2025-05-07 18:34:50;4213.00
2025-05-07 18:34:49;3363.00
2025-05-07 18:34:48;2513.00
2025-05-07 18:34:47;1663.00
2025-05-07 18:34:46;813.00
2025-05-07 18:34:45;37.00
2025-05-07 18:34:44;887.00
2025-05-07 18:34:43;1737.00
2025-05-07 18:34:42;2587.00
2025-05-07 18:34:41;3437.00
2025-05-07 18:34:40;4287.00
2025-05-07 18:34:39;5137.00
2025-05-07 18:34:38;5987.00
2025-05-07 18:34:37;6837.00
2025-05-07 18:34:36;7687.00
2025-05-07 18:34:35;8537.00
2025-05-07 18:34:34;9387.00
2025-05-07 18:34:33;9761.00
2025-05-07 18:34:32;8911.00
2025-05-07 18:34:31;8061.00
2025-05-07 18:34:30;7211.00
2025-05-07 18:34:29;6361.00
2025-05-07 18:34:28;5511.00
2025-05-07 18:34:27;4661.00
2025-05-07 18:34:26;3811.00
2025-05-07 18:34:25;2961.00
2025-05-07 18:34:24;2111.00
2025-05-07 18:34:23;1261.00
2025-05-07 18:34:22;411.00
2025-05-07 18:34:21;439.00
2025-05-07 18:34:20;1289.00
2025-05-07 18:34:19;2139.00
2025-05-07 18:34:18;2989.00
2025-05-07 18:34:17;3839.00
2025-05-07 18:34:16;4689.00
2025-05-07 18:34:15;5539.00
2025-05-07 18:34:14;6389.00
2025-05-07 18:34:13;7239.00
2025-05-07 18:34:12;8089.00
2025-05-07 18:34:11;8939.00
2025-05-07 18:34:10;9789.00
2025-05-07 18:34:09;9359.00
2025-05-07 18:34:08;8509.00
2025-05-07 18:34:07;7659.00
2025-05-07 18:34:06;6809.00
2025-05-07 18:34:05;5959.00
2025-05-07 18:34:04;5109.00
2025-05-07 18:34:03;4259.00
2025-05-07 18:34:02;3409.00
2025-05-07 18:34:01;2559.00
2025-05-07 18:34:00;1709.00
2025-05-07 18:33:59;859.00
2025-05-07 18:33:58;9.00
2025-05-07 18:33:57;841.00
2025-05-07 18:33:56;1691.00
2025-05-07 18:33:55;2541.00
2025-05-07 18:33:54;3391.00
2025-05-07 18:33:53;4241.00
2025-05-07 18:33:52;5091.00
2025-05-07 18:33:51;5941.00
2025-05-07 18:33:50;6791.00
2025-05-07 18:33:49;7641.00
2025-05-07 18:33:48;8491.00
2025-05-07 18:33:47;9341.00
2025-05-07 18:33:46;9807.00
2025-05-07 18:33:45;8957.00
2025-05-07 18:33:44;8107.00
2025-05-07 18:33:43;7257.00
2025-05-07 18:33:42;6407.00
2025-05-07 18:33:41;5557.00
2025-05-07 18:33:40;4707.00
2025-05-07 18:33:39;3857.00
2025-05-07 18:33:38;3007.00
2025-05-07 18:33:37;2157.00
2025-05-07 18:33:36;1307.00
2025-05-07 18:33:35;457.00
2025-05-07 18:33:34;393.00
2025-05-07 18:33:33;1243.00
2025-05-07 18:33:32;2093.00
2025-05-07 18:33:31;2943.00
2025-05-07 18:33:30;3793.00
2025-05-07 18:33:29;4643.00
2025-05-07 18:33:28;5493.00
2025-05-07 18:33:27;6343.00
2025-05-07 18:33:26;7193.00
2025-05-07 18:33:25;8043.00
2025-05-07 18:33:24;8893.00
2025-05-07 18:33:23;9743.00
2025-05-07 18:33:22;9405.00
2025-05-07 18:33:21;8555.00
2025-05-07 18:33:20;7705.00
2025-05-07 18:33:19;6855.00
2025-05-07 18:33:18;6005.00
2025-05-07 18:33:17;5155.00
2025-05-07 18:33:16;4305.00
2025-05-07 18:33:15;3455.00
2025-05-07 18:33:14;2605.00
2025-05-07 18:33:13;1755.00
2025-05-07 18:33:12;905.00
2025-05-07 18:33:11;55.00
2025-05-07 18:33:10;795.00
2025-05-07 18:33:09;1645.00
2025-05-07 18:33:08;2495.00
2025-05-07 18:33:07;3345.00
2025-05-07 18:33:06;4195.00
2025-05-07 18:33:05;5045.00
2025-05-07 18:33:04;5895.00
2025-05-07 18:33:03;6745.00
2025-05-07 18:33:02;7595.00
2025-05-07 18:33:01;8445.00
2025-05-07 18:33:00;9295.00
2025-05-07 18:32:59;9853.00
2025-05-07 18:32:58;9003.00
2025-05-07 18:32:57;8153.00
2025-05-07 18:32:56;7303.00
2025-05-07 18:32:55;6453.00
2025-05-07 18:32:54;5603.00
2025-05-07 18:32:53;4753.00
2025-05-07 18:32:52;3903.00
2025-05-07 18:32:51;3053.00
2025-05-07 18:32:50;2203.00
2025-05-07 18:32:49;1353.00
2025-05-07 18:32:48;503.00
2025-05-07 18:32:47;347.00
2025-05-07 18:32:46;1197.00
2025-05-07 18:32:45;2047.00
2025-05-07 18:32:44;2897.00
2025-05-07 18:32:43;3747.00
2025-05-07 18:32:42;4597.00
2025-05-07 18:32:41;5447.00
2025-05-07 18:32:40;6297.00
2025-05-07 18:32:39;7147.00
2025-05-07 18:32:38;7997.00
2025-05-07 18:32:37;8847.00
2025-05-07 18:32:36;9697.00
2025-05-07 18:32:35;9451.00
2025-05-07 18:32:34;8601.00
2025-05-07 18:32:33;7751.00
2025-05-07 18:32:32;6901.00
2025-05-07 18:32:31;6051.00
2025-05-07 18:32:30;5201.00
2025-05-07 18:32:29;4351.00
2025-05-07 18:32:28;3501.00
2025-05-07 18:32:27;2651.00
2025-05-07 18:32:26;1801.00
2025-05-07 18:32:25;951.00
2025-05-07 18:32:24;101.00
2025-05-07 18:32:23;749.00
2025-05-07 18:32:22;1599.00
2025-05-07 18:32:21;2449.00
2025-05-07 18:32:20;3299.00
2025-05-07 18:32:19;4149.00
2025-05-07 18:32:18;4999.00
2025-05-07 18:32:17;5849.00
2025-05-07 18:32:16;6699.00
2025-05-07 18:32:15;7549.00
2025-05-07 18:32:14;8399.00
2025-05-07 18:32:13;9249.00
2025-05-07 18:32:12;9899.00
2025-05-07 18:32:11;9049.00
2025-05-07 18:32:10;8199.00
2025-05-07 18:32:09;7349.00
2025-05-07 18:32:08;6499.00
2025-05-07 18:32:07;5649.00
2025-05-07 18:32:06;4799.00
2025-05-07 18:32:05;3949.00
2025-05-07 18:32:04;3099.00
2025-05-07 18:32:03;2249.00
2025-05-07 18:32:02;1399.00
2025-05-07 18:32:01;549.00
2025-05-07 18:32:00;301.00
2025-05-07 18:31:59;1151.00
2025-05-07 18:31:58;2001.00
2025-05-07 18:31:57;2851.00
2025-05-07 18:31:56;3701.00
2025-05-07 18:31:55;4551.00
2025-05-07 18:31:54;5401.00
2025-05-07 18:31:53;6251.00
2025-05-07 18:31:52;7101.00
2025-05-07 18:31:51;7951.00
2025-05-07 18:31:50;8801.00
2025-05-07 18:31:49;9651.00
2025-05-07 18:31:48;9497.00
2025-05-07 18:31:47;8647.00
2025-05-07 18:31:46;7797.00
2025-05-07 18:31:45;6947.00
2025-05-07 18:31:44;6097.00
2025-05-07 18:31:43;5247.00
2025-05-07 18:31:42;4397.00
2025-05-07 18:31:41;3547.00
2025-05-07 18:31:40;2697.00
2025-05-07 18:31:39;1847.00
2025-05-07 18:31:38;997.00
2025-05-07 18:31:37;147.00
2025-05-07 18:31:36;703.00
2025-05-07 18:31:35;1553.00
2025-05-07 18:31:34;2403.00
2025-05-07 18:31:33;3253.00
2025-05-07 18:31:32;4103.00
2025-05-07 18:31:31;4953.00
2025-05-07 18:31:30;5803.00
2025-05-07 18:31:29;6653.00
2025-05-07 18:31:28;7503.00
2025-05-07 18:31:27;8353.00
2025-05-07 18:31:26;9203.00
2025-05-07 18:31:25;9945.00
2025-05-07 18:31:24;9095.00
2025-05-07 18:31:23;8245.00
2025-05-07 18:31:22;7395.00
2025-05-07 18:31:21;6545.00
2025-05-07 18:31:20;5695.00
2025-05-07 18:31:19;4845.00
2025-05-07 18:31:18;3995.00
2025-05-07 18:31:17;3145.00
2025-05-07 18:31:16;2295.00
2025-05-07 18:31:15;1445.00
2025-05-07 18:31:14;595.00
2025-05-07 18:31:13;255.00
2025-05-07 18:31:12;1105.00
2025-05-07 18:31:11;1955.00
2025-05-07 18:31:10;2805.00
2025-05-07 18:31:09;3655.00
2025-05-07 18:31:08;4505.00
2025-05-07 18:31:07;5355.00
2025-05-07 18:31:06;6205.00
2025-05-07 18:31:05;7055.00
2025-05-07 18:31:04;7905.00
2025-05-07 18:31:03;8755.00
2025-05-07 18:31:02;9605.00
2025-05-07 18:31:01;9543.00
2025-05-07 18:31:00;8693.00
2025-05-07 18:30:59;7843.00
2025-05-07 18:30:58;6993.00
2025-05-07 18:30:57;6143.00
2025-05-07 18:30:56;5293.00
2025-05-07 18:30:55;4443.00
2025-05-07 18:30:54;3593.00
2025-05-07 18:30:53;2743.00
2025-05-07 18:30:52;1893.00
2025-05-07 18:30:51;1043.00
2025-05-07 18:30:50;193.00
2025-05-07 18:30:49;657.00
2025-05-07 18:30:48;1507.00
2025-05-07 18:30:47;2357.00
2025-05-07 18:30:46;3207.00
2025-05-07 18:30:45;4057.00
2025-05-07 18:30:44;4907.00
2025-05-07 18:30:43;5757.00
2025-05-07 18:30:42;6607.00
2025-05-07 18:30:41;7457.00
2025-05-07 18:30:40;8307.00
2025-05-07 18:30:39;9157.00
2025-05-07 18:30:38;9991.00
2025-05-07 18:30:37;9141.00
2025-05-07 18:30:36;8291.00
2025-05-07 18:30:35;7441.00
2025-05-07 18:30:34;6591.00
2025-05-07 18:30:33;5741.00
2025-05-07 18:30:32;4891.00
2025-05-07 18:30:31;4041.00
2025-05-07 18:30:30;3191.00
2025-05-07 18:30:29;2341.00
2025-05-07 18:30:28;1491.00
2025-05-07 18:30:27;641.00
2025-05-07 18:30:26;209.00
2025-05-07 18:30:25;1059.00
2025-05-07 18:30:24;1909.00
2025-05-07 18:30:23;2759.00
2025-05-07 18:30:22;3609.00
2025-05-07 18:30:21;4459.00
2025-05-07 18:30:20;5309.00
2025-05-07 18:30:19;6159.00
2025-05-07 18:30:18;7009.00
2025-05-07 18:30:17;7859.00
2025-05-07 18:30:16;8709.00
2025-05-07 18:30:15;9559.00
2025-05-07 18:30:14;9589.00
2025-05-07 18:30:13;8739.00
2025-05-07 18:30:12;7889.00
2025-05-07 18:30:11;7039.00
2025-05-07 18:30:10;6189.00
2025-05-07 18:30:09;5339.00
2025-05-07 18:30:08;4489.00
2025-05-07 18:30:07;3639.00
2025-05-07 18:30:06;2789.00
2025-05-07 18:30:05;1939.00
2025-05-07 18:30:04;1089.00
2025-05-07 18:30:03;239.00
2025-05-07 18:30:02;611.00
2025-05-07 18:30:01;1461.00
2025-05-07 18:30:00;2311.00
2025-05-07 18:29:59;3161.00
2025-05-07 18:29:58;4011.00
2025-05-07 18:29:57;4861.00
2025-05-07 18:29:56;5711.00
2025-05-07 18:29:55;6561.00
2025-05-07 18:29:54;7411.00
2025-05-07 18:29:53;8261.00
2025-05-07 18:29:52;9111.00
2025-05-07 18:29:51;9961.00
2025-05-07 18:29:50;9187.00
2025-05-07 18:29:49;8337.00
2025-05-07 18:29:48;7487.00
2025-05-07 18:29:47;6637.00
2025-05-07 18:29:46;5787.00
2025-05-07 18:29:45;4937.00
2025-05-07 18:29:44;4087.00
2025-05-07 18:29:43;3237.00
2025-05-07 18:29:42;2387.00
2025-05-07 18:29:41;1537.00
2025-05-07 18:29:40;687.00
2025-05-07 18:29:39;163.00
2025-05-07 18:29:38;1013.00
2025-05-07 18:29:37;1863.00
2025-05-07 18:29:36;2713.00
2025-05-07 18:29:35;3563.00
2025-05-07 18:29:34;4413.00
2025-05-07 18:29:33;5263.00
2025-05-07 18:29:32;6113.00
2025-05-07 18:29:31;6963.00
2025-05-07 18:29:30;7813.00
2025-05-07 18:29:29;8663.00
2025-05-07 18:29:28;9513.00
2025-05-07 18:29:27;9635.00
2025-05-07 18:29:26;8785.00
2025-05-07 18:29:25;7935.00
2025-05-07 18:29:24;7085.00
2025-05-07 18:29:23;6235.00
2025-05-07 18:29:22;5385.00
2025-05-07 18:29:21;4535.00
2025-05-07 18:29:20;3685.00
2025-05-07 18:29:19;2835.00
2025-05-07 18:29:18;1985.00
2025-05-07 18:29:17;1135.00
2025-05-07 18:29:16;285.00
2025-05-07 18:29:15;565.00
2025-05-07 18:29:14;1415.00
2025-05-07 18:29:13;2265.00
2025-05-07 18:29:12;3115.00
2025-05-07 18:29:11;3965.00
2025-05-07 18:29:10;4815.00
2025-05-07 18:29:09;5665.00
2025-05-07 18:29:08;6515.00
2025-05-07 18:29:07;7365.00
2025-05-07 18:29:06;8215.00
2025-05-07 18:29:05;9065.00
2025-05-07 18:29:04;9915.00
2025-05-07 18:29:03;9233.00
2025-05-07 18:29:02;8383.00
2025-05-07 18:29:01;7533.00
2025-05-07 18:29:00;6683.00
2025-05-07 18:28:59;5833.00
2025-05-07 18:28:58;4983.00
2025-05-07 18:28:57;4133.00
2025-05-07 18:28:56;3283.00
2025-05-07 18:28:55;2433.00
2025-05-07 18:28:54;1583.00
2025-05-07 18:28:53;733.00
2025-05-07 18:28:52;117.00
2025-05-07 18:28:51;967.00
2025-05-07 18:28:50;1817.00
2025-05-07 18:28:49;2667.00
2025-05-07 18:28:48;3517.00
2025-05-07 18:28:47;4367.00
2025-05-07 18:28:46;5217.00
2025-05-07 18:28:45;6067.00
2025-05-07 18:28:44;6917.00
2025-05-07 18:28:43;7767.00
2025-05-07 18:28:42;8617.00
2025-05-07 18:28:41;9467.00
2025-05-07 18:28:40;9681.00
2025-05-07 18:28:39;8831.00
2025-05-07 18:28:38;7981.00
2025-05-07 18:28:37;7131.00
2025-05-07 18:28:36;6281.00
2025-05-07 18:28:35;5431.00
2025-05-07 18:28:34;4581.00
2025-05-07 18:28:33;3731.00
2025-05-07 18:28:32;2881.00
2025-05-07 18:28:31;2031.00
2025-05-07 18:28:30;1181.00
2025-05-07 18:28:29;331.00
2025-05-07 18:28:28;519.00
2025-05-07 18:28:27;1369.00
2025-05-07 18:28:26;2219.00
2025-05-07 18:28:25;3069.00
