Fecha y Hora;TC-2042 - Control temperatura vapor de arranque
2025-05-07 18:36:26;58.13
2025-05-07 18:36:25;49.63
2025-05-07 18:36:24;41.13
2025-05-07 18:36:23;32.63
2025-05-07 18:36:22;24.13
2025-05-07 18:36:21;15.63
2025-05-07 18:36:20;7.13
2025-05-07 18:36:19;1.37
2025-05-07 18:36:18;9.87
2025-05-07 18:36:17;18.37
2025-05-07 18:36:16;26.87
2025-05-07 18:36:15;35.37
2025-05-07 18:36:14;43.87
2025-05-07 18:36:13;52.37
2025-05-07 18:36:12;60.87
2025-05-07 18:36:11;69.37
2025-05-07 18:36:10;77.87
2025-05-07 18:36:09;86.37
2025-05-07 18:36:08;94.87
2025-05-07 18:36:07;96.61
2025-05-07 18:36:06;88.11
2025-05-07 18:36:05;79.61
2025-05-07 18:36:04;71.11
2025-05-07 18:36:03;62.61
2025-05-07 18:36:02;54.11
2025-05-07 18:36:01;45.61
2025-05-07 18:36:00;37.11
2025-05-07 18:35:59;28.61
2025-05-07 18:35:58;20.11
2025-05-07 18:35:57;11.61
2025-05-07 18:35:56;3.11
2025-05-07 18:35:55;5.39
2025-05-07 18:35:54;13.89
2025-05-07 18:35:53;22.39
2025-05-07 18:35:52;30.89
2025-05-07 18:35:51;39.39
2025-05-07 18:35:50;47.89
2025-05-07 18:35:49;56.39
2025-05-07 18:35:48;64.89
2025-05-07 18:35:47;73.39
2025-05-07 18:35:46;81.89
2025-05-07 18:35:45;90.39
2025-05-07 18:35:44;98.89
2025-05-07 18:35:43;92.59
2025-05-07 18:35:42;84.09
2025-05-07 18:35:41;75.59
2025-05-07 18:35:40;67.09
2025-05-07 18:35:39;58.59
2025-05-07 18:35:38;50.09
2025-05-07 18:35:37;41.59
2025-05-07 18:35:36;33.09
2025-05-07 18:35:35;24.59
2025-05-07 18:35:34;16.09
2025-05-07 18:35:33;7.59
2025-05-07 18:35:32;0.91
2025-05-07 18:35:31;9.41
2025-05-07 18:35:30;17.91
2025-05-07 18:35:29;26.41
2025-05-07 18:35:28;34.91
2025-05-07 18:35:27;43.41
2025-05-07 18:35:26;51.91
2025-05-07 18:35:25;60.41
2025-05-07 18:35:24;68.91
2025-05-07 18:35:23;77.41
2025-05-07 18:35:22;85.91
2025-05-07 18:35:21;94.41
2025-05-07 18:35:20;97.07
2025-05-07 18:35:19;88.57
2025-05-07 18:35:18;80.07
2025-05-07 18:35:17;71.57
2025-05-07 18:35:16;63.07
2025-05-07 18:35:15;54.57
2025-05-07 18:35:14;46.07
2025-05-07 18:35:13;37.57
2025-05-07 18:35:12;29.07
2025-05-07 18:35:11;20.57
2025-05-07 18:35:10;12.07
2025-05-07 18:35:09;3.57
2025-05-07 18:35:08;4.93
2025-05-07 18:35:07;13.43
2025-05-07 18:35:06;21.93
2025-05-07 18:35:05;30.43
2025-05-07 18:35:04;38.93
2025-05-07 18:35:03;47.43
2025-05-07 18:35:02;55.93
2025-05-07 18:35:01;64.43
2025-05-07 18:35:00;72.93
2025-05-07 18:34:59;81.43
2025-05-07 18:34:58;89.93
2025-05-07 18:34:57;98.43
2025-05-07 18:34:56;93.05
2025-05-07 18:34:55;84.55
2025-05-07 18:34:54;76.05
2025-05-07 18:34:53;67.55
2025-05-07 18:34:52;59.05
2025-05-07 18:34:51;50.55
2025-05-07 18:34:50;42.05
2025-05-07 18:34:49;33.55
2025-05-07 18:34:48;25.05
2025-05-07 18:34:47;16.55
2025-05-07 18:34:46;8.05
2025-05-07 18:34:45;0.45
2025-05-07 18:34:44;8.95
2025-05-07 18:34:43;17.45
2025-05-07 18:34:42;25.95
2025-05-07 18:34:41;34.45
2025-05-07 18:34:40;42.95
2025-05-07 18:34:39;51.45
2025-05-07 18:34:38;59.95
2025-05-07 18:34:37;68.45
2025-05-07 18:34:36;76.95
2025-05-07 18:34:35;85.45
2025-05-07 18:34:34;93.95
2025-05-07 18:34:33;97.53
2025-05-07 18:34:32;89.03
2025-05-07 18:34:31;80.53
2025-05-07 18:34:30;72.03
2025-05-07 18:34:29;63.53
2025-05-07 18:34:28;55.03
2025-05-07 18:34:27;46.53
2025-05-07 18:34:26;38.03
2025-05-07 18:34:25;29.53
2025-05-07 18:34:24;21.03
2025-05-07 18:34:23;12.53
2025-05-07 18:34:22;4.03
2025-05-07 18:34:21;4.47
2025-05-07 18:34:20;12.97
2025-05-07 18:34:19;21.47
2025-05-07 18:34:18;29.97
2025-05-07 18:34:17;38.47
2025-05-07 18:34:16;46.97
2025-05-07 18:34:15;55.47
2025-05-07 18:34:14;63.97
2025-05-07 18:34:13;72.47
2025-05-07 18:34:12;80.97
2025-05-07 18:34:11;89.47
2025-05-07 18:34:10;97.97
2025-05-07 18:34:09;93.51
2025-05-07 18:34:08;85.01
2025-05-07 18:34:07;76.51
2025-05-07 18:34:06;68.01
2025-05-07 18:34:05;59.51
2025-05-07 18:34:04;51.01
2025-05-07 18:34:03;42.51
2025-05-07 18:34:02;34.01
2025-05-07 18:34:01;25.51
2025-05-07 18:34:00;17.01
2025-05-07 18:33:59;8.51
2025-05-07 18:33:58;0.01
2025-05-07 18:33:57;8.49
2025-05-07 18:33:56;16.99
2025-05-07 18:33:55;25.49
2025-05-07 18:33:54;33.99
2025-05-07 18:33:53;42.49
2025-05-07 18:33:52;50.99
2025-05-07 18:33:51;59.49
2025-05-07 18:33:50;67.99
2025-05-07 18:33:49;76.49
2025-05-07 18:33:48;84.99
2025-05-07 18:33:47;93.49
2025-05-07 18:33:46;97.99
2025-05-07 18:33:45;89.49
2025-05-07 18:33:44;80.99
2025-05-07 18:33:43;72.49
2025-05-07 18:33:42;63.99
2025-05-07 18:33:41;55.49
2025-05-07 18:33:40;46.99
2025-05-07 18:33:39;38.49
2025-05-07 18:33:38;29.99
2025-05-07 18:33:37;21.49
2025-05-07 18:33:36;12.99
2025-05-07 18:33:35;4.49
2025-05-07 18:33:34;4.01
2025-05-07 18:33:33;12.51
2025-05-07 18:33:32;21.01
2025-05-07 18:33:31;29.51
2025-05-07 18:33:30;38.01
2025-05-07 18:33:29;46.51
2025-05-07 18:33:28;55.01
2025-05-07 18:33:27;63.51
2025-05-07 18:33:26;72.01
2025-05-07 18:33:25;80.51
2025-05-07 18:33:24;89.01
2025-05-07 18:33:23;97.51
2025-05-07 18:33:22;93.97
2025-05-07 18:33:21;85.47
2025-05-07 18:33:20;76.97
2025-05-07 18:33:19;68.47
2025-05-07 18:33:18;59.97
2025-05-07 18:33:17;51.47
2025-05-07 18:33:16;42.97
2025-05-07 18:33:15;34.47
2025-05-07 18:33:14;25.97
2025-05-07 18:33:13;17.47
2025-05-07 18:33:12;8.97
2025-05-07 18:33:11;0.47
2025-05-07 18:33:10;8.03
2025-05-07 18:33:09;16.53
2025-05-07 18:33:08;25.03
2025-05-07 18:33:07;33.53
2025-05-07 18:33:06;42.03
2025-05-07 18:33:05;50.53
2025-05-07 18:33:04;59.03
2025-05-07 18:33:03;67.53
2025-05-07 18:33:02;76.03
2025-05-07 18:33:01;84.53
2025-05-07 18:33:00;93.03
2025-05-07 18:32:59;98.45
2025-05-07 18:32:58;89.95
2025-05-07 18:32:57;81.45
2025-05-07 18:32:56;72.95
2025-05-07 18:32:55;64.45
2025-05-07 18:32:54;55.95
2025-05-07 18:32:53;47.45
2025-05-07 18:32:52;38.95
2025-05-07 18:32:51;30.45
2025-05-07 18:32:50;21.95
2025-05-07 18:32:49;13.45
2025-05-07 18:32:48;4.95
2025-05-07 18:32:47;3.55
2025-05-07 18:32:46;12.05
2025-05-07 18:32:45;20.55
2025-05-07 18:32:44;29.05
2025-05-07 18:32:43;37.55
2025-05-07 18:32:42;46.05
2025-05-07 18:32:41;54.55
2025-05-07 18:32:40;63.05
2025-05-07 18:32:39;71.55
2025-05-07 18:32:38;80.05
2025-05-07 18:32:37;88.55
2025-05-07 18:32:36;97.05
2025-05-07 18:32:35;94.43
2025-05-07 18:32:34;85.93
2025-05-07 18:32:33;77.43
2025-05-07 18:32:32;68.93
2025-05-07 18:32:31;60.43
2025-05-07 18:32:30;51.93
2025-05-07 18:32:29;43.43
2025-05-07 18:32:28;34.93
2025-05-07 18:32:27;26.43
2025-05-07 18:32:26;17.93
2025-05-07 18:32:25;9.43
2025-05-07 18:32:24;0.93
2025-05-07 18:32:23;7.57
2025-05-07 18:32:22;16.07
2025-05-07 18:32:21;24.57
2025-05-07 18:32:20;33.07
2025-05-07 18:32:19;41.57
2025-05-07 18:32:18;50.07
2025-05-07 18:32:17;58.57
2025-05-07 18:32:16;67.07
2025-05-07 18:32:15;75.57
2025-05-07 18:32:14;84.07
2025-05-07 18:32:13;92.57
2025-05-07 18:32:12;98.91
2025-05-07 18:32:11;90.41
2025-05-07 18:32:10;81.91
2025-05-07 18:32:09;73.41
2025-05-07 18:32:08;64.91
2025-05-07 18:32:07;56.41
2025-05-07 18:32:06;47.91
2025-05-07 18:32:05;39.41
2025-05-07 18:32:04;30.91
2025-05-07 18:32:03;22.41
2025-05-07 18:32:02;13.91
2025-05-07 18:32:01;5.41
2025-05-07 18:32:00;3.09
2025-05-07 18:31:59;11.59
2025-05-07 18:31:58;20.09
2025-05-07 18:31:57;28.59
2025-05-07 18:31:56;37.09
2025-05-07 18:31:55;45.59
2025-05-07 18:31:54;54.09
2025-05-07 18:31:53;62.59
2025-05-07 18:31:52;71.09
2025-05-07 18:31:51;79.59
2025-05-07 18:31:50;88.09
2025-05-07 18:31:49;96.59
2025-05-07 18:31:48;94.89
2025-05-07 18:31:47;86.39
2025-05-07 18:31:46;77.89
2025-05-07 18:31:45;69.39
2025-05-07 18:31:44;60.89
2025-05-07 18:31:43;52.39
2025-05-07 18:31:42;43.89
2025-05-07 18:31:41;35.39
2025-05-07 18:31:40;26.89
2025-05-07 18:31:39;18.39
2025-05-07 18:31:38;9.89
2025-05-07 18:31:37;1.39
2025-05-07 18:31:36;7.11
2025-05-07 18:31:35;15.61
2025-05-07 18:31:34;24.11
2025-05-07 18:31:33;32.61
2025-05-07 18:31:32;41.11
2025-05-07 18:31:31;49.61
2025-05-07 18:31:30;58.11
2025-05-07 18:31:29;66.61
2025-05-07 18:31:28;75.11
2025-05-07 18:31:27;83.61
2025-05-07 18:31:26;92.11
2025-05-07 18:31:25;99.37
2025-05-07 18:31:24;90.87
2025-05-07 18:31:23;82.37
2025-05-07 18:31:22;73.87
2025-05-07 18:31:21;65.37
2025-05-07 18:31:20;56.87
2025-05-07 18:31:19;48.37
2025-05-07 18:31:18;39.87
2025-05-07 18:31:17;31.37
2025-05-07 18:31:16;22.87
2025-05-07 18:31:15;14.37
2025-05-07 18:31:14;5.87
2025-05-07 18:31:13;2.63
2025-05-07 18:31:12;11.13
2025-05-07 18:31:11;19.63
2025-05-07 18:31:10;28.13
2025-05-07 18:31:09;36.63
2025-05-07 18:31:08;45.13
2025-05-07 18:31:07;53.63
2025-05-07 18:31:06;62.13
2025-05-07 18:31:05;70.63
2025-05-07 18:31:04;79.13
2025-05-07 18:31:03;87.63
2025-05-07 18:31:02;96.13
2025-05-07 18:31:01;95.35
2025-05-07 18:31:00;86.85
2025-05-07 18:30:59;78.35
2025-05-07 18:30:58;69.85
2025-05-07 18:30:57;61.35
2025-05-07 18:30:56;52.85
