Fecha y Hora;KV-4025 - Válvula recirculación HT
2025-05-07 18:36:26;53360.00
2025-05-07 18:36:25;44860.00
2025-05-07 18:36:24;36360.00
2025-05-07 18:36:23;27860.00
2025-05-07 18:36:22;19360.00
2025-05-07 18:36:21;10860.00
2025-05-07 18:36:20;2360.00
2025-05-07 18:36:19;6140.00
2025-05-07 18:36:18;14640.00
2025-05-07 18:36:17;23140.00
2025-05-07 18:36:16;31640.00
2025-05-07 18:36:15;40140.00
2025-05-07 18:36:14;48640.00
2025-05-07 18:36:13;57140.00
2025-05-07 18:36:12;65640.00
2025-05-07 18:36:11;74140.00
2025-05-07 18:36:10;82640.00
2025-05-07 18:36:09;91140.00
2025-05-07 18:36:08;99640.00
2025-05-07 18:36:07;91840.00
2025-05-07 18:36:06;83340.00
2025-05-07 18:36:05;74840.00
2025-05-07 18:36:04;66340.00
2025-05-07 18:36:03;57840.00
2025-05-07 18:36:02;49340.00
2025-05-07 18:36:01;40840.00
2025-05-07 18:36:00;32340.00
2025-05-07 18:35:59;23840.00
2025-05-07 18:35:58;15340.00
2025-05-07 18:35:57;6840.00
2025-05-07 18:35:56;1660.00
2025-05-07 18:35:55;10160.00
2025-05-07 18:35:54;18660.00
2025-05-07 18:35:53;27160.00
2025-05-07 18:35:52;35660.00
2025-05-07 18:35:51;44160.00
2025-05-07 18:35:50;52660.00
2025-05-07 18:35:49;61160.00
2025-05-07 18:35:48;69660.00
2025-05-07 18:35:47;78160.00
2025-05-07 18:35:46;86660.00
2025-05-07 18:35:45;95160.00
2025-05-07 18:35:44;96320.00
2025-05-07 18:35:43;87820.00
2025-05-07 18:35:42;79320.00
2025-05-07 18:35:41;70820.00
2025-05-07 18:35:40;62320.00
2025-05-07 18:35:39;53820.00
2025-05-07 18:35:38;45320.00
2025-05-07 18:35:37;36820.00
2025-05-07 18:35:36;28320.00
2025-05-07 18:35:35;19820.00
2025-05-07 18:35:34;11320.00
2025-05-07 18:35:33;2820.00
2025-05-07 18:35:32;5680.00
2025-05-07 18:35:31;14180.00
2025-05-07 18:35:30;22680.00
2025-05-07 18:35:29;31180.00
2025-05-07 18:35:28;39680.00
2025-05-07 18:35:27;48180.00
2025-05-07 18:35:26;56680.00
2025-05-07 18:35:25;65180.00
2025-05-07 18:35:24;73680.00
2025-05-07 18:35:23;82180.00
2025-05-07 18:35:22;90680.00
2025-05-07 18:35:21;99180.00
2025-05-07 18:35:20;92300.00
2025-05-07 18:35:19;83800.00
2025-05-07 18:35:18;75300.00
2025-05-07 18:35:17;66800.00
2025-05-07 18:35:16;58300.00
2025-05-07 18:35:15;49800.00
2025-05-07 18:35:14;41300.00
2025-05-07 18:35:13;32800.00
2025-05-07 18:35:12;24300.00
2025-05-07 18:35:11;15800.00
2025-05-07 18:35:10;7300.00
2025-05-07 18:35:09;1200.00
2025-05-07 18:35:08;9700.00
2025-05-07 18:35:07;18200.00
2025-05-07 18:35:06;26700.00
2025-05-07 18:35:05;35200.00
2025-05-07 18:35:04;43700.00
2025-05-07 18:35:03;52200.00
2025-05-07 18:35:02;60700.00
2025-05-07 18:35:01;69200.00
2025-05-07 18:35:00;77700.00
2025-05-07 18:34:59;86200.00
2025-05-07 18:34:58;94700.00
2025-05-07 18:34:57;96780.00
2025-05-07 18:34:56;88280.00
2025-05-07 18:34:55;79780.00
2025-05-07 18:34:54;71280.00
2025-05-07 18:34:53;62780.00
2025-05-07 18:34:52;54280.00
2025-05-07 18:34:51;45780.00
2025-05-07 18:34:50;37280.00
2025-05-07 18:34:49;28780.00
2025-05-07 18:34:48;20280.00
2025-05-07 18:34:47;11780.00
2025-05-07 18:34:46;3280.00
2025-05-07 18:34:45;5220.00
2025-05-07 18:34:44;13720.00
2025-05-07 18:34:43;22220.00
2025-05-07 18:34:42;30720.00
2025-05-07 18:34:41;39220.00
2025-05-07 18:34:40;47720.00
2025-05-07 18:34:39;56220.00
2025-05-07 18:34:38;64720.00
2025-05-07 18:34:37;73220.00
2025-05-07 18:34:36;81720.00
2025-05-07 18:34:35;90220.00
2025-05-07 18:34:34;98720.00
2025-05-07 18:34:33;92760.00
2025-05-07 18:34:32;84260.00
2025-05-07 18:34:31;75760.00
2025-05-07 18:34:30;67260.00
2025-05-07 18:34:29;58760.00
2025-05-07 18:34:28;50260.00
2025-05-07 18:34:27;41760.00
2025-05-07 18:34:26;33260.00
2025-05-07 18:34:25;24760.00
2025-05-07 18:34:24;16260.00
2025-05-07 18:34:23;7760.00
2025-05-07 18:34:22;740.00
2025-05-07 18:34:21;9240.00
2025-05-07 18:34:20;17740.00
2025-05-07 18:34:19;26240.00
2025-05-07 18:34:18;34740.00
2025-05-07 18:34:17;43240.00
