Fecha y Hora;TT-402B - Temperatura estator bomba B-402B
2025-05-07 18:36:26;58.08
2025-05-07 18:36:25;49.58
2025-05-07 18:36:24;41.08
2025-05-07 18:36:23;32.58
2025-05-07 18:36:22;24.08
2025-05-07 18:36:21;15.58
2025-05-07 18:36:20;7.08
2025-05-07 18:36:19;1.42
2025-05-07 18:36:18;9.92
2025-05-07 18:36:17;18.42
2025-05-07 18:36:16;26.92
2025-05-07 18:36:15;35.42
2025-05-07 18:36:14;43.92
2025-05-07 18:36:13;52.42
2025-05-07 18:36:12;60.92
2025-05-07 18:36:11;69.42
2025-05-07 18:36:10;77.92
2025-05-07 18:36:09;86.42
2025-05-07 18:36:08;94.92
2025-05-07 18:36:07;96.56
2025-05-07 18:36:06;88.06
2025-05-07 18:36:05;79.56
2025-05-07 18:36:04;71.06
2025-05-07 18:36:03;62.56
2025-05-07 18:36:02;54.06
2025-05-07 18:36:01;45.56
2025-05-07 18:36:00;37.06
2025-05-07 18:35:59;28.56
2025-05-07 18:35:58;20.06
2025-05-07 18:35:57;11.56
2025-05-07 18:35:56;3.06
2025-05-07 18:35:55;5.44
2025-05-07 18:35:54;13.94
2025-05-07 18:35:53;22.44
2025-05-07 18:35:52;30.94
2025-05-07 18:35:51;39.44
2025-05-07 18:35:50;47.94
2025-05-07 18:35:49;56.44
2025-05-07 18:35:48;64.94
2025-05-07 18:35:47;73.44
2025-05-07 18:35:46;81.94
2025-05-07 18:35:45;90.44
2025-05-07 18:35:44;98.94
2025-05-07 18:35:43;92.54
2025-05-07 18:35:42;84.04
2025-05-07 18:35:41;75.54
2025-05-07 18:35:40;67.04
2025-05-07 18:35:39;58.54
2025-05-07 18:35:38;50.04
2025-05-07 18:35:37;41.54
2025-05-07 18:35:36;33.04
2025-05-07 18:35:35;24.54
2025-05-07 18:35:34;16.04
2025-05-07 18:35:33;7.54
2025-05-07 18:35:32;0.96
2025-05-07 18:35:31;9.46
2025-05-07 18:35:30;17.96
2025-05-07 18:35:29;26.46
2025-05-07 18:35:28;34.96
2025-05-07 18:35:27;43.46
2025-05-07 18:35:26;51.96
2025-05-07 18:35:25;60.46
2025-05-07 18:35:24;68.96
2025-05-07 18:35:23;77.46
2025-05-07 18:35:22;85.96
2025-05-07 18:35:21;94.46
2025-05-07 18:35:20;97.02
2025-05-07 18:35:19;88.52
2025-05-07 18:35:18;80.02
2025-05-07 18:35:17;71.52
2025-05-07 18:35:16;63.02
2025-05-07 18:35:15;54.52
