Fecha y Hora;KV-5011 - Válvula bypass entrada E-501
2025-05-07 18:36:26;53380.00
2025-05-07 18:36:25;44880.00
2025-05-07 18:36:24;36380.00
2025-05-07 18:36:23;27880.00
2025-05-07 18:36:22;19380.00
2025-05-07 18:36:21;10880.00
2025-05-07 18:36:20;2380.00
2025-05-07 18:36:19;6120.00
2025-05-07 18:36:18;14620.00
2025-05-07 18:36:17;23120.00
2025-05-07 18:36:16;31620.00
2025-05-07 18:36:15;40120.00
2025-05-07 18:36:14;48620.00
2025-05-07 18:36:13;57120.00
2025-05-07 18:36:12;65620.00
2025-05-07 18:36:11;74120.00
2025-05-07 18:36:10;82620.00
2025-05-07 18:36:09;91120.00
2025-05-07 18:36:08;99620.00
2025-05-07 18:36:07;91860.00
2025-05-07 18:36:06;83360.00
2025-05-07 18:36:05;74860.00
2025-05-07 18:36:04;66360.00
2025-05-07 18:36:03;57860.00
2025-05-07 18:36:02;49360.00
2025-05-07 18:36:01;40860.00
2025-05-07 18:36:00;32360.00
2025-05-07 18:35:59;23860.00
2025-05-07 18:35:58;15360.00
2025-05-07 18:35:57;6860.00
2025-05-07 18:35:56;1640.00
2025-05-07 18:35:55;10140.00
2025-05-07 18:35:54;18640.00
2025-05-07 18:35:53;27140.00
2025-05-07 18:35:52;35640.00
2025-05-07 18:35:51;44140.00
2025-05-07 18:35:50;52640.00
2025-05-07 18:35:49;61140.00
2025-05-07 18:35:48;69640.00
2025-05-07 18:35:47;78140.00
2025-05-07 18:35:46;86640.00
2025-05-07 18:35:45;95140.00
2025-05-07 18:35:44;96340.00
2025-05-07 18:35:43;87840.00
2025-05-07 18:35:42;79340.00
2025-05-07 18:35:41;70840.00
2025-05-07 18:35:40;62340.00
2025-05-07 18:35:39;53840.00
2025-05-07 18:35:38;45340.00
2025-05-07 18:35:37;36840.00
2025-05-07 18:35:36;28340.00
2025-05-07 18:35:35;19840.00
2025-05-07 18:35:34;11340.00
2025-05-07 18:35:33;2840.00
2025-05-07 18:35:32;5660.00
2025-05-07 18:35:31;14160.00
2025-05-07 18:35:30;22660.00
2025-05-07 18:35:29;31160.00
2025-05-07 18:35:28;39660.00
2025-05-07 18:35:27;48160.00
2025-05-07 18:35:26;56660.00
2025-05-07 18:35:25;65160.00
2025-05-07 18:35:24;73660.00
2025-05-07 18:35:23;82160.00
2025-05-07 18:35:22;90660.00
2025-05-07 18:35:21;99160.00
2025-05-07 18:35:20;92320.00
2025-05-07 18:35:19;83820.00
2025-05-07 18:35:18;75320.00
2025-05-07 18:35:17;66820.00
2025-05-07 18:35:16;58320.00
2025-05-07 18:35:15;49820.00
2025-05-07 18:35:14;41320.00
2025-05-07 18:35:13;32820.00
2025-05-07 18:35:12;24320.00
2025-05-07 18:35:11;15820.00
2025-05-07 18:35:10;7320.00
2025-05-07 18:35:09;1180.00
2025-05-07 18:35:08;9680.00
2025-05-07 18:35:07;18180.00
2025-05-07 18:35:06;26680.00
2025-05-07 18:35:05;35180.00
2025-05-07 18:35:04;43680.00
2025-05-07 18:35:03;52180.00
2025-05-07 18:35:02;60680.00
2025-05-07 18:35:01;69180.00
2025-05-07 18:35:00;77680.00
2025-05-07 18:34:59;86180.00
2025-05-07 18:34:58;94680.00
2025-05-07 18:34:57;96800.00
2025-05-07 18:34:56;88300.00
2025-05-07 18:34:55;79800.00
2025-05-07 18:34:54;71300.00
2025-05-07 18:34:53;62800.00
2025-05-07 18:34:52;54300.00
2025-05-07 18:34:51;45800.00
2025-05-07 18:34:50;37300.00
2025-05-07 18:34:49;28800.00
2025-05-07 18:34:48;20300.00
2025-05-07 18:34:47;11800.00
2025-05-07 18:34:46;3300.00
2025-05-07 18:34:45;5200.00
2025-05-07 18:34:44;13700.00
2025-05-07 18:34:43;22200.00
2025-05-07 18:34:42;30700.00
2025-05-07 18:34:41;39200.00
2025-05-07 18:34:40;47700.00
2025-05-07 18:34:39;56200.00
2025-05-07 18:34:38;64700.00
2025-05-07 18:34:37;73200.00
2025-05-07 18:34:36;81700.00
2025-05-07 18:34:35;90200.00
2025-05-07 18:34:34;98700.00
2025-05-07 18:34:33;92780.00
2025-05-07 18:34:32;84280.00
2025-05-07 18:34:31;75780.00
2025-05-07 18:34:30;67280.00
2025-05-07 18:34:29;58780.00
2025-05-07 18:34:28;50280.00
2025-05-07 18:34:27;41780.00
2025-05-07 18:34:26;33280.00
