Fecha y Hora;KV-3033 - Válvula aislar bypass R-303
2025-05-07 18:36:26;53320.00
2025-05-07 18:36:25;44820.00
2025-05-07 18:36:24;36320.00
2025-05-07 18:36:23;27820.00
2025-05-07 18:36:22;19320.00
2025-05-07 18:36:21;10820.00
2025-05-07 18:36:20;2320.00
2025-05-07 18:36:19;6180.00
2025-05-07 18:36:18;14680.00
2025-05-07 18:36:17;23180.00
2025-05-07 18:36:16;31680.00
2025-05-07 18:36:15;40180.00
2025-05-07 18:36:14;48680.00
2025-05-07 18:36:13;57180.00
2025-05-07 18:36:12;65680.00
2025-05-07 18:36:11;74180.00
2025-05-07 18:36:10;82680.00
2025-05-07 18:36:09;91180.00
2025-05-07 18:36:08;99680.00
2025-05-07 18:36:07;91800.00
2025-05-07 18:36:06;83300.00
2025-05-07 18:36:05;74800.00
2025-05-07 18:36:04;66300.00
2025-05-07 18:36:03;57800.00
2025-05-07 18:36:02;49300.00
2025-05-07 18:36:01;40800.00
2025-05-07 18:36:00;32300.00
2025-05-07 18:35:59;23800.00
2025-05-07 18:35:58;15300.00
2025-05-07 18:35:57;6800.00
2025-05-07 18:35:56;1700.00
2025-05-07 18:35:55;10200.00
2025-05-07 18:35:54;18700.00
2025-05-07 18:35:53;27200.00
2025-05-07 18:35:52;35700.00
2025-05-07 18:35:51;44200.00
2025-05-07 18:35:50;52700.00
2025-05-07 18:35:49;61200.00
2025-05-07 18:35:48;69700.00
2025-05-07 18:35:47;78200.00
2025-05-07 18:35:46;86700.00
2025-05-07 18:35:45;95200.00
2025-05-07 18:35:44;96280.00
2025-05-07 18:35:43;87780.00
2025-05-07 18:35:42;79280.00
2025-05-07 18:35:41;70780.00
2025-05-07 18:35:40;62280.00
2025-05-07 18:35:39;53780.00
2025-05-07 18:35:38;45280.00
2025-05-07 18:35:37;36780.00
2025-05-07 18:35:36;28280.00
2025-05-07 18:35:35;19780.00
2025-05-07 18:35:34;11280.00
2025-05-07 18:35:33;2780.00
2025-05-07 18:35:32;5720.00
2025-05-07 18:35:31;14220.00
2025-05-07 18:35:30;22720.00
2025-05-07 18:35:29;31220.00
2025-05-07 18:35:28;39720.00
2025-05-07 18:35:27;48220.00
2025-05-07 18:35:26;56720.00
2025-05-07 18:35:25;65220.00
2025-05-07 18:35:24;73720.00
2025-05-07 18:35:23;82220.00
2025-05-07 18:35:22;90720.00
2025-05-07 18:35:21;99220.00
2025-05-07 18:35:20;92260.00
2025-05-07 18:35:19;83760.00
2025-05-07 18:35:18;75260.00
2025-05-07 18:35:17;66760.00
2025-05-07 18:35:16;58260.00
2025-05-07 18:35:15;49760.00
2025-05-07 18:35:14;41260.00
2025-05-07 18:35:13;32760.00
2025-05-07 18:35:12;24260.00
2025-05-07 18:35:11;15760.00
2025-05-07 18:35:10;7260.00
2025-05-07 18:35:09;1240.00
2025-05-07 18:35:08;9740.00
2025-05-07 18:35:07;18240.00
2025-05-07 18:35:06;26740.00
2025-05-07 18:35:05;35240.00
2025-05-07 18:35:04;43740.00
2025-05-07 18:35:03;52240.00
2025-05-07 18:35:02;60740.00
2025-05-07 18:35:01;69240.00
2025-05-07 18:35:00;77740.00
2025-05-07 18:34:59;86240.00
2025-05-07 18:34:58;94740.00
2025-05-07 18:34:57;96740.00
2025-05-07 18:34:56;88240.00
2025-05-07 18:34:55;79740.00
2025-05-07 18:34:54;71240.00
2025-05-07 18:34:53;62740.00
2025-05-07 18:34:52;54240.00
2025-05-07 18:34:51;45740.00
2025-05-07 18:34:50;37240.00
2025-05-07 18:34:49;28740.00
2025-05-07 18:34:48;20240.00
2025-05-07 18:34:47;11740.00
2025-05-07 18:34:46;3240.00
2025-05-07 18:34:45;5260.00
2025-05-07 18:34:44;13760.00
2025-05-07 18:34:43;22260.00
2025-05-07 18:34:42;30760.00
2025-05-07 18:34:41;39260.00
2025-05-07 18:34:40;47760.00
2025-05-07 18:34:39;56260.00
2025-05-07 18:34:38;64760.00
2025-05-07 18:34:37;73260.00
2025-05-07 18:34:36;81760.00
2025-05-07 18:34:35;90260.00
2025-05-07 18:34:34;98760.00
2025-05-07 18:34:33;92720.00
2025-05-07 18:34:32;84220.00
2025-05-07 18:34:31;75720.00
2025-05-07 18:34:30;67220.00
2025-05-07 18:34:29;58720.00
2025-05-07 18:34:28;50220.00
2025-05-07 18:34:27;41720.00
2025-05-07 18:34:26;33220.00
2025-05-07 18:34:25;24720.00
2025-05-07 18:34:24;16220.00
2025-05-07 18:34:23;7720.00
2025-05-07 18:34:22;780.00
2025-05-07 18:34:21;9280.00
2025-05-07 18:34:20;17780.00
2025-05-07 18:34:19;26280.00
2025-05-07 18:34:18;34780.00
2025-05-07 18:34:17;43280.00
2025-05-07 18:34:16;51780.00
