Fecha y Hora;B-301B - Bomba B desgasificador
2025-05-07 18:36:26;5320.00
2025-05-07 18:36:25;4470.00
2025-05-07 18:36:24;3620.00
2025-05-07 18:36:23;2770.00
2025-05-07 18:36:22;1920.00
2025-05-07 18:36:21;1070.00
2025-05-07 18:36:20;220.00
2025-05-07 18:36:19;630.00
2025-05-07 18:36:18;1480.00
2025-05-07 18:36:17;2330.00
2025-05-07 18:36:16;3180.00
2025-05-07 18:36:15;4030.00
2025-05-07 18:36:14;4880.00
2025-05-07 18:36:13;5730.00
2025-05-07 18:36:12;6580.00
2025-05-07 18:36:11;7430.00
2025-05-07 18:36:10;8280.00
2025-05-07 18:36:09;9130.00
2025-05-07 18:36:08;9980.00
2025-05-07 18:36:07;9168.00
2025-05-07 18:36:06;8318.00
2025-05-07 18:36:05;7468.00
2025-05-07 18:36:04;6618.00
2025-05-07 18:36:03;5768.00
2025-05-07 18:36:02;4918.00
2025-05-07 18:36:01;4068.00
2025-05-07 18:36:00;3218.00
2025-05-07 18:35:59;2368.00
2025-05-07 18:35:58;1518.00
2025-05-07 18:35:57;668.00
2025-05-07 18:35:56;182.00
2025-05-07 18:35:55;1032.00
2025-05-07 18:35:54;1882.00
2025-05-07 18:35:53;2732.00
2025-05-07 18:35:52;3582.00
2025-05-07 18:35:51;4432.00
2025-05-07 18:35:50;5282.00
2025-05-07 18:35:49;6132.00
2025-05-07 18:35:48;6982.00
2025-05-07 18:35:47;7832.00
2025-05-07 18:35:46;8682.00
2025-05-07 18:35:45;9532.00
2025-05-07 18:35:44;9616.00
2025-05-07 18:35:43;8766.00
2025-05-07 18:35:42;7916.00
2025-05-07 18:35:41;7066.00
2025-05-07 18:35:40;6216.00
2025-05-07 18:35:39;5366.00
2025-05-07 18:35:38;4516.00
2025-05-07 18:35:37;3666.00
2025-05-07 18:35:36;2816.00
2025-05-07 18:35:35;1966.00
2025-05-07 18:35:34;1116.00
2025-05-07 18:35:33;266.00
2025-05-07 18:35:32;584.00
2025-05-07 18:35:31;1434.00
2025-05-07 18:35:30;2284.00
2025-05-07 18:35:29;3134.00
2025-05-07 18:35:28;3984.00
2025-05-07 18:35:27;4834.00
2025-05-07 18:35:26;5684.00
2025-05-07 18:35:25;6534.00
2025-05-07 18:35:24;7384.00
2025-05-07 18:35:23;8234.00
2025-05-07 18:35:22;9084.00
2025-05-07 18:35:21;9934.00
2025-05-07 18:35:20;9214.00
2025-05-07 18:35:19;8364.00
2025-05-07 18:35:18;7514.00
2025-05-07 18:35:17;6664.00
2025-05-07 18:35:16;5814.00
2025-05-07 18:35:15;4964.00
2025-05-07 18:35:14;4114.00
2025-05-07 18:35:13;3264.00
2025-05-07 18:35:12;2414.00
2025-05-07 18:35:11;1564.00
2025-05-07 18:35:10;714.00
2025-05-07 18:35:09;136.00
2025-05-07 18:35:08;986.00
2025-05-07 18:35:07;1836.00
2025-05-07 18:35:06;2686.00
2025-05-07 18:35:05;3536.00
2025-05-07 18:35:04;4386.00
2025-05-07 18:35:03;5236.00
2025-05-07 18:35:02;6086.00
2025-05-07 18:35:01;6936.00
2025-05-07 18:35:00;7786.00
2025-05-07 18:34:59;8636.00
2025-05-07 18:34:58;9486.00
2025-05-07 18:34:57;9662.00
