Fecha y Hora;KV-3022 - Válvula aislar entrada R-303
2025-05-07 18:36:26;53310.00
2025-05-07 18:36:25;44810.00
2025-05-07 18:36:24;36310.00
2025-05-07 18:36:23;27810.00
2025-05-07 18:36:22;19310.00
2025-05-07 18:36:21;10810.00
2025-05-07 18:36:20;2310.00
2025-05-07 18:36:19;6190.00
2025-05-07 18:36:18;14690.00
2025-05-07 18:36:17;23190.00
2025-05-07 18:36:16;31690.00
2025-05-07 18:36:15;40190.00
2025-05-07 18:36:14;48690.00
2025-05-07 18:36:13;57190.00
2025-05-07 18:36:12;65690.00
2025-05-07 18:36:11;74190.00
2025-05-07 18:36:10;82690.00
2025-05-07 18:36:09;91190.00
2025-05-07 18:36:08;99690.00
2025-05-07 18:36:07;91790.00
2025-05-07 18:36:06;83290.00
2025-05-07 18:36:05;74790.00
2025-05-07 18:36:04;66290.00
2025-05-07 18:36:03;57790.00
2025-05-07 18:36:02;49290.00
2025-05-07 18:36:01;40790.00
2025-05-07 18:36:00;32290.00
2025-05-07 18:35:59;23790.00
2025-05-07 18:35:58;15290.00
2025-05-07 18:35:57;6790.00
2025-05-07 18:35:56;1710.00
2025-05-07 18:35:55;10210.00
2025-05-07 18:35:54;18710.00
2025-05-07 18:35:53;27210.00
2025-05-07 18:35:52;35710.00
2025-05-07 18:35:51;44210.00
2025-05-07 18:35:50;52710.00
2025-05-07 18:35:49;61210.00
2025-05-07 18:35:48;69710.00
2025-05-07 18:35:47;78210.00
2025-05-07 18:35:46;86710.00
2025-05-07 18:35:45;95210.00
2025-05-07 18:35:44;96270.00
2025-05-07 18:35:43;87770.00
2025-05-07 18:35:42;79270.00
2025-05-07 18:35:41;70770.00
2025-05-07 18:35:40;62270.00
2025-05-07 18:35:39;53770.00
2025-05-07 18:35:38;45270.00
2025-05-07 18:35:37;36770.00
2025-05-07 18:35:36;28270.00
2025-05-07 18:35:35;19770.00
2025-05-07 18:35:34;11270.00
2025-05-07 18:35:33;2770.00
2025-05-07 18:35:32;5730.00
2025-05-07 18:35:31;14230.00
2025-05-07 18:35:30;22730.00
2025-05-07 18:35:29;31230.00
2025-05-07 18:35:28;39730.00
2025-05-07 18:35:27;48230.00
2025-05-07 18:35:26;56730.00
2025-05-07 18:35:25;65230.00
2025-05-07 18:35:24;73730.00
2025-05-07 18:35:23;82230.00
2025-05-07 18:35:22;90730.00
2025-05-07 18:35:21;99230.00
2025-05-07 18:35:20;92250.00
2025-05-07 18:35:19;83750.00
2025-05-07 18:35:18;75250.00
2025-05-07 18:35:17;66750.00
2025-05-07 18:35:16;58250.00
2025-05-07 18:35:15;49750.00
2025-05-07 18:35:14;41250.00
2025-05-07 18:35:13;32750.00
2025-05-07 18:35:12;24250.00
2025-05-07 18:35:11;15750.00
2025-05-07 18:35:10;7250.00
2025-05-07 18:35:09;1250.00
2025-05-07 18:35:08;9750.00
2025-05-07 18:35:07;18250.00
2025-05-07 18:35:06;26750.00
2025-05-07 18:35:05;35250.00
2025-05-07 18:35:04;43750.00
2025-05-07 18:35:03;52250.00
2025-05-07 18:35:02;60750.00
2025-05-07 18:35:01;69250.00
2025-05-07 18:35:00;77750.00
2025-05-07 18:34:59;86250.00
2025-05-07 18:34:58;94750.00
2025-05-07 18:34:57;96730.00
2025-05-07 18:34:56;88230.00
2025-05-07 18:34:55;79730.00
2025-05-07 18:34:54;71230.00
2025-05-07 18:34:53;62730.00
2025-05-07 18:34:52;54230.00
2025-05-07 18:34:51;45730.00
2025-05-07 18:34:50;37230.00
2025-05-07 18:34:49;28730.00
2025-05-07 18:34:48;20230.00
2025-05-07 18:34:47;11730.00
2025-05-07 18:34:46;3230.00
2025-05-07 18:34:45;5270.00
2025-05-07 18:34:44;13770.00
2025-05-07 18:34:43;22270.00
2025-05-07 18:34:42;30770.00
2025-05-07 18:34:41;39270.00
2025-05-07 18:34:40;47770.00
2025-05-07 18:34:39;56270.00
2025-05-07 18:34:38;64770.00
2025-05-07 18:34:37;73270.00
2025-05-07 18:34:36;81770.00
2025-05-07 18:34:35;90270.00
2025-05-07 18:34:34;98770.00
2025-05-07 18:34:33;92710.00
2025-05-07 18:34:32;84210.00
2025-05-07 18:34:31;75710.00
2025-05-07 18:34:30;67210.00
2025-05-07 18:34:29;58710.00
2025-05-07 18:34:28;50210.00
2025-05-07 18:34:27;41710.00
2025-05-07 18:34:26;33210.00
2025-05-07 18:34:25;24710.00
2025-05-07 18:34:24;16210.00
2025-05-07 18:34:23;7710.00
2025-05-07 18:34:22;790.00
2025-05-07 18:34:21;9290.00
2025-05-07 18:34:20;17790.00
2025-05-07 18:34:19;26290.00
2025-05-07 18:34:18;34790.00
2025-05-07 18:34:17;43290.00
2025-05-07 18:34:16;51790.00
2025-05-07 18:34:15;60290.00
2025-05-07 18:34:14;68790.00
2025-05-07 18:34:13;77290.00
2025-05-07 18:34:12;85790.00
2025-05-07 18:34:11;94290.00
2025-05-07 18:34:10;97190.00
2025-05-07 18:34:09;88690.00
2025-05-07 18:34:08;80190.00
2025-05-07 18:34:07;71690.00
2025-05-07 18:34:06;63190.00
2025-05-07 18:34:05;54690.00
2025-05-07 18:34:04;46190.00
2025-05-07 18:34:03;37690.00
2025-05-07 18:34:02;29190.00
2025-05-07 18:34:01;20690.00
2025-05-07 18:34:00;12190.00
2025-05-07 18:33:59;3690.00
2025-05-07 18:33:58;4810.00
2025-05-07 18:33:57;13310.00
2025-05-07 18:33:56;21810.00
2025-05-07 18:33:55;30310.00
2025-05-07 18:33:54;38810.00
2025-05-07 18:33:53;47310.00
2025-05-07 18:33:52;55810.00
2025-05-07 18:33:51;64310.00
2025-05-07 18:33:50;72810.00
2025-05-07 18:33:49;81310.00
2025-05-07 18:33:48;89810.00
2025-05-07 18:33:47;98310.00
2025-05-07 18:33:46;93170.00
2025-05-07 18:33:45;84670.00
2025-05-07 18:33:44;76170.00
2025-05-07 18:33:43;67670.00
2025-05-07 18:33:42;59170.00
2025-05-07 18:33:41;50670.00
2025-05-07 18:33:40;42170.00
2025-05-07 18:33:39;33670.00
2025-05-07 18:33:38;25170.00
2025-05-07 18:33:37;16670.00
2025-05-07 18:33:36;8170.00
2025-05-07 18:33:35;330.00
2025-05-07 18:33:34;8830.00
2025-05-07 18:33:33;17330.00
2025-05-07 18:33:32;25830.00
2025-05-07 18:33:31;34330.00
2025-05-07 18:33:30;42830.00
2025-05-07 18:33:29;51330.00
2025-05-07 18:33:28;59830.00
2025-05-07 18:33:27;68330.00
2025-05-07 18:33:26;76830.00
2025-05-07 18:33:25;85330.00
2025-05-07 18:33:24;93830.00
2025-05-07 18:33:23;97650.00
2025-05-07 18:33:22;89150.00
2025-05-07 18:33:21;80650.00
2025-05-07 18:33:20;72150.00
2025-05-07 18:33:19;63650.00
2025-05-07 18:33:18;55150.00
2025-05-07 18:33:17;46650.00
2025-05-07 18:33:16;38150.00
2025-05-07 18:33:15;29650.00
2025-05-07 18:33:14;21150.00
2025-05-07 18:33:13;12650.00
2025-05-07 18:33:12;4150.00
2025-05-07 18:33:11;4350.00
2025-05-07 18:33:10;12850.00
2025-05-07 18:33:09;21350.00
2025-05-07 18:33:08;29850.00
2025-05-07 18:33:07;38350.00
2025-05-07 18:33:06;46850.00
2025-05-07 18:33:05;55350.00
2025-05-07 18:33:04;63850.00
2025-05-07 18:33:03;72350.00
2025-05-07 18:33:02;80850.00
2025-05-07 18:33:01;89350.00
2025-05-07 18:33:00;97850.00
2025-05-07 18:32:59;93630.00
2025-05-07 18:32:58;85130.00
2025-05-07 18:32:57;76630.00
2025-05-07 18:32:56;68130.00
2025-05-07 18:32:55;59630.00
2025-05-07 18:32:54;51130.00
2025-05-07 18:32:53;42630.00
2025-05-07 18:32:52;34130.00
2025-05-07 18:32:51;25630.00
2025-05-07 18:32:50;17130.00
2025-05-07 18:32:49;8630.00
2025-05-07 18:32:48;130.00
2025-05-07 18:32:47;8370.00
2025-05-07 18:32:46;16870.00
2025-05-07 18:32:45;25370.00
2025-05-07 18:32:44;33870.00
2025-05-07 18:32:43;42370.00
2025-05-07 18:32:42;50870.00
2025-05-07 18:32:41;59370.00
2025-05-07 18:32:40;67870.00
2025-05-07 18:32:39;76370.00
2025-05-07 18:32:38;84870.00
2025-05-07 18:32:37;93370.00
2025-05-07 18:32:36;98110.00
2025-05-07 18:32:35;89610.00
2025-05-07 18:32:34;81110.00
2025-05-07 18:32:33;72610.00
2025-05-07 18:32:32;64110.00
2025-05-07 18:32:31;55610.00
2025-05-07 18:32:30;47110.00
2025-05-07 18:32:29;38610.00
2025-05-07 18:32:28;30110.00
2025-05-07 18:32:27;21610.00
2025-05-07 18:32:26;13110.00
2025-05-07 18:32:25;4610.00
2025-05-07 18:32:24;3890.00
2025-05-07 18:32:23;12390.00
2025-05-07 18:32:22;20890.00
2025-05-07 18:32:21;29390.00
2025-05-07 18:32:20;37890.00
2025-05-07 18:32:19;46390.00
2025-05-07 18:32:18;54890.00
2025-05-07 18:32:17;63390.00
2025-05-07 18:32:16;71890.00
2025-05-07 18:32:15;80390.00
2025-05-07 18:32:14;88890.00
2025-05-07 18:32:13;97390.00
2025-05-07 18:32:12;94090.00
2025-05-07 18:32:11;85590.00
2025-05-07 18:32:10;77090.00
2025-05-07 18:32:09;68590.00
2025-05-07 18:32:08;60090.00
2025-05-07 18:32:07;51590.00
2025-05-07 18:32:06;43090.00
2025-05-07 18:32:05;34590.00
2025-05-07 18:32:04;26090.00
2025-05-07 18:32:03;17590.00
2025-05-07 18:32:02;9090.00
2025-05-07 18:32:01;590.00
2025-05-07 18:32:00;7910.00
2025-05-07 18:31:59;16410.00
2025-05-07 18:31:58;24910.00
2025-05-07 18:31:57;33410.00
2025-05-07 18:31:56;41910.00
2025-05-07 18:31:55;50410.00
2025-05-07 18:31:54;58910.00
2025-05-07 18:31:53;67410.00
2025-05-07 18:31:52;75910.00
2025-05-07 18:31:51;84410.00
2025-05-07 18:31:50;92910.00
2025-05-07 18:31:49;98570.00
2025-05-07 18:31:48;90070.00
2025-05-07 18:31:47;81570.00
2025-05-07 18:31:46;73070.00
2025-05-07 18:31:45;64570.00
2025-05-07 18:31:44;56070.00
2025-05-07 18:31:43;47570.00
2025-05-07 18:31:42;39070.00
2025-05-07 18:31:41;30570.00
2025-05-07 18:31:40;22070.00
2025-05-07 18:31:39;13570.00
2025-05-07 18:31:38;5070.00
2025-05-07 18:31:37;3430.00
2025-05-07 18:31:36;11930.00
2025-05-07 18:31:35;20430.00
2025-05-07 18:31:34;28930.00
2025-05-07 18:31:33;37430.00
2025-05-07 18:31:32;45930.00
2025-05-07 18:31:31;54430.00
2025-05-07 18:31:30;62930.00
2025-05-07 18:31:29;71430.00
2025-05-07 18:31:28;79930.00
2025-05-07 18:31:27;88430.00
2025-05-07 18:31:26;96930.00
2025-05-07 18:31:25;94550.00
2025-05-07 18:31:24;86050.00
2025-05-07 18:31:23;77550.00
2025-05-07 18:31:22;69050.00
2025-05-07 18:31:21;60550.00
2025-05-07 18:31:20;52050.00
2025-05-07 18:31:19;43550.00
2025-05-07 18:31:18;35050.00
2025-05-07 18:31:17;26550.00
2025-05-07 18:31:16;18050.00
2025-05-07 18:31:15;9550.00
2025-05-07 18:31:14;1050.00
2025-05-07 18:31:13;7450.00
2025-05-07 18:31:12;15950.00
2025-05-07 18:31:11;24450.00
2025-05-07 18:31:10;32950.00
2025-05-07 18:31:09;41450.00
2025-05-07 18:31:08;49950.00
2025-05-07 18:31:07;58450.00
2025-05-07 18:31:06;66950.00
2025-05-07 18:31:05;75450.00
2025-05-07 18:31:04;83950.00
2025-05-07 18:31:03;92450.00
2025-05-07 18:31:02;99030.00
2025-05-07 18:31:01;90530.00
2025-05-07 18:31:00;82030.00
2025-05-07 18:30:59;73530.00
2025-05-07 18:30:58;65030.00
2025-05-07 18:30:57;56530.00
2025-05-07 18:30:56;48030.00
2025-05-07 18:30:55;39530.00
2025-05-07 18:30:54;31030.00
2025-05-07 18:30:53;22530.00
2025-05-07 18:30:52;14030.00
2025-05-07 18:30:51;5530.00
2025-05-07 18:30:50;2970.00
2025-05-07 18:30:49;11470.00
2025-05-07 18:30:48;19970.00
2025-05-07 18:30:47;28470.00
2025-05-07 18:30:46;36970.00
2025-05-07 18:30:45;45470.00
2025-05-07 18:30:44;53970.00
2025-05-07 18:30:43;62470.00
2025-05-07 18:30:42;70970.00
2025-05-07 18:30:41;79470.00
2025-05-07 18:30:40;87970.00
2025-05-07 18:30:39;96470.00
2025-05-07 18:30:38;95010.00
2025-05-07 18:30:37;86510.00
2025-05-07 18:30:36;78010.00
2025-05-07 18:30:35;69510.00
2025-05-07 18:30:34;61010.00
2025-05-07 18:30:33;52510.00
2025-05-07 18:30:32;44010.00
2025-05-07 18:30:31;35510.00
2025-05-07 18:30:30;27010.00
2025-05-07 18:30:29;18510.00
2025-05-07 18:30:28;10010.00
2025-05-07 18:30:27;1510.00
2025-05-07 18:30:26;6990.00
2025-05-07 18:30:25;15490.00
2025-05-07 18:30:24;23990.00
2025-05-07 18:30:23;32490.00
2025-05-07 18:30:22;40990.00
2025-05-07 18:30:21;49490.00
2025-05-07 18:30:20;57990.00
2025-05-07 18:30:19;66490.00
2025-05-07 18:30:18;74990.00
2025-05-07 18:30:17;83490.00
2025-05-07 18:30:16;91990.00
2025-05-07 18:30:15;99490.00
2025-05-07 18:30:14;90990.00
2025-05-07 18:30:13;82490.00
2025-05-07 18:30:12;73990.00
2025-05-07 18:30:11;65490.00
2025-05-07 18:30:10;56990.00
2025-05-07 18:30:09;48490.00
2025-05-07 18:30:08;39990.00
2025-05-07 18:30:07;31490.00
2025-05-07 18:30:06;22990.00
2025-05-07 18:30:05;14490.00
2025-05-07 18:30:04;5990.00
2025-05-07 18:30:03;2510.00
2025-05-07 18:30:02;11010.00
2025-05-07 18:30:01;19510.00
2025-05-07 18:30:00;28010.00
2025-05-07 18:29:59;36510.00
2025-05-07 18:29:58;45010.00
2025-05-07 18:29:57;53510.00
2025-05-07 18:29:56;62010.00
2025-05-07 18:29:55;70510.00
2025-05-07 18:29:54;79010.00
2025-05-07 18:29:53;87510.00
2025-05-07 18:29:52;96010.00
2025-05-07 18:29:51;95470.00
2025-05-07 18:29:50;86970.00
2025-05-07 18:29:49;78470.00
2025-05-07 18:29:48;69970.00
2025-05-07 18:29:47;61470.00
2025-05-07 18:29:46;52970.00
2025-05-07 18:29:45;44470.00
2025-05-07 18:29:44;35970.00
2025-05-07 18:29:43;27470.00
2025-05-07 18:29:42;18970.00
2025-05-07 18:29:41;10470.00
2025-05-07 18:29:40;1970.00
2025-05-07 18:29:39;6530.00
2025-05-07 18:29:38;15030.00
2025-05-07 18:29:37;23530.00
2025-05-07 18:29:36;32030.00
2025-05-07 18:29:35;40530.00
2025-05-07 18:29:34;49030.00
2025-05-07 18:29:33;57530.00
2025-05-07 18:29:32;66030.00
2025-05-07 18:29:31;74530.00
2025-05-07 18:29:30;83030.00
2025-05-07 18:29:29;91530.00
2025-05-07 18:29:28;99950.00
2025-05-07 18:29:27;91450.00
2025-05-07 18:29:26;82950.00
2025-05-07 18:29:25;74450.00
2025-05-07 18:29:24;65950.00
2025-05-07 18:29:23;57450.00
2025-05-07 18:29:22;48950.00
