Fecha y Hora;KV-3034 - Válvula aislar salida R-303
2025-05-07 18:36:26;53330.00
2025-05-07 18:36:25;44830.00
2025-05-07 18:36:24;36330.00
2025-05-07 18:36:23;27830.00
2025-05-07 18:36:22;19330.00
2025-05-07 18:36:21;10830.00
2025-05-07 18:36:20;2330.00
2025-05-07 18:36:19;6170.00
2025-05-07 18:36:18;14670.00
2025-05-07 18:36:17;23170.00
2025-05-07 18:36:16;31670.00
2025-05-07 18:36:15;40170.00
2025-05-07 18:36:14;48670.00
2025-05-07 18:36:13;57170.00
2025-05-07 18:36:12;65670.00
2025-05-07 18:36:11;74170.00
2025-05-07 18:36:10;82670.00
2025-05-07 18:36:09;91170.00
2025-05-07 18:36:08;99670.00
2025-05-07 18:36:07;91810.00
2025-05-07 18:36:06;83310.00
2025-05-07 18:36:05;74810.00
2025-05-07 18:36:04;66310.00
2025-05-07 18:36:03;57810.00
2025-05-07 18:36:02;49310.00
2025-05-07 18:36:01;40810.00
2025-05-07 18:36:00;32310.00
2025-05-07 18:35:59;23810.00
2025-05-07 18:35:58;15310.00
2025-05-07 18:35:57;6810.00
2025-05-07 18:35:56;1690.00
2025-05-07 18:35:55;10190.00
2025-05-07 18:35:54;18690.00
2025-05-07 18:35:53;27190.00
2025-05-07 18:35:52;35690.00
2025-05-07 18:35:51;44190.00
2025-05-07 18:35:50;52690.00
2025-05-07 18:35:49;61190.00
2025-05-07 18:35:48;69690.00
2025-05-07 18:35:47;78190.00
2025-05-07 18:35:46;86690.00
2025-05-07 18:35:45;95190.00
2025-05-07 18:35:44;96290.00
2025-05-07 18:35:43;87790.00
2025-05-07 18:35:42;79290.00
2025-05-07 18:35:41;70790.00
2025-05-07 18:35:40;62290.00
2025-05-07 18:35:39;53790.00
2025-05-07 18:35:38;45290.00
2025-05-07 18:35:37;36790.00
2025-05-07 18:35:36;28290.00
2025-05-07 18:35:35;19790.00
2025-05-07 18:35:34;11290.00
2025-05-07 18:35:33;2790.00
2025-05-07 18:35:32;5710.00
2025-05-07 18:35:31;14210.00
2025-05-07 18:35:30;22710.00
2025-05-07 18:35:29;31210.00
2025-05-07 18:35:28;39710.00
2025-05-07 18:35:27;48210.00
2025-05-07 18:35:26;56710.00
2025-05-07 18:35:25;65210.00
2025-05-07 18:35:24;73710.00
2025-05-07 18:35:23;82210.00
2025-05-07 18:35:22;90710.00
2025-05-07 18:35:21;99210.00
2025-05-07 18:35:20;92270.00
2025-05-07 18:35:19;83770.00
2025-05-07 18:35:18;75270.00
2025-05-07 18:35:17;66770.00
2025-05-07 18:35:16;58270.00
2025-05-07 18:35:15;49770.00
2025-05-07 18:35:14;41270.00
2025-05-07 18:35:13;32770.00
2025-05-07 18:35:12;24270.00
2025-05-07 18:35:11;15770.00
2025-05-07 18:35:10;7270.00
2025-05-07 18:35:09;1230.00
2025-05-07 18:35:08;9730.00
2025-05-07 18:35:07;18230.00
2025-05-07 18:35:06;26730.00
2025-05-07 18:35:05;35230.00
2025-05-07 18:35:04;43730.00
2025-05-07 18:35:03;52230.00
2025-05-07 18:35:02;60730.00
2025-05-07 18:35:01;69230.00
2025-05-07 18:35:00;77730.00
2025-05-07 18:34:59;86230.00
2025-05-07 18:34:58;94730.00
2025-05-07 18:34:57;96750.00
2025-05-07 18:34:56;88250.00
2025-05-07 18:34:55;79750.00
2025-05-07 18:34:54;71250.00
2025-05-07 18:34:53;62750.00
2025-05-07 18:34:52;54250.00
2025-05-07 18:34:51;45750.00
2025-05-07 18:34:50;37250.00
2025-05-07 18:34:49;28750.00
2025-05-07 18:34:48;20250.00
2025-05-07 18:34:47;11750.00
2025-05-07 18:34:46;3250.00
2025-05-07 18:34:45;5250.00
2025-05-07 18:34:44;13750.00
2025-05-07 18:34:43;22250.00
