Fecha y Hora;KV-4024 - Válvula salida HT a acondicionamiento
2025-05-07 18:36:26;53350.00
2025-05-07 18:36:25;44850.00
2025-05-07 18:36:24;36350.00
2025-05-07 18:36:23;27850.00
2025-05-07 18:36:22;19350.00
2025-05-07 18:36:21;10850.00
2025-05-07 18:36:20;2350.00
2025-05-07 18:36:19;6150.00
2025-05-07 18:36:18;14650.00
2025-05-07 18:36:17;23150.00
2025-05-07 18:36:16;31650.00
2025-05-07 18:36:15;40150.00
2025-05-07 18:36:14;48650.00
2025-05-07 18:36:13;57150.00
2025-05-07 18:36:12;65650.00
2025-05-07 18:36:11;74150.00
2025-05-07 18:36:10;82650.00
2025-05-07 18:36:09;91150.00
2025-05-07 18:36:08;99650.00
2025-05-07 18:36:07;91830.00
2025-05-07 18:36:06;83330.00
2025-05-07 18:36:05;74830.00
2025-05-07 18:36:04;66330.00
2025-05-07 18:36:03;57830.00
2025-05-07 18:36:02;49330.00
2025-05-07 18:36:01;40830.00
2025-05-07 18:36:00;32330.00
2025-05-07 18:35:59;23830.00
2025-05-07 18:35:58;15330.00
2025-05-07 18:35:57;6830.00
2025-05-07 18:35:56;1670.00
2025-05-07 18:35:55;10170.00
2025-05-07 18:35:54;18670.00
2025-05-07 18:35:53;27170.00
2025-05-07 18:35:52;35670.00
2025-05-07 18:35:51;44170.00
2025-05-07 18:35:50;52670.00
2025-05-07 18:35:49;61170.00
2025-05-07 18:35:48;69670.00
2025-05-07 18:35:47;78170.00
2025-05-07 18:35:46;86670.00
2025-05-07 18:35:45;95170.00
2025-05-07 18:35:44;96310.00
2025-05-07 18:35:43;87810.00
2025-05-07 18:35:42;79310.00
2025-05-07 18:35:41;70810.00
2025-05-07 18:35:40;62310.00
2025-05-07 18:35:39;53810.00
2025-05-07 18:35:38;45310.00
2025-05-07 18:35:37;36810.00
2025-05-07 18:35:36;28310.00
2025-05-07 18:35:35;19810.00
2025-05-07 18:35:34;11310.00
2025-05-07 18:35:33;2810.00
2025-05-07 18:35:32;5690.00
2025-05-07 18:35:31;14190.00
2025-05-07 18:35:30;22690.00
2025-05-07 18:35:29;31190.00
2025-05-07 18:35:28;39690.00
2025-05-07 18:35:27;48190.00
2025-05-07 18:35:26;56690.00
2025-05-07 18:35:25;65190.00
2025-05-07 18:35:24;73690.00
2025-05-07 18:35:23;82190.00
2025-05-07 18:35:22;90690.00
2025-05-07 18:35:21;99190.00
2025-05-07 18:35:20;92290.00
2025-05-07 18:35:19;83790.00
2025-05-07 18:35:18;75290.00
2025-05-07 18:35:17;66790.00
2025-05-07 18:35:16;58290.00
2025-05-07 18:35:15;49790.00
2025-05-07 18:35:14;41290.00
2025-05-07 18:35:13;32790.00
2025-05-07 18:35:12;24290.00
2025-05-07 18:35:11;15790.00
2025-05-07 18:35:10;7290.00
2025-05-07 18:35:09;1210.00
2025-05-07 18:35:08;9710.00
2025-05-07 18:35:07;18210.00
2025-05-07 18:35:06;26710.00
2025-05-07 18:35:05;35210.00
2025-05-07 18:35:04;43710.00
2025-05-07 18:35:03;52210.00
2025-05-07 18:35:02;60710.00
2025-05-07 18:35:01;69210.00
2025-05-07 18:35:00;77710.00
2025-05-07 18:34:59;86210.00
2025-05-07 18:34:58;94710.00
2025-05-07 18:34:57;96770.00
2025-05-07 18:34:56;88270.00
2025-05-07 18:34:55;79770.00
2025-05-07 18:34:54;71270.00
2025-05-07 18:34:53;62770.00
2025-05-07 18:34:52;54270.00
2025-05-07 18:34:51;45770.00
2025-05-07 18:34:50;37270.00
2025-05-07 18:34:49;28770.00
2025-05-07 18:34:48;20270.00
2025-05-07 18:34:47;11770.00
2025-05-07 18:34:46;3270.00
2025-05-07 18:34:45;5230.00
2025-05-07 18:34:44;13730.00
2025-05-07 18:34:43;22230.00
2025-05-07 18:34:42;30730.00
2025-05-07 18:34:41;39230.00
2025-05-07 18:34:40;47730.00
2025-05-07 18:34:39;56230.00
2025-05-07 18:34:38;64730.00
2025-05-07 18:34:37;73230.00
2025-05-07 18:34:36;81730.00
2025-05-07 18:34:35;90230.00
2025-05-07 18:34:34;98730.00
2025-05-07 18:34:33;92750.00
2025-05-07 18:34:32;84250.00
2025-05-07 18:34:31;75750.00
2025-05-07 18:34:30;67250.00
2025-05-07 18:34:29;58750.00
2025-05-07 18:34:28;50250.00
2025-05-07 18:34:27;41750.00
2025-05-07 18:34:26;33250.00
2025-05-07 18:34:25;24750.00
2025-05-07 18:34:24;16250.00
2025-05-07 18:34:23;7750.00
2025-05-07 18:34:22;750.00
2025-05-07 18:34:21;9250.00
2025-05-07 18:34:20;17750.00
2025-05-07 18:34:19;26250.00
2025-05-07 18:34:18;34750.00
2025-05-07 18:34:17;43250.00
2025-05-07 18:34:16;51750.00
2025-05-07 18:34:15;60250.00
2025-05-07 18:34:14;68750.00
2025-05-07 18:34:13;77250.00
2025-05-07 18:34:12;85750.00
2025-05-07 18:34:11;94250.00
2025-05-07 18:34:10;97230.00
2025-05-07 18:34:09;88730.00
2025-05-07 18:34:08;80230.00
2025-05-07 18:34:07;71730.00
2025-05-07 18:34:06;63230.00
2025-05-07 18:34:05;54730.00
2025-05-07 18:34:04;46230.00
2025-05-07 18:34:03;37730.00
2025-05-07 18:34:02;29230.00
2025-05-07 18:34:01;20730.00
2025-05-07 18:34:00;12230.00
2025-05-07 18:33:59;3730.00
2025-05-07 18:33:58;4770.00
2025-05-07 18:33:57;13270.00
2025-05-07 18:33:56;21770.00
2025-05-07 18:33:55;30270.00
2025-05-07 18:33:54;38770.00
2025-05-07 18:33:53;47270.00
2025-05-07 18:33:52;55770.00
2025-05-07 18:33:51;64270.00
2025-05-07 18:33:50;72770.00
2025-05-07 18:33:49;81270.00
2025-05-07 18:33:48;89770.00
2025-05-07 18:33:47;98270.00
2025-05-07 18:33:46;93210.00
2025-05-07 18:33:45;84710.00
2025-05-07 18:33:44;76210.00
2025-05-07 18:33:43;67710.00
2025-05-07 18:33:42;59210.00
2025-05-07 18:33:41;50710.00
2025-05-07 18:33:40;42210.00
2025-05-07 18:33:39;33710.00
2025-05-07 18:33:38;25210.00
2025-05-07 18:33:37;16710.00
2025-05-07 18:33:36;8210.00
2025-05-07 18:33:35;290.00
2025-05-07 18:33:34;8790.00
2025-05-07 18:33:33;17290.00
2025-05-07 18:33:32;25790.00
2025-05-07 18:33:31;34290.00
2025-05-07 18:33:30;42790.00
2025-05-07 18:33:29;51290.00
2025-05-07 18:33:28;59790.00
2025-05-07 18:33:27;68290.00
2025-05-07 18:33:26;76790.00
2025-05-07 18:33:25;85290.00
2025-05-07 18:33:24;93790.00
2025-05-07 18:33:23;97690.00
2025-05-07 18:33:22;89190.00
2025-05-07 18:33:21;80690.00
2025-05-07 18:33:20;72190.00
2025-05-07 18:33:19;63690.00
2025-05-07 18:33:18;55190.00
2025-05-07 18:33:17;46690.00
2025-05-07 18:33:16;38190.00
2025-05-07 18:33:15;29690.00
2025-05-07 18:33:14;21190.00
2025-05-07 18:33:13;12690.00
2025-05-07 18:33:12;4190.00
