Fecha y Hora;B-301B - Bomba B desgasificador
2025-05-08 13:27:39;-2962.00
2025-05-08 13:27:38;-1512.00
2025-05-08 13:27:37;-6262.00
2025-05-08 13:27:36;-3137.00
2025-05-08 13:27:35;-4587.00
2025-05-08 13:27:34;-3862.00
2025-05-08 13:27:33;-5812.00
2025-05-08 13:27:32;-4137.00
2025-05-08 13:27:31;-787.00
2025-05-08 13:27:30;-62.00
2025-05-08 13:27:29;-5087.00
2025-05-08 13:27:28;-9287.00
2025-05-08 13:27:27;-4262.00
2025-05-08 13:27:26;-5262.00
2025-05-08 13:27:25;-1737.00
2025-05-08 13:27:24;-6937.00
2025-05-08 13:27:23;-3987.00
2025-05-08 13:27:22;-2412.00
2025-05-08 13:27:21;-62.00
2025-05-08 13:27:20;-7887.00
2025-05-08 13:27:19;-4812.00
2025-05-08 13:27:18;-1012.00
2025-05-08 13:27:17;-287.00
2025-05-08 13:27:16;-5487.00
2025-05-08 13:27:15;-9062.00
2025-05-08 13:27:14;-12.00
2025-05-08 13:27:13;-6437.00
2025-05-08 13:27:12;-3862.00
2025-05-08 13:27:11;-2187.00
2025-05-08 13:27:10;-4762.00
2025-05-08 13:27:09;-8387.00
2025-05-08 13:27:08;-6662.00
2025-05-08 13:27:07;-2637.00
2025-05-08 13:27:06;-4312.00
2025-05-08 13:27:05;-287.00
2025-05-08 13:27:04;-4812.00
2025-05-08 13:27:03;-8112.00
2025-05-08 13:27:02;-8112.00
2025-05-08 13:27:01;-8112.00
2025-05-08 13:27:00;-9062.00
2025-05-08 13:26:59;-5262.00
2025-05-08 13:26:58;-7887.00
2025-05-08 13:26:57;-5262.00
2025-05-08 13:26:56;-3587.00
2025-05-08 13:26:55;-1462.00
2025-05-08 13:26:54;-962.00
2025-05-08 13:26:53;-637.00
2025-05-08 13:26:52;-1987.00
2025-05-08 13:26:51;-9962.00
2025-05-08 13:26:50;-6162.00
2025-05-08 13:26:49;-2862.00
2025-05-08 13:26:48;-8562.00
2025-05-08 13:26:47;-8787.00
2025-05-08 13:26:46;-8562.00
2025-05-08 13:26:45;-2587.00
2025-05-08 13:26:44;-6662.00
2025-05-08 13:26:43;-912.00
2025-05-08 13:26:42;-1862.00
2025-05-08 13:26:41;-9287.00
2025-05-08 13:26:40;-4712.00
2025-05-08 13:26:39;-462.00
2025-05-08 13:26:38;-5437.00
2025-05-08 13:26:37;-9962.00
2025-05-08 13:26:36;-9862.00
2025-05-08 13:26:35;-7287.00
2025-05-08 13:26:34;-5387.00
2025-05-08 13:26:33;-8062.00
2025-05-08 13:26:32;-3987.00
2025-05-08 13:26:31;-2812.00
2025-05-08 13:26:30;-3037.00
2025-05-08 13:26:29;-5162.00
2025-05-08 13:26:28;-8787.00
2025-05-08 13:26:27;-7787.00
2025-05-08 13:26:26;-9012.00
2025-05-08 13:26:25;-4487.00
2025-05-08 13:26:24;-9962.00
2025-05-08 13:26:23;-8512.00
2025-05-08 13:26:22;-2312.00
2025-05-08 13:26:21;-8812.00
2025-05-08 13:26:20;-8362.00
2025-05-08 13:26:19;-7287.00
2025-05-08 13:26:18;-6562.00
2025-05-08 13:26:17;-4212.00
2025-05-08 13:26:16;-7337.00
2025-05-08 13:26:15;-137.00
2025-05-08 13:26:14;-1087.00
2025-05-08 13:26:13;-4937.00
2025-05-08 13:26:12;-8962.00
2025-05-08 13:26:11;-7337.00
2025-05-08 13:26:10;-5387.00
2025-05-08 13:26:09;-5887.00
2025-05-08 13:26:08;-6337.00
2025-05-08 13:26:07;-8462.00
2025-05-08 13:26:06;-862.00
2025-05-08 13:26:05;-2037.00
2025-05-08 13:26:04;-1312.00
2025-05-08 13:26:03;-2087.00
2025-05-08 13:26:02;-8462.00
2025-05-08 13:26:01;-8237.00
2025-05-08 13:26:00;-2762.00
2025-05-08 13:25:59;-3712.00
2025-05-08 13:25:58;-587.00
2025-05-08 13:25:57;-8962.00
2025-05-08 13:25:56;-2262.00
2025-05-08 13:25:55;-9637.00
2025-05-08 13:25:54;-7962.00
2025-05-08 13:25:53;-362.00
2025-05-08 13:25:52;-8462.00
2025-05-08 13:25:51;-5337.00
2025-05-08 13:25:50;-1537.00
2025-05-08 13:25:49;-5962.00
2025-05-08 13:25:48;-3287.00
2025-05-08 13:25:47;-5062.00
2025-05-08 13:25:46;-2487.00
2025-05-08 13:25:45;-8812.00
2025-05-08 13:25:44;-6737.00
2025-05-08 13:25:43;-4787.00
2025-05-08 13:25:42;-1712.00
2025-05-08 13:25:41;-9587.00
2025-05-08 13:25:40;-2212.00
2025-05-08 13:25:39;-362.00
2025-05-08 13:25:38;-8137.00
2025-05-08 13:25:37;-3887.00
2025-05-08 13:25:36;-9587.00
2025-05-08 13:25:35;-4837.00
2025-05-08 13:25:34;-5562.00
2025-05-08 13:25:33;-6737.00
2025-05-08 13:25:32;-5062.00
2025-05-08 13:25:31;-6237.00
2025-05-08 13:25:30;-5287.00
2025-05-08 13:25:29;-5287.00
2025-05-08 13:25:28;-87.00
2025-05-08 13:25:27;-1487.00
2025-05-08 13:25:26;-6512.00
2025-05-08 13:25:25;-9812.00
2025-05-08 13:25:24;-3387.00
2025-05-08 13:25:23;-4837.00
2025-05-08 13:25:22;-487.00
2025-05-08 13:25:21;-7412.00
2025-05-08 13:25:20;-4787.00
2025-05-08 13:25:19;-9587.00
2025-05-08 13:25:18;-7537.00
2025-05-08 13:25:17;-5412.00
2025-05-08 13:25:16;-6462.00
2025-05-08 13:25:15;-1437.00
2025-05-08 13:25:14;-1212.00
2025-05-08 13:25:13;-3837.00
2025-05-08 13:25:12;-7687.00
2025-05-08 13:25:11;-3837.00
2025-05-08 13:25:10;-2387.00
2025-05-08 13:25:09;-2662.00
2025-05-08 13:25:08;-5737.00
2025-05-08 13:25:07;-712.00
2025-05-08 13:25:06;-6187.00
2025-05-08 13:25:05;-7137.00
2025-05-08 13:25:04;-2162.00
2025-05-08 13:25:03;-262.00
2025-05-08 13:25:02;-2387.00
2025-05-08 13:25:01;-5012.00
2025-05-08 13:25:00;-6687.00
2025-05-08 13:24:59;-8087.00
2025-05-08 13:24:58;-712.00
2025-05-08 13:24:57;-9987.00
2025-05-08 13:24:56;-6687.00
2025-05-08 13:24:55;-8587.00
2025-05-08 13:24:54;-7362.00
2025-05-08 13:24:53;-487.00
2025-05-08 13:24:52;-1112.00
2025-05-08 13:24:51;-8987.00
2025-05-08 13:24:50;-7762.00
2025-05-08 13:24:49;-4962.00
2025-05-08 13:24:48;-3062.00
2025-05-08 13:24:47;-937.00
2025-05-08 13:24:46;-837.00
2025-05-08 13:24:45;-5537.00
2025-05-08 13:24:44;-7812.00
2025-05-08 13:24:43;-1887.00
2025-05-08 13:24:42;-8762.00
2025-05-08 13:24:41;-937.00
2025-05-08 13:24:40;-1662.00
2025-05-08 13:24:39;-5187.00
2025-05-08 13:24:38;-2562.00
2025-05-08 13:24:37;-5187.00
2025-05-08 13:24:36;-9037.00
2025-05-08 13:24:35;-2112.00
2025-05-08 13:24:34;-2337.00
2025-05-08 13:24:33;-4012.00
2025-05-08 13:24:32;-662.00
2025-05-08 13:24:31;-437.00
2025-05-08 13:24:30;-4462.00
2025-05-08 13:24:29;-5687.00
2025-05-08 13:24:28;-4237.00
2025-05-08 13:24:27;-1112.00
2025-05-08 13:24:26;-212.00
2025-05-08 13:24:25;-162.00
2025-05-08 13:24:24;-4462.00
2025-05-08 13:24:23;-5862.00
2025-05-08 13:24:22;-3962.00
2025-05-08 13:24:21;-1387.00
2025-05-08 13:24:20;-3512.00
2025-05-08 13:24:19;-1112.00
2025-05-08 13:24:18;-387.00
