Fecha y Hora;TT-4015 - Temperatura flash S-401
2025-05-08 13:27:39;21.18
2025-05-08 13:27:38;2.18
2025-05-08 13:27:37;61.93
2025-05-08 13:27:36;54.68
2025-05-08 13:27:35;37.93
2025-05-08 13:27:34;95.43
2025-05-08 13:27:33;36.68
2025-05-08 13:27:32;69.68
2025-05-08 13:27:31;98.68
2025-05-08 13:27:30;86.93
2025-05-08 13:27:29;44.43
2025-05-08 13:27:28;24.93
2025-05-08 13:27:27;-1.78
2025-05-08 13:27:26;-27.53
2025-05-08 13:27:25;72.93
2025-05-08 13:27:24;10.93
2025-05-08 13:27:23;58.43
2025-05-08 13:27:22;55.68
2025-05-08 13:27:21;19.93
2025-05-08 13:27:20;38.43
2025-05-08 13:27:19;74.68
2025-05-08 13:27:18;38.93
2025-05-08 13:27:17;91.43
2025-05-08 13:27:16;4.93
2025-05-08 13:27:15;3.68
2025-05-08 13:27:14;67.43
2025-05-08 13:27:13;64.68
2025-05-08 13:27:12;41.18
2025-05-08 13:27:11;55.18
2025-05-08 13:27:10;0.43
2025-05-08 13:27:09;3.18
2025-05-08 13:27:08;29.43
2025-05-08 13:27:07;12.68
2025-05-08 13:27:06;38.93
2025-05-08 13:27:05;52.93
2025-05-08 13:27:04;19.93
2025-05-08 13:27:03;52.93
2025-05-08 13:27:02;22.68
2025-05-08 13:27:01;72.43
2025-05-08 13:27:00;0.93
2025-05-08 13:26:59;17.68
2025-05-08 13:26:58;48.93
2025-05-08 13:26:57;0.93
2025-05-08 13:26:56;62.93
2025-05-08 13:26:55;-85.03
2025-05-08 13:26:54;-34.78
2025-05-08 13:26:53;-77.78
2025-05-08 13:26:52;-37.53
2025-05-08 13:26:51;91.43
2025-05-08 13:26:50;80.18
2025-05-08 13:26:49;58.43
2025-05-08 13:26:48;34.43
2025-05-08 13:26:47;93.68
2025-05-08 13:26:46;27.68
2025-05-08 13:26:45;36.68
2025-05-08 13:26:44;48.43
2025-05-08 13:26:43;8.18
2025-05-08 13:26:42;60.68
2025-05-08 13:26:41;15.93
2025-05-08 13:26:40;-30.28
2025-05-08 13:26:39;-72.78
2025-05-08 13:26:38;-34.78
2025-05-08 13:26:37;-11.28
2025-05-08 13:26:36;6.43
2025-05-08 13:26:35;-85.03
2025-05-08 13:26:34;75.68
2025-05-08 13:26:33;1.43
2025-05-08 13:26:32;6.43
2025-05-08 13:26:31;43.93
2025-05-08 13:26:30;39.93
2025-05-08 13:26:29;82.43
2025-05-08 13:26:28;4.18
2025-05-08 13:26:27;-44.78
2025-05-08 13:26:26;96.93
2025-05-08 13:26:25;4.18
2025-05-08 13:26:24;-37.03
2025-05-08 13:26:23;-12.53
2025-05-08 13:26:22;-10.28
2025-05-08 13:26:21;-91.28
2025-05-08 13:26:20;-66.03
2025-05-08 13:26:19;-75.53
2025-05-08 13:26:18;8.68
2025-05-08 13:26:17;94.68
2025-05-08 13:26:16;87.43
2025-05-08 13:26:15;13.68
2025-05-08 13:26:14;92.43
2025-05-08 13:26:13;-44.78
2025-05-08 13:26:12;-66.03
2025-05-08 13:26:11;32.68
2025-05-08 13:26:10;25.43
2025-05-08 13:26:09;37.68
2025-05-08 13:26:08;63.43
2025-05-08 13:26:07;-63.78
2025-05-08 13:26:06;-11.28
2025-05-08 13:26:05;94.68
2025-05-08 13:26:04;56.68
2025-05-08 13:26:03;-56.53
2025-05-08 13:26:02;56.68
2025-05-08 13:26:01;51.68
2025-05-08 13:26:00;-89.53
2025-05-08 13:25:59;47.18
2025-05-08 13:25:58;82.93
2025-05-08 13:25:57;18.18
2025-05-08 13:25:56;39.93
2025-05-08 13:25:55;-18.53
2025-05-08 13:25:54;75.68
2025-05-08 13:25:53;13.68
2025-05-08 13:25:52;-33.78
2025-05-08 13:25:51;-17.53
2025-05-08 13:25:50;-0.78
2025-05-08 13:25:49;-85.28
2025-05-08 13:25:48;-37.78
2025-05-08 13:25:47;-38.78
2025-05-08 13:25:46;-84.53
2025-05-08 13:25:45;-29.78
2025-05-08 13:25:44;-20.28
2025-05-08 13:25:43;-86.28
2025-05-08 13:25:42;-60.03
2025-05-08 13:25:41;-87.28
2025-05-08 13:25:40;-49.28
2025-05-08 13:25:39;-3.53
2025-05-08 13:25:38;-18.03
2025-05-08 13:25:37;-10.78
2025-05-08 13:25:36;-23.03
2025-05-08 13:25:35;-27.03
2025-05-08 13:25:34;-51.03
2025-05-08 13:25:33;-36.53
2025-05-08 13:25:32;-4.03
2025-05-08 13:25:31;-99.03
2025-05-08 13:25:30;-51.03
2025-05-08 13:25:29;-27.53
2025-05-08 13:25:28;-6.28
2025-05-08 13:25:27;-72.28
2025-05-08 13:25:26;-67.78
2025-05-08 13:25:25;-53.78
2025-05-08 13:25:24;-27.03
2025-05-08 13:25:23;-70.53
2025-05-08 13:25:22;-34.78
2025-05-08 13:25:21;-57.78
2025-05-08 13:25:20;-75.28
2025-05-08 13:25:19;-50.53
2025-05-08 13:25:18;-88.03
2025-05-08 13:25:17;-30.53
2025-05-08 13:25:16;-13.78
2025-05-08 13:25:15;-10.28
2025-05-08 13:25:14;-55.53
2025-05-08 13:25:13;-22.03
2025-05-08 13:25:12;-12.03
2025-05-08 13:25:11;-29.28
2025-05-08 13:25:10;-74.53
2025-05-08 13:25:09;-15.28
2025-05-08 13:25:08;-88.53
2025-05-08 13:25:07;-86.28
2025-05-08 13:25:06;-71.78
2025-05-08 13:25:05;-98.03
2025-05-08 13:25:04;-22.03
2025-05-08 13:25:03;-93.53
2025-05-08 13:25:02;-74.53
2025-05-08 13:25:01;-95.78
2025-05-08 13:25:00;-9.78
2025-05-08 13:24:59;-83.53
2025-05-08 13:24:58;-51.03
2025-05-08 13:24:57;-54.53
2025-05-08 13:24:56;-90.78
2025-05-08 13:24:55;-92.53
2025-05-08 13:24:54;-97.03
2025-05-08 13:24:53;-28.28
2025-05-08 13:24:52;-64.03
2025-05-08 13:24:51;-50.03
2025-05-08 13:24:50;-25.53
2025-05-08 13:24:49;-15.53
2025-05-08 13:24:48;-1.03
2025-05-08 13:24:47;-34.53
2025-05-08 13:24:46;-23.28
2025-05-08 13:24:45;-34.53
2025-05-08 13:24:44;-57.28
2025-05-08 13:24:43;-69.53
2025-05-08 13:24:42;-2.53
2025-05-08 13:24:41;-93.53
2025-05-08 13:24:40;-33.28
2025-05-08 13:24:39;-18.78
2025-05-08 13:24:38;-78.53
2025-05-08 13:24:37;-55.53
2025-05-08 13:24:36;-19.78
2025-05-08 13:24:35;-83.53
2025-05-08 13:24:34;-26.53
2025-05-08 13:24:33;-31.53
2025-05-08 13:24:32;-36.03
2025-05-08 13:24:31;-74.03
2025-05-08 13:24:30;-21.03
2025-05-08 13:24:29;-57.28
2025-05-08 13:24:28;-31.03
2025-05-08 13:24:27;-6.53
2025-05-08 13:24:26;-69.03
2025-05-08 13:24:25;-92.53
2025-05-08 13:24:24;-50.03
2025-05-08 13:24:23;-4.78
2025-05-08 13:24:22;-55.03
2025-05-08 13:24:21;-78.53
2025-05-08 13:24:20;-18.78
2025-05-08 13:24:19;-14.28
2025-05-08 13:24:18;-83.53
2025-05-08 13:24:17;-88.78
2025-05-08 13:24:16;-60.28
2025-05-08 13:24:15;-10.53
2025-05-08 13:24:14;-1.03
2025-05-08 13:24:13;-36.78
2025-05-08 13:24:12;-21.03
2025-05-08 13:24:11;-42.78
2025-05-08 13:24:10;-64.03
2025-05-08 13:24:09;-47.28
2025-05-08 13:24:08;-28.28
2025-05-08 13:24:07;-75.78
2025-05-08 13:24:06;-61.78
2025-05-08 13:24:05;-60.78
2025-05-08 13:24:04;-15.53
2025-05-08 13:24:03;-22.78
2025-05-08 13:24:02;-93.78
2025-05-08 13:24:01;-75.28
2025-05-08 13:24:00;-49.03
2025-05-08 13:23:59;-27.28
2025-05-08 13:23:58;-8.28
2025-05-08 13:23:57;-89.78
2025-05-08 13:23:56;-78.03
2025-05-08 13:23:55;-35.03
2025-05-08 13:23:54;-8.78
2025-05-08 13:23:53;-84.78
2025-05-08 13:23:52;-79.78
2025-05-08 13:23:51;-11.03
2025-05-08 13:23:50;-54.03
2025-05-08 13:23:49;-87.53
2025-05-08 13:23:48;-99.28
2025-05-08 13:23:47;-61.28
2025-05-08 13:23:46;-41.78
2025-05-08 13:23:45;-17.28
