Fecha y Hora;KV-3021 - Válvula purga automática X-302
2025-05-08 13:27:39;50380.00
2025-05-08 13:27:38;15130.00
2025-05-08 13:27:37;31880.00
2025-05-08 13:27:36;44130.00
2025-05-08 13:27:35;84380.00
2025-05-08 13:27:34;74880.00
2025-05-08 13:27:33;58130.00
2025-05-08 13:27:32;96130.00
2025-05-08 13:27:31;67630.00
2025-05-08 13:27:30;58130.00
2025-05-08 13:27:29;80380.00
2025-05-08 13:27:28;18380.00
2025-05-08 13:27:27;87630.00
2025-05-08 13:27:26;20630.00
2025-05-08 13:27:25;78630.00
2025-05-08 13:27:24;39630.00
2025-05-08 13:27:23;33380.00
2025-05-08 13:27:22;68130.00
2025-05-08 13:27:21;36880.00
2025-05-08 13:27:20;60880.00
2025-05-08 13:27:19;46380.00
2025-05-08 13:27:18;67630.00
2025-05-08 13:27:17;89380.00
2025-05-08 13:27:16;3880.00
2025-05-08 13:27:15;75380.00
2025-05-08 13:27:14;70380.00
2025-05-08 13:27:13;20630.00
2025-05-08 13:27:12;53630.00
2025-05-08 13:27:11;51380.00
2025-05-08 13:27:10;27880.00
2025-05-08 13:27:09;3880.00
2025-05-08 13:27:08;39630.00
2025-05-08 13:27:07;77630.00
2025-05-08 13:27:06;6130.00
2025-05-08 13:27:05;25130.00
2025-05-08 13:27:04;13380.00
2025-05-08 13:27:03;58630.00
2025-05-08 13:27:02;68130.00
2025-05-08 13:27:01;3880.00
2025-05-08 13:27:00;68130.00
2025-05-08 13:26:59;65880.00
2025-05-08 13:26:58;49130.00
2025-05-08 13:26:57;25130.00
2025-05-08 13:26:56;73130.00
2025-05-08 13:26:55;53630.00
2025-05-08 13:26:54;58630.00
2025-05-08 13:26:53;21630.00
2025-05-08 13:26:52;76880.00
2025-05-08 13:26:51;30630.00
2025-05-08 13:26:50;44630.00
2025-05-08 13:26:49;77630.00
2025-05-08 13:26:48;51880.00
2025-05-08 13:26:47;59130.00
2025-05-08 13:26:46;32880.00
2025-05-08 13:26:45;16130.00
2025-05-08 13:26:44;94380.00
2025-05-08 13:26:43;49630.00
2025-05-08 13:26:42;73630.00
2025-05-08 13:26:41;85380.00
2025-05-08 13:26:40;92630.00
2025-05-08 13:26:39;28380.00
2025-05-08 13:26:38;28380.00
2025-05-08 13:26:37;79130.00
2025-05-08 13:26:36;52880.00
2025-05-08 13:26:35;55130.00
2025-05-08 13:26:34;83630.00
2025-05-08 13:26:33;97630.00
2025-05-08 13:26:32;45130.00
2025-05-08 13:26:31;23380.00
2025-05-08 13:26:30;80880.00
2025-05-08 13:26:29;33380.00
2025-05-08 13:26:28;83130.00
2025-05-08 13:26:27;73630.00
2025-05-08 13:26:26;23380.00
2025-05-08 13:26:25;18880.00
2025-05-08 13:26:24;83130.00
2025-05-08 13:26:23;33380.00
2025-05-08 13:26:22;53380.00
2025-05-08 13:26:21;63380.00
2025-05-08 13:26:20;63380.00
2025-05-08 13:26:19;36130.00
2025-05-08 13:26:18;55130.00
2025-05-08 13:26:17;90380.00
2025-05-08 13:26:16;23880.00
2025-05-08 13:26:15;50130.00
2025-05-08 13:26:14;85880.00
2025-05-08 13:26:13;12130.00
2025-05-08 13:26:12;74130.00
2025-05-08 13:26:11;76380.00
2025-05-08 13:26:10;19380.00
2025-05-08 13:26:09;93130.00
2025-05-08 13:26:08;9880.00
2025-05-08 13:26:07;62380.00
2025-05-08 13:26:06;83630.00
2025-05-08 13:26:05;40630.00
2025-05-08 13:26:04;45630.00
2025-05-08 13:26:03;95380.00
2025-05-08 13:26:02;40630.00
2025-05-08 13:26:01;66880.00
2025-05-08 13:26:00;9880.00
2025-05-08 13:25:59;380.00
2025-05-08 13:25:58;74130.00
2025-05-08 13:25:57;17130.00
2025-05-08 13:25:56;81380.00
2025-05-08 13:25:55;7630.00
2025-05-08 13:25:54;17130.00
2025-05-08 13:25:53;33880.00
2025-05-08 13:25:52;38380.00
2025-05-08 13:25:51;76880.00
2025-05-08 13:25:50;56130.00
2025-05-08 13:25:49;92380.00
2025-05-08 13:25:48;82880.00
2025-05-08 13:25:47;70130.00
2025-05-08 13:25:46;88630.00
2025-05-08 13:25:45;96880.00
2025-05-08 13:25:44;94130.00
2025-05-08 13:25:43;15880.00
2025-05-08 13:25:42;96380.00
2025-05-08 13:25:41;27130.00
2025-05-08 13:25:40;62880.00
2025-05-08 13:25:39;29380.00
2025-05-08 13:25:38;48880.00
2025-05-08 13:25:37;43880.00
2025-05-08 13:25:36;8130.00
2025-05-08 13:25:35;34380.00
2025-05-08 13:25:34;70130.00
2025-05-08 13:25:33;48380.00
2025-05-08 13:25:32;98630.00
2025-05-08 13:25:31;51130.00
2025-05-08 13:25:30;96380.00
2025-05-08 13:25:29;48880.00
2025-05-08 13:25:28;24880.00
2025-05-08 13:25:27;32130.00
2025-05-08 13:25:26;10380.00
2025-05-08 13:25:25;51130.00
2025-05-08 13:25:24;56130.00
2025-05-08 13:25:23;18130.00
2025-05-08 13:25:22;44380.00
2025-05-08 13:25:21;91880.00
2025-05-08 13:25:20;37130.00
2025-05-08 13:25:19;91380.00
2025-05-08 13:25:18;71630.00
2025-05-08 13:25:17;76130.00
2025-05-08 13:25:16;46630.00
2025-05-08 13:25:15;15880.00
2025-05-08 13:25:14;82380.00
2025-05-08 13:25:13;65630.00
2025-05-08 13:25:12;37130.00
2025-05-08 13:25:11;20380.00
2025-05-08 13:25:10;1380.00
2025-05-08 13:25:09;86880.00
2025-05-08 13:25:08;1380.00
2025-05-08 13:25:07;32630.00
2025-05-08 13:25:06;58880.00
2025-05-08 13:25:05;70630.00
2025-05-08 13:25:04;42130.00
2025-05-08 13:25:03;29880.00
2025-05-08 13:25:02;61130.00
2025-05-08 13:25:01;53880.00
2025-05-08 13:25:00;51630.00
2025-05-08 13:24:59;49380.00
2025-05-08 13:24:58;6380.00
2025-05-08 13:24:57;56630.00
2025-05-08 13:24:56;15880.00
2025-05-08 13:24:55;32630.00
2025-05-08 13:24:54;66130.00
2025-05-08 13:24:53;38130.00
