Fecha y Hora;DR-3047 - Indicador sobrepresión S-304
2025-05-08 13:27:39;-1928.00
2025-05-08 13:27:38;-5728.00
2025-05-08 13:27:37;-4053.00
2025-05-08 13:27:36;-9303.00
2025-05-08 13:27:35;-1203.00
2025-05-08 13:27:34;-7028.00
2025-05-08 13:27:33;-5353.00
2025-05-08 13:27:32;-9928.00
2025-05-08 13:27:31;-3953.00
2025-05-08 13:27:30;-828.00
2025-05-08 13:27:29;-5803.00
2025-05-08 13:27:28;-4403.00
2025-05-08 13:27:27;-8828.00
2025-05-08 13:27:26;-5703.00
2025-05-08 13:27:25;-6753.00
2025-05-08 13:27:24;-5578.00
2025-05-08 13:27:23;-7978.00
2025-05-08 13:27:22;-1103.00
2025-05-08 13:27:21;-7753.00
2025-05-08 13:27:20;-928.00
2025-05-08 13:27:19;-3728.00
2025-05-08 13:27:18;-6353.00
2025-05-08 13:27:17;-1103.00
2025-05-08 13:27:16;-9978.00
2025-05-08 13:27:15;-2728.00
2025-05-08 13:27:14;-1828.00
2025-05-08 13:27:13;-2778.00
2025-05-08 13:27:12;-1828.00
2025-05-08 13:27:11;-5903.00
2025-05-08 13:27:10;-4678.00
2025-05-08 13:27:09;-7303.00
2025-05-08 13:27:08;-8253.00
2025-05-08 13:27:07;-8978.00
2025-05-08 13:27:06;-9203.00
2025-05-08 13:27:05;-7078.00
2025-05-08 13:27:04;-2778.00
2025-05-08 13:27:03;-653.00
2025-05-08 13:27:02;-7978.00
2025-05-08 13:27:01;-2278.00
2025-05-08 13:27:00;-3003.00
2025-05-08 13:26:59;-7528.00
2025-05-08 13:26:58;-9378.00
2025-05-08 13:26:57;-153.00
2025-05-08 13:26:56;-1403.00
2025-05-08 13:26:55;-7153.00
2025-05-08 13:26:54;-6428.00
2025-05-08 13:26:53;-9778.00
2025-05-08 13:26:52;-503.00
2025-05-08 13:26:51;-5853.00
2025-05-08 13:26:50;-778.00
2025-05-08 13:26:49;-103.00
2025-05-08 13:26:48;-9378.00
2025-05-08 13:26:47;-7528.00
2025-05-08 13:26:46;-1278.00
2025-05-08 13:26:45;-828.00
2025-05-08 13:26:44;-878.00
2025-05-08 13:26:43;-5853.00
2025-05-08 13:26:42;-4178.00
2025-05-08 13:26:41;-4353.00
2025-05-08 13:26:40;-5978.00
2025-05-08 13:26:39;-4753.00
2025-05-08 13:26:38;-6428.00
2025-05-08 13:26:37;-6928.00
2025-05-08 13:26:36;-5303.00
2025-05-08 13:26:35;-8828.00
2025-05-08 13:26:34;-1728.00
2025-05-08 13:26:33;-103.00
2025-05-08 13:26:32;-4128.00
2025-05-08 13:26:31;-4903.00
2025-05-08 13:26:30;-1728.00
2025-05-08 13:26:29;-6478.00
2025-05-08 13:26:28;-3628.00
2025-05-08 13:26:27;-1453.00
2025-05-08 13:26:26;-7928.00
2025-05-08 13:26:25;-2178.00
2025-05-08 13:26:24;-5878.00
2025-05-08 13:26:23;-9678.00
2025-05-08 13:26:22;-6828.00
2025-05-08 13:26:21;-4203.00
2025-05-08 13:26:20;-3578.00
2025-05-08 13:26:19;-9778.00
2025-05-08 13:26:18;-553.00
2025-05-08 13:26:17;-3853.00
2025-05-08 13:26:16;-3403.00
2025-05-08 13:26:15;-2678.00
2025-05-08 13:26:14;-3853.00
2025-05-08 13:26:13;-4803.00
2025-05-08 13:26:12;-503.00
2025-05-08 13:26:11;-9103.00
2025-05-08 13:26:10;-9603.00
2025-05-08 13:26:09;-8378.00
2025-05-08 13:26:08;-7478.00
2025-05-08 13:26:07;-8378.00
2025-05-08 13:26:06;-4303.00
2025-05-08 13:26:05;-4578.00
2025-05-08 13:26:04;-6928.00
2025-05-08 13:26:03;-5028.00
2025-05-08 13:26:02;-7428.00
2025-05-08 13:26:01;-5303.00
2025-05-08 13:26:00;-4978.00
2025-05-08 13:25:59;-6703.00
2025-05-08 13:25:58;-6428.00
2025-05-08 13:25:57;-8428.00
2025-05-08 13:25:56;-2678.00
2025-05-08 13:25:55;-3353.00
2025-05-08 13:25:54;-8153.00
2025-05-08 13:25:53;-2178.00
2025-05-08 13:25:52;-6553.00
2025-05-08 13:25:51;-1578.00
2025-05-08 13:25:50;-3978.00
2025-05-08 13:25:49;-8853.00
2025-05-08 13:25:48;-6953.00
2025-05-08 13:25:47;-5603.00
2025-05-08 13:25:46;-403.00
2025-05-08 13:25:45;-3753.00
2025-05-08 13:25:44;-9728.00
2025-05-08 13:25:43;-4428.00
2025-05-08 13:25:42;-6328.00
2025-05-08 13:25:41;-8328.00
2025-05-08 13:25:40;-9053.00
2025-05-08 13:25:39;-1853.00
2025-05-08 13:25:38;-1178.00
2025-05-08 13:25:37;-7103.00
2025-05-08 13:25:36;-2628.00
2025-05-08 13:25:35;-3253.00
2025-05-08 13:25:34;-9953.00
2025-05-08 13:25:33;-1353.00
2025-05-08 13:25:32;-1403.00
2025-05-08 13:25:31;-1178.00
2025-05-08 13:25:30;-7328.00
2025-05-08 13:25:29;-7828.00
2025-05-08 13:25:28;-4478.00
2025-05-08 13:25:27;-2303.00
2025-05-08 13:25:26;-6153.00
2025-05-08 13:25:25;-2803.00
2025-05-08 13:25:24;-7553.00
2025-05-08 13:25:23;-4478.00
2025-05-08 13:25:22;-7603.00
2025-05-08 13:25:21;-928.00
2025-05-08 13:25:20;-6903.00
2025-05-08 13:25:19;-7053.00
2025-05-08 13:25:18;-7453.00
2025-05-08 13:25:17;-7178.00
2025-05-08 13:25:16;-4328.00
2025-05-08 13:25:15;-5153.00
2025-05-08 13:25:14;-8728.00
2025-05-08 13:25:13;-3703.00
2025-05-08 13:25:12;-3203.00
2025-05-08 13:25:11;-4653.00
2025-05-08 13:25:10;-6828.00
2025-05-08 13:25:09;-7778.00
2025-05-08 13:25:08;-3703.00
2025-05-08 13:25:07;-7053.00
2025-05-08 13:25:06;-4378.00
2025-05-08 13:25:05;-6553.00
