Fecha y Hora;PIT-2012 - Presión mezclador M-201
2025-05-08 13:27:39;-40.07
2025-05-08 13:27:38;-97.07
2025-05-08 13:27:37;-18.32
2025-05-08 13:27:36;-4.32
2025-05-08 13:27:35;-99.32
2025-05-08 13:27:34;-56.32
2025-05-08 13:27:33;-92.07
2025-05-08 13:27:32;-10.57
2025-05-08 13:27:31;-91.07
2025-05-08 13:27:30;-12.32
2025-05-08 13:27:29;-81.07
2025-05-08 13:27:28;-72.07
2025-05-08 13:27:27;-45.82
2025-05-08 13:27:26;-25.32
2025-05-08 13:27:25;-26.32
2025-05-08 13:27:24;-29.07
2025-05-08 13:27:23;-0.57
2025-05-08 13:27:22;-69.82
2025-05-08 13:27:21;-96.07
2025-05-08 13:27:20;-75.32
2025-05-08 13:27:19;-50.82
2025-05-08 13:27:18;-82.07
2025-05-08 13:27:17;-58.07
2025-05-08 13:27:16;-49.07
2025-05-08 13:27:15;-0.57
2025-05-08 13:27:14;-12.82
2025-05-08 13:27:13;-77.07
2025-05-08 13:27:12;-20.07
2025-05-08 13:27:11;-34.57
2025-05-08 13:27:10;-41.32
2025-05-08 13:27:09;-58.07
2025-05-08 13:27:08;-15.07
2025-05-08 13:27:07;-12.82
2025-05-08 13:27:06;-31.82
2025-05-08 13:27:05;-8.32
2025-05-08 13:27:04;-48.57
2025-05-08 13:27:03;-1.07
2025-05-08 13:27:02;-62.57
2025-05-08 13:27:01;-91.07
2025-05-08 13:27:00;-24.57
2025-05-08 13:26:59;-60.32
2025-05-08 13:26:58;-76.57
2025-05-08 13:26:57;-20.07
2025-05-08 13:26:56;-58.07
2025-05-08 13:26:55;-18.57
2025-05-08 13:26:54;-11.32
2025-05-08 13:26:53;-73.32
2025-05-08 13:26:52;-73.32
2025-05-08 13:26:51;-15.07
2025-05-08 13:26:50;-64.32
2025-05-08 13:26:49;-86.07
2025-05-08 13:26:48;-62.07
2025-05-08 13:26:47;-34.07
2025-05-08 13:26:46;-16.82
2025-05-08 13:26:45;-67.07
2025-05-08 13:26:44;-41.32
2025-05-08 13:26:43;-7.82
2025-05-08 13:26:42;-45.82
2025-05-08 13:26:41;-81.57
2025-05-08 13:26:40;-7.32
2025-05-08 13:26:39;-75.57
2025-05-08 13:26:38;-20.82
2025-05-08 13:26:37;-63.82
2025-05-08 13:26:36;-57.07
2025-05-08 13:26:35;-30.32
2025-05-08 13:26:34;-26.32
2025-05-08 13:26:33;-95.57
2025-05-08 13:26:32;-43.07
2025-05-08 13:26:31;-34.07
2025-05-08 13:26:30;-76.07
2025-05-08 13:26:29;-85.57
2025-05-08 13:26:28;-95.07
2025-05-08 13:26:27;-87.82
2025-05-08 13:26:26;-21.32
2025-05-08 13:26:25;-71.07
2025-05-08 13:26:24;-14.57
2025-05-08 13:26:23;91.93
2025-05-08 13:26:22;89.68
2025-05-08 13:26:21;72.93
2025-05-08 13:26:20;-44.82
2025-05-08 13:26:19;-82.82
2025-05-08 13:26:18;-90.57
2025-05-08 13:26:17;-76.07
2025-05-08 13:26:16;-85.57
2025-05-08 13:26:15;-95.07
2025-05-08 13:26:14;-71.07
2025-05-08 13:26:13;-59.32
2025-05-08 13:26:12;-80.57
2025-05-08 13:26:11;-47.57
2025-05-08 13:26:10;-59.82
2025-05-08 13:26:09;-16.32
2025-05-08 13:26:08;-81.07
2025-05-08 13:26:07;-25.82
2025-05-08 13:26:06;-99.57
2025-05-08 13:26:05;-92.82
2025-05-08 13:26:04;-18.57
2025-05-08 13:26:03;-35.32
2025-05-08 13:26:02;-49.82
2025-05-08 13:26:01;-92.82
2025-05-08 13:26:00;-42.07
2025-05-08 13:25:59;-97.32
2025-05-08 13:25:58;-20.82
2025-05-08 13:25:57;-16.82
2025-05-08 13:25:56;-4.57
2025-05-08 13:25:55;-87.82
2025-05-08 13:25:54;-83.32
2025-05-08 13:25:53;-38.07
2025-05-08 13:25:52;-71.07
2025-05-08 13:25:51;8.68
2025-05-08 13:25:50;72.93
2025-05-08 13:25:49;6.43
2025-05-08 13:25:48;66.68
2025-05-08 13:25:47;13.68
2025-05-08 13:25:46;51.18
2025-05-08 13:25:45;58.43
2025-05-08 13:25:44;60.68
2025-05-08 13:25:43;25.43
2025-05-08 13:25:42;53.93
2025-05-08 13:25:41;-56.57
2025-05-08 13:25:40;-94.57
2025-05-08 13:25:39;79.68
2025-05-08 13:25:38;0.93
2025-05-08 13:25:37;55.68
2025-05-08 13:25:36;-49.32
2025-05-08 13:25:35;67.93
2025-05-08 13:25:34;46.18
2025-05-08 13:25:33;84.68
2025-05-08 13:25:32;0.93
2025-05-08 13:25:31;-58.82
2025-05-08 13:25:30;77.43
2025-05-08 13:25:29;-96.82
2025-05-08 13:25:28;-39.82
2025-05-08 13:25:27;82.43
2025-05-08 13:25:26;43.93
2025-05-08 13:25:25;32.18
2025-05-08 13:25:24;82.43
2025-05-08 13:25:23;79.68
2025-05-08 13:25:22;-51.57
2025-05-08 13:25:21;82.43
2025-05-08 13:25:20;96.93
2025-05-08 13:25:19;87.43
2025-05-08 13:25:18;80.68
2025-05-08 13:25:17;90.68
2025-05-08 13:25:16;5.18
2025-05-08 13:25:15;84.68
2025-05-08 13:25:14;8.68
2025-05-08 13:25:13;61.18
2025-05-08 13:25:12;56.68
2025-05-08 13:25:11;49.43
2025-05-08 13:25:10;63.43
2025-05-08 13:25:09;8.68
2025-05-08 13:25:08;49.43
2025-05-08 13:25:07;18.18
2025-05-08 13:25:06;4.18
2025-05-08 13:25:05;15.93
2025-05-08 13:25:04;15.93
2025-05-08 13:25:03;25.43
2025-05-08 13:25:02;80.18
2025-05-08 13:25:01;23.18
2025-05-08 13:25:00;35.43
2025-05-08 13:24:59;73.43
2025-05-08 13:24:58;15.43
2025-05-08 13:24:57;39.93
2025-05-08 13:24:56;39.43
2025-05-08 13:24:55;40.43
2025-05-08 13:24:54;88.43
2025-05-08 13:24:53;26.43
2025-05-08 13:24:52;49.93
2025-05-08 13:24:51;16.43
2025-05-08 13:24:50;40.93
2025-05-08 13:24:49;6.43
2025-05-08 13:24:48;20.18
2025-05-08 13:24:47;48.68
2025-05-08 13:24:46;31.43
2025-05-08 13:24:45;24.68
2025-05-08 13:24:44;9.18
2025-05-08 13:24:43;13.68
2025-05-08 13:24:42;49.93
2025-05-08 13:24:41;66.18
2025-05-08 13:24:40;80.68
2025-05-08 13:24:39;4.68
2025-05-08 13:24:38;49.93
2025-05-08 13:24:37;37.68
2025-05-08 13:24:36;56.68
2025-05-08 13:24:35;92.43
2025-05-08 13:24:34;28.18
2025-05-08 13:24:33;32.68
2025-05-08 13:24:32;66.18
2025-05-08 13:24:31;63.93
2025-05-08 13:24:30;64.43
2025-05-08 13:24:29;35.43
2025-05-08 13:24:28;80.68
2025-05-08 13:24:27;97.93
2025-05-08 13:24:26;23.68
2025-05-08 13:24:25;4.68
2025-05-08 13:24:24;78.43
2025-05-08 13:24:23;92.43
2025-05-08 13:24:22;18.68
2025-05-08 13:24:21;49.93
2025-05-08 13:24:20;92.93
2025-05-08 13:24:19;68.93
2025-05-08 13:24:18;73.43
2025-05-08 13:24:17;12.43
2025-05-08 13:24:16;3.93
2025-05-08 13:24:15;22.43
2025-05-08 13:24:14;1.18
2025-05-08 13:24:13;84.43
2025-05-08 13:24:12;62.18
2025-05-08 13:24:11;52.68
2025-05-08 13:24:10;9.68
2025-05-08 13:24:09;28.68
2025-05-08 13:24:08;54.93
2025-05-08 13:24:07;16.93
2025-05-08 13:24:06;14.18
2025-05-08 13:24:05;52.68
2025-05-08 13:24:04;5.68
2025-05-08 13:24:03;88.93
2025-05-08 13:24:02;27.43
2025-05-08 13:24:01;65.43
2025-05-08 13:24:00;84.43
2025-05-08 13:23:59;69.93
2025-05-08 13:23:58;15.18
2025-05-08 13:23:57;38.68
2025-05-08 13:23:56;81.18
2025-05-08 13:23:55;57.68
2025-05-08 13:23:54;29.18
2025-05-08 13:23:53;72.18
2025-05-08 13:23:52;86.68
2025-05-08 13:23:51;12.43
2025-05-08 13:23:50;31.43
2025-05-08 13:23:49;50.43
2025-05-08 13:23:48;95.68
2025-05-08 13:23:47;7.43
2025-05-08 13:23:46;88.93
2025-05-08 13:23:45;62.18
2025-05-08 13:23:44;47.43
2025-05-08 13:23:43;78.18
2025-05-08 13:23:42;58.68
2025-05-08 13:23:41;6.18
2025-05-08 13:23:40;77.18
2025-05-08 13:23:39;7.93
2025-05-08 13:23:38;0.68
2025-05-08 13:23:37;57.68
2025-05-08 13:23:36;57.68
2025-05-08 13:23:35;84.43
2025-05-08 13:23:34;67.68
2025-05-08 13:23:33;45.93
2025-05-08 13:23:32;69.93
2025-05-08 13:23:31;79.43
2025-05-08 13:23:30;10.68
