Fecha y Hora;KV-2012 - Válvula venteo M-201
2025-05-08 13:27:39;-90120.00
2025-05-08 13:27:38;-68370.00
2025-05-08 13:27:37;-51620.00
2025-05-08 13:27:36;-20370.00
2025-05-08 13:27:35;-89620.00
2025-05-08 13:27:34;-37120.00
2025-05-08 13:27:33;-28120.00
2025-05-08 13:27:32;-47120.00
2025-05-08 13:27:31;-42120.00
2025-05-08 13:27:30;-34870.00
2025-05-08 13:27:29;-50620.00
2025-05-08 13:27:28;-46120.00
2025-05-08 13:27:27;-41120.00
2025-05-08 13:27:26;-22620.00
2025-05-08 13:27:25;-33370.00
2025-05-08 13:27:24;-58370.00
2025-05-08 13:27:23;-19370.00
2025-05-08 13:27:22;-3620.00
2025-05-08 13:27:21;-6370.00
2025-05-08 13:27:20;-58370.00
2025-05-08 13:27:19;-91870.00
2025-05-08 13:27:18;-44370.00
2025-05-08 13:27:17;-63370.00
2025-05-08 13:27:16;-70120.00
2025-05-08 13:27:15;-98620.00
2025-05-08 13:27:14;-41620.00
2025-05-08 13:27:13;-53370.00
2025-05-08 13:27:12;-99120.00
2025-05-08 13:27:11;-91870.00
2025-05-08 13:27:10;-91370.00
2025-05-08 13:27:09;-39370.00
2025-05-08 13:27:08;-36620.00
2025-05-08 13:27:07;-70120.00
2025-05-08 13:27:06;-41620.00
2025-05-08 13:27:05;-18120.00
2025-05-08 13:27:04;-29870.00
2025-05-08 13:27:03;-96370.00
2025-05-08 13:27:02;-24870.00
2025-05-08 13:27:01;-70120.00
2025-05-08 13:27:00;-51120.00
2025-05-08 13:26:59;-77370.00
2025-05-08 13:26:58;-3620.00
2025-05-08 13:26:57;-51120.00
2025-05-08 13:26:56;-24870.00
2025-05-08 13:26:55;-75120.00
2025-05-08 13:26:54;-17620.00
2025-05-08 13:26:53;-88120.00
2025-05-08 13:26:52;64880.00
2025-05-08 13:26:51;-33870.00
2025-05-08 13:26:50;-12620.00
2025-05-08 13:26:49;-8120.00
2025-05-08 13:26:48;-46120.00
2025-05-08 13:26:47;-76870.00
2025-05-08 13:26:46;-19870.00
2025-05-08 13:26:45;-60120.00
2025-05-08 13:26:44;-91370.00
2025-05-08 13:26:43;-98120.00
2025-05-08 13:26:42;-62370.00
2025-05-08 13:26:41;-870.00
2025-05-08 13:26:40;-26620.00
2025-05-08 13:26:39;-57870.00
2025-05-08 13:26:38;-24370.00
2025-05-08 13:26:37;21880.00
2025-05-08 13:26:36;86130.00
2025-05-08 13:26:35;-97620.00
2025-05-08 13:26:34;-69120.00
2025-05-08 13:26:33;-95370.00
2025-05-08 13:26:32;-83620.00
2025-05-08 13:26:31;-33870.00
2025-05-08 13:26:30;-370.00
2025-05-08 13:26:29;-85870.00
2025-05-08 13:26:28;-57870.00
2025-05-08 13:26:27;-47870.00
2025-05-08 13:26:26;-98120.00
2025-05-08 13:26:25;-69620.00
2025-05-08 13:26:24;-69620.00
2025-05-08 13:26:23;-12120.00
2025-05-08 13:26:22;-66870.00
2025-05-08 13:26:21;96630.00
2025-05-08 13:26:20;20130.00
2025-05-08 13:26:19;90630.00
2025-05-08 13:26:18;81130.00
2025-05-08 13:26:17;-85870.00
2025-05-08 13:26:16;-33370.00
2025-05-08 13:26:15;-61870.00
2025-05-08 13:26:14;19130.00
2025-05-08 13:26:13;-74120.00
2025-05-08 13:26:12;64380.00
2025-05-08 13:26:11;-55120.00
2025-05-08 13:26:10;73880.00
2025-05-08 13:26:09;81130.00
2025-05-08 13:26:08;9630.00
2025-05-08 13:26:07;97880.00
2025-05-08 13:26:06;-69120.00
2025-05-08 13:26:05;64380.00
2025-05-08 13:26:04;43130.00
2025-05-08 13:26:03;-61870.00
2025-05-08 13:26:02;19130.00
