Fecha y Hora;KV-3034 - Válvula aislar salida R-303
2025-05-08 13:27:39;36630.00
2025-05-08 13:27:38;46130.00
2025-05-08 13:27:37;98630.00
2025-05-08 13:27:36;51630.00
2025-05-08 13:27:35;70130.00
2025-05-08 13:27:34;1380.00
2025-05-08 13:27:33;13130.00
2025-05-08 13:27:32;8130.00
2025-05-08 13:27:31;10880.00
2025-05-08 13:27:30;29880.00
2025-05-08 13:27:29;44880.00
2025-05-08 13:27:28;52130.00
2025-05-08 13:27:27;76130.00
2025-05-08 13:27:26;23130.00
2025-05-08 13:27:25;88380.00
2025-05-08 13:27:24;32630.00
2025-05-08 13:27:23;81130.00
2025-05-08 13:27:22;70630.00
2025-05-08 13:27:21;29880.00
2025-05-08 13:27:20;82380.00
2025-05-08 13:27:19;91880.00
2025-05-08 13:27:18;44380.00
2025-05-08 13:27:17;37130.00
2025-05-08 13:27:16;80130.00
2025-05-08 13:27:15;42130.00
2025-05-08 13:27:14;34880.00
2025-05-08 13:27:13;42130.00
2025-05-08 13:27:12;46630.00
2025-05-08 13:27:11;89630.00
2025-05-08 13:27:10;71130.00
2025-05-08 13:27:09;6380.00
2025-05-08 13:27:08;49380.00
2025-05-08 13:27:07;6380.00
2025-05-08 13:27:06;70630.00
2025-05-08 13:27:05;72880.00
2025-05-08 13:27:04;15880.00
2025-05-08 13:27:03;34880.00
2025-05-08 13:27:02;42130.00
2025-05-08 13:27:01;89630.00
2025-05-08 13:27:00;53880.00
2025-05-08 13:26:59;68380.00
2025-05-08 13:26:58;61130.00
2025-05-08 13:26:57;11380.00
2025-05-08 13:26:56;66130.00
2025-05-08 13:26:55;51630.00
2025-05-08 13:26:54;90130.00
2025-05-08 13:26:53;40880.00
2025-05-08 13:26:52;41380.00
2025-05-08 13:26:51;16380.00
2025-05-08 13:26:50;18630.00
2025-05-08 13:26:49;90130.00
2025-05-08 13:26:48;99630.00
2025-05-08 13:26:47;97380.00
2025-05-08 13:26:46;35380.00
2025-05-08 13:26:45;25880.00
2025-05-08 13:26:44;80630.00
2025-05-08 13:26:43;68880.00
2025-05-08 13:26:42;66630.00
2025-05-08 13:26:41;52130.00
2025-05-08 13:26:40;45380.00
2025-05-08 13:26:39;4630.00
2025-05-08 13:26:38;66630.00
2025-05-08 13:26:37;50880.00
2025-05-08 13:26:36;17380.00
2025-05-08 13:26:35;48130.00
2025-05-08 13:26:34;86130.00
2025-05-08 13:26:33;16880.00
2025-05-08 13:26:32;66630.00
2025-05-08 13:26:31;33130.00
2025-05-08 13:26:30;83380.00
2025-05-08 13:26:29;64380.00
2025-05-08 13:26:28;59380.00
2025-05-08 13:26:27;83380.00
2025-05-08 13:26:26;54880.00
2025-05-08 13:26:25;66630.00
2025-05-08 13:26:24;30880.00
2025-05-08 13:26:23;43130.00
2025-05-08 13:26:22;70380.00
2025-05-08 13:26:21;27880.00
2025-05-08 13:26:20;20630.00
2025-05-08 13:26:19;26880.00
2025-05-08 13:26:18;98380.00
2025-05-08 13:26:17;12380.00
2025-05-08 13:26:16;78880.00
2025-05-08 13:26:15;69380.00
2025-05-08 13:26:14;50380.00
2025-05-08 13:26:13;33630.00
2025-05-08 13:26:12;83880.00
2025-05-08 13:26:11;33630.00
2025-05-08 13:26:10;38630.00
2025-05-08 13:26:09;2880.00
2025-05-08 13:26:08;19630.00
2025-05-08 13:26:07;83880.00
2025-05-08 13:26:06;67130.00
2025-05-08 13:26:05;59880.00
2025-05-08 13:26:04;72130.00
2025-05-08 13:26:03;50380.00
2025-05-08 13:26:02;5130.00
2025-05-08 13:26:01;76630.00
2025-05-08 13:26:00;12380.00
2025-05-08 13:25:59;48130.00
2025-05-08 13:25:58;48130.00
2025-05-08 13:25:57;36380.00
2025-05-08 13:25:56;57630.00
2025-05-08 13:25:55;17380.00
2025-05-08 13:25:54;81630.00
2025-05-08 13:25:53;81630.00
2025-05-08 13:25:52;15130.00
2025-05-08 13:25:51;98380.00
2025-05-08 13:25:50;77630.00
2025-05-08 13:25:49;56880.00
2025-05-08 13:25:48;11630.00
2025-05-08 13:25:47;10630.00
2025-05-08 13:25:46;53130.00
2025-05-08 13:25:45;6630.00
2025-05-08 13:25:44;15630.00
2025-05-08 13:25:43;54130.00
2025-05-08 13:25:42;6130.00
2025-05-08 13:25:41;3380.00
2025-05-08 13:25:40;15630.00
2025-05-08 13:25:39;50880.00
2025-05-08 13:25:38;1630.00
2025-05-08 13:25:37;63130.00
2025-05-08 13:25:36;29630.00
2025-05-08 13:25:35;36880.00
2025-05-08 13:25:34;8380.00
2025-05-08 13:25:33;12880.00
2025-05-08 13:25:32;84380.00
2025-05-08 13:25:31;82130.00
2025-05-08 13:25:30;82130.00
2025-05-08 13:25:29;37380.00
2025-05-08 13:25:28;17880.00
2025-05-08 13:25:27;79880.00
2025-05-08 13:25:26;41880.00
2025-05-08 13:25:25;72630.00
2025-05-08 13:25:24;65880.00
2025-05-08 13:25:23;11130.00
2025-05-08 13:25:22;84880.00
2025-05-08 13:25:21;22880.00
2025-05-08 13:25:20;49130.00
2025-05-08 13:25:19;68130.00
2025-05-08 13:25:18;19380.00
2025-05-08 13:25:17;52380.00
2025-05-08 13:25:16;68130.00
2025-05-08 13:25:15;46880.00
2025-05-08 13:25:14;3880.00
2025-05-08 13:25:13;84880.00
2025-05-08 13:25:12;49130.00
2025-05-08 13:25:11;84880.00
2025-05-08 13:25:10;20630.00
2025-05-08 13:25:09;73130.00
2025-05-08 13:25:08;68130.00
2025-05-08 13:25:07;54130.00
2025-05-08 13:25:06;2130.00
2025-05-08 13:25:05;35130.00
2025-05-08 13:25:04;51880.00
2025-05-08 13:25:03;16130.00
2025-05-08 13:25:02;18380.00
2025-05-08 13:25:01;30130.00
2025-05-08 13:25:00;16130.00
2025-05-08 13:24:59;16130.00
2025-05-08 13:24:58;25630.00
2025-05-08 13:24:57;32880.00
2025-05-08 13:24:56;8880.00
2025-05-08 13:24:55;80380.00
2025-05-08 13:24:54;97130.00
2025-05-08 13:24:53;47880.00
2025-05-08 13:24:52;7630.00
2025-05-08 13:24:51;31130.00
2025-05-08 13:24:50;50630.00
2025-05-08 13:24:49;28380.00
2025-05-08 13:24:48;90380.00
2025-05-08 13:24:47;46130.00
2025-05-08 13:24:46;33880.00
2025-05-08 13:24:45;77380.00
2025-05-08 13:24:44;92630.00
2025-05-08 13:24:43;66380.00
2025-05-08 13:24:42;90380.00
2025-05-08 13:24:41;83130.00
2025-05-08 13:24:40;32880.00
2025-05-08 13:24:39;47380.00
2025-05-08 13:24:38;78630.00
2025-05-08 13:24:37;37880.00
2025-05-08 13:24:36;75880.00
2025-05-08 13:24:35;90380.00
2025-05-08 13:24:34;37880.00
2025-05-08 13:24:33;33380.00
2025-05-08 13:24:32;16630.00
2025-05-08 13:24:31;83130.00
2025-05-08 13:24:30;45130.00
2025-05-08 13:24:29;83130.00
2025-05-08 13:24:28;61880.00
2025-05-08 13:24:27;76380.00
2025-05-08 13:24:26;40630.00
2025-05-08 13:24:25;2630.00
2025-05-08 13:24:24;16630.00
2025-05-08 13:24:23;83630.00
2025-05-08 13:24:22;85880.00
2025-05-08 13:24:21;23880.00
2025-05-08 13:24:20;90880.00
2025-05-08 13:24:19;4880.00
2025-05-08 13:24:18;14880.00
2025-05-08 13:24:17;17130.00
2025-05-08 13:24:16;69630.00
2025-05-08 13:24:15;63880.00
2025-05-08 13:24:14;56630.00
2025-05-08 13:24:13;38380.00
2025-05-08 13:24:12;36130.00
2025-05-08 13:24:11;64630.00
2025-05-08 13:24:10;62380.00
2025-05-08 13:24:09;47880.00
2025-05-08 13:24:08;66880.00
2025-05-08 13:24:07;62380.00
2025-05-08 13:24:06;50630.00
2025-05-08 13:24:05;69630.00
2025-05-08 13:24:04;76880.00
2025-05-08 13:24:03;52880.00
2025-05-08 13:24:02;5880.00
2025-05-08 13:24:01;96880.00
2025-05-08 13:24:00;96880.00
2025-05-08 13:23:59;41630.00
2025-05-08 13:23:58;46130.00
2025-05-08 13:23:57;62380.00
2025-05-08 13:23:56;43380.00
2025-05-08 13:23:55;69630.00
2025-05-08 13:23:54;81380.00
2025-05-08 13:23:53;57880.00
2025-05-08 13:23:52;35380.00
2025-05-08 13:23:51;31630.00
2025-05-08 13:23:50;57880.00
2025-05-08 13:23:49;91380.00
2025-05-08 13:23:48;46130.00
2025-05-08 13:23:47;43880.00
2025-05-08 13:23:46;46130.00
2025-05-08 13:23:45;46130.00
2025-05-08 13:23:44;10380.00
2025-05-08 13:23:43;27630.00
2025-05-08 13:23:42;45380.00
2025-05-08 13:23:41;34380.00
2025-05-08 13:23:40;51130.00
2025-05-08 13:23:39;38880.00
2025-05-08 13:23:38;67380.00
2025-05-08 13:23:37;24880.00
2025-05-08 13:23:36;51130.00
2025-05-08 13:23:35;32130.00
2025-05-08 13:23:34;43880.00
2025-05-08 13:23:33;51130.00
2025-05-08 13:23:32;98630.00
2025-05-08 13:23:31;20380.00
2025-05-08 13:23:30;43880.00
2025-05-08 13:23:29;24880.00
2025-05-08 13:23:28;70130.00
2025-05-08 13:23:27;89130.00
2025-05-08 13:23:26;32130.00
2025-05-08 13:23:25;94130.00
2025-05-08 13:23:24;70130.00
2025-05-08 13:23:23;48880.00
2025-05-08 13:23:22;29880.00
2025-05-08 13:23:21;94130.00
2025-05-08 13:23:20;60630.00
2025-05-08 13:23:19;84630.00
2025-05-08 13:23:18;63380.00
2025-05-08 13:23:17;8630.00
2025-05-08 13:23:16;39380.00
2025-05-08 13:23:15;89630.00
2025-05-08 13:23:14;53880.00
2025-05-08 13:23:13;34880.00
2025-05-08 13:23:12;62130.00
2025-05-08 13:23:11;18630.00
2025-05-08 13:23:10;92130.00
2025-05-08 13:23:09;23630.00
2025-05-08 13:23:08;83380.00
2025-05-08 13:23:07;26380.00
