Fecha y Hora;PIT-8012 - Presión Caldera HE-801
2025-05-08 13:27:39;-60.28
2025-05-08 13:27:38;-69.78
2025-05-08 13:27:37;-55.28
2025-05-08 13:27:36;-53.03
2025-05-08 13:27:35;-69.78
2025-05-08 13:27:34;-59.28
2025-05-08 13:27:33;-87.78
2025-05-08 13:27:32;-38.03
2025-05-08 13:27:31;-99.53
2025-05-08 13:27:30;-66.03
2025-05-08 13:27:29;-18.03
2025-05-08 13:27:28;-56.53
2025-05-08 13:27:27;-12.53
2025-05-08 13:27:26;-69.53
2025-05-08 13:27:25;-61.03
2025-05-08 13:27:24;-6.28
2025-05-08 13:27:23;-39.78
2025-05-08 13:27:22;-68.78
2025-05-08 13:27:21;-35.28
2025-05-08 13:27:20;-69.28
2025-05-08 13:27:19;-40.28
2025-05-08 13:27:18;-14.03
2025-05-08 13:27:17;-25.78
2025-05-08 13:27:16;-48.03
2025-05-08 13:27:15;-77.78
2025-05-08 13:27:14;-4.53
2025-05-08 13:27:13;-66.53
2025-05-08 13:27:12;-85.53
2025-05-08 13:27:11;-62.03
2025-05-08 13:27:10;-40.28
2025-05-08 13:27:09;-68.78
2025-05-08 13:27:08;-49.78
2025-05-08 13:27:07;-47.53
2025-05-08 13:27:06;-6.78
2025-05-08 13:27:05;-9.53
2025-05-08 13:27:04;-33.03
2025-05-08 13:27:03;-19.03
2025-05-08 13:27:02;-94.53
2025-05-08 13:27:01;-18.53
2025-05-08 13:27:00;-35.28
2025-05-08 13:26:59;-90.03
2025-05-08 13:26:58;-6.28
2025-05-08 13:26:57;-59.28
2025-05-08 13:26:56;-7.53
2025-05-08 13:26:55;-74.53
2025-05-08 13:26:54;-69.53
2025-05-08 13:26:53;-48.28
2025-05-08 13:26:52;-62.78
2025-05-08 13:26:51;-6.78
2025-05-08 13:26:50;-65.53
2025-05-08 13:26:49;-39.78
2025-05-08 13:26:48;-87.28
2025-05-08 13:26:47;-33.03
2025-05-08 13:26:46;-53.78
2025-05-08 13:26:45;-87.78
2025-05-08 13:26:44;-14.03
2025-05-08 13:26:43;-18.53
2025-05-08 13:26:42;-99.53
2025-05-08 13:26:41;-39.28
2025-05-08 13:26:40;-81.78
2025-05-08 13:26:39;-52.78
2025-05-08 13:26:38;-69.53
2025-05-08 13:26:37;-10.28
2025-05-08 13:26:36;-46.53
2025-05-08 13:26:35;-84.03
2025-05-08 13:26:34;-22.53
2025-05-08 13:26:33;-68.28
2025-05-08 13:26:32;-8.53
2025-05-08 13:26:31;-9.03
2025-05-08 13:26:30;-22.53
2025-05-08 13:26:29;-67.78
2025-05-08 13:26:28;-32.03
2025-05-08 13:26:27;-27.03
2025-05-08 13:26:26;-29.78
2025-05-08 13:26:25;-46.53
2025-05-08 13:26:24;-83.53
2025-05-08 13:26:23;-9.28
2025-05-08 13:26:22;-9.28
2025-05-08 13:26:21;-99.78
2025-05-08 13:26:20;-48.28
2025-05-08 13:26:19;-48.28
2025-05-08 13:26:18;-63.28
2025-05-08 13:26:17;-41.53
2025-05-08 13:26:16;-91.78
2025-05-08 13:26:15;-67.78
2025-05-08 13:26:14;-34.28
2025-05-08 13:26:13;-43.78
2025-05-08 13:26:12;-46.03
2025-05-08 13:26:11;-84.53
2025-05-08 13:26:10;-1.28
2025-05-08 13:26:09;-5.78
2025-05-08 13:26:08;-80.03
2025-05-08 13:26:07;-89.03
2025-05-08 13:26:06;-0.78
2025-05-08 13:26:05;-5.78
2025-05-08 13:26:04;-48.78
2025-05-08 13:26:03;-17.53
2025-05-08 13:26:02;-24.78
2025-05-08 13:26:01;-56.03
2025-05-08 13:26:00;-52.78
2025-05-08 13:25:59;-62.78
2025-05-08 13:25:58;-3.03
2025-05-08 13:25:57;-42.03
2025-05-08 13:25:56;-67.78
2025-05-08 13:25:55;-10.28
2025-05-08 13:25:54;-86.78
2025-05-08 13:25:53;-1.28
2025-05-08 13:25:52;-59.03
2025-05-08 13:25:51;-40.53
2025-05-08 13:25:50;-37.28
2025-05-08 13:25:49;-29.53
2025-05-08 13:25:48;-27.28
2025-05-08 13:25:47;-35.53
2025-05-08 13:25:46;-83.53
2025-05-08 13:25:45;-17.03
2025-05-08 13:25:44;-9.78
2025-05-08 13:25:43;-40.03
2025-05-08 13:25:42;-13.78
2025-05-08 13:25:41;-50.53
2025-05-08 13:25:40;-48.28
2025-05-08 13:25:39;-76.28
2025-05-08 13:25:38;-52.78
2025-05-08 13:25:37;-28.78
2025-05-08 13:25:36;-67.28
2025-05-08 13:25:35;-90.28
2025-05-08 13:25:34;-57.28
2025-05-08 13:25:33;-52.28
2025-05-08 13:25:32;-62.28
2025-05-08 13:25:31;-52.78
2025-05-08 13:25:30;-66.78
2025-05-08 13:25:29;-81.28
2025-05-08 13:25:28;-24.28
2025-05-08 13:25:27;-26.03
2025-05-08 13:25:26;-57.28
2025-05-08 13:25:25;-21.53
2025-05-08 13:25:24;-33.28
2025-05-08 13:25:23;-28.78
2025-05-08 13:25:22;-52.78
2025-05-08 13:25:21;-2.78
2025-05-08 13:25:20;-81.53
2025-05-08 13:25:19;-75.78
2025-05-08 13:25:18;-32.28
2025-05-08 13:25:17;-22.28
2025-05-08 13:25:16;-46.28
2025-05-08 13:25:15;-64.03
2025-05-08 13:25:14;-26.03
2025-05-08 13:25:13;-49.53
2025-05-08 13:25:12;-82.53
2025-05-08 13:25:11;-26.03
2025-05-08 13:25:10;-9.28
2025-05-08 13:25:09;-2.53
2025-05-08 13:25:08;-49.53
2025-05-08 13:25:07;-21.03
2025-05-08 13:25:06;-56.28
2025-05-08 13:25:05;-6.53
2025-05-08 13:25:04;-75.78
2025-05-08 13:25:03;-37.78
2025-05-08 13:25:02;-18.78
2025-05-08 13:25:01;-83.03
2025-05-08 13:25:00;-8.78
2025-05-08 13:24:59;-25.53
2025-05-08 13:24:58;-85.78
2025-05-08 13:24:57;-87.03
2025-05-08 13:24:56;-3.78
2025-05-08 13:24:55;-17.78
2025-05-08 13:24:54;-67.53
2025-05-08 13:24:53;-8.28
2025-05-08 13:24:52;-8.28
2025-05-08 13:24:51;-30.03
2025-05-08 13:24:50;-24.53
2025-05-08 13:24:49;-14.53
2025-05-08 13:24:48;-78.78
2025-05-08 13:24:47;-24.03
2025-05-08 13:24:46;-3.28
2025-05-08 13:24:45;-88.28
2025-05-08 13:24:44;-75.28
2025-05-08 13:24:43;-94.78
2025-05-08 13:24:42;-41.78
2025-05-08 13:24:41;-26.03
2025-05-08 13:24:40;-22.78
2025-05-08 13:24:39;-34.53
2025-05-08 13:24:38;-20.53
2025-05-08 13:24:37;-68.53
2025-05-08 13:24:36;-4.28
2025-05-08 13:24:35;-37.28
2025-05-08 13:24:34;-51.78
2025-05-08 13:24:33;-56.78
2025-05-08 13:24:32;-68.53
2025-05-08 13:24:31;-54.03
2025-05-08 13:24:30;-93.78
2025-05-08 13:24:29;-46.78
2025-05-08 13:24:28;-3.78
2025-05-08 13:24:27;-50.78
2025-05-08 13:24:26;-13.28
2025-05-08 13:24:25;-82.03
2025-05-08 13:24:24;-20.53
2025-05-08 13:24:23;-77.53
2025-05-08 13:24:22;-73.03
2025-05-08 13:24:21;-30.03
2025-05-08 13:24:20;-89.28
2025-05-08 13:24:19;-3.78
2025-05-08 13:24:18;-71.53
2025-05-08 13:24:17;-78.28
2025-05-08 13:24:16;-97.28
2025-05-08 13:24:15;-90.53
2025-05-08 13:24:14;-19.03
2025-05-08 13:24:13;-62.03
2025-05-08 13:24:12;-10.53
2025-05-08 13:24:11;-91.53
2025-05-08 13:24:10;-79.78
2025-05-08 13:24:09;-29.53
2025-05-08 13:24:08;-10.53
2025-05-08 13:24:07;-46.28
2025-05-08 13:24:06;-15.03
2025-05-08 13:24:05;-50.28
2025-05-08 13:24:04;-14.53
2025-05-08 13:24:03;-48.03
2025-05-08 13:24:02;-47.53
2025-05-08 13:24:01;-0.03
2025-05-08 13:24:00;-62.03
2025-05-08 13:23:59;-14.53
2025-05-08 13:23:58;-59.78
2025-05-08 13:23:57;-77.03
2025-05-08 13:23:56;-93.78
2025-05-08 13:23:55;-22.28
2025-05-08 13:23:54;-50.78
2025-05-08 13:23:53;-38.53
2025-05-08 13:23:52;-33.53
2025-05-08 13:23:51;-19.53
2025-05-08 13:23:50;-26.78
2025-05-08 13:23:49;-48.53
2025-05-08 13:23:48;-17.28
2025-05-08 13:23:47;-31.78
2025-05-08 13:23:46;-44.28
2025-05-08 13:23:45;-71.03
2025-05-08 13:23:44;-23.03
2025-05-08 13:23:43;-61.03
2025-05-08 13:23:42;-68.78
2025-05-08 13:23:41;-19.03
2025-05-08 13:23:40;-83.28
2025-05-08 13:23:39;-76.53
2025-05-08 13:23:38;-83.78
2025-05-08 13:23:37;-53.03
2025-05-08 13:23:36;-50.78
2025-05-08 13:23:35;-78.78
2025-05-08 13:23:34;-16.78
2025-05-08 13:23:33;-38.53
2025-05-08 13:23:32;-31.28
2025-05-08 13:23:31;-76.53
2025-05-08 13:23:30;-52.53
2025-05-08 13:23:29;-69.28
2025-05-08 13:23:28;-79.28
2025-05-08 13:23:27;-17.28
2025-05-08 13:23:26;-24.03
2025-05-08 13:23:25;-29.03
2025-05-08 13:23:24;-90.53
2025-05-08 13:23:23;-57.53
2025-05-08 13:23:22;-31.28
2025-05-08 13:23:21;-64.78
2025-05-08 13:23:20;-43.03
2025-05-08 13:23:19;-63.78
2025-05-08 13:23:18;-52.53
2025-05-08 13:23:17;-81.03
2025-05-08 13:23:16;-19.03
2025-05-08 13:23:15;-76.03
2025-05-08 13:23:14;97.47
2025-05-08 13:23:13;-29.78
2025-05-08 13:23:12;-43.78
2025-05-08 13:23:11;56.72
2025-05-08 13:23:10;11.47
2025-05-08 13:23:09;-77.78
2025-05-08 13:23:08;-84.53
2025-05-08 13:23:07;-94.53
2025-05-08 13:23:06;-99.53
2025-05-08 13:23:05;-14.03
2025-05-08 13:23:04;-54.28
2025-05-08 13:23:03;-1.78
2025-05-08 13:23:02;-40.28
2025-05-08 13:23:01;-23.53
2025-05-08 13:23:00;-52.03
2025-05-08 13:22:59;-92.28
2025-05-08 13:22:58;-25.78
2025-05-08 13:22:57;-54.78
2025-05-08 13:22:56;-6.78
2025-05-08 13:22:55;-92.78
2025-05-08 13:22:54;-23.53
2025-05-08 13:22:53;-87.78
2025-05-08 13:22:52;-99.53
2025-05-08 13:22:51;-58.78
2025-05-08 13:22:50;-4.53
2025-05-08 13:22:49;-25.78
2025-05-08 13:22:48;-30.28
2025-05-08 13:22:47;-97.28
2025-05-08 13:22:46;-63.78
2025-05-08 13:22:45;-51.53
2025-05-08 13:22:44;-47.03
2025-05-08 13:22:43;-86.78
2025-05-08 13:22:42;92.47
2025-05-08 13:22:41;-15.78
2025-05-08 13:22:40;68.47
2025-05-08 13:22:39;51.72
2025-05-08 13:22:38;-60.53
2025-05-08 13:22:37;-37.53
2025-05-08 13:22:36;-78.28
2025-05-08 13:22:35;-80.03
2025-05-08 13:22:34;-41.53
2025-05-08 13:22:33;-49.28
2025-05-08 13:22:32;-9.03
2025-05-08 13:22:31;-15.28
2025-05-08 13:22:30;-68.28
2025-05-08 13:22:29;-8.53
2025-05-08 13:22:28;-91.78
2025-05-08 13:22:27;-41.53
2025-05-08 13:22:26;-75.03
2025-05-08 13:22:25;-20.28
2025-05-08 13:22:24;-13.03
2025-05-08 13:22:23;-44.28
2025-05-08 13:22:22;97.47
2025-05-08 13:22:21;92.47
2025-05-08 13:22:20;23.72
2025-05-08 13:22:19;-51.03
2025-05-08 13:22:18;52.72
2025-05-08 13:22:17;39.97
2025-05-08 13:22:16;11.47
2025-05-08 13:22:15;30.47
2025-05-08 13:22:14;30.47
2025-05-08 13:22:13;-96.28
2025-05-08 13:22:12;-92.28
2025-05-08 13:22:11;62.22
2025-05-08 13:22:10;85.72
2025-05-08 13:22:09;92.97
2025-05-08 13:22:08;-86.78
2025-05-08 13:22:07;66.72
2025-05-08 13:22:06;-80.03
2025-05-08 13:22:05;-39.28
2025-05-08 13:22:04;-51.53
2025-05-08 13:22:03;-48.78
2025-05-08 13:22:02;-13.03
2025-05-08 13:22:01;-63.28
2025-05-08 13:22:00;-46.53
2025-05-08 13:21:59;-22.53
2025-05-08 13:21:58;-1.28
2025-05-08 13:21:57;27.72
2025-05-08 13:21:56;-86.78
2025-05-08 13:21:55;72.97
2025-05-08 13:21:54;70.72
2025-05-08 13:21:53;-32.03
2025-05-08 13:21:52;-84.53
2025-05-08 13:21:51;-94.03
2025-05-08 13:21:50;25.47
2025-05-08 13:21:49;-89.03
2025-05-08 13:21:48;-1.28
2025-05-08 13:21:47;-15.28
2025-05-08 13:21:46;-46.53
2025-05-08 13:21:45;44.47
2025-05-08 13:21:44;44.47
2025-05-08 13:21:43;34.97
2025-05-08 13:21:42;-29.78
2025-05-08 13:21:41;77.97
2025-05-08 13:21:40;26.47
2025-05-08 13:21:39;40.97
2025-05-08 13:21:38;21.97
2025-05-08 13:21:37;26.97
2025-05-08 13:21:36;40.97
2025-05-08 13:21:35;67.72
2025-05-08 13:21:34;28.22
2025-05-08 13:21:33;15.97
2025-05-08 13:21:32;-53.28
2025-05-08 13:21:31;42.72
2025-05-08 13:21:30;31.47
2025-05-08 13:21:29;2.97
2025-05-08 13:21:28;24.22
2025-05-08 13:21:27;5.72
2025-05-08 13:21:26;26.47
2025-05-08 13:21:25;88.47
2025-05-08 13:21:24;22.47
2025-05-08 13:21:23;10.22
2025-05-08 13:21:22;38.72
2025-05-08 13:21:21;56.72
2025-05-08 13:21:20;25.97
2025-05-08 13:21:19;4.72
2025-05-08 13:21:18;28.72
2025-05-08 13:21:17;73.97
2025-05-08 13:21:16;9.72
2025-05-08 13:21:15;71.22
2025-05-08 13:21:14;86.22
2025-05-08 13:21:13;24.22
2025-05-08 13:21:12;90.72
2025-05-08 13:21:11;54.97
2025-05-08 13:21:10;14.72
2025-05-08 13:21:09;35.47
2025-05-08 13:21:08;67.22
2025-05-08 13:21:07;62.72
2025-05-08 13:21:06;60.97
2025-05-08 13:21:05;5.22
2025-05-08 13:21:04;84.47
2025-05-08 13:21:03;81.22
2025-05-08 13:21:02;97.97
2025-05-08 13:21:01;33.72
2025-05-08 13:21:00;40.47
2025-05-08 13:20:59;57.22
2025-05-08 13:20:58;90.72
2025-05-08 13:20:57;21.97
2025-05-08 13:20:56;57.72
2025-05-08 13:20:55;0.72
2025-05-08 13:20:54;86.22
2025-05-08 13:20:53;36.97
2025-05-08 13:20:52;78.97
2025-05-08 13:20:51;45.47
2025-05-08 13:20:50;74.47
2025-05-08 13:20:49;45.97
2025-05-08 13:20:48;93.47
2025-05-08 13:20:47;83.47
2025-05-08 13:20:46;98.47
2025-05-08 13:20:45;64.97
2025-05-08 13:20:44;7.97
2025-05-08 13:20:43;55.47
2025-05-08 13:20:42;41.47
2025-05-08 13:20:41;38.72
2025-05-08 13:20:40;64.97
2025-05-08 13:20:39;95.72
2025-05-08 13:20:38;25.72
2025-05-08 13:20:37;94.22
2025-05-08 13:20:36;13.22
2025-05-08 13:20:35;88.72
2025-05-08 13:20:34;58.97
2025-05-08 13:20:33;84.72
2025-05-08 13:20:32;27.72
2025-05-08 13:20:31;0.47
2025-05-08 13:20:30;82.22
2025-05-08 13:20:29;15.72
2025-05-08 13:20:28;10.72
