Fecha y Hora;CV-5011 - Válvula control temperatura E-501
2025-05-08 13:27:39;-5.58
2025-05-08 13:27:38;-34.08
2025-05-08 13:27:37;-88.83
2025-05-08 13:27:36;-19.58
2025-05-08 13:27:35;-17.33
2025-05-08 13:27:34;-43.08
2025-05-08 13:27:33;-83.83
2025-05-08 13:27:32;-98.33
2025-05-08 13:27:31;-14.08
2025-05-08 13:27:30;-87.83
2025-05-08 13:27:29;-14.08
2025-05-08 13:27:28;-40.33
2025-05-08 13:27:27;-96.83
2025-05-08 13:27:26;-5.83
2025-05-08 13:27:25;-34.83
2025-05-08 13:27:24;-19.08
2025-05-08 13:27:23;-61.08
2025-05-08 13:27:22;-54.83
2025-05-08 13:27:21;-78.83
2025-05-08 13:27:20;-5.08
2025-05-08 13:27:19;-67.08
2025-05-08 13:27:18;-7.33
2025-05-08 13:27:17;-14.58
2025-05-08 13:27:16;-0.08
2025-05-08 13:27:15;-9.58
2025-05-08 13:27:14;-33.58
2025-05-08 13:27:13;-64.33
2025-05-08 13:27:12;-50.33
2025-05-08 13:27:11;-71.58
2025-05-08 13:27:10;-83.33
2025-05-08 13:27:09;-62.08
2025-05-08 13:27:08;-40.33
2025-05-08 13:27:07;-71.58
2025-05-08 13:27:06;-69.33
2025-05-08 13:27:05;-43.08
2025-05-08 13:27:04;-9.58
2025-05-08 13:27:03;-54.83
2025-05-08 13:27:02;-62.08
2025-05-08 13:27:01;-62.08
2025-05-08 13:27:00;-52.58
2025-05-08 13:26:59;-28.58
2025-05-08 13:26:58;-35.83
2025-05-08 13:26:57;-52.08
2025-05-08 13:26:56;-21.33
2025-05-08 13:26:55;-12.33
2025-05-08 13:26:54;-55.08
2025-05-08 13:26:53;-39.33
2025-05-08 13:26:52;-62.83
2025-05-08 13:26:51;-44.83
2025-05-08 13:26:50;-71.08
2025-05-08 13:26:49;-66.08
2025-05-08 13:26:48;-61.58
2025-05-08 13:26:47;-73.33
2025-05-08 13:26:46;-25.83
2025-05-08 13:26:45;-78.33
2025-05-08 13:26:44;-6.83
2025-05-08 13:26:43;-25.83
2025-05-08 13:26:42;-85.08
2025-05-08 13:26:41;-97.33
2025-05-08 13:26:40;-63.83
2025-05-08 13:26:39;-99.58
2025-05-08 13:26:38;-5.83
2025-05-08 13:26:37;-29.33
2025-05-08 13:26:36;-24.83
2025-05-08 13:26:35;-48.83
2025-05-08 13:26:34;-10.83
2025-05-08 13:26:33;-91.83
2025-05-08 13:26:32;-85.08
2025-05-08 13:26:31;-71.08
2025-05-08 13:26:30;-32.58
2025-05-08 13:26:29;-51.58
2025-05-08 13:26:28;-32.58
2025-05-08 13:26:27;-51.58
2025-05-08 13:26:26;-6.33
2025-05-08 13:26:25;-4.08
2025-05-08 13:26:24;-20.83
2025-05-08 13:26:23;-34.83
2025-05-08 13:26:22;-23.83
2025-05-08 13:26:21;-85.83
2025-05-08 13:26:20;-4.83
2025-05-08 13:26:19;-51.08
2025-05-08 13:26:18;-37.08
2025-05-08 13:26:17;-27.58
2025-05-08 13:26:16;-44.33
2025-05-08 13:26:15;-8.58
2025-05-08 13:26:14;-72.83
2025-05-08 13:26:13;-1.33
2025-05-08 13:26:12;-20.33
2025-05-08 13:26:11;-29.83
2025-05-08 13:26:10;-56.08
2025-05-08 13:26:09;-29.83
2025-05-08 13:26:08;-81.83
2025-05-08 13:26:07;-13.08
2025-05-08 13:26:06;-84.58
2025-05-08 13:26:05;-89.58
2025-05-08 13:26:04;-79.58
2025-05-08 13:26:03;-48.83
2025-05-08 13:26:02;-8.58
2025-05-08 13:26:01;-46.58
2025-05-08 13:26:00;-3.58
2025-05-08 13:25:59;-48.83
2025-05-08 13:25:58;-67.83
2025-05-08 13:25:57;-32.08
2025-05-08 13:25:56;-3.58
2025-05-08 13:25:55;-96.33
2025-05-08 13:25:54;-51.08
2025-05-08 13:25:53;-36.58
2025-05-08 13:25:52;-98.58
2025-05-08 13:25:51;-87.58
2025-05-08 13:25:50;-83.58
2025-05-08 13:25:49;-92.58
2025-05-08 13:25:48;-56.83
2025-05-08 13:25:47;-92.58
2025-05-08 13:25:46;-26.58
2025-05-08 13:25:45;-78.58
2025-05-08 13:25:44;-71.83
2025-05-08 13:25:43;-78.58
2025-05-08 13:25:42;-98.08
2025-05-08 13:25:41;-67.33
2025-05-08 13:25:40;-55.58
2025-05-08 13:25:39;-17.58
2025-05-08 13:25:38;-17.08
2025-05-08 13:25:37;-62.33
2025-05-08 13:25:36;-41.08
2025-05-08 13:25:35;-5.33
2025-05-08 13:25:34;-69.58
2025-05-08 13:25:33;-48.33
2025-05-08 13:25:32;-48.33
2025-05-08 13:25:31;-79.08
2025-05-08 13:25:30;-79.08
2025-05-08 13:25:29;-26.58
2025-05-08 13:25:28;-79.08
2025-05-08 13:25:27;-71.83
2025-05-08 13:25:26;-85.83
2025-05-08 13:25:25;-69.58
2025-05-08 13:25:24;-21.58
2025-05-08 13:25:23;-85.83
2025-05-08 13:25:22;-76.33
2025-05-08 13:25:21;-38.33
2025-05-08 13:25:20;-21.58
2025-05-08 13:25:19;-70.33
2025-05-08 13:25:18;-87.08
2025-05-08 13:25:17;-8.83
2025-05-08 13:25:16;-47.83
2025-05-08 13:25:15;-40.58
2025-05-08 13:25:14;-33.33
2025-05-08 13:25:13;-19.33
2025-05-08 13:25:12;-47.83
2025-05-08 13:25:11;-57.33
2025-05-08 13:25:10;-47.83
2025-05-08 13:25:09;-99.83
2025-05-08 13:25:08;-28.83
2025-05-08 13:25:07;-52.33
2025-05-08 13:25:06;-23.33
2025-05-08 13:25:05;-45.08
2025-05-08 13:25:04;-23.83
2025-05-08 13:25:03;-30.58
2025-05-08 13:25:02;-97.58
2025-05-08 13:25:01;-31.08
2025-05-08 13:25:00;-16.58
2025-05-08 13:24:59;-35.58
2025-05-08 13:24:58;-78.58
2025-05-08 13:24:57;-73.58
2025-05-08 13:24:56;-42.83
2025-05-08 13:24:55;-7.08
2025-05-08 13:24:54;-91.58
2025-05-08 13:24:53;-1.58
2025-05-08 13:24:52;-15.58
2025-05-08 13:24:51;-30.08
2025-05-08 13:24:50;-15.08
2025-05-08 13:24:49;-75.83
2025-05-08 13:24:48;-27.83
2025-05-08 13:24:47;-74.33
2025-05-08 13:24:46;-44.08
2025-05-08 13:24:45;-38.58
2025-05-08 13:24:44;-6.58
2025-05-08 13:24:43;-4.33
2025-05-08 13:24:42;-44.58
2025-05-08 13:24:41;-59.08
2025-05-08 13:24:40;-47.33
2025-05-08 13:24:39;-92.58
2025-05-08 13:24:38;-46.83
2025-05-08 13:24:37;-59.08
2025-05-08 13:24:36;-64.08
2025-05-08 13:24:35;-87.58
2025-05-08 13:24:34;-68.58
2025-05-08 13:24:33;-18.33
2025-05-08 13:24:32;-32.83
2025-05-08 13:24:31;-4.33
2025-05-08 13:24:30;-78.08
2025-05-08 13:24:29;-73.08
2025-05-08 13:24:28;-35.08
2025-05-08 13:24:27;-30.08
2025-05-08 13:24:26;-37.33
2025-05-08 13:24:25;-30.08
2025-05-08 13:24:24;-63.58
2025-05-08 13:24:23;-87.08
2025-05-08 13:24:22;-56.33
2025-05-08 13:24:21;-22.83
2025-05-08 13:24:20;-36.83
2025-05-08 13:24:19;-1.58
2025-05-08 13:24:18;-68.08
2025-05-08 13:24:17;-51.33
2025-05-08 13:24:16;-97.33
2025-05-08 13:24:15;-87.83
2025-05-08 13:24:14;-76.08
2025-05-08 13:24:13;-20.58
2025-05-08 13:24:12;-10.58
2025-05-08 13:24:11;-41.83
2025-05-08 13:24:10;-98.83
2025-05-08 13:24:09;-32.33
2025-05-08 13:24:08;-22.83
2025-05-08 13:24:07;-22.83
2025-05-08 13:24:06;-82.08
2025-05-08 13:24:05;-63.08
2025-05-08 13:24:04;-10.58
2025-05-08 13:24:03;-88.83
2025-05-08 13:24:02;-64.83
2025-05-08 13:24:01;-57.58
2025-05-08 13:24:00;-14.08
2025-05-08 13:23:59;-74.33
2025-05-08 13:23:58;-12.83
2025-05-08 13:23:57;-70.33
2025-05-08 13:23:56;-91.58
2025-05-08 13:23:55;-8.33
2025-05-08 13:23:54;-79.83
2025-05-08 13:23:53;-55.83
2025-05-08 13:23:52;-39.83
2025-05-08 13:23:51;-60.33
2025-05-08 13:23:50;-74.83
2025-05-08 13:23:49;-15.08
2025-05-08 13:23:48;-69.83
2025-05-08 13:23:47;-7.83
2025-05-08 13:23:46;-5.58
2025-05-08 13:23:45;-93.83
2025-05-08 13:23:44;-63.33
2025-05-08 13:23:43;-55.33
2025-05-08 13:23:42;-49.33
2025-05-08 13:23:41;-0.58
2025-05-08 13:23:40;-76.58
2025-05-08 13:23:39;-58.08
2025-05-08 13:23:38;-84.33
2025-05-08 13:23:37;-36.33
2025-05-08 13:23:36;-91.08
2025-05-08 13:23:35;-17.33
2025-05-08 13:23:34;-62.58
2025-05-08 13:23:33;-55.33
2025-05-08 13:23:32;-79.33
2025-05-08 13:23:31;-48.08
2025-05-08 13:23:30;-24.58
2025-05-08 13:23:29;-0.58
2025-05-08 13:23:28;-72.08
2025-05-08 13:23:27;-81.58
2025-05-08 13:23:26;-14.58
2025-05-08 13:23:25;-7.33
2025-05-08 13:23:24;-55.33
2025-05-08 13:23:23;-74.33
