Fecha y Hora;KV-5013 - Válvula refrigeración E-501 (2/2)
2025-05-08 13:27:39;95130.00
2025-05-08 13:27:38;95130.00
2025-05-08 13:27:37;11880.00
2025-05-08 13:27:36;19630.00
2025-05-08 13:27:35;92880.00
2025-05-08 13:27:34;93380.00
2025-05-08 13:27:33;33630.00
2025-05-08 13:27:32;66630.00
2025-05-08 13:27:31;78880.00
2025-05-08 13:27:30;70380.00
2025-05-08 13:27:29;12880.00
2025-05-08 13:27:28;55880.00
2025-05-08 13:27:27;34630.00
2025-05-08 13:27:26;91130.00
2025-05-08 13:27:25;1630.00
2025-05-08 13:27:24;36380.00
2025-05-08 13:27:23;94380.00
2025-05-08 13:27:22;29130.00
2025-05-08 13:27:21;67130.00
2025-05-08 13:27:20;14630.00
2025-05-08 13:27:19;50380.00
2025-05-08 13:27:18;93380.00
2025-05-08 13:27:17;5130.00
2025-05-08 13:27:16;93380.00
2025-05-08 13:27:15;10130.00
2025-05-08 13:27:14;48130.00
2025-05-08 13:27:13;10130.00
2025-05-08 13:27:12;14630.00
2025-05-08 13:27:11;2880.00
2025-05-08 13:27:10;84380.00
2025-05-08 13:27:09;29130.00
2025-05-08 13:27:08;62630.00
2025-05-08 13:27:07;10130.00
2025-05-08 13:27:06;83880.00
2025-05-08 13:27:05;31380.00
2025-05-08 13:27:04;83880.00
2025-05-08 13:27:03;93380.00
2025-05-08 13:27:02;630.00
2025-05-08 13:27:01;2880.00
2025-05-08 13:27:00;31380.00
2025-05-08 13:26:59;26880.00
2025-05-08 13:26:58;19630.00
2025-05-08 13:26:57;34130.00
2025-05-08 13:26:56;24630.00
2025-05-08 13:26:55;64880.00
2025-05-08 13:26:54;59630.00
2025-05-08 13:26:53;63630.00
2025-05-08 13:26:52;54630.00
2025-05-08 13:26:51;20130.00
2025-05-08 13:26:50;86630.00
2025-05-08 13:26:49;58130.00
2025-05-08 13:26:48;22380.00
2025-05-08 13:26:47;1130.00
2025-05-08 13:26:46;3380.00
2025-05-08 13:26:45;93880.00
2025-05-08 13:26:44;93880.00
2025-05-08 13:26:43;27380.00
2025-05-08 13:26:42;34630.00
2025-05-08 13:26:41;74880.00
2025-05-08 13:26:40;13380.00
2025-05-08 13:26:39;27380.00
2025-05-08 13:26:38;85380.00
2025-05-08 13:26:37;90380.00
2025-05-08 13:26:36;66380.00
2025-05-08 13:26:35;61380.00
2025-05-08 13:26:34;99380.00
2025-05-08 13:26:33;39630.00
2025-05-08 13:26:32;98880.00
2025-05-08 13:26:31;1130.00
2025-05-08 13:26:30;41880.00
2025-05-08 13:26:29;77630.00
2025-05-08 13:26:28;84880.00
2025-05-08 13:26:27;32380.00
2025-05-08 13:26:26;13380.00
2025-05-08 13:26:25;34630.00
2025-05-08 13:26:24;44130.00
2025-05-08 13:26:23;1630.00
2025-05-08 13:26:22;19380.00
2025-05-08 13:26:21;31630.00
2025-05-08 13:26:20;69630.00
2025-05-08 13:26:19;75880.00
2025-05-08 13:26:18;56880.00
2025-05-08 13:26:17;80380.00
2025-05-08 13:26:16;27880.00
2025-05-08 13:26:15;18380.00
2025-05-08 13:26:14;99380.00
2025-05-08 13:26:13;92130.00
2025-05-08 13:26:12;97130.00
2025-05-08 13:26:11;80380.00
2025-05-08 13:26:10;6630.00
2025-05-08 13:26:09;51880.00
2025-05-08 13:26:08;32880.00
2025-05-08 13:26:07;61380.00
2025-05-08 13:26:06;25630.00
2025-05-08 13:26:05;92130.00
2025-05-08 13:26:04;47380.00
2025-05-08 13:26:03;80380.00
2025-05-08 13:26:02;27880.00
2025-05-08 13:26:01;89880.00
2025-05-08 13:26:00;70880.00
2025-05-08 13:25:59;6630.00
2025-05-08 13:25:58;49630.00
2025-05-08 13:25:57;30630.00
2025-05-08 13:25:56;16130.00
2025-05-08 13:25:55;85380.00
2025-05-08 13:25:54;40130.00
2025-05-08 13:25:53;18880.00
2025-05-08 13:25:52;83130.00
2025-05-08 13:25:51;2130.00
2025-05-08 13:25:50;90880.00
2025-05-08 13:25:49;15380.00
2025-05-08 13:25:48;24880.00
2025-05-08 13:25:47;23880.00
2025-05-08 13:25:46;55130.00
2025-05-08 13:25:45;29380.00
2025-05-08 13:25:44;74130.00
2025-05-08 13:25:43;76880.00
2025-05-08 13:25:42;83630.00
2025-05-08 13:25:41;71380.00
2025-05-08 13:25:40;28880.00
2025-05-08 13:25:39;9380.00
2025-05-08 13:25:38;14880.00
2025-05-08 13:25:37;55130.00
2025-05-08 13:25:36;42880.00
2025-05-08 13:25:35;4880.00
2025-05-08 13:25:34;31130.00
2025-05-08 13:25:33;99880.00
2025-05-08 13:25:32;61880.00
2025-05-08 13:25:31;59630.00
2025-05-08 13:25:30;85880.00
2025-05-08 13:25:29;86380.00
2025-05-08 13:25:28;31130.00
2025-05-08 13:25:27;38380.00
2025-05-08 13:25:26;36130.00
2025-05-08 13:25:25;95380.00
2025-05-08 13:25:24;24380.00
2025-05-08 13:25:23;24380.00
2025-05-08 13:25:22;43380.00
2025-05-08 13:25:21;81380.00
2025-05-08 13:25:20;71880.00
2025-05-08 13:25:19;25380.00
2025-05-08 13:25:18;23130.00
2025-05-08 13:25:17;10880.00
2025-05-08 13:25:16;71880.00
2025-05-08 13:25:15;24380.00
2025-05-08 13:25:14;50630.00
2025-05-08 13:25:13;43380.00
2025-05-08 13:25:12;98130.00
2025-05-08 13:25:11;43380.00
2025-05-08 13:25:10;79130.00
2025-05-08 13:25:09;76880.00
2025-05-08 13:25:08;90880.00
2025-05-08 13:25:07;67380.00
2025-05-08 13:25:06;15380.00
2025-05-08 13:25:05;91380.00
2025-05-08 13:25:04;93630.00
2025-05-08 13:25:03;19880.00
2025-05-08 13:25:02;76880.00
2025-05-08 13:25:01;88630.00
2025-05-08 13:25:00;74630.00
2025-05-08 13:24:59;65130.00
2025-05-08 13:24:58;3130.00
2025-05-08 13:24:57;36630.00
2025-05-08 13:24:56;12630.00
2025-05-08 13:24:55;93630.00
2025-05-08 13:24:54;63880.00
2025-05-08 13:24:53;51630.00
2025-05-08 13:24:52;75630.00
2025-05-08 13:24:51;80130.00
2025-05-08 13:24:50;9130.00
2025-05-08 13:24:49;5880.00
2025-05-08 13:24:48;18130.00
2025-05-08 13:24:47;64380.00
2025-05-08 13:24:46;1880.00
2025-05-08 13:24:45;81130.00
2025-05-08 13:24:44;60630.00
2025-05-08 13:24:43;79630.00
2025-05-08 13:24:42;3630.00
2025-05-08 13:24:41;41630.00
2025-05-08 13:24:40;27130.00
2025-05-08 13:24:39;5880.00
2025-05-08 13:24:38;37130.00
2025-05-08 13:24:37;96380.00
2025-05-08 13:24:36;98630.00
2025-05-08 13:24:35;67880.00
2025-05-08 13:24:34;5880.00
