Fecha y Hora;HE-801 - Caldera Mixta
2025-05-08 13:27:39;-9987.00
2025-05-08 13:27:38;-6862.00
2025-05-08 13:27:37;-662.00
2025-05-08 13:27:36;-7537.00
2025-05-08 13:27:35;-8987.00
2025-05-08 13:27:34;-7812.00
2025-05-08 13:27:33;-4012.00
2025-05-08 13:27:32;-212.00
2025-05-08 13:27:31;-6137.00
2025-05-08 13:27:30;-9487.00
2025-05-08 13:27:29;-4412.00
2025-05-08 13:27:28;-9162.00
2025-05-08 13:27:27;-4137.00
2025-05-08 13:27:26;-7762.00
2025-05-08 13:27:25;-8762.00
2025-05-08 13:27:24;-3962.00
2025-05-08 13:27:23;-1012.00
2025-05-08 13:27:22;-6812.00
2025-05-08 13:27:21;-7087.00
2025-05-08 13:27:20;-2287.00
2025-05-08 13:27:19;-5187.00
2025-05-08 13:27:18;-4462.00
2025-05-08 13:27:17;-1837.00
2025-05-08 13:27:16;-5362.00
2025-05-08 13:27:15;-7987.00
2025-05-08 13:27:14;-1837.00
2025-05-08 13:27:13;-5362.00
2025-05-08 13:27:12;-887.00
2025-05-08 13:27:11;-162.00
2025-05-08 13:27:10;-112.00
2025-05-08 13:27:09;-8262.00
2025-05-08 13:27:08;-5862.00
2025-05-08 13:27:07;-2062.00
2025-05-08 13:27:06;-3737.00
2025-05-08 13:27:05;-7312.00
2025-05-08 13:27:04;-2787.00
2025-05-08 13:27:03;-7037.00
2025-05-08 13:27:02;-8487.00
2025-05-08 13:27:01;-3462.00
2025-05-08 13:27:00;-3462.00
2025-05-08 13:26:59;-8712.00
2025-05-08 13:26:58;-1337.00
2025-05-08 13:26:57;-6087.00
2025-05-08 13:26:56;-1562.00
2025-05-08 13:26:55;-3237.00
2025-05-08 13:26:54;-2737.00
2025-05-08 13:26:53;-5537.00
2025-05-08 13:26:52;-5712.00
2025-05-08 13:26:51;-8887.00
2025-05-08 13:26:50;-7987.00
2025-05-08 13:26:49;-7262.00
2025-05-08 13:26:48;-5587.00
2025-05-08 13:26:47;-8662.00
2025-05-08 13:26:46;-1062.00
2025-05-08 13:26:45;-5362.00
2025-05-08 13:26:44;-4637.00
2025-05-08 13:26:43;-337.00
2025-05-08 13:26:42;-1737.00
2025-05-08 13:26:41;-3912.00
2025-05-08 13:26:40;-62.00
2025-05-08 13:26:39;-9612.00
2025-05-08 13:26:38;-7937.00
2025-05-08 13:26:37;-9062.00
2025-05-08 13:26:36;-3587.00
2025-05-08 13:26:35;-9787.00
2025-05-08 13:26:34;-2412.00
2025-05-08 13:26:33;-6262.00
2025-05-08 13:26:32;-8387.00
2025-05-08 13:26:31;-1062.00
2025-05-08 13:26:30;-2912.00
2025-05-08 13:26:29;-512.00
2025-05-08 13:26:28;-1512.00
2025-05-08 13:26:27;-6037.00
2025-05-08 13:26:26;-5312.00
2025-05-08 13:26:25;-2462.00
2025-05-08 13:26:24;-1512.00
2025-05-08 13:26:23;-9837.00
2025-05-08 13:26:22;-2187.00
2025-05-08 13:26:21;-2537.00
2025-05-08 13:26:20;-9912.00
2025-05-08 13:26:19;-2187.00
2025-05-08 13:26:18;-1912.00
2025-05-08 13:26:17;-9562.00
2025-05-08 13:26:16;-7437.00
2025-05-08 13:26:15;-8387.00
2025-05-08 13:26:14;-287.00
2025-05-08 13:26:13;-7662.00
2025-05-08 13:26:12;-287.00
2025-05-08 13:26:11;-7437.00
2025-05-08 13:26:10;-9337.00
2025-05-08 13:26:09;-512.00
2025-05-08 13:26:08;-1237.00
2025-05-08 13:26:07;-5712.00
2025-05-08 13:26:06;-7887.00
2025-05-08 13:26:05;-5762.00
2025-05-08 13:26:04;-1687.00
2025-05-08 13:26:03;-287.00
2025-05-08 13:26:02;-5762.00
2025-05-08 13:26:01;-8612.00
2025-05-08 13:26:00;-4312.00
2025-05-08 13:25:59;-4312.00
2025-05-08 13:25:58;-2412.00
2025-05-08 13:25:57;-1687.00
2025-05-08 13:25:56;-6662.00
2025-05-08 13:25:55;-3587.00
2025-05-08 13:25:54;-5262.00
2025-05-08 13:25:53;-1912.00
2025-05-08 13:25:52;-9287.00
2025-05-08 13:25:51;-9737.00
2025-05-08 13:25:50;-9787.00
2025-05-08 13:25:49;-5112.00
2025-05-08 13:25:48;-1537.00
2025-05-08 13:25:47;-9462.00
2025-05-08 13:25:46;-7387.00
2025-05-08 13:25:45;-5612.00
2025-05-08 13:25:44;-412.00
2025-05-08 13:25:43;-1812.00
2025-05-08 13:25:42;-2087.00
2025-05-08 13:25:41;-3987.00
2025-05-08 13:25:40;-1137.00
2025-05-08 13:25:39;-6662.00
2025-05-08 13:25:38;-4437.00
2025-05-08 13:25:37;-7837.00
2025-05-08 13:25:36;-3987.00
2025-05-08 13:25:35;-187.00
2025-05-08 13:25:34;-1637.00
2025-05-08 13:25:33;-4037.00
2025-05-08 13:25:32;-3987.00
2025-05-08 13:25:31;-5162.00
2025-05-08 13:25:30;-9687.00
2025-05-08 13:25:29;-8012.00
2025-05-08 13:25:28;-687.00
2025-05-08 13:25:27;-7562.00
2025-05-08 13:25:26;-3762.00
2025-05-08 13:25:25;-8737.00
2025-05-08 13:25:24;-9237.00
2025-05-08 13:25:23;-5662.00
2025-05-08 13:25:22;-9412.00
2025-05-08 13:25:21;-3712.00
2025-05-08 13:25:20;-3712.00
2025-05-08 13:25:19;-9462.00
2025-05-08 13:25:18;-3612.00
2025-05-08 13:25:17;-762.00
2025-05-08 13:25:16;-7287.00
2025-05-08 13:25:15;-1312.00
2025-05-08 13:25:14;-137.00
2025-05-08 13:25:13;-7787.00
2025-05-08 13:25:12;-412.00
2025-05-08 13:25:11;-4212.00
2025-05-08 13:25:10;-4212.00
2025-05-08 13:25:09;-8962.00
2025-05-08 13:25:08;-4662.00
2025-05-08 13:25:07;-9637.00
2025-05-08 13:25:06;-2487.00
2025-05-08 13:25:05;-862.00
2025-05-08 13:25:04;-1587.00
2025-05-08 13:25:03;-1087.00
2025-05-08 13:25:02;-2262.00
2025-05-08 13:25:01;-8462.00
2025-05-08 13:25:00;-637.00
2025-05-08 13:24:59;-2487.00
2025-05-08 13:24:58;-5612.00
2025-05-08 13:24:57;-6287.00
2025-05-08 13:24:56;-8237.00
2025-05-08 13:24:55;-5612.00
2025-05-08 13:24:54;-1762.00
2025-05-08 13:24:53;-537.00
2025-05-08 13:24:52;-3612.00
2025-05-08 13:24:51;-7912.00
2025-05-08 13:24:50;-7637.00
2025-05-08 13:24:49;-9637.00
2025-05-08 13:24:48;-87.00
2025-05-08 13:24:47;-7962.00
2025-05-08 13:24:46;-9312.00
2025-05-08 13:24:45;3638.00
2025-05-08 13:24:44;-7687.00
2025-05-08 13:24:43;-7962.00
2025-05-08 13:24:42;-2712.00
2025-05-08 13:24:41;-2487.00
2025-05-08 13:24:40;-8687.00
2025-05-08 13:24:39;-7962.00
2025-05-08 13:24:38;-6962.00
2025-05-08 13:24:37;-8637.00
2025-05-08 13:24:36;-5112.00
2025-05-08 13:24:35;-9137.00
2025-05-08 13:24:34;-2212.00
2025-05-08 13:24:33;-1037.00
2025-05-08 13:24:32;-3437.00
2025-05-08 13:24:31;-8912.00
2025-05-08 13:24:30;-1762.00
2025-05-08 13:24:29;-2712.00
2025-05-08 13:24:28;-4837.00
2025-05-08 13:24:27;-987.00
2025-05-08 13:24:26;-1762.00
2025-05-08 13:24:25;-4112.00
2025-05-08 13:24:24;-4337.00
2025-05-08 13:24:23;-1212.00
2025-05-08 13:24:22;-6737.00
2025-05-08 13:24:21;-4837.00
2025-05-08 13:24:20;-6237.00
2025-05-08 13:24:19;-987.00
2025-05-08 13:24:18;-3112.00
2025-05-08 13:24:17;-987.00
2025-05-08 13:24:16;-5012.00
2025-05-08 13:24:15;2738.00
2025-05-08 13:24:14;5813.00
2025-05-08 13:24:13;-1487.00
2025-05-08 13:24:12;-37.00
2025-05-08 13:24:11;-9537.00
2025-05-08 13:24:10;-37.00
2025-05-08 13:24:09;-7637.00
2025-05-08 13:24:08;-4787.00
2025-05-08 13:24:07;-37.00
2025-05-08 13:24:06;-4062.00
2025-05-08 13:24:05;-9312.00
2025-05-08 13:24:04;-7637.00
2025-05-08 13:24:03;-4787.00
2025-05-08 13:24:02;-2887.00
2025-05-08 13:24:01;8888.00
2025-05-08 13:24:00;9838.00
2025-05-08 13:23:59;8163.00
2025-05-08 13:23:58;-6187.00
2025-05-08 13:23:57;-262.00
2025-05-08 13:23:56;-5237.00
2025-05-08 13:23:55;-5737.00
2025-05-08 13:23:54;-8812.00
2025-05-08 13:23:53;-6687.00
2025-05-08 13:23:52;9163.00
2025-05-08 13:23:51;-4062.00
2025-05-08 13:23:50;-1437.00
2025-05-08 13:23:49;5038.00
2025-05-08 13:23:48;5488.00
2025-05-08 13:23:47;8838.00
2025-05-08 13:23:46;-8812.00
2025-05-08 13:23:45;1913.00
2025-05-08 13:23:44;963.00
2025-05-08 13:23:43;7213.00
2025-05-08 13:23:42;4688.00
2025-05-08 13:23:41;7163.00
2025-05-08 13:23:40;7888.00
2025-05-08 13:23:39;6938.00
2025-05-08 13:23:38;738.00
2025-05-08 13:23:37;6938.00
2025-05-08 13:23:36;8163.00
2025-05-08 13:23:35;5488.00
2025-05-08 13:23:34;2913.00
2025-05-08 13:23:33;8163.00
2025-05-08 13:23:32;7888.00
2025-05-08 13:23:31;4088.00
2025-05-08 13:23:30;963.00
2025-05-08 13:23:29;1963.00
2025-05-08 13:23:28;7888.00
2025-05-08 13:23:27;738.00
2025-05-08 13:23:26;2413.00
2025-05-08 13:23:25;3138.00
2025-05-08 13:23:24;1463.00
2025-05-08 13:23:23;8613.00
2025-05-08 13:23:22;2913.00
2025-05-08 13:23:21;5313.00
2025-05-08 13:23:20;4088.00
2025-05-08 13:23:19;6988.00
2025-05-08 13:23:18;4138.00
2025-05-08 13:23:17;63.00
2025-05-08 13:23:16;3413.00
2025-05-08 13:23:15;3913.00
2025-05-08 13:23:14;338.00
2025-05-08 13:23:13;1963.00
2025-05-08 13:23:12;9213.00
2025-05-08 13:23:11;2063.00
2025-05-08 13:23:10;9038.00
2025-05-08 13:23:09;2788.00
2025-05-08 13:23:08;7038.00
2025-05-08 13:23:07;9938.00
2025-05-08 13:23:06;6763.00
2025-05-08 13:23:05;8938.00
2025-05-08 13:23:04;4413.00
