Fecha y Hora;KV-4012 - Válvula venteo S-401
2025-05-08 13:27:39;96880.00
2025-05-08 13:27:38;9130.00
2025-05-08 13:27:37;25880.00
2025-05-08 13:27:36;2380.00
2025-05-08 13:27:35;97380.00
2025-05-08 13:27:34;73880.00
2025-05-08 13:27:33;28130.00
2025-05-08 13:27:32;30380.00
2025-05-08 13:27:31;61630.00
2025-05-08 13:27:30;74380.00
2025-05-08 13:27:29;81630.00
2025-05-08 13:27:28;12380.00
2025-05-08 13:27:27;81630.00
2025-05-08 13:27:26;45380.00
2025-05-08 13:27:25;70380.00
2025-05-08 13:27:24;54880.00
2025-05-08 13:27:23;48630.00
2025-05-08 13:27:22;43130.00
2025-05-08 13:27:21;6880.00
2025-05-08 13:27:20;54880.00
2025-05-08 13:27:19;38130.00
2025-05-08 13:27:18;49880.00
2025-05-08 13:27:17;14130.00
2025-05-08 13:27:16;62130.00
2025-05-08 13:27:15;14630.00
2025-05-08 13:27:14;16880.00
2025-05-08 13:27:13;14630.00
2025-05-08 13:27:12;68880.00
2025-05-08 13:27:11;11880.00
2025-05-08 13:27:10;21880.00
2025-05-08 13:27:09;83380.00
2025-05-08 13:27:08;31380.00
2025-05-08 13:27:07;52630.00
2025-05-08 13:27:06;81130.00
2025-05-08 13:27:05;95130.00
2025-05-08 13:27:04;38130.00
2025-05-08 13:27:03;7380.00
2025-05-08 13:27:02;43130.00
2025-05-08 13:27:01;62130.00
2025-05-08 13:27:00;26380.00
2025-05-08 13:26:59;45380.00
2025-05-08 13:26:58;83380.00
2025-05-08 13:26:57;16880.00
2025-05-08 13:26:56;88380.00
2025-05-08 13:26:55;2380.00
2025-05-08 13:26:54;78130.00
2025-05-08 13:26:53;77630.00
2025-05-08 13:26:52;78130.00
2025-05-08 13:26:51;88880.00
2025-05-08 13:26:50;55380.00
2025-05-08 13:26:49;50380.00
2025-05-08 13:26:48;76630.00
2025-05-08 13:26:47;15130.00
2025-05-08 13:26:46;57630.00
2025-05-08 13:26:45;62630.00
2025-05-08 13:26:44;40880.00
2025-05-08 13:26:43;69880.00
2025-05-08 13:26:42;39130.00
2025-05-08 13:26:41;67130.00
2025-05-08 13:26:40;50880.00
2025-05-08 13:26:39;19630.00
2025-05-08 13:26:38;98380.00
2025-05-08 13:26:37;23380.00
2025-05-08 13:26:36;99380.00
2025-05-08 13:26:35;15630.00
2025-05-08 13:26:34;53630.00
2025-05-08 13:26:33;17880.00
2025-05-08 13:26:32;93880.00
2025-05-08 13:26:31;15130.00
2025-05-08 13:26:30;46380.00
2025-05-08 13:26:29;82130.00
2025-05-08 13:26:28;19630.00
2025-05-08 13:26:27;10630.00
2025-05-08 13:26:26;60380.00
2025-05-08 13:26:25;98380.00
2025-05-08 13:26:24;7880.00
2025-05-08 13:26:23;79880.00
2025-05-08 13:26:22;30630.00
2025-05-08 13:26:21;9880.00
2025-05-08 13:26:20;88130.00
2025-05-08 13:26:19;8880.00
2025-05-08 13:26:18;3880.00
2025-05-08 13:26:17;72630.00
2025-05-08 13:26:16;79880.00
2025-05-08 13:26:15;51380.00
2025-05-08 13:26:14;77630.00
2025-05-08 13:26:13;93880.00
2025-05-08 13:26:12;65880.00
2025-05-08 13:26:11;48630.00
2025-05-08 13:26:10;20630.00
2025-05-08 13:26:09;49130.00
2025-05-08 13:26:08;56380.00
2025-05-08 13:26:07;11130.00
2025-05-08 13:26:06;89380.00
2025-05-08 13:26:05;51380.00
2025-05-08 13:26:04;44630.00
2025-05-08 13:26:03;96630.00
2025-05-08 13:26:02;32380.00
2025-05-08 13:26:01;13380.00
2025-05-08 13:26:00;34630.00
2025-05-08 13:25:59;70380.00
2025-05-08 13:25:58;75380.00
2025-05-08 13:25:57;82630.00
2025-05-08 13:25:56;30130.00
2025-05-08 13:25:55;18380.00
2025-05-08 13:25:54;18380.00
2025-05-08 13:25:53;3880.00
2025-05-08 13:25:52;20630.00
2025-05-08 13:25:51;16130.00
2025-05-08 13:25:50;50130.00
2025-05-08 13:25:49;57880.00
2025-05-08 13:25:48;93630.00
2025-05-08 13:25:47;28380.00
2025-05-08 13:25:46;52380.00
2025-05-08 13:25:45;17130.00
2025-05-08 13:25:44;85380.00
2025-05-08 13:25:43;31130.00
2025-05-08 13:25:42;61880.00
2025-05-08 13:25:41;75880.00
2025-05-08 13:25:40;21130.00
2025-05-08 13:25:39;20630.00
2025-05-08 13:25:38;61880.00
2025-05-08 13:25:37;90380.00
2025-05-08 13:25:36;11630.00
2025-05-08 13:25:35;9380.00
2025-05-08 13:25:34;85380.00
2025-05-08 13:25:33;94880.00
2025-05-08 13:25:32;11630.00
2025-05-08 13:25:31;54630.00
2025-05-08 13:25:30;99880.00
2025-05-08 13:25:29;42880.00
2025-05-08 13:25:28;40130.00
2025-05-08 13:25:27;56880.00
2025-05-08 13:25:26;47380.00
2025-05-08 13:25:25;99880.00
2025-05-08 13:25:24;47880.00
2025-05-08 13:25:23;33380.00
2025-05-08 13:25:22;57380.00
2025-05-08 13:25:21;95380.00
2025-05-08 13:25:20;76380.00
2025-05-08 13:25:19;73630.00
2025-05-08 13:25:18;32130.00
2025-05-08 13:25:17;24880.00
2025-05-08 13:25:16;95380.00
2025-05-08 13:25:15;74130.00
2025-05-08 13:25:14;76380.00
2025-05-08 13:25:13;31130.00
2025-05-08 13:25:12;18880.00
2025-05-08 13:25:11;40630.00
2025-05-08 13:25:10;57380.00
2025-05-08 13:25:09;33380.00
2025-05-08 13:25:08;50130.00
2025-05-08 13:25:07;81380.00
2025-05-08 13:25:06;7630.00
2025-05-08 13:25:05;26630.00
2025-05-08 13:25:04;43380.00
2025-05-08 13:25:03;21630.00
2025-05-08 13:25:02;90880.00
2025-05-08 13:25:01;47880.00
2025-05-08 13:25:00;52880.00
2025-05-08 13:24:59;88630.00
2025-05-08 13:24:58;26630.00
2025-05-08 13:24:57;50630.00
2025-05-08 13:24:56;85880.00
2025-05-08 13:24:55;2630.00
2025-05-08 13:24:54;69630.00
2025-05-08 13:24:53;75130.00
2025-05-08 13:24:52;67880.00
2025-05-08 13:24:51;53380.00
2025-05-08 13:24:50;56130.00
2025-05-08 13:24:49;19880.00
2025-05-08 13:24:48;67380.00
2025-05-08 13:24:47;6880.00
2025-05-08 13:24:46;34880.00
2025-05-08 13:24:45;4630.00
2025-05-08 13:24:44;10380.00
2025-05-08 13:24:43;88630.00
2025-05-08 13:24:42;46130.00
2025-05-08 13:24:41;43380.00
2025-05-08 13:24:40;380.00
2025-05-08 13:24:39;29380.00
2025-05-08 13:24:38;96380.00
2025-05-08 13:24:37;10380.00
2025-05-08 13:24:36;90880.00
2025-05-08 13:24:35;67380.00
2025-05-08 13:24:34;65130.00
2025-05-08 13:24:33;10380.00
2025-05-08 13:24:32;53380.00
2025-05-08 13:24:31;84130.00
2025-05-08 13:24:30;27130.00
2025-05-08 13:24:29;60130.00
2025-05-08 13:24:28;84130.00
2025-05-08 13:24:27;48880.00
2025-05-08 13:24:26;62880.00
2025-05-08 13:24:25;84630.00
2025-05-08 13:24:24;34380.00
2025-05-08 13:24:23;1380.00
2025-05-08 13:24:22;67880.00
2025-05-08 13:24:21;84130.00
2025-05-08 13:24:20;1380.00
2025-05-08 13:24:19;32130.00
2025-05-08 13:24:18;65630.00
2025-05-08 13:24:17;22630.00
2025-05-08 13:24:16;87380.00
2025-05-08 13:24:15;78880.00
2025-05-08 13:24:14;33630.00
2025-05-08 13:24:13;75130.00
2025-05-08 13:24:12;13130.00
2025-05-08 13:24:11;82380.00
2025-05-08 13:24:10;67880.00
2025-05-08 13:24:09;10880.00
2025-05-08 13:24:08;39380.00
2025-05-08 13:24:07;63380.00
2025-05-08 13:24:06;65630.00
2025-05-08 13:24:05;29880.00
2025-05-08 13:24:04;37130.00
2025-05-08 13:24:03;29880.00
2025-05-08 13:24:02;14130.00
2025-05-08 13:24:01;2380.00
2025-05-08 13:24:00;2380.00
2025-05-08 13:23:59;14130.00
2025-05-08 13:23:58;73380.00
2025-05-08 13:23:57;39380.00
2025-05-08 13:23:56;70630.00
2025-05-08 13:23:55;84630.00
2025-05-08 13:23:54;53880.00
2025-05-08 13:23:53;75630.00
2025-05-08 13:23:52;36380.00
2025-05-08 13:23:51;82380.00
2025-05-08 13:23:50;72880.00
2025-05-08 13:23:49;63880.00
2025-05-08 13:23:48;23130.00
2025-05-08 13:23:47;11380.00
2025-05-08 13:23:46;68380.00
2025-05-08 13:23:45;47130.00
2025-05-08 13:23:44;32630.00
2025-05-08 13:23:43;87880.00
2025-05-08 13:23:42;82130.00
2025-05-08 13:23:41;94630.00
2025-05-08 13:23:40;1880.00
2025-05-08 13:23:39;11380.00
2025-05-08 13:23:38;39880.00
2025-05-08 13:23:37;47130.00
2025-05-08 13:23:36;23630.00
2025-05-08 13:23:35;68880.00
2025-05-08 13:23:34;71130.00
2025-05-08 13:23:33;23630.00
2025-05-08 13:23:32;58880.00
2025-05-08 13:23:31;76130.00
2025-05-08 13:23:30;20880.00
2025-05-08 13:23:29;52130.00
2025-05-08 13:23:28;47130.00
2025-05-08 13:23:27;66130.00
2025-05-08 13:23:26;1880.00
2025-05-08 13:23:25;99630.00
2025-05-08 13:23:24;92380.00
2025-05-08 13:23:23;30880.00
2025-05-08 13:23:22;97380.00
2025-05-08 13:23:21;76130.00
2025-05-08 13:23:20;20880.00
2025-05-08 13:23:19;11880.00
2025-05-08 13:23:18;81130.00
2025-05-08 13:23:17;64380.00
2025-05-08 13:23:16;11880.00
2025-05-08 13:23:15;62130.00
2025-05-08 13:23:14;71630.00
2025-05-08 13:23:13;57130.00
2025-05-08 13:23:12;67630.00
2025-05-08 13:23:11;36380.00
2025-05-08 13:23:10;97630.00
2025-05-08 13:23:09;5630.00
