Fecha y Hora;SV-4017 - Indicador sobrepresión S-401
2025-05-08 13:27:39;-9703.00
2025-05-08 13:27:38;-3003.00
2025-05-08 13:27:37;-2278.00
2025-05-08 13:27:36;-7528.00
2025-05-08 13:27:35;-7528.00
2025-05-08 13:27:34;-7428.00
2025-05-08 13:27:33;-278.00
2025-05-08 13:27:32;-4353.00
2025-05-08 13:27:31;-2178.00
2025-05-08 13:27:30;-2628.00
2025-05-08 13:27:29;-4028.00
2025-05-08 13:27:28;-2903.00
2025-05-08 13:27:27;-628.00
2025-05-08 13:27:26;-8728.00
2025-05-08 13:27:25;-6653.00
2025-05-08 13:27:24;-2853.00
2025-05-08 13:27:23;-728.00
2025-05-08 13:27:22;-9603.00
2025-05-08 13:27:21;-4078.00
2025-05-08 13:27:20;-9153.00
2025-05-08 13:27:19;-2228.00
2025-05-08 13:27:18;-3628.00
2025-05-08 13:27:17;-9328.00
2025-05-08 13:27:16;-828.00
2025-05-08 13:27:15;-5028.00
2025-05-08 13:27:14;-9603.00
2025-05-08 13:27:13;-6753.00
2025-05-08 13:27:12;-9103.00
2025-05-08 13:27:11;-2228.00
2025-05-08 13:27:10;-4128.00
2025-05-08 13:27:09;-5078.00
2025-05-08 13:27:08;-6753.00
2025-05-08 13:27:07;-2003.00
2025-05-08 13:27:06;-7428.00
2025-05-08 13:27:05;-1503.00
2025-05-08 13:27:04;-5528.00
2025-05-08 13:27:03;-2453.00
2025-05-08 13:27:02;-6203.00
2025-05-08 13:27:01;-53.00
2025-05-08 13:27:00;-6253.00
2025-05-08 13:26:59;-1228.00
2025-05-08 13:26:58;-7878.00
2025-05-08 13:26:57;-3178.00
2025-05-08 13:26:56;-6328.00
2025-05-08 13:26:55;-3478.00
2025-05-08 13:26:54;-9178.00
2025-05-08 13:26:53;-2528.00
2025-05-08 13:26:52;-2303.00
2025-05-08 13:26:51;-5753.00
2025-05-08 13:26:50;-7103.00
2025-05-08 13:26:49;-4528.00
2025-05-08 13:26:48;-4303.00
2025-05-08 13:26:47;-9328.00
2025-05-08 13:26:46;-9053.00
2025-05-08 13:26:45;-4803.00
2025-05-08 13:26:44;-9103.00
2025-05-08 13:26:43;-4078.00
2025-05-08 13:26:42;-2678.00
2025-05-08 13:26:41;-2128.00
2025-05-08 13:26:40;-4478.00
2025-05-08 13:26:39;-2978.00
2025-05-08 13:26:38;-4653.00
2025-05-08 13:26:37;-4703.00
2025-05-08 13:26:36;-5203.00
2025-05-08 13:26:35;-6603.00
2025-05-08 13:26:34;-4478.00
2025-05-08 13:26:33;-8603.00
2025-05-08 13:26:32;-2628.00
2025-05-08 13:26:31;-3128.00
2025-05-08 13:26:30;-4478.00
2025-05-08 13:26:29;-1403.00
2025-05-08 13:26:28;-5928.00
2025-05-08 13:26:27;-5428.00
2025-05-08 13:26:26;-5703.00
2025-05-08 13:26:25;-1628.00
2025-05-08 13:26:24;-5328.00
2025-05-08 13:26:23;-2703.00
