Fecha y Hora;LSH-1012 - Nivel alto silo H-101
2025-05-08 13:27:39;-308.00
2025-05-08 13:27:38;-9083.00
2025-05-08 13:27:37;-33.00
2025-05-08 13:27:36;-4283.00
2025-05-08 13:27:35;-5008.00
2025-05-08 13:27:34;-3333.00
2025-05-08 13:27:33;-1933.00
2025-05-08 13:27:32;-7683.00
2025-05-08 13:27:31;-4233.00
2025-05-08 13:27:30;-158.00
2025-05-08 13:27:29;-8308.00
2025-05-08 13:27:28;-883.00
2025-05-08 13:27:27;-5858.00
2025-05-08 13:27:26;-9608.00
2025-05-08 13:27:25;-383.00
2025-05-08 13:27:24;-8083.00
2025-05-08 13:27:23;-383.00
2025-05-08 13:27:22;-4733.00
2025-05-08 13:27:21;-1208.00
2025-05-08 13:27:20;-6183.00
2025-05-08 13:27:19;-5733.00
2025-05-08 13:27:18;-6908.00
2025-05-08 13:27:17;-4783.00
2025-05-08 13:27:16;-6633.00
2025-05-08 13:27:15;-9708.00
2025-05-08 13:27:14;-4783.00
2025-05-08 13:27:13;-2108.00
2025-05-08 13:27:12;-3833.00
2025-05-08 13:27:11;-483.00
2025-05-08 13:27:10;-658.00
2025-05-08 13:27:09;-9533.00
2025-05-08 13:27:08;-2833.00
2025-05-08 13:27:07;-708.00
2025-05-08 13:27:06;-5008.00
2025-05-08 13:27:05;-7633.00
2025-05-08 13:27:04;-4508.00
2025-05-08 13:27:03;-3283.00
2025-05-08 13:27:02;-9758.00
2025-05-08 13:27:01;-6408.00
2025-05-08 13:27:00;-933.00
2025-05-08 13:26:59;-6183.00
2025-05-08 13:26:58;-9258.00
2025-05-08 13:26:57;-9483.00
2025-05-08 13:26:56;-5458.00
2025-05-08 13:26:55;-2608.00
2025-05-08 13:26:54;-4308.00
2025-05-08 13:26:53;-6308.00
2025-05-08 13:26:52;-7933.00
2025-05-08 13:26:51;-8483.00
2025-05-08 13:26:50;-5858.00
2025-05-08 13:26:49;-883.00
2025-05-08 13:26:48;-4008.00
2025-05-08 13:26:47;-3008.00
2025-05-08 13:26:46;-1383.00
2025-05-08 13:26:45;-208.00
2025-05-08 13:26:44;-1383.00
2025-05-08 13:26:43;-9708.00
2025-05-08 13:26:42;-4183.00
2025-05-08 13:26:41;-3283.00
2025-05-08 13:26:40;-7758.00
2025-05-08 13:26:39;-2733.00
2025-05-08 13:26:38;-2958.00
2025-05-08 13:26:37;-1958.00
2025-05-08 13:26:36;-4858.00
2025-05-08 13:26:35;-3683.00
2025-05-08 13:26:34;-4408.00
2025-05-08 13:26:33;-6083.00
2025-05-08 13:26:32;-3233.00
2025-05-08 13:26:31;-9483.00
2025-05-08 13:26:30;-3458.00
2025-05-08 13:26:29;-6308.00
2025-05-08 13:26:28;-6808.00
2025-05-08 13:26:27;-9883.00
2025-05-08 13:26:26;-4908.00
2025-05-08 13:26:25;-3733.00
2025-05-08 13:26:24;-7533.00
2025-05-08 13:26:23;-5858.00
2025-05-08 13:26:22;-8558.00
2025-05-08 13:26:21;-2858.00
2025-05-08 13:26:20;-8333.00
2025-05-08 13:26:19;-7483.00
2025-05-08 13:26:18;-5083.00
2025-05-08 13:26:17;-7983.00
2025-05-08 13:26:16;-3458.00
2025-05-08 13:26:15;-3233.00
2025-05-08 13:26:14;-4183.00
2025-05-08 13:26:13;-3683.00
2025-05-08 13:26:12;-5358.00
2025-05-08 13:26:11;-6533.00
2025-05-08 13:26:10;-7983.00
2025-05-08 13:26:09;-1058.00
2025-05-08 13:26:08;-8383.00
2025-05-08 13:26:07;-6983.00
2025-05-08 13:26:06;-1783.00
2025-05-08 13:26:05;-2283.00
2025-05-08 13:26:04;-6983.00
2025-05-08 13:26:03;-3908.00
2025-05-08 13:26:02;-4408.00
2025-05-08 13:26:01;-2508.00
2025-05-08 13:26:00;-5808.00
2025-05-08 13:25:59;-8208.00
2025-05-08 13:25:58;-9158.00
2025-05-08 13:25:57;-6758.00
2025-05-08 13:25:56;-6033.00
2025-05-08 13:25:55;-8658.00
2025-05-08 13:25:54;-7483.00
2025-05-08 13:25:53;-6033.00
2025-05-08 13:25:52;-9608.00
2025-05-08 13:25:51;-6833.00
2025-05-08 13:25:50;-5933.00
2025-05-08 13:25:49;-8283.00
2025-05-08 13:25:48;-8058.00
2025-05-08 13:25:47;-1858.00
2025-05-08 13:25:46;-5983.00
2025-05-08 13:25:45;-6883.00
2025-05-08 13:25:44;-733.00
2025-05-08 13:25:43;-2133.00
2025-05-08 13:25:42;-3358.00
2025-05-08 13:25:41;-2408.00
2025-05-08 13:25:40;-2408.00
2025-05-08 13:25:39;-4358.00
2025-05-08 13:25:38;-8558.00
2025-05-08 13:25:37;-8608.00
2025-05-08 13:25:36;-733.00
2025-05-08 13:25:35;-6208.00
2025-05-08 13:25:34;-283.00
2025-05-08 13:25:33;-783.00
2025-05-08 13:25:32;-9558.00
2025-05-08 13:25:31;-3583.00
2025-05-08 13:25:30;-4533.00
2025-05-08 13:25:29;-9508.00
2025-05-08 13:25:28;-6708.00
2025-05-08 13:25:27;-5983.00
2025-05-08 13:25:26;-6433.00
2025-05-08 13:25:25;-1683.00
2025-05-08 13:25:24;-8.00
2025-05-08 13:25:23;-8333.00
2025-05-08 13:25:22;-7833.00
2025-05-08 13:25:21;-4983.00
2025-05-08 13:25:20;-2358.00
2025-05-08 13:25:19;-3658.00
2025-05-08 13:25:18;-2033.00
2025-05-08 13:25:17;-6558.00
2025-05-08 13:25:16;-9508.00
2025-05-08 13:25:15;-9733.00
2025-05-08 13:25:14;-9008.00
2025-05-08 13:25:13;-8.00
2025-05-08 13:25:12;-2858.00
2025-05-08 13:25:11;-3808.00
2025-05-08 13:25:10;-8108.00
2025-05-08 13:25:09;-908.00
2025-05-08 13:25:08;-8558.00
2025-05-08 13:25:07;-908.00
2025-05-08 13:25:06;-2083.00
2025-05-08 13:25:05;-7833.00
2025-05-08 13:25:04;-233.00
2025-05-08 13:25:03;-908.00
2025-05-08 13:25:02;-908.00
2025-05-08 13:25:01;-3308.00
2025-05-08 13:25:00;-9508.00
2025-05-08 13:24:59;-4708.00
2025-05-08 13:24:58;-1408.00
2025-05-08 13:24:57;-7558.00
2025-05-08 13:24:56;-7608.00
2025-05-08 13:24:55;-2533.00
2025-05-08 13:24:54;-8908.00
2025-05-08 13:24:53;-2533.00
2025-05-08 13:24:52;-1308.00
2025-05-08 13:24:51;-6333.00
2025-05-08 13:24:50;-9358.00
2025-05-08 13:24:49;-5433.00
2025-05-08 13:24:48;-6108.00
2025-05-08 13:24:47;-7633.00
2025-05-08 13:24:46;-2483.00
2025-05-08 13:24:45;-6183.00
2025-05-08 13:24:44;-6333.00
2025-05-08 13:24:43;-9233.00
2025-05-08 13:24:42;-3483.00
2025-05-08 13:24:41;-7558.00
2025-05-08 13:24:40;-2583.00
2025-05-08 13:24:39;-1633.00
2025-05-08 13:24:38;-4883.00
2025-05-08 13:24:37;-1583.00
2025-05-08 13:24:36;-6158.00
2025-05-08 13:24:35;-7558.00
2025-05-08 13:24:34;-7058.00
2025-05-08 13:24:33;-8733.00
2025-05-08 13:24:32;-6608.00
2025-05-08 13:24:31;-8508.00
2025-05-08 13:24:30;-5658.00
2025-05-08 13:24:29;-6108.00
2025-05-08 13:24:28;-2308.00
2025-05-08 13:24:27;-808.00
2025-05-08 13:24:26;-1583.00
2025-05-08 13:24:25;-6333.00
2025-05-08 13:24:24;-2033.00
2025-05-08 13:24:23;-9858.00
2025-05-08 13:24:22;-8008.00
2025-05-08 13:24:21;-5608.00
2025-05-08 13:24:20;-6058.00
2025-05-08 13:24:19;-5833.00
2025-05-08 13:24:18;-3658.00
2025-05-08 13:24:17;-1308.00
2025-05-08 13:24:16;-6583.00
2025-05-08 13:24:15;-7808.00
2025-05-08 13:24:14;-5458.00
2025-05-08 13:24:13;-9908.00
2025-05-08 13:24:12;-9133.00
2025-05-08 13:24:11;-9858.00
2025-05-08 13:24:10;-9633.00
2025-05-08 13:24:09;-9858.00
2025-05-08 13:24:08;-2483.00
2025-05-08 13:24:07;-5833.00
2025-05-08 13:24:06;-6283.00
2025-05-08 13:24:05;-7958.00
2025-05-08 13:24:04;-1758.00
2025-05-08 13:24:03;-8858.00
2025-05-08 13:24:02;-3383.00
2025-05-08 13:24:01;-7133.00
2025-05-08 13:24:00;-9258.00
2025-05-08 13:23:59;-7633.00
2025-05-08 13:23:58;-7233.00
2025-05-08 13:23:57;-1308.00
2025-05-08 13:23:56;-9358.00
2025-05-08 13:23:55;-2708.00
2025-05-08 13:23:54;-6733.00
2025-05-08 13:23:53;-4608.00
2025-05-08 13:23:52;-1833.00
2025-05-08 13:23:51;-9358.00
2025-05-08 13:23:50;-2708.00
2025-05-08 13:23:49;-2658.00
2025-05-08 13:23:48;-308.00
2025-05-08 13:23:47;-4108.00
2025-05-08 13:23:46;-7458.00
2025-05-08 13:23:45;-7458.00
2025-05-08 13:23:44;-6083.00
2025-05-08 13:23:43;-2383.00
2025-05-08 13:23:42;-8258.00
2025-05-08 13:23:41;-9808.00
2025-05-08 13:23:40;-983.00
2025-05-08 13:23:39;-1483.00
2025-05-08 13:23:38;-9583.00
2025-05-08 13:23:37;-758.00
2025-05-08 13:23:36;-258.00
2025-05-08 13:23:35;-9583.00
2025-05-08 13:23:34;-6458.00
2025-05-08 13:23:33;-1208.00
2025-05-08 13:23:32;-533.00
2025-05-08 13:23:31;-2883.00
2025-05-08 13:23:30;-5783.00
2025-05-08 13:23:29;-258.00
2025-05-08 13:23:28;-533.00
2025-05-08 13:23:27;-6008.00
2025-05-08 13:23:26;-483.00
2025-05-08 13:23:25;-9533.00
2025-05-08 13:23:24;-4333.00
2025-05-08 13:23:23;-9808.00
2025-05-08 13:23:22;-5508.00
2025-05-08 13:23:21;-5008.00
2025-05-08 13:23:20;-6233.00
2025-05-08 13:23:19;-7858.00
2025-05-08 13:23:18;-4508.00
2025-05-08 13:23:17;-3108.00
2025-05-08 13:23:16;-1433.00
2025-05-08 13:23:15;-7358.00
2025-05-08 13:23:14;-8308.00
2025-05-08 13:23:13;-5358.00
2025-05-08 13:23:12;-4183.00
2025-05-08 13:23:11;-9383.00
2025-05-08 13:23:10;-1408.00
2025-05-08 13:23:09;-8483.00
2025-05-08 13:23:08;-5408.00
2025-05-08 13:23:07;-4908.00
2025-05-08 13:23:06;-7583.00
2025-05-08 13:23:05;-1608.00
2025-05-08 13:23:04;-6858.00
2025-05-08 13:23:03;-9933.00
2025-05-08 13:23:02;-5683.00
2025-05-08 13:23:01;-6633.00
2025-05-08 13:23:00;-5408.00
2025-05-08 13:22:59;-6858.00
2025-05-08 13:22:58;-4233.00
2025-05-08 13:22:57;-8308.00
2025-05-08 13:22:56;-2558.00
2025-05-08 13:22:55;-3058.00
2025-05-08 13:22:54;-9708.00
2025-05-08 13:22:53;-2058.00
2025-05-08 13:22:52;-5408.00
2025-05-08 13:22:51;-4233.00
2025-05-08 13:22:50;-9208.00
2025-05-08 13:22:49;-2833.00
2025-05-08 13:22:48;-1158.00
2025-05-08 13:22:47;-5633.00
2025-05-08 13:22:46;-1383.00
2025-05-08 13:22:45;-2508.00
2025-05-08 13:22:44;-883.00
2025-05-08 13:22:43;-6858.00
2025-05-08 13:22:42;-1158.00
2025-05-08 13:22:41;-2408.00
2025-05-08 13:22:40;-1058.00
2025-05-08 13:22:39;-3808.00
2025-05-08 13:22:38;-8033.00
2025-05-08 13:22:37;-1558.00
2025-05-08 13:22:36;-6808.00
2025-05-08 13:22:35;-2283.00
2025-05-08 13:22:34;-7533.00
2025-05-08 13:22:33;-2058.00
2025-05-08 13:22:32;-8533.00
2025-05-08 13:22:31;-7983.00
2025-05-08 13:22:30;-283.00
2025-05-08 13:22:29;-8258.00
2025-05-08 13:22:28;-3958.00
2025-05-08 13:22:27;-4683.00
2025-05-08 13:22:26;-5133.00
2025-05-08 13:22:25;-3733.00
2025-05-08 13:22:24;-1108.00
2025-05-08 13:22:23;-6083.00
2025-05-08 13:22:22;-8433.00
2025-05-08 13:22:21;-8708.00
2025-05-08 13:22:20;-883.00
2025-05-08 13:22:19;-7933.00
2025-05-08 13:22:18;-4583.00
2025-05-08 13:22:17;-4358.00
2025-05-08 13:22:16;-9333.00
2025-05-08 13:22:15;-233.00
2025-05-08 13:22:14;-5808.00
2025-05-08 13:22:13;-7258.00
2025-05-08 13:22:12;-4583.00
2025-05-08 13:22:11;-9608.00
2025-05-08 13:22:10;-7108.00
2025-05-08 13:22:09;-7108.00
2025-05-08 13:22:08;-6158.00
2025-05-08 13:22:07;-7883.00
2025-05-08 13:22:06;-1733.00
2025-05-08 13:22:05;-4633.00
2025-05-08 13:22:04;-7483.00
2025-05-08 13:22:03;-4858.00
2025-05-08 13:22:02;-833.00
2025-05-08 13:22:01;-8383.00
2025-05-08 13:22:00;-4808.00
2025-05-08 13:21:59;-3408.00
2025-05-08 13:21:58;-58.00
2025-05-08 13:21:57;-8883.00
2025-05-08 13:21:56;-1283.00
2025-05-08 13:21:55;-2008.00
2025-05-08 13:21:54;-1733.00
2025-05-08 13:21:53;-9833.00
2025-05-08 13:21:52;-2008.00
2025-05-08 13:21:51;-7433.00
2025-05-08 13:21:50;-4583.00
2025-05-08 13:21:49;-6983.00
2025-05-08 13:21:48;-4358.00
2025-05-08 13:21:47;-6258.00
2025-05-08 13:21:46;-8883.00
2025-05-08 13:21:45;-3408.00
2025-05-08 13:21:44;-3408.00
2025-05-08 13:21:43;-5533.00
2025-05-08 13:21:42;-6483.00
2025-05-08 13:21:41;-8883.00
2025-05-08 13:21:40;-6758.00
2025-05-08 13:21:39;-1908.00
2025-05-08 13:21:38;-3983.00
2025-05-08 13:21:37;-9183.00
2025-05-08 13:21:36;-9958.00
2025-05-08 13:21:35;-6758.00
2025-05-08 13:21:34;-7833.00
2025-05-08 13:21:33;-2408.00
2025-05-08 13:21:32;-9558.00
2025-05-08 13:21:31;-1733.00
2025-05-08 13:21:30;-283.00
2025-05-08 13:21:29;-5983.00
2025-05-08 13:21:28;-2858.00
2025-05-08 13:21:27;-9683.00
2025-05-08 13:21:26;-5833.00
2025-05-08 13:21:25;-5383.00
2025-05-08 13:21:24;-1858.00
2025-05-08 13:21:23;-3983.00
2025-05-08 13:21:22;-733.00
2025-05-08 13:21:21;-958.00
2025-05-08 13:21:20;-8608.00
2025-05-08 13:21:19;-8108.00
2025-05-08 13:21:18;-4983.00
2025-05-08 13:21:17;-1683.00
2025-05-08 13:21:16;-3308.00
2025-05-08 13:21:15;-7608.00
2025-05-08 13:21:14;-7833.00
2025-05-08 13:21:13;-3583.00
