Fecha y Hora;B-102 - Bomba alimentación HT
2025-05-08 13:27:39;
2025-05-08 13:27:38;-9237.00
2025-05-08 13:27:37;-8512.00
2025-05-08 13:27:36;-9912.00
2025-05-08 13:27:35;-412.00
2025-05-08 13:27:34;-4662.00
2025-05-08 13:27:33;-4437.00
2025-05-08 13:27:32;-9687.00
2025-05-08 13:27:31;-8512.00
2025-05-08 13:27:30;-9912.00
2025-05-08 13:27:29;-637.00
2025-05-08 13:27:28;-6287.00
2025-05-08 13:27:27;-6512.00
2025-05-08 13:27:26;-5337.00
2025-05-08 13:27:25;-9187.00
2025-05-08 13:27:24;-3437.00
2025-05-08 13:27:23;-3112.00
2025-05-08 13:27:22;-3712.00
2025-05-08 13:27:21;-6562.00
2025-05-08 13:27:20;-5612.00
2025-05-08 13:27:19;-2037.00
2025-05-08 13:27:18;-4162.00
2025-05-08 13:27:17;-7737.00
2025-05-08 13:27:16;-2262.00
2025-05-08 13:27:15;-2487.00
2025-05-08 13:27:14;-4162.00
2025-05-08 13:27:13;-9637.00
2025-05-08 13:27:12;-9412.00
2025-05-08 13:27:11;-3212.00
2025-05-08 13:27:10;-6062.00
2025-05-08 13:27:09;-2262.00
2025-05-08 13:27:08;-812.00
2025-05-08 13:27:07;-3437.00
2025-05-08 13:27:06;-9637.00
2025-05-08 13:27:05;-1312.00
2025-05-08 13:27:04;-2487.00
2025-05-08 13:27:03;-5837.00
2025-05-08 13:27:02;-9862.00
2025-05-08 13:27:01;-5837.00
2025-05-08 13:27:00;-7737.00
2025-05-08 13:26:59;-7237.00
2025-05-08 13:26:58;-9862.00
2025-05-08 13:26:57;-7237.00
2025-05-08 13:26:56;-5562.00
2025-05-08 13:26:55;-1987.00
2025-05-08 13:26:54;-9362.00
2025-05-08 13:26:53;-4062.00
2025-05-08 13:26:52;-9712.00
2025-05-08 13:26:51;-5787.00
2025-05-08 13:26:50;-3887.00
2025-05-08 13:26:49;-5787.00
2025-05-08 13:26:48;-9587.00
2025-05-08 13:26:47;-1987.00
2025-05-08 13:26:46;-6737.00
2025-05-08 13:26:45;-2212.00
2025-05-08 13:26:44;-4337.00
2025-05-08 13:26:43;-4337.00
2025-05-08 13:26:42;-1712.00
2025-05-08 13:26:41;-7912.00
2025-05-08 13:26:40;-9812.00
2025-05-08 13:26:39;-762.00
2025-05-08 13:26:38;-8362.00
2025-05-08 13:26:37;-5512.00
2025-05-08 13:26:36;-9712.00
2025-05-08 13:26:35;-2837.00
2025-05-08 13:26:34;-7362.00
2025-05-08 13:26:33;-1212.00
2025-05-08 13:26:32;-6237.00
2025-05-08 13:26:31;-37.00
2025-05-08 13:26:30;-762.00
2025-05-08 13:26:29;-2162.00
2025-05-08 13:26:28;-7412.00
2025-05-08 13:26:27;-7412.00
2025-05-08 13:26:26;-987.00
2025-05-08 13:26:25;-1937.00
2025-05-08 13:26:24;-3837.00
2025-05-08 13:26:23;-5737.00
2025-05-08 13:26:22;-4562.00
2025-05-08 13:26:21;-2012.00
2025-05-08 13:26:20;-3912.00
2025-05-08 13:26:19;-2612.00
2025-05-08 13:26:18;-8087.00
2025-05-08 13:26:17;-1662.00
2025-05-08 13:26:16;-487.00
2025-05-08 13:26:15;-5962.00
2025-05-08 13:26:14;-5237.00
2025-05-08 13:26:13;-2612.00
2025-05-08 13:26:12;-3337.00
2025-05-08 13:26:11;-1437.00
2025-05-08 13:26:10;-7137.00
2025-05-08 13:26:09;-4512.00
