Fecha y Hora;KV-3033 - Válvula aislar bypass R-303
2025-05-08 13:27:39;45130.00
2025-05-08 13:27:38;76380.00
2025-05-08 13:27:37;83630.00
2025-05-08 13:27:36;95880.00
2025-05-08 13:27:35;380.00
2025-05-08 13:27:34;79130.00
2025-05-08 13:27:33;52880.00
2025-05-08 13:27:32;80880.00
2025-05-08 13:27:31;9880.00
2025-05-08 13:27:30;17130.00
2025-05-08 13:27:29;22630.00
2025-05-08 13:27:28;5880.00
2025-05-08 13:27:27;29880.00
2025-05-08 13:27:26;50630.00
2025-05-08 13:27:25;66130.00
2025-05-08 13:27:24;60130.00
2025-05-08 13:27:23;8630.00
2025-05-08 13:27:22;880.00
2025-05-08 13:27:21;57380.00
2025-05-08 13:27:20;67380.00
2025-05-08 13:27:19;31630.00
2025-05-08 13:27:18;17130.00
2025-05-08 13:27:17;9880.00
2025-05-08 13:27:16;10380.00
2025-05-08 13:27:15;27130.00
2025-05-08 13:27:14;67380.00
2025-05-08 13:27:13;27130.00
2025-05-08 13:27:12;74130.00
2025-05-08 13:27:11;71880.00
2025-05-08 13:27:10;70130.00
2025-05-08 13:27:09;79130.00
2025-05-08 13:27:08;27130.00
2025-05-08 13:27:07;46130.00
2025-05-08 13:27:06;65130.00
2025-05-08 13:27:05;380.00
2025-05-08 13:27:04;88630.00
2025-05-08 13:27:03;19880.00
2025-05-08 13:27:02;81880.00
2025-05-08 13:27:01;74630.00
2025-05-08 13:27:00;29380.00
2025-05-08 13:26:59;95880.00
2025-05-08 13:26:58;79130.00
2025-05-08 13:26:57;19880.00
2025-05-08 13:26:56;93630.00
2025-05-08 13:26:55;95880.00
2025-05-08 13:26:54;17630.00
2025-05-08 13:26:53;63880.00
2025-05-08 13:26:52;73880.00
2025-05-08 13:26:51;1380.00
2025-05-08 13:26:50;41630.00
2025-05-08 13:26:49;62880.00
2025-05-08 13:26:48;27130.00
2025-05-08 13:26:47;82380.00
2025-05-08 13:26:46;62880.00
2025-05-08 13:26:45;3630.00
2025-05-08 13:26:44;89130.00
2025-05-08 13:26:43;63380.00
2025-05-08 13:26:42;96880.00
2025-05-08 13:26:41;46630.00
2025-05-08 13:26:40;44380.00
2025-05-08 13:26:39;44380.00
2025-05-08 13:26:38;3630.00
2025-05-08 13:26:37;28630.00
2025-05-08 13:26:36;95130.00
2025-05-08 13:26:35;30380.00
2025-05-08 13:26:34;58880.00
2025-05-08 13:26:33;56630.00
2025-05-08 13:26:32;96880.00
2025-05-08 13:26:31;65630.00
2025-05-08 13:26:30;13630.00
2025-05-08 13:26:29;94630.00
2025-05-08 13:26:28;53880.00
2025-05-08 13:26:27;15880.00
2025-05-08 13:26:26;63380.00
2025-05-08 13:26:25;94130.00
2025-05-08 13:26:24;3630.00
2025-05-08 13:26:23;66130.00
2025-05-08 13:26:22;19630.00
2025-05-08 13:26:21;5630.00
2025-05-08 13:26:20;93380.00
2025-05-08 13:26:19;4630.00
2025-05-08 13:26:18;97380.00
2025-05-08 13:26:17;85130.00
2025-05-08 13:26:16;18630.00
2025-05-08 13:26:15;92380.00
2025-05-08 13:26:14;28130.00
2025-05-08 13:26:13;28130.00
2025-05-08 13:26:12;6880.00
2025-05-08 13:26:11;37630.00
2025-05-08 13:26:10;61630.00
2025-05-08 13:26:09;97380.00
2025-05-08 13:26:08;97380.00
2025-05-08 13:26:07;68880.00
2025-05-08 13:26:06;4130.00
2025-05-08 13:26:05;82880.00
2025-05-08 13:26:04;4630.00
2025-05-08 13:26:03;99630.00
2025-05-08 13:26:02;82880.00
2025-05-08 13:26:01;54380.00
2025-05-08 13:26:00;85130.00
2025-05-08 13:25:59;20880.00
2025-05-08 13:25:58;71130.00
2025-05-08 13:25:57;76130.00
2025-05-08 13:25:56;42630.00
2025-05-08 13:25:55;57130.00
2025-05-08 13:25:54;4630.00
2025-05-08 13:25:53;9130.00
2025-05-08 13:25:52;33130.00
2025-05-08 13:25:51;83380.00
2025-05-08 13:25:50;62630.00
2025-05-08 13:25:49;51380.00
2025-05-08 13:25:48;34630.00
2025-05-08 13:25:47;40880.00
2025-05-08 13:25:46;92880.00
2025-05-08 13:25:45;46380.00
2025-05-08 13:25:44;55380.00
2025-05-08 13:25:43;36380.00
2025-05-08 13:25:42;630.00
2025-05-08 13:25:41;33630.00
2025-05-08 13:25:40;59880.00
2025-05-08 13:25:39;45380.00
2025-05-08 13:25:38;45880.00
2025-05-08 13:25:37;40880.00
2025-05-08 13:25:36;69380.00
2025-05-08 13:25:35;21880.00
2025-05-08 13:25:34;90630.00
2025-05-08 13:25:33;90630.00
2025-05-08 13:25:32;14630.00
2025-05-08 13:25:31;12380.00
2025-05-08 13:25:30;12380.00
2025-05-08 13:25:29;36380.00
2025-05-08 13:25:28;130.00
2025-05-08 13:25:27;62130.00
2025-05-08 13:25:26;59880.00
2025-05-08 13:25:25;2880.00
2025-05-08 13:25:24;43630.00
2025-05-08 13:25:23;93380.00
2025-05-08 13:25:22;15130.00
2025-05-08 13:25:21;53130.00
2025-05-08 13:25:20;88880.00
2025-05-08 13:25:19;40880.00
