Fecha y Hora;KV-5011 - Válvula bypass entrada E-501
2025-05-08 13:27:39;45630.00
2025-05-08 13:27:38;29380.00
2025-05-08 13:27:37;46130.00
2025-05-08 13:27:36;58380.00
2025-05-08 13:27:35;17630.00
2025-05-08 13:27:34;43880.00
2025-05-08 13:27:33;65130.00
2025-05-08 13:27:32;33880.00
2025-05-08 13:27:31;62880.00
2025-05-08 13:27:30;73380.00
2025-05-08 13:27:29;63380.00
2025-05-08 13:27:28;58880.00
2025-05-08 13:27:27;73380.00
2025-05-08 13:27:26;94130.00
2025-05-08 13:27:25;52130.00
2025-05-08 13:27:24;48880.00
2025-05-08 13:27:23;6880.00
2025-05-08 13:27:22;63380.00
2025-05-08 13:27:21;89130.00
2025-05-08 13:27:20;29880.00
2025-05-08 13:27:19;8130.00
2025-05-08 13:27:18;34380.00
2025-05-08 13:27:17;17630.00
2025-05-08 13:27:16;27630.00
2025-05-08 13:27:15;34880.00
2025-05-08 13:27:14;53380.00
2025-05-08 13:27:13;34880.00
2025-05-08 13:27:12;27130.00
2025-05-08 13:27:11;60630.00
2025-05-08 13:27:10;23130.00
2025-05-08 13:27:09;96380.00
2025-05-08 13:27:08;58380.00
2025-05-08 13:27:07;22630.00
2025-05-08 13:27:06;41630.00
2025-05-08 13:27:05;43880.00
2025-05-08 13:27:04;96380.00
2025-05-08 13:27:03;18130.00
2025-05-08 13:27:02;13130.00
2025-05-08 13:27:01;27630.00
2025-05-08 13:27:00;1380.00
2025-05-08 13:26:59;94130.00
2025-05-08 13:26:58;77380.00
2025-05-08 13:26:57;20380.00
2025-05-08 13:26:56;37130.00
2025-05-08 13:26:55;58380.00
2025-05-08 13:26:54;26880.00
2025-05-08 13:26:53;59380.00
2025-05-08 13:26:52;59880.00
2025-05-08 13:26:51;44880.00
2025-05-08 13:26:50;91880.00
2025-05-08 13:26:49;99130.00
2025-05-08 13:26:48;34880.00
2025-05-08 13:26:47;80630.00
2025-05-08 13:26:46;61130.00
2025-05-08 13:26:45;44380.00
2025-05-08 13:26:44;89630.00
2025-05-08 13:26:43;39880.00
2025-05-08 13:26:42;14130.00
2025-05-08 13:26:41;58880.00
2025-05-08 13:26:40;97380.00
2025-05-08 13:26:39;11380.00
2025-05-08 13:26:38;9630.00
2025-05-08 13:26:37;38630.00
2025-05-08 13:26:36;35880.00
2025-05-08 13:26:35;19130.00
2025-05-08 13:26:34;2380.00
2025-05-08 13:26:33;52130.00
2025-05-08 13:26:32;14130.00
2025-05-08 13:26:31;6380.00
2025-05-08 13:26:30;21380.00
2025-05-08 13:26:29;2380.00
2025-05-08 13:26:28;44880.00
2025-05-08 13:26:27;92380.00
2025-05-08 13:26:26;54380.00
2025-05-08 13:26:25;47130.00
2025-05-08 13:26:24;11380.00
2025-05-08 13:26:23;6880.00
2025-05-08 13:26:22;12880.00
2025-05-08 13:26:21;91630.00
2025-05-08 13:26:20;82130.00
2025-05-08 13:26:19;90630.00
2025-05-08 13:26:18;50380.00
2025-05-08 13:26:17;76130.00
2025-05-08 13:26:16;85630.00
2025-05-08 13:26:15;78380.00
2025-05-08 13:26:14;59380.00
2025-05-08 13:26:13;30880.00
2025-05-08 13:26:12;2380.00
2025-05-08 13:26:11;57130.00
2025-05-08 13:26:10;11880.00
