Fecha y Hora;KV-4024 - Válvula salida HT a acondicionamiento
2025-05-08 13:27:39;97880.00
2025-05-08 13:27:38;86130.00
2025-05-08 13:27:37;2880.00
2025-05-08 13:27:36;17380.00
2025-05-08 13:27:35;74380.00
2025-05-08 13:27:34;79380.00
2025-05-08 13:27:33;45880.00
2025-05-08 13:27:32;12380.00
2025-05-08 13:27:31;31380.00
2025-05-08 13:27:30;70380.00
2025-05-08 13:27:29;41880.00
2025-05-08 13:27:28;82130.00
2025-05-08 13:27:27;51380.00
2025-05-08 13:27:26;82130.00
2025-05-08 13:27:25;30630.00
2025-05-08 13:27:24;82130.00
2025-05-08 13:27:23;85380.00
2025-05-08 13:27:22;65380.00
2025-05-08 13:27:21;34130.00
2025-05-08 13:27:20;77130.00
2025-05-08 13:27:19;43630.00
2025-05-08 13:27:18;5630.00
2025-05-08 13:27:17;50880.00
2025-05-08 13:27:16;84380.00
2025-05-08 13:27:15;36880.00
2025-05-08 13:27:14;77130.00
2025-05-08 13:27:13;91630.00
2025-05-08 13:27:12;5630.00
2025-05-08 13:27:11;48630.00
2025-05-08 13:27:10;36880.00
2025-05-08 13:27:09;65380.00
2025-05-08 13:27:08;91630.00
2025-05-08 13:27:07;3380.00
2025-05-08 13:27:06;31880.00
2025-05-08 13:27:05;77130.00
2025-05-08 13:27:04;74880.00
2025-05-08 13:27:03;74880.00
2025-05-08 13:27:02;48630.00
2025-05-08 13:27:01;84380.00
2025-05-08 13:27:00;48630.00
2025-05-08 13:26:59;72630.00
2025-05-08 13:26:58;65380.00
2025-05-08 13:26:57;17880.00
2025-05-08 13:26:56;70380.00
2025-05-08 13:26:55;72130.00
2025-05-08 13:26:54;380.00
2025-05-08 13:26:53;37880.00
2025-05-08 13:26:52;83630.00
2025-05-08 13:26:51;1630.00
2025-05-08 13:26:50;15630.00
2025-05-08 13:26:49;51380.00
2025-05-08 13:26:48;13380.00
2025-05-08 13:26:47;37380.00
2025-05-08 13:26:46;49130.00
2025-05-08 13:26:45;68130.00
2025-05-08 13:26:44;87130.00
2025-05-08 13:26:43;75380.00
2025-05-08 13:26:42;61380.00
