Fecha y Hora;B-301A - Bomba A desgasificador
2025-05-08 13:27:39;-3512.00
2025-05-08 13:27:38;-2337.00
2025-05-08 13:27:37;-7087.00
2025-05-08 13:27:36;-8487.00
2025-05-08 13:27:35;-4462.00
2025-05-08 13:27:34;-3012.00
2025-05-08 13:27:33;-7312.00
2025-05-08 13:27:32;-5412.00
2025-05-08 13:27:31;-5187.00
2025-05-08 13:27:30;-3737.00
2025-05-08 13:27:29;-1837.00
2025-05-08 13:27:28;-9162.00
2025-05-08 13:27:27;-4137.00
2025-05-08 13:27:26;-1062.00
2025-05-08 13:27:25;-8487.00
2025-05-08 13:27:24;-3687.00
2025-05-08 13:27:23;-737.00
2025-05-08 13:27:22;-6812.00
2025-05-08 13:27:21;-2287.00
2025-05-08 13:27:20;-2287.00
2025-05-08 13:27:19;-8487.00
2025-05-08 13:27:18;-6087.00
2025-05-08 13:27:17;-7037.00
2025-05-08 13:27:16;-6312.00
2025-05-08 13:27:15;-4412.00
2025-05-08 13:27:14;-1787.00
2025-05-08 13:27:13;-7262.00
2025-05-08 13:27:12;-5137.00
2025-05-08 13:27:11;-3462.00
2025-05-08 13:27:10;-9162.00
2025-05-08 13:27:09;-9662.00
2025-05-08 13:27:08;-8437.00
2025-05-08 13:27:07;-1787.00
2025-05-08 13:27:06;-7987.00
2025-05-08 13:27:05;-1562.00
2025-05-08 13:27:04;-4412.00
2025-05-08 13:27:03;-2512.00
2025-05-08 13:27:02;-1787.00
2025-05-08 13:27:01;-3462.00
2025-05-08 13:27:00;-4412.00
2025-05-08 13:26:59;-2012.00
2025-05-08 13:26:58;-3687.00
2025-05-08 13:26:57;-6537.00
2025-05-08 13:26:56;-4862.00
2025-05-08 13:26:55;-1062.00
2025-05-08 13:26:54;-1287.00
2025-05-08 13:26:53;-8837.00
2025-05-08 13:26:52;-8287.00
2025-05-08 13:26:51;-4362.00
2025-05-08 13:26:50;-6987.00
2025-05-08 13:26:49;-8662.00
2025-05-08 13:26:48;-5312.00
2025-05-08 13:26:47;-8662.00
2025-05-08 13:26:46;-9837.00
2025-05-08 13:26:45;-5312.00
2025-05-08 13:26:44;-7212.00
2025-05-08 13:26:43;-3637.00
2025-05-08 13:26:42;-2687.00
2025-05-08 13:26:41;-9837.00
2025-05-08 13:26:40;-5537.00
2025-05-08 13:26:39;-5537.00
2025-05-08 13:26:38;-2187.00
2025-05-08 13:26:37;-1237.00
2025-05-08 13:26:36;-3537.00
2025-05-08 13:26:35;-8562.00
2025-05-08 13:26:34;-2137.00
2025-05-08 13:26:33;-9562.00
2025-05-08 13:26:32;-9337.00
2025-05-08 13:26:31;-1012.00
2025-05-08 13:26:30;-2912.00
2025-05-08 13:26:29;-9562.00
2025-05-08 13:26:28;-287.00
2025-05-08 13:26:27;-8612.00
2025-05-08 13:26:26;-3862.00
2025-05-08 13:26:25;-5762.00
2025-05-08 13:26:24;-6712.00
2025-05-08 13:26:23;-6712.00
2025-05-08 13:26:22;-2187.00
2025-05-08 13:26:21;-5112.00
2025-05-08 13:26:20;-5112.00
2025-05-08 13:26:19;-962.00
2025-05-08 13:26:18;-5487.00
2025-05-08 13:26:17;-12.00
2025-05-08 13:26:16;-3362.00
2025-05-08 13:26:15;-12.00
2025-05-08 13:26:14;-2862.00
2025-05-08 13:26:13;-6437.00
2025-05-08 13:26:12;-2637.00
2025-05-08 13:26:11;-8837.00
2025-05-08 13:26:10;-3587.00
2025-05-08 13:26:09;-1912.00
2025-05-08 13:26:08;-12.00
2025-05-08 13:26:07;-3812.00
2025-05-08 13:26:06;-2137.00
2025-05-08 13:26:05;-6662.00
2025-05-08 13:26:04;-9512.00
