Fecha y Hora;KV-001 - Válvula vapor de caldera
2025-05-08 13:27:39;-22870.00
2025-05-08 13:27:38;-72620.00
2025-05-08 13:27:37;-1120.00
2025-05-08 13:27:36;-69870.00
2025-05-08 13:27:35;-39120.00
2025-05-08 13:27:34;-96120.00
2025-05-08 13:27:33;-48620.00
2025-05-08 13:27:32;-87120.00
2025-05-08 13:27:31;-10620.00
2025-05-08 13:27:30;-12870.00
2025-05-08 13:27:29;-71620.00
2025-05-08 13:27:28;-86120.00
2025-05-08 13:27:27;-35870.00
2025-05-08 13:27:26;-17370.00
2025-05-08 13:27:25;-25870.00
2025-05-08 13:27:24;-69870.00
2025-05-08 13:27:23;-95120.00
2025-05-08 13:27:22;-62620.00
2025-05-08 13:27:21;-1120.00
2025-05-08 13:27:20;-17370.00
2025-05-08 13:27:19;-69870.00
2025-05-08 13:27:18;-31870.00
2025-05-08 13:27:17;-48620.00
2025-05-08 13:27:16;-48120.00
2025-05-08 13:27:15;-74370.00
2025-05-08 13:27:14;-620.00
2025-05-08 13:27:13;-2870.00
2025-05-08 13:27:12;-93870.00
2025-05-08 13:27:11;-41370.00
2025-05-08 13:27:10;-50370.00
2025-05-08 13:27:09;-15120.00
2025-05-08 13:27:08;-86120.00
2025-05-08 13:27:07;-93370.00
2025-05-08 13:27:06;-10120.00
2025-05-08 13:27:05;-3370.00
2025-05-08 13:27:04;-15120.00
2025-05-08 13:27:03;-10120.00
2025-05-08 13:27:02;-48120.00
2025-05-08 13:27:01;-29120.00
2025-05-08 13:27:00;-29120.00
2025-05-08 13:26:59;-17370.00
2025-05-08 13:26:58;-43620.00
2025-05-08 13:26:57;-93370.00
2025-05-08 13:26:56;-620.00
2025-05-08 13:26:55;-72120.00
2025-05-08 13:26:54;-59870.00
2025-05-08 13:26:53;-18620.00
2025-05-08 13:26:52;-94120.00
2025-05-08 13:26:51;-38120.00
2025-05-08 13:26:50;-16870.00
2025-05-08 13:26:49;-95620.00
2025-05-08 13:26:48;-95620.00
2025-05-08 13:26:47;-81120.00
2025-05-08 13:26:46;-95620.00
2025-05-08 13:26:45;-35870.00
2025-05-08 13:26:44;-24120.00
2025-05-08 13:26:43;-21370.00
2025-05-08 13:26:42;-66620.00
2025-05-08 13:26:41;-38120.00
2025-05-08 13:26:40;-95120.00
2025-05-08 13:26:39;-95120.00
2025-05-08 13:26:38;-64370.00
2025-05-08 13:26:37;-99120.00
2025-05-08 13:26:36;-72870.00
2025-05-08 13:26:35;-82870.00
2025-05-08 13:26:34;-9120.00
2025-05-08 13:26:33;-16370.00
2025-05-08 13:26:32;-33120.00
2025-05-08 13:26:31;-92870.00
2025-05-08 13:26:30;-23620.00
2025-05-08 13:26:29;-99620.00
2025-05-08 13:26:28;-68870.00
2025-05-08 13:26:27;-97370.00
2025-05-08 13:26:26;-30870.00
2025-05-08 13:26:25;-9620.00
2025-05-08 13:26:24;-120.00
2025-05-08 13:26:23;-6870.00
2025-05-08 13:26:22;-16370.00
2025-05-08 13:26:21;-7620.00
2025-05-08 13:26:20;-29370.00
2025-05-08 13:26:19;-49370.00
2025-05-08 13:26:18;-13620.00
2025-05-08 13:26:17;-28120.00
2025-05-08 13:26:16;-28120.00
2025-05-08 13:26:15;-75620.00
2025-05-08 13:26:14;-85120.00
2025-05-08 13:26:13;-39870.00
2025-05-08 13:26:12;-66120.00
2025-05-08 13:26:11;-82870.00
2025-05-08 13:26:10;-20870.00
2025-05-08 13:26:09;-13620.00
2025-05-08 13:26:08;-75620.00
2025-05-08 13:26:07;-51620.00
2025-05-08 13:26:06;-63870.00
2025-05-08 13:26:05;-85120.00
2025-05-08 13:26:04;-80120.00
2025-05-08 13:26:03;-56620.00
2025-05-08 13:26:02;-30370.00
2025-05-08 13:26:01;-13620.00
2025-05-08 13:26:00;-28120.00
2025-05-08 13:25:59;-28120.00
2025-05-08 13:25:58;-6370.00
2025-05-08 13:25:57;-70620.00
2025-05-08 13:25:56;-6370.00
2025-05-08 13:25:55;-99120.00
2025-05-08 13:25:54;-34870.00
2025-05-08 13:25:53;-4120.00
2025-05-08 13:25:52;-15870.00
2025-05-08 13:25:51;-91870.00
2025-05-08 13:25:50;-55620.00
2025-05-08 13:25:49;-23870.00
2025-05-08 13:25:48;-52370.00
2025-05-08 13:25:47;-43870.00
2025-05-08 13:25:46;-37120.00
2025-05-08 13:25:45;-74120.00
2025-05-08 13:25:44;-57870.00
2025-05-08 13:25:43;-3120.00
2025-05-08 13:25:42;-29370.00
2025-05-08 13:25:41;-34370.00
2025-05-08 13:25:40;-5870.00
2025-05-08 13:25:39;-20370.00
2025-05-08 13:25:38;-38870.00
2025-05-08 13:25:37;-5870.00
2025-05-08 13:25:36;-34370.00
2025-05-08 13:25:35;-41620.00
2025-05-08 13:25:34;-1370.00
2025-05-08 13:25:33;-67870.00
2025-05-08 13:25:32;-79620.00
2025-05-08 13:25:31;-91370.00
2025-05-08 13:25:30;-91370.00
2025-05-08 13:25:29;-29370.00
2025-05-08 13:25:28;-91870.00
2025-05-08 13:25:27;-60620.00
2025-05-08 13:25:26;-86870.00
2025-05-08 13:25:25;-81870.00
2025-05-08 13:25:24;-65120.00
2025-05-08 13:25:23;-34370.00
2025-05-08 13:25:22;-33870.00
2025-05-08 13:25:21;-31620.00
2025-05-08 13:25:20;-31620.00
2025-05-08 13:25:19;-72370.00
2025-05-08 13:25:18;33630.00
2025-05-08 13:25:17;7380.00
2025-05-08 13:25:16;-22120.00
2025-05-08 13:25:15;-52870.00
2025-05-08 13:25:14;-95870.00
2025-05-08 13:25:13;-50620.00
2025-05-08 13:25:12;-48370.00
2025-05-08 13:25:11;-5370.00
2025-05-08 13:25:10;-24370.00
2025-05-08 13:25:09;-67370.00
2025-05-08 13:25:08;-41120.00
2025-05-08 13:25:07;-90870.00
2025-05-08 13:25:06;-19370.00
2025-05-08 13:25:05;-90870.00
2025-05-08 13:25:04;-33870.00
2025-05-08 13:25:03;-88620.00
2025-05-08 13:25:02;-62370.00
2025-05-08 13:25:01;-79120.00
2025-05-08 13:25:00;-24370.00
2025-05-08 13:24:59;-74120.00
2025-05-08 13:24:58;-19370.00
2025-05-08 13:24:57;-57370.00
2025-05-08 13:24:56;-67370.00
