Fecha y Hora;LIT-3039 - Nivel reactor R-303
2025-05-08 13:27:39;-85.08
2025-05-08 13:27:38;-49.33
2025-05-08 13:27:37;-94.58
2025-05-08 13:27:36;-86.83
2025-05-08 13:27:35;-89.58
2025-05-08 13:27:34;-39.33
2025-05-08 13:27:33;-63.33
2025-05-08 13:27:32;-66.08
2025-05-08 13:27:31;-57.83
2025-05-08 13:27:30;-55.08
2025-05-08 13:27:29;-74.58
2025-05-08 13:27:28;-65.08
2025-05-08 13:27:27;-85.83
2025-05-08 13:27:26;-21.08
2025-05-08 13:27:25;-23.83
2025-05-08 13:27:24;-34.33
2025-05-08 13:27:23;-66.83
2025-05-08 13:27:22;-86.83
2025-05-08 13:27:21;-10.83
2025-05-08 13:27:20;-37.08
2025-05-08 13:27:19;-37.08
2025-05-08 13:27:18;-5.83
2025-05-08 13:27:17;-1.33
2025-05-08 13:27:16;-51.08
2025-05-08 13:27:15;-27.08
2025-05-08 13:27:14;-48.83
2025-05-08 13:27:13;-5.83
2025-05-08 13:27:12;-46.58
2025-05-08 13:27:11;-77.33
2025-05-08 13:27:10;-24.83
2025-05-08 13:27:09;-94.08
2025-05-08 13:27:08;-19.83
2025-05-08 13:27:07;-51.08
2025-05-08 13:27:06;-46.58
2025-05-08 13:27:05;-58.33
2025-05-08 13:27:04;-51.08
2025-05-08 13:27:03;-43.83
2025-05-08 13:27:02;-94.08
2025-05-08 13:27:01;-48.83
2025-05-08 13:27:00;-39.33
2025-05-08 13:26:59;-60.58
2025-05-08 13:26:58;-36.58
2025-05-08 13:26:57;-3.08
2025-05-08 13:26:56;-62.83
2025-05-08 13:26:55;-82.33
2025-05-08 13:26:54;-79.83
2025-05-08 13:26:53;-9.33
2025-05-08 13:26:52;-54.08
2025-05-08 13:26:51;-60.08
2025-05-08 13:26:50;-88.58
2025-05-08 13:26:49;-62.33
2025-05-08 13:26:48;-57.83
2025-05-08 13:26:47;-33.83
2025-05-08 13:26:46;-22.08
2025-05-08 13:26:45;-76.83
2025-05-08 13:26:44;-31.58
2025-05-08 13:26:43;-86.33
2025-05-08 13:26:42;-81.33
2025-05-08 13:26:41;-84.08
2025-05-08 13:26:40;-24.33
2025-05-08 13:26:39;-42.83
2025-05-08 13:26:38;-85.33
2025-05-08 13:26:37;-99.33
2025-05-08 13:26:36;-40.08
2025-05-08 13:26:35;-9.33
2025-05-08 13:26:34;-16.58
2025-05-08 13:26:33;-23.83
2025-05-08 13:26:32;-17.08
2025-05-08 13:26:31;-14.83
2025-05-08 13:26:30;-64.58
2025-05-08 13:26:29;-38.33
2025-05-08 13:26:28;-2.58
2025-05-08 13:26:27;-83.58
2025-05-08 13:26:26;-50.08
2025-05-08 13:26:25;-64.58
2025-05-08 13:26:24;-71.83
2025-05-08 13:26:23;-79.83
2025-05-08 13:26:22;-50.83
2025-05-08 13:26:21;-36.83
2025-05-08 13:26:20;-84.33
2025-05-08 13:26:19;-49.58
2025-05-08 13:26:18;-16.58
2025-05-08 13:26:17;-52.33
2025-05-08 13:26:16;-23.83
2025-05-08 13:26:15;-78.58
2025-05-08 13:26:14;-97.58
2025-05-08 13:26:13;-33.33
2025-05-08 13:26:12;-73.58
2025-05-08 13:26:11;-71.33
2025-05-08 13:26:10;-35.58
2025-05-08 13:26:09;-16.58
2025-05-08 13:26:08;-68.58
2025-05-08 13:26:07;-45.08
2025-05-08 13:26:06;-26.08
2025-05-08 13:26:05;-59.58
2025-05-08 13:26:04;-21.08
2025-05-08 13:26:03;-18.83
2025-05-08 13:26:02;-73.58
2025-05-08 13:26:01;-90.33
2025-05-08 13:26:00;-66.33
2025-05-08 13:25:59;-45.08
2025-05-08 13:25:58;-83.08
2025-05-08 13:25:57;-47.33
2025-05-08 13:25:56;-26.08
2025-05-08 13:25:55;-83.08
2025-05-08 13:25:54;-30.58
2025-05-08 13:25:53;-59.08
2025-05-08 13:25:52;-75.83
2025-05-08 13:25:51;-67.08
2025-05-08 13:25:50;-72.58
2025-05-08 13:25:49;-17.33
2025-05-08 13:25:48;-91.08
2025-05-08 13:25:47;-64.83
2025-05-08 13:25:46;-60.83
2025-05-08 13:25:45;-10.58
2025-05-08 13:25:44;-58.58
2025-05-08 13:25:43;-74.83
2025-05-08 13:25:42;-13.33
2025-05-08 13:25:41;-99.33
2025-05-08 13:25:40;-25.58
2025-05-08 13:25:39;-94.83
2025-05-08 13:25:38;-32.33
2025-05-08 13:25:37;-94.33
2025-05-08 13:25:36;-46.83
2025-05-08 13:25:35;-92.08
2025-05-08 13:25:34;-1.58
2025-05-08 13:25:33;-70.83
2025-05-08 13:25:32;-25.58
2025-05-08 13:25:31;-11.08
2025-05-08 13:25:30;-65.83
2025-05-08 13:25:29;-6.08
2025-05-08 13:25:28;-75.33
2025-05-08 13:25:27;-68.08
2025-05-08 13:25:26;-17.83
2025-05-08 13:25:25;-11.08
2025-05-08 13:25:24;-20.08
2025-05-08 13:25:23;-36.83
2025-05-08 13:25:22;-44.08
2025-05-08 13:25:21;-34.58
2025-05-08 13:25:20;-8.33
2025-05-08 13:25:19;-4.58
2025-05-08 13:25:18;-64.33
2025-05-08 13:25:17;-5.08
2025-05-08 13:25:16;-44.08
2025-05-08 13:25:15;-27.33
2025-05-08 13:25:14;-74.83
2025-05-08 13:25:13;-34.58
2025-05-08 13:25:12;-8.33
2025-05-08 13:25:11;-27.33
2025-05-08 13:25:10;-1.08
2025-05-08 13:25:09;-17.33
2025-05-08 13:25:08;-70.33
2025-05-08 13:25:07;-93.83
2025-05-08 13:25:06;-2.83
2025-05-08 13:25:05;-79.33
2025-05-08 13:25:04;-39.08
2025-05-08 13:25:03;-53.08
2025-05-08 13:25:02;-93.83
2025-05-08 13:25:01;-17.83
