Fecha y Hora;TT-202 - Temperatura estator bomba B-202
2025-05-08 13:27:39;44.93
2025-05-08 13:27:38;2.43
2025-05-08 13:27:37;38.18
2025-05-08 13:27:36;90.68
2025-05-08 13:27:35;38.18
2025-05-08 13:27:34;24.18
2025-05-08 13:27:33;14.18
2025-05-08 13:27:32;57.68
2025-05-08 13:27:31;8.43
2025-05-08 13:27:30;6.18
2025-05-08 13:27:29;11.18
2025-05-08 13:27:28;5.68
2025-05-08 13:27:27;54.68
2025-05-08 13:27:26;23.93
2025-05-08 13:27:25;34.68
2025-05-08 13:27:24;65.93
2025-05-08 13:27:23;3.93
2025-05-08 13:27:22;98.43
2025-05-08 13:27:21;48.68
2025-05-08 13:27:20;83.93
2025-05-08 13:27:19;34.18
2025-05-08 13:27:18;58.18
2025-05-08 13:27:17;36.93
2025-05-08 13:27:16;59.93
2025-05-08 13:27:15;63.18
2025-05-08 13:27:14;72.18
2025-05-08 13:27:13;74.43
2025-05-08 13:27:12;53.18
2025-05-08 13:27:11;74.43
2025-05-08 13:27:10;38.68
2025-05-08 13:27:09;36.43
2025-05-08 13:27:08;88.93
2025-05-08 13:27:07;0.68
2025-05-08 13:27:06;60.43
2025-05-08 13:27:05;14.68
2025-05-08 13:27:04;10.68
2025-05-08 13:27:03;26.93
2025-05-08 13:27:02;32.43
2025-05-08 13:27:01;41.43
2025-05-08 13:27:00;79.43
2025-05-08 13:26:59;53.68
2025-05-08 13:26:58;91.68
2025-05-08 13:26:57;69.93
2025-05-08 13:26:56;82.18
2025-05-08 13:26:55;42.93
2025-05-08 13:26:54;28.93
2025-05-08 13:26:53;85.93
2025-05-08 13:26:52;61.43
2025-05-08 13:26:51;36.43
2025-05-08 13:26:50;60.93
2025-05-08 13:26:49;36.93
2025-05-08 13:26:48;79.93
2025-05-08 13:26:47;39.18
2025-05-08 13:26:46;41.93
2025-05-08 13:26:45;74.93
2025-05-08 13:26:44;48.68
2025-05-08 13:26:43;72.68
2025-05-08 13:26:42;55.93
2025-05-08 13:26:41;79.43
2025-05-08 13:26:40;40.18
2025-05-08 13:26:39;55.18
2025-05-08 13:26:38;74.18
2025-05-08 13:26:37;32.93
2025-05-08 13:26:36;58.68
2025-05-08 13:26:35;94.93
2025-05-08 13:26:34;78.18
2025-05-08 13:26:33;17.93
2025-05-08 13:26:32;1.68
2025-05-08 13:26:31;79.93
2025-05-08 13:26:30;4.43
2025-05-08 13:26:29;11.18
2025-05-08 13:26:28;27.93
2025-05-08 13:26:27;44.68
2025-05-08 13:26:26;58.68
2025-05-08 13:26:25;51.93
2025-05-08 13:26:24;94.43
2025-05-08 13:26:23;86.43
2025-05-08 13:26:22;57.93
2025-05-08 13:26:21;10.43
2025-05-08 13:26:20;68.68
2025-05-08 13:26:19;85.43
2025-05-08 13:26:18;73.18
2025-05-08 13:26:17;92.18
2025-05-08 13:26:16;46.93
2025-05-08 13:26:15;75.43
2025-05-08 13:26:14;51.93
2025-05-08 13:26:13;78.18
2025-05-08 13:26:12;97.68
2025-05-08 13:26:11;56.43
2025-05-08 13:26:10;25.68
2025-05-08 13:26:09;42.43
2025-05-08 13:26:08;80.43
2025-05-08 13:26:07;99.93
2025-05-08 13:26:06;90.43
2025-05-08 13:26:05;70.93
2025-05-08 13:26:04;40.18
2025-05-08 13:26:03;87.68
2025-05-08 13:26:02;35.18
2025-05-08 13:26:01;35.18
2025-05-08 13:26:00;26.18
2025-05-08 13:25:59;23.43
2025-05-08 13:25:58;59.18
2025-05-08 13:25:57;6.18
2025-05-08 13:25:56;27.93
2025-05-08 13:25:55;35.18
2025-05-08 13:25:54;75.93
2025-05-08 13:25:53;51.93
2025-05-08 13:25:52;68.68
2025-05-08 13:25:51;86.43
2025-05-08 13:25:50;95.93
2025-05-08 13:25:49;60.68
2025-05-08 13:25:48;89.68
2025-05-08 13:25:47;36.68
2025-05-08 13:25:46;7.68
2025-05-08 13:25:45;90.93
2025-05-08 13:25:44;88.68
2025-05-08 13:25:43;3.18
2025-05-08 13:25:42;27.18
2025-05-08 13:25:41;92.68
2025-05-08 13:25:40;88.18
2025-05-08 13:25:39;66.93
2025-05-08 13:25:38;23.93
2025-05-08 13:25:37;33.43
2025-05-08 13:25:36;73.68
2025-05-08 13:25:35;81.43
2025-05-08 13:25:34;36.18
2025-05-08 13:25:33;24.43
2025-05-08 13:25:32;88.18
2025-05-08 13:25:31;69.18
2025-05-08 13:25:30;38.43
2025-05-08 13:25:29;42.93
2025-05-08 13:25:28;4.93
2025-05-08 13:25:27;38.93
2025-05-08 13:25:26;85.93
2025-05-08 13:25:25;28.93
2025-05-08 13:25:24;50.68
2025-05-08 13:25:23;12.18
2025-05-08 13:25:22;76.43
2025-05-08 13:25:21;57.93
2025-05-08 13:25:20;66.68
2025-05-08 13:25:19;13.18
2025-05-08 13:25:18;68.43
2025-05-08 13:25:17;78.43
2025-05-08 13:25:16;18.68
2025-05-08 13:25:15;52.93
2025-05-08 13:25:14;79.18
2025-05-08 13:25:13;48.43
2025-05-08 13:25:12;6.43
2025-05-08 13:25:11;72.43
2025-05-08 13:25:10;76.93
2025-05-08 13:25:09;60.18
2025-05-08 13:25:08;43.93
2025-05-08 13:25:07;22.68
2025-05-08 13:25:06;27.18
2025-05-08 13:25:05;98.68
2025-05-08 13:25:04;38.93
2025-05-08 13:25:03;12.68
2025-05-08 13:25:02;72.43
2025-05-08 13:25:01;27.18
2025-05-08 13:25:00;3.68
2025-05-08 13:24:59;67.93
2025-05-08 13:24:58;95.93
2025-05-08 13:24:57;46.18
2025-05-08 13:24:56;18.18
2025-05-08 13:24:55;35.43
2025-05-08 13:24:54;47.68
2025-05-08 13:24:53;6.43
2025-05-08 13:24:52;44.43
2025-05-08 13:24:51;32.68
2025-05-08 13:24:50;80.68
2025-05-08 13:24:49;60.68
2025-05-08 13:24:48;31.43
2025-05-08 13:24:47;48.18
2025-05-08 13:24:46;9.18
2025-05-08 13:24:45;88.43
2025-05-08 13:24:44;86.93
2025-05-08 13:24:43;65.18
2025-05-08 13:24:42;25.43
2025-05-08 13:24:41;8.18
2025-05-08 13:24:40;30.43
2025-05-08 13:24:39;44.93
2025-05-08 13:24:38;63.43
2025-05-08 13:24:37;89.18
2025-05-08 13:24:36;53.43
2025-05-08 13:24:35;15.43
2025-05-08 13:24:34;96.43
2025-05-08 13:24:33;38.93
2025-05-08 13:24:32;53.43
2025-05-08 13:24:31;32.18
2025-05-08 13:24:30;32.68
2025-05-08 13:24:29;84.68
2025-05-08 13:24:28;58.43
2025-05-08 13:24:27;90.18
2025-05-08 13:24:26;82.43
2025-05-08 13:24:25;51.68
2025-05-08 13:24:24;91.93
2025-05-08 13:24:23;20.43
2025-05-08 13:24:22;51.18
2025-05-08 13:24:21;18.18
