Fecha y Hora;KV-4025 - Válvula recirculación HT
2025-05-08 13:27:39;3380.00
2025-05-08 13:27:38;22880.00
2025-05-08 13:27:37;39630.00
2025-05-08 13:27:36;44630.00
2025-05-08 13:27:35;56380.00
2025-05-08 13:27:34;94380.00
2025-05-08 13:27:33;68130.00
2025-05-08 13:27:32;72630.00
2025-05-08 13:27:31;3880.00
2025-05-08 13:27:30;69130.00
2025-05-08 13:27:29;88130.00
2025-05-08 13:27:28;99880.00
2025-05-08 13:27:27;69130.00
2025-05-08 13:27:26;87630.00
2025-05-08 13:27:25;76880.00
2025-05-08 13:27:24;87630.00
2025-05-08 13:27:23;45630.00
2025-05-08 13:27:22;47380.00
2025-05-08 13:27:21;1630.00
2025-05-08 13:27:20;68630.00
2025-05-08 13:27:19;58630.00
2025-05-08 13:27:18;56380.00
2025-05-08 13:27:17;56380.00
2025-05-08 13:27:16;11630.00
2025-05-08 13:27:15;73630.00
2025-05-08 13:27:14;78130.00
2025-05-08 13:27:13;73630.00
2025-05-08 13:27:12;65880.00
2025-05-08 13:27:11;54130.00
2025-05-08 13:27:10;64130.00
2025-05-08 13:27:09;70880.00
2025-05-08 13:27:08;92630.00
2025-05-08 13:27:07;73130.00
2025-05-08 13:27:06;46880.00
2025-05-08 13:27:05;82630.00
2025-05-08 13:27:04;35130.00
2025-05-08 13:27:03;11630.00
2025-05-08 13:27:02;18380.00
2025-05-08 13:27:01;66380.00
2025-05-08 13:27:00;85380.00
2025-05-08 13:26:59;87630.00
2025-05-08 13:26:58;70880.00
2025-05-08 13:26:57;78130.00
2025-05-08 13:26:56;75880.00
2025-05-08 13:26:55;44630.00
2025-05-08 13:26:54;60630.00
2025-05-08 13:26:53;84130.00
2025-05-08 13:26:52;84630.00
2025-05-08 13:26:51;38380.00
2025-05-08 13:26:50;71380.00
2025-05-08 13:26:49;11630.00
2025-05-08 13:26:48;73630.00
2025-05-08 13:26:47;74130.00
2025-05-08 13:26:46;9380.00
2025-05-08 13:26:45;69130.00
2025-05-08 13:26:44;92630.00
2025-05-08 13:26:43;90380.00
2025-05-08 13:26:42;43380.00
2025-05-08 13:26:41;16630.00
2025-05-08 13:26:40;38380.00
2025-05-08 13:26:39;23880.00
2025-05-08 13:26:38;85880.00
2025-05-08 13:26:37;43880.00
2025-05-08 13:26:36;15380.00
2025-05-08 13:26:35;12630.00
2025-05-08 13:26:34;95880.00
2025-05-08 13:26:33;47880.00
2025-05-08 13:26:32;98130.00
2025-05-08 13:26:31;31130.00
2025-05-08 13:26:30;60130.00
2025-05-08 13:26:29;95880.00
2025-05-08 13:26:28;69130.00
2025-05-08 13:26:27;71880.00
2025-05-08 13:26:26;66880.00
2025-05-08 13:26:25;40630.00
2025-05-08 13:26:24;50130.00
2025-05-08 13:26:23;86380.00
2025-05-08 13:26:22;25380.00
2025-05-08 13:26:21;71130.00
2025-05-08 13:26:20;75630.00
2025-05-08 13:26:19;70130.00
2025-05-08 13:26:18;46130.00
2025-05-08 13:26:17;33880.00
2025-05-08 13:26:16;380.00
2025-05-08 13:26:15;57880.00
2025-05-08 13:26:14;38880.00
2025-05-08 13:26:13;88630.00
2025-05-08 13:26:12;27130.00
2025-05-08 13:26:11;52880.00
2025-05-08 13:26:10;36630.00
