Fecha y Hora;PIT-402B - Presión salida bomba B-402B
2025-05-08 13:27:39;94.92
2025-05-08 13:27:38;26.17
2025-05-08 13:27:37;80.92
2025-05-08 13:27:36;74.17
2025-05-08 13:27:35;21.67
2025-05-08 13:27:34;90.92
2025-05-08 13:27:33;88.17
2025-05-08 13:27:32;88.67
2025-05-08 13:27:31;81.92
2025-05-08 13:27:30;5.92
2025-05-08 13:27:29;79.17
2025-05-08 13:27:28;43.92
2025-05-08 13:27:27;29.92
2025-05-08 13:27:26;11.42
2025-05-08 13:27:25;66.17
2025-05-08 13:27:24;90.92
2025-05-08 13:27:23;3.67
2025-05-08 13:27:22;79.17
2025-05-08 13:27:21;14.42
2025-05-08 13:27:20;90.92
2025-05-08 13:27:19;50.17
2025-05-08 13:27:18;62.42
2025-05-08 13:27:17;78.67
2025-05-08 13:27:16;19.92
2025-05-08 13:27:15;17.67
2025-05-08 13:27:14;41.17
2025-05-08 13:27:13;14.92
2025-05-08 13:27:12;78.67
2025-05-08 13:27:11;66.92
2025-05-08 13:27:10;19.92
2025-05-08 13:27:09;57.42
2025-05-08 13:27:08;24.42
2025-05-08 13:27:07;55.17
2025-05-08 13:27:06;83.67
2025-05-08 13:27:05;85.92
2025-05-08 13:27:04;81.42
2025-05-08 13:27:03;10.42
2025-05-08 13:27:02;36.17
2025-05-08 13:27:01;7.67
2025-05-08 13:27:00;17.17
2025-05-08 13:26:59;74.17
2025-05-08 13:26:58;5.42
2025-05-08 13:26:57;41.17
2025-05-08 13:26:56;50.67
2025-05-08 13:26:55;34.92
2025-05-08 13:26:54;28.67
2025-05-08 13:26:53;25.42
2025-05-08 13:26:52;45.42
2025-05-08 13:26:51;5.92
2025-05-08 13:26:50;48.92
2025-05-08 13:26:49;27.17
2025-05-08 13:26:48;31.67
2025-05-08 13:26:47;77.42
2025-05-08 13:26:46;57.92
2025-05-08 13:26:45;77.42
2025-05-08 13:26:44;84.17
2025-05-08 13:26:43;55.67
2025-05-08 13:26:42;29.92
2025-05-08 13:26:41;10.42
2025-05-08 13:26:40;47.17
2025-05-08 13:26:39;99.17
2025-05-08 13:26:38;68.42
2025-05-08 13:26:37;42.67
2025-05-08 13:26:36;58.92
2025-05-08 13:26:35;34.92
2025-05-08 13:26:34;82.42
2025-05-08 13:26:33;75.17
2025-05-08 13:26:32;67.92
2025-05-08 13:26:31;65.67
2025-05-08 13:26:30;37.17
2025-05-08 13:26:29;44.42
2025-05-08 13:26:28;56.17
2025-05-08 13:26:27;72.92
2025-05-08 13:26:26;46.67
2025-05-08 13:26:25;79.67
2025-05-08 13:26:24;70.17
2025-05-08 13:26:23;74.42
2025-05-08 13:26:22;39.17
2025-05-08 13:26:21;97.92
2025-05-08 13:26:20;5.17
2025-05-08 13:26:19;76.17
2025-05-08 13:26:18;73.42
2025-05-08 13:26:17;27.67
2025-05-08 13:26:16;91.92
2025-05-08 13:26:15;56.17
2025-05-08 13:26:14;18.67
2025-05-08 13:26:13;53.92
2025-05-08 13:26:12;6.92
2025-05-08 13:26:11;23.17
2025-05-08 13:26:10;35.42
2025-05-08 13:26:09;23.17
2025-05-08 13:26:08;78.42
2025-05-08 13:26:07;20.92
2025-05-08 13:26:06;63.42
2025-05-08 13:26:05;58.42
2025-05-08 13:26:04;11.42
2025-05-08 13:26:03;4.17
2025-05-08 13:26:02;35.42
2025-05-08 13:26:01;59.42
2025-05-08 13:26:00;56.67
2025-05-08 13:25:59;44.42
2025-05-08 13:25:58;94.67
2025-05-08 13:25:57;75.67
2025-05-08 13:25:56;20.92
2025-05-08 13:25:55;39.92
2025-05-08 13:25:54;14.17
2025-05-08 13:25:53;75.67
2025-05-08 13:25:52;85.17
2025-05-08 13:25:51;3.42
2025-05-08 13:25:50;93.42
2025-05-08 13:25:49;34.17
2025-05-08 13:25:48;68.67
2025-05-08 13:25:47;29.67
2025-05-08 13:25:46;38.67
2025-05-08 13:25:45;19.67
2025-05-08 13:25:44;35.92
2025-05-08 13:25:43;69.42
2025-05-08 13:25:42;92.92
2025-05-08 13:25:41;66.67
2025-05-08 13:25:40;38.17
2025-05-08 13:25:39;28.17
2025-05-08 13:25:38;76.67
2025-05-08 13:25:37;12.42
2025-05-08 13:25:36;28.67
2025-05-08 13:25:35;97.92
2025-05-08 13:25:34;87.92
2025-05-08 13:25:33;28.17
2025-05-08 13:25:32;73.92
2025-05-08 13:25:31;45.42
2025-05-08 13:25:30;35.92
2025-05-08 13:25:29;57.67
2025-05-08 13:25:28;2.42
2025-05-08 13:25:27;85.67
2025-05-08 13:25:26;64.92
2025-05-08 13:25:25;78.92
2025-05-08 13:25:24;76.67
2025-05-08 13:25:23;7.42
2025-05-08 13:25:22;21.92
2025-05-08 13:25:21;57.67
2025-05-08 13:25:20;54.17
2025-05-08 13:25:19;25.67
2025-05-08 13:25:18;25.17
2025-05-08 13:25:17;87.17
2025-05-08 13:25:16;21.92
2025-05-08 13:25:15;72.17
2025-05-08 13:25:14;36.42
