Fecha y Hora;LIC-2011 - Nivel mezclador M-201
2025-05-08 13:27:39;-80.83
2025-05-08 13:27:38;-85.33
2025-05-08 13:27:37;-94.83
2025-05-08 13:27:36;-37.33
2025-05-08 13:27:35;-44.58
2025-05-08 13:27:34;-51.33
2025-05-08 13:27:33;-18.33
2025-05-08 13:27:32;-7.08
2025-05-08 13:27:31;-86.58
2025-05-08 13:27:30;-96.08
2025-05-08 13:27:29;-1.08
2025-05-08 13:27:28;-3.33
2025-05-08 13:27:27;-91.08
2025-05-08 13:27:26;-40.33
2025-05-08 13:27:25;-76.58
2025-05-08 13:27:24;-65.83
2025-05-08 13:27:23;-88.83
2025-05-08 13:27:22;-41.83
2025-05-08 13:27:21;-42.33
2025-05-08 13:27:20;-56.33
2025-05-08 13:27:19;-75.33
2025-05-08 13:27:18;-1.58
2025-05-08 13:27:17;-32.83
2025-05-08 13:27:16;-60.83
2025-05-08 13:27:15;-91.58
2025-05-08 13:27:14;-75.33
2025-05-08 13:27:13;-15.58
2025-05-08 13:27:12;-23.33
2025-05-08 13:27:11;-89.83
2025-05-08 13:27:10;-55.83
2025-05-08 13:27:09;-25.58
2025-05-08 13:27:08;-1.08
2025-05-08 13:27:07;-70.33
2025-05-08 13:27:06;-58.58
2025-05-08 13:27:05;-61.33
2025-05-08 13:27:04;-89.33
2025-05-08 13:27:03;-27.33
2025-05-08 13:27:02;-60.83
2025-05-08 13:27:01;-58.58
2025-05-08 13:27:00;-3.83
2025-05-08 13:26:59;-92.08
2025-05-08 13:26:58;-29.58
2025-05-08 13:26:57;-25.08
2025-05-08 13:26:56;-84.83
2025-05-08 13:26:55;-65.83
2025-05-08 13:26:54;-15.83
2025-05-08 13:26:53;-35.83
2025-05-08 13:26:52;-61.58
2025-05-08 13:26:51;-79.33
2025-05-08 13:26:50;-53.08
2025-05-08 13:26:49;-39.08
2025-05-08 13:26:48;-25.08
2025-05-08 13:26:47;-69.83
2025-05-08 13:26:46;-98.83
2025-05-08 13:26:45;-74.83
2025-05-08 13:26:44;-91.58
2025-05-08 13:26:43;-69.83
2025-05-08 13:26:42;-81.58
2025-05-08 13:26:41;-22.33
2025-05-08 13:26:40;-72.08
2025-05-08 13:26:39;-35.83
2025-05-08 13:26:38;-11.83
2025-05-08 13:26:37;-28.08
2025-05-08 13:26:36;-76.08
2025-05-08 13:26:35;-21.83
2025-05-08 13:26:34;-29.08
2025-05-08 13:26:33;-43.08
2025-05-08 13:26:32;-26.83
2025-05-08 13:26:31;-22.33
2025-05-08 13:26:30;-29.08
2025-05-08 13:26:29;-57.58
2025-05-08 13:26:28;-86.08
2025-05-08 13:26:27;-93.33
2025-05-08 13:26:26;-26.83
2025-05-08 13:26:25;-22.33
2025-05-08 13:26:24;-19.58
2025-05-08 13:26:23;-87.33
2025-05-08 13:26:22;-3.58
2025-05-08 13:26:21;-1.33
2025-05-08 13:26:20;-23.08
2025-05-08 13:26:19;-2.33
2025-05-08 13:26:18;-90.58
2025-05-08 13:26:17;-12.33
2025-05-08 13:26:16;-97.83
2025-05-08 13:26:15;-59.83
2025-05-08 13:26:14;-69.33
2025-05-08 13:26:13;-90.58
2025-05-08 13:26:12;-81.08
2025-05-08 13:26:11;-19.08
2025-05-08 13:26:10;-7.33
2025-05-08 13:26:09;-28.58
2025-05-08 13:26:08;-33.08
2025-05-08 13:26:07;-64.33
2025-05-08 13:26:06;-2.83
2025-05-08 13:26:05;-95.58
2025-05-08 13:26:04;-33.08
2025-05-08 13:26:03;-57.08
2025-05-08 13:26:02;-16.83
2025-05-08 13:26:01;-52.58
2025-05-08 13:26:00;-43.08
2025-05-08 13:25:59;-21.83
2025-05-08 13:25:58;-19.08
2025-05-08 13:25:57;-85.58
2025-05-08 13:25:56;-0.08
2025-05-08 13:25:55;-49.83
2025-05-08 13:25:54;-2.33
2025-05-08 13:25:53;-90.58
2025-05-08 13:25:52;-19.08
2025-05-08 13:25:51;-46.08
2025-05-08 13:25:50;-8.58
2025-05-08 13:25:49;-0.83
2025-05-08 13:25:48;-62.83
2025-05-08 13:25:47;-41.58
2025-05-08 13:25:46;-32.58
2025-05-08 13:25:45;-32.08
2025-05-08 13:25:44;-51.58
2025-05-08 13:25:43;-6.33
2025-05-08 13:25:42;-96.83
2025-05-08 13:25:41;-18.58
2025-05-08 13:25:40;-18.58
2025-05-08 13:25:39;-42.58
2025-05-08 13:25:38;-25.33
2025-05-08 13:25:37;-13.58
2025-05-08 13:25:36;-1.83
2025-05-08 13:25:35;-56.58
2025-05-08 13:25:34;-33.08
2025-05-08 13:25:33;-90.08
2025-05-08 13:25:32;-44.83
2025-05-08 13:25:31;-30.33
2025-05-08 13:25:30;-39.83
2025-05-08 13:25:29;-34.83
2025-05-08 13:25:28;-52.08
2025-05-08 13:25:27;-90.08
2025-05-08 13:25:26;-49.33
2025-05-08 13:25:25;-11.33
2025-05-08 13:25:24;-72.83
2025-05-08 13:25:23;-68.33
2025-05-08 13:25:22;-18.08
2025-05-08 13:25:21;-44.33
2025-05-08 13:25:20;-18.08
2025-05-08 13:25:19;-31.08
2025-05-08 13:25:18;-50.58
2025-05-08 13:25:17;-60.08
2025-05-08 13:25:16;-89.58
2025-05-08 13:25:15;-91.83
2025-05-08 13:25:14;-29.83
2025-05-08 13:25:13;-18.08
2025-05-08 13:25:12;-10.83
2025-05-08 13:25:11;-1.33
2025-05-08 13:25:10;-63.33
2025-05-08 13:25:09;-94.08
2025-05-08 13:25:08;-34.83
2025-05-08 13:25:07;-3.58
2025-05-08 13:25:06;-98.58
2025-05-08 13:25:05;-51.08
2025-05-08 13:25:04;-75.08
2025-05-08 13:25:03;-39.33
2025-05-08 13:25:02;-3.58
2025-05-08 13:25:01;-72.83
2025-05-08 13:25:00;-67.83
2025-05-08 13:24:59;-41.58
2025-05-08 13:24:58;-32.08
2025-05-08 13:24:57;-15.33
2025-05-08 13:24:56;-61.08
2025-05-08 13:24:55;-98.08
2025-05-08 13:24:54;-66.83
2025-05-08 13:24:53;-43.33
2025-05-08 13:24:52;-36.08
2025-05-08 13:24:51;-38.83
2025-05-08 13:24:50;-78.58
2025-05-08 13:24:49;-27.08
2025-05-08 13:24:48;-91.33
2025-05-08 13:24:47;-70.83
2025-05-08 13:24:46;-42.83
2025-05-08 13:24:45;-1.58
2025-05-08 13:24:44;-57.83
2025-05-08 13:24:43;-77.33
2025-05-08 13:24:42;-98.08
2025-05-08 13:24:41;-98.58
2025-05-08 13:24:40;-10.83
2025-05-08 13:24:39;-43.83
2025-05-08 13:24:38;-88.58
2025-05-08 13:24:37;-0.83
2025-05-08 13:24:36;-84.58
2025-05-08 13:24:35;-60.58
2025-05-08 13:24:34;-10.33
2025-05-08 13:24:33;-72.33
2025-05-08 13:24:32;-29.33
2025-05-08 13:24:31;-3.08
2025-05-08 13:24:30;-84.08
2025-05-08 13:24:29;-91.33
2025-05-08 13:24:28;-53.33
2025-05-08 13:24:27;-57.33
2025-05-08 13:24:26;-0.83
2025-05-08 13:24:25;-0.33
2025-05-08 13:24:24;-60.08
2025-05-08 13:24:23;-38.33
2025-05-08 13:24:22;-62.33
2025-05-08 13:24:21;-41.08
2025-05-08 13:24:20;-33.33
2025-05-08 13:24:19;-52.83
2025-05-08 13:24:18;-31.08
2025-05-08 13:24:17;-36.08
2025-05-08 13:24:16;-5.58
2025-05-08 13:24:15;-77.08
2025-05-08 13:24:14;-39.58
2025-05-08 13:24:13;-26.58
2025-05-08 13:24:12;-90.33
2025-05-08 13:24:11;-93.08
2025-05-08 13:24:10;-19.33
2025-05-08 13:24:09;-38.33
2025-05-08 13:24:08;-19.33
2025-05-08 13:24:07;-76.33
2025-05-08 13:24:06;-61.83
2025-05-08 13:24:05;-2.58
2025-05-08 13:24:04;-95.33
2025-05-08 13:24:03;-97.08
2025-05-08 13:24:02;-61.33
2025-05-08 13:24:01;-65.83
2025-05-08 13:24:00;-77.58
2025-05-08 13:23:59;-25.58
2025-05-08 13:23:58;-45.08
2025-05-08 13:23:57;-98.08
2025-05-08 13:23:56;-88.08
2025-05-08 13:23:55;-80.83
2025-05-08 13:23:54;-61.83
2025-05-08 13:23:53;-54.58
2025-05-08 13:23:52;-91.08
2025-05-08 13:23:51;-78.58
2025-05-08 13:23:50;-59.58
2025-05-08 13:23:49;-21.08
2025-05-08 13:23:48;-42.83
2025-05-08 13:23:47;-71.33
2025-05-08 13:23:46;-4.83
2025-05-08 13:23:45;-92.58
2025-05-08 13:23:44;-83.83
2025-05-08 13:23:43;-18.33
2025-05-08 13:23:42;-55.33
2025-05-08 13:23:41;-75.83
2025-05-08 13:23:40;-94.83
2025-05-08 13:23:39;-54.58
2025-05-08 13:23:38;-90.33
2025-05-08 13:23:37;-92.58
2025-05-08 13:23:36;-97.08
2025-05-08 13:23:35;-13.83
2025-05-08 13:23:34;-59.08
2025-05-08 13:23:33;-6.58
2025-05-08 13:23:32;-59.08
2025-05-08 13:23:31;-56.33
2025-05-08 13:23:30;-97.58
2025-05-08 13:23:29;-97.08
2025-05-08 13:23:28;-45.08
2025-05-08 13:23:27;-99.83
2025-05-08 13:23:26;-68.08
2025-05-08 13:23:25;-25.58
2025-05-08 13:23:24;-11.58
2025-05-08 13:23:23;-80.33
2025-05-08 13:23:22;-40.08
2025-05-08 13:23:21;-99.33
2025-05-08 13:23:20;-2.08
2025-05-08 13:23:19;-73.08
2025-05-08 13:23:18;-39.58
2025-05-08 13:23:17;-94.33
2025-05-08 13:23:16;-8.83
2025-05-08 13:23:15;-22.83
2025-05-08 13:23:14;-77.58
2025-05-08 13:23:13;-83.83
2025-05-08 13:23:12;-81.58
2025-05-08 13:23:11;-33.58
2025-05-08 13:23:10;-44.33
2025-05-08 13:23:09;-24.58
2025-05-08 13:23:08;-26.83
2025-05-08 13:23:07;-34.08
2025-05-08 13:23:06;-60.83
2025-05-08 13:23:05;-55.83
2025-05-08 13:23:04;-17.83
2025-05-08 13:23:03;-39.08
2025-05-08 13:23:02;-1.08
2025-05-08 13:23:01;-96.58
2025-05-08 13:23:00;-93.83
2025-05-08 13:22:59;-72.58
2025-05-08 13:22:58;-91.58
2025-05-08 13:22:57;-68.08
2025-05-08 13:22:56;-20.08
2025-05-08 13:22:55;-29.58
2025-05-08 13:22:54;-36.83
2025-05-08 13:22:53;-15.08
2025-05-08 13:22:52;-93.83
2025-05-08 13:22:51;-27.33
2025-05-08 13:22:50;-31.83
2025-05-08 13:22:49;-58.58
