Fecha y Hora;LIT-2019 - Nivel mezclador M-201
2025-05-08 13:27:39;-53.58
2025-05-08 13:27:38;-70.33
2025-05-08 13:27:37;-79.83
2025-05-08 13:27:36;-81.58
2025-05-08 13:27:35;-29.58
2025-05-08 13:27:34;-91.08
2025-05-08 13:27:33;-67.58
2025-05-08 13:27:32;-79.83
2025-05-08 13:27:31;-81.08
2025-05-08 13:27:30;-95.08
2025-05-08 13:27:29;-24.08
2025-05-08 13:27:28;-57.08
2025-05-08 13:27:27;-54.33
2025-05-08 13:27:26;-80.08
2025-05-08 13:27:25;-54.33
2025-05-08 13:27:24;-93.33
2025-05-08 13:27:23;-16.33
2025-05-08 13:27:22;-26.83
2025-05-08 13:27:21;-69.83
2025-05-08 13:27:20;-86.58
2025-05-08 13:27:19;-15.08
2025-05-08 13:27:18;-64.83
2025-05-08 13:27:17;-60.33
2025-05-08 13:27:16;-91.08
2025-05-08 13:27:15;-21.83
2025-05-08 13:27:14;-98.33
2025-05-08 13:27:13;-45.83
2025-05-08 13:27:12;-50.83
2025-05-08 13:27:11;-62.58
2025-05-08 13:27:10;-0.08
2025-05-08 13:27:09;-53.08
2025-05-08 13:27:08;-24.08
2025-05-08 13:27:07;-64.83
2025-05-08 13:27:06;-53.08
2025-05-08 13:27:05;-43.58
2025-05-08 13:27:04;-83.83
2025-05-08 13:27:03;-71.58
2025-05-08 13:27:02;-55.33
2025-05-08 13:27:01;-98.33
2025-05-08 13:27:00;-34.08
2025-05-08 13:26:59;-19.58
2025-05-08 13:26:58;-24.08
2025-05-08 13:26:57;-97.83
2025-05-08 13:26:56;-67.08
2025-05-08 13:26:55;-64.83
2025-05-08 13:26:54;-93.58
2025-05-08 13:26:53;-13.58
2025-05-08 13:26:52;-39.33
2025-05-08 13:26:51;-9.58
2025-05-08 13:26:50;-38.08
2025-05-08 13:26:49;-66.58
2025-05-08 13:26:48;-7.33
2025-05-08 13:26:47;-54.83
2025-05-08 13:26:46;-71.58
2025-05-08 13:26:45;-52.58
2025-05-08 13:26:44;-9.58
2025-05-08 13:26:43;-9.58
2025-05-08 13:26:42;-66.58
2025-05-08 13:26:41;-71.58
2025-05-08 13:26:40;-61.58
2025-05-08 13:26:39;-30.33
2025-05-08 13:26:38;-89.58
2025-05-08 13:26:37;-13.08
2025-05-08 13:26:36;-53.83
2025-05-08 13:26:35;-39.83
2025-05-08 13:26:34;-11.33
2025-05-08 13:26:33;-20.83
2025-05-08 13:26:32;-57.08
2025-05-08 13:26:31;-45.33
2025-05-08 13:26:30;-14.08
2025-05-08 13:26:29;-87.83
2025-05-08 13:26:28;-80.58
2025-05-08 13:26:27;-78.33
2025-05-08 13:26:26;-99.58
2025-05-08 13:26:25;-4.58
2025-05-08 13:26:24;-14.08
2025-05-08 13:26:23;-19.83
2025-05-08 13:26:22;-81.33
2025-05-08 13:26:21;-24.33
2025-05-08 13:26:20;-14.83
2025-05-08 13:26:19;-80.08
2025-05-08 13:26:18;-25.33
2025-05-08 13:26:17;-20.83
2025-05-08 13:26:16;-92.33
2025-05-08 13:26:15;-37.58
