Fecha y Hora;PIT-301A - Presión salida bomba B-301A
2025-05-08 13:27:39;-62.33
2025-05-08 13:27:38;-81.33
2025-05-08 13:27:37;-71.83
2025-05-08 13:27:36;-64.08
2025-05-08 13:27:35;-85.83
2025-05-08 13:27:34;-83.08
2025-05-08 13:27:33;-40.58
2025-05-08 13:27:32;-11.58
2025-05-08 13:27:31;55.42
2025-05-08 13:27:30;3.42
2025-05-08 13:27:29;-42.33
2025-05-08 13:27:28;-87.58
2025-05-08 13:27:27;82.17
2025-05-08 13:27:26;46.92
2025-05-08 13:27:25;13.42
2025-05-08 13:27:24;-75.83
2025-05-08 13:27:23;46.42
2025-05-08 13:27:22;-73.58
2025-05-08 13:27:21;-52.33
2025-05-08 13:27:20;-7.08
2025-05-08 13:27:19;-69.08
2025-05-08 13:27:18;-49.58
2025-05-08 13:27:17;-97.58
2025-05-08 13:27:16;-92.58
2025-05-08 13:27:15;-49.58
2025-05-08 13:27:14;-56.83
2025-05-08 13:27:13;-83.08
2025-05-08 13:27:12;-33.33
2025-05-08 13:27:11;-54.58
2025-05-08 13:27:10;-66.33
2025-05-08 13:27:09;-18.83
2025-05-08 13:27:08;-6.58
2025-05-08 13:27:07;-75.83
2025-05-08 13:27:06;-35.58
2025-05-08 13:27:05;-45.08
2025-05-08 13:27:04;-83.08
2025-05-08 13:27:03;-66.33
2025-05-08 13:27:02;-92.58
2025-05-08 13:27:01;-45.08
2025-05-08 13:27:00;-80.83
2025-05-08 13:26:59;-2.08
2025-05-08 13:26:58;-78.08
2025-05-08 13:26:57;-89.83
2025-05-08 13:26:56;-49.58
2025-05-08 13:26:55;60.92
2025-05-08 13:26:54;97.67
2025-05-08 13:26:53;58.67
2025-05-08 13:26:52;47.42
2025-05-08 13:26:51;53.17
2025-05-08 13:26:50;50.92
2025-05-08 13:26:49;15.17
2025-05-08 13:26:48;55.42
2025-05-08 13:26:47;79.42
2025-05-08 13:26:46;36.42
2025-05-08 13:26:45;69.92
2025-05-08 13:26:44;72.17
2025-05-08 13:26:43;81.67
2025-05-08 13:26:42;31.92
2025-05-08 13:26:41;-70.83
2025-05-08 13:26:40;43.67
2025-05-08 13:26:39;34.67
2025-05-08 13:26:38;82.67
2025-05-08 13:26:37;32.92
2025-05-08 13:26:36;82.67
2025-05-08 13:26:35;58.67
2025-05-08 13:26:34;51.42
2025-05-08 13:26:33;89.42
2025-05-08 13:26:32;15.17
2025-05-08 13:26:31;22.42
2025-05-08 13:26:30;39.17
2025-05-08 13:26:29;1.17
2025-05-08 13:26:28;46.42
2025-05-08 13:26:27;29.67
2025-05-08 13:26:26;44.17
2025-05-08 13:26:25;58.17
2025-05-08 13:26:24;50.92
2025-05-08 13:26:23;76.42
2025-05-08 13:26:22;95.92
2025-05-08 13:26:21;76.42
2025-05-08 13:26:20;38.42
2025-05-08 13:26:19;32.92
2025-05-08 13:26:18;87.17
2025-05-08 13:26:17;25.17
2025-05-08 13:26:16;15.67
2025-05-08 13:26:15;25.17
2025-05-08 13:26:14;30.17
2025-05-08 13:26:13;89.42
2025-05-08 13:26:12;63.67
2025-05-08 13:26:11;87.17
2025-05-08 13:26:10;92.17
2025-05-08 13:26:09;13.42
2025-05-08 13:26:08;80.42
2025-05-08 13:26:07;77.67
2025-05-08 13:26:06;87.17
2025-05-08 13:26:05;27.42
2025-05-08 13:26:04;1.67
2025-05-08 13:26:03;84.92
2025-05-08 13:26:02;58.67
2025-05-08 13:26:01;92.17
2025-05-08 13:26:00;1.67
2025-05-08 13:25:59;77.67
2025-05-08 13:25:58;56.42
2025-05-08 13:25:57;56.42
2025-05-08 13:25:56;32.42
2025-05-08 13:25:55;75.42
2025-05-08 13:25:54;61.42
2025-05-08 13:25:53;8.92
2025-05-08 13:25:52;37.42
2025-05-08 13:25:51;10.42
2025-05-08 13:25:50;95.42
2025-05-08 13:25:49;60.17
2025-05-08 13:25:48;1.42
2025-05-08 13:25:47;36.67
2025-05-08 13:25:46;95.42
2025-05-08 13:25:45;64.67
2025-05-08 13:25:44;9.42
2025-05-08 13:25:43;12.17
2025-05-08 13:25:42;73.67
2025-05-08 13:25:41;23.42
2025-05-08 13:25:40;51.92
2025-05-08 13:25:39;8.92
2025-05-08 13:25:38;45.17
2025-05-08 13:25:37;23.92
2025-05-08 13:25:36;75.92
2025-05-08 13:25:35;30.67
2025-05-08 13:25:34;21.17
2025-05-08 13:25:33;42.42
2025-05-08 13:25:32;51.92
2025-05-08 13:25:31;2.17
2025-05-08 13:25:30;92.67
2025-05-08 13:25:29;16.67
2025-05-08 13:25:28;80.92
2025-05-08 13:25:27;54.67
2025-05-08 13:25:26;0.42
2025-05-08 13:25:25;21.17
2025-05-08 13:25:24;64.67
2025-05-08 13:25:23;85.92
2025-05-08 13:25:22;23.92
2025-05-08 13:25:21;88.17
2025-05-08 13:25:20;25.42
2025-05-08 13:25:19;82.42
2025-05-08 13:25:18;13.17
2025-05-08 13:25:17;53.42
2025-05-08 13:25:16;23.92
2025-05-08 13:25:15;50.17
2025-05-08 13:25:14;38.42
2025-05-08 13:25:13;88.17
2025-05-08 13:25:12;59.67
2025-05-08 13:25:11;4.92
2025-05-08 13:25:10;36.17
2025-05-08 13:25:09;5.42
2025-05-08 13:25:08;52.42
2025-05-08 13:25:07;28.92
2025-05-08 13:25:06;65.17
2025-05-08 13:25:05;67.42
2025-05-08 13:25:04;28.92
2025-05-08 13:25:03;69.67
