Fecha y Hora;KV-1010 - Aislar Silo alimentación HT
2025-05-08 13:27:39;-17620.00
2025-05-08 13:27:38;-14870.00
2025-05-08 13:27:37;-62370.00
2025-05-08 13:27:36;-21620.00
2025-05-08 13:27:35;-370.00
2025-05-08 13:27:34;-370.00
2025-05-08 13:27:33;-370.00
2025-05-08 13:27:32;-62370.00
2025-05-08 13:27:31;-7620.00
2025-05-08 13:27:30;-71870.00
2025-05-08 13:27:29;-4370.00
2025-05-08 13:27:28;-37870.00
2025-05-08 13:27:27;-87620.00
2025-05-08 13:27:26;-83120.00
2025-05-08 13:27:25;-93120.00
2025-05-08 13:27:24;-99870.00
2025-05-08 13:27:23;-15620.00
2025-05-08 13:27:22;-14370.00
2025-05-08 13:27:21;-31120.00
2025-05-08 13:27:20;-69120.00
2025-05-08 13:27:19;-19370.00
2025-05-08 13:27:18;-62370.00
2025-05-08 13:27:17;-69120.00
2025-05-08 13:27:16;-54620.00
2025-05-08 13:27:15;-35620.00
2025-05-08 13:27:14;-88120.00
2025-05-08 13:27:13;-9370.00
2025-05-08 13:27:12;-14370.00
2025-05-08 13:27:11;-52370.00
2025-05-08 13:27:10;-47370.00
2025-05-08 13:27:09;-9870.00
2025-05-08 13:27:08;-73620.00
2025-05-08 13:27:07;-88120.00
2025-05-08 13:27:06;-14370.00
2025-05-08 13:27:05;-78620.00
2025-05-08 13:27:04;-90870.00
2025-05-08 13:27:03;-16620.00
2025-05-08 13:27:02;-52370.00
2025-05-08 13:27:01;-80870.00
2025-05-08 13:27:00;-35620.00
2025-05-08 13:26:59;-37870.00
2025-05-08 13:26:58;-18870.00
2025-05-08 13:26:57;-78620.00
2025-05-08 13:26:56;-66370.00
2025-05-08 13:26:55;-14370.00
2025-05-08 13:26:54;-90370.00
2025-05-08 13:26:53;-77620.00
2025-05-08 13:26:52;-72120.00
2025-05-08 13:26:51;-35120.00
2025-05-08 13:26:50;-49620.00
2025-05-08 13:26:49;-90370.00
2025-05-08 13:26:48;-61370.00
2025-05-08 13:26:47;-32870.00
2025-05-08 13:26:46;-16120.00
2025-05-08 13:26:45;-23370.00
2025-05-08 13:26:44;-64120.00
2025-05-08 13:26:43;-25620.00
2025-05-08 13:26:42;-73120.00
2025-05-08 13:26:41;-89870.00
2025-05-08 13:26:40;-46870.00
2025-05-08 13:26:39;-1620.00
2025-05-08 13:26:38;-84870.00
2025-05-08 13:26:37;-41370.00
2025-05-08 13:26:36;-5620.00
2025-05-08 13:26:35;-48620.00
2025-05-08 13:26:34;-29620.00
2025-05-08 13:26:33;-22870.00
2025-05-08 13:26:32;-39620.00
2025-05-08 13:26:31;-25620.00
2025-05-08 13:26:30;-75370.00
2025-05-08 13:26:29;-51370.00
2025-05-08 13:26:28;-20620.00
2025-05-08 13:26:27;-75370.00
2025-05-08 13:26:26;-70870.00
2025-05-08 13:26:25;-30120.00
2025-05-08 13:26:24;-30120.00
2025-05-08 13:26:23;-11120.00
2025-05-08 13:26:22;-68120.00
2025-05-08 13:26:21;-85620.00
2025-05-08 13:26:20;-4620.00
2025-05-08 13:26:19;-44120.00
2025-05-08 13:26:18;-20120.00
2025-05-08 13:26:17;-13370.00
2025-05-08 13:26:16;-79870.00
2025-05-08 13:26:15;-53620.00
2025-05-08 13:26:14;-17870.00
2025-05-08 13:26:13;-36870.00
2025-05-08 13:26:12;-70370.00
2025-05-08 13:26:11;-79870.00
2025-05-08 13:26:10;-15620.00
2025-05-08 13:26:09;-55870.00
2025-05-08 13:26:08;-79870.00
2025-05-08 13:26:07;-48620.00
2025-05-08 13:26:06;-84370.00
2025-05-08 13:26:05;-72620.00
2025-05-08 13:26:04;-39120.00
2025-05-08 13:26:03;-8370.00
2025-05-08 13:26:02;-27370.00
2025-05-08 13:26:01;-55870.00
2025-05-08 13:26:00;-48620.00
2025-05-08 13:25:59;-48620.00
2025-05-08 13:25:58;-93870.00
2025-05-08 13:25:57;-67620.00
2025-05-08 13:25:56;-12870.00
2025-05-08 13:25:55;-58120.00
2025-05-08 13:25:54;-67620.00
2025-05-08 13:25:53;-24620.00
2025-05-08 13:25:52;-10620.00
2025-05-08 13:25:51;-98370.00
2025-05-08 13:25:50;-67620.00
2025-05-08 13:25:49;-1870.00
2025-05-08 13:25:48;-85120.00
2025-05-08 13:25:47;-40870.00
2025-05-08 13:25:46;-96120.00
2025-05-08 13:25:45;-78370.00
2025-05-08 13:25:44;-9620.00
2025-05-08 13:25:43;-14120.00
2025-05-08 13:25:42;-43120.00
2025-05-08 13:25:41;-86120.00
2025-05-08 13:25:40;-12370.00
2025-05-08 13:25:39;-81620.00
2025-05-08 13:25:38;-90620.00
2025-05-08 13:25:37;-620.00
2025-05-08 13:25:36;-95620.00
2025-05-08 13:25:35;-93370.00
2025-05-08 13:25:34;-76620.00
2025-05-08 13:25:33;-10120.00
2025-05-08 13:25:32;-95620.00
2025-05-08 13:25:31;-97870.00
2025-05-08 13:25:30;-43120.00
2025-05-08 13:25:29;-26370.00
2025-05-08 13:25:28;-12370.00
2025-05-08 13:25:27;-81120.00
2025-05-08 13:25:26;-26870.00
2025-05-08 13:25:25;-43120.00
2025-05-08 13:25:24;-14620.00
2025-05-08 13:25:23;-74370.00
2025-05-08 13:25:22;-40370.00
2025-05-08 13:25:21;-83370.00
2025-05-08 13:25:20;-92870.00
2025-05-08 13:25:19;-12370.00
2025-05-08 13:25:18;-86870.00
2025-05-08 13:25:17;-53870.00
2025-05-08 13:25:16;-73870.00
2025-05-08 13:25:15;-68870.00
2025-05-08 13:25:14;-11870.00
2025-05-08 13:25:13;-120.00
2025-05-08 13:25:12;-9620.00
2025-05-08 13:25:11;-19120.00
2025-05-08 13:25:10;-11870.00
2025-05-08 13:25:09;-62120.00
2025-05-08 13:25:08;-57120.00
2025-05-08 13:25:07;-52120.00
2025-05-08 13:25:06;-71120.00
2025-05-08 13:25:05;-23620.00
2025-05-08 13:25:04;-38120.00
2025-05-08 13:25:03;-38120.00
2025-05-08 13:25:02;-23620.00
2025-05-08 13:25:01;-85620.00
2025-05-08 13:25:00;-83370.00
2025-05-08 13:24:59;-71120.00
2025-05-08 13:24:58;-23620.00
2025-05-08 13:24:57;-54370.00
2025-05-08 13:24:56;-87870.00
2025-05-08 13:24:55;-16370.00
2025-05-08 13:24:54;-73370.00
2025-05-08 13:24:53;-20370.00
2025-05-08 13:24:52;-8620.00
2025-05-08 13:24:51;-29870.00
2025-05-08 13:24:50;-94120.00
2025-05-08 13:24:49;-11370.00
2025-05-08 13:24:48;-6370.00
2025-05-08 13:24:47;-85120.00
2025-05-08 13:24:46;-15370.00
2025-05-08 13:24:45;-19370.00
2025-05-08 13:24:44;-77870.00
2025-05-08 13:24:43;-39870.00
2025-05-08 13:24:42;-49370.00
2025-05-08 13:24:41;-87870.00
2025-05-08 13:24:40;-37620.00
2025-05-08 13:24:39;-94620.00
2025-05-08 13:24:38;-15870.00
2025-05-08 13:24:37;-32620.00
2025-05-08 13:24:36;-23620.00
2025-05-08 13:24:35;-51620.00
2025-05-08 13:24:34;-77870.00
2025-05-08 13:24:33;-15870.00
2025-05-08 13:24:32;-4120.00
2025-05-08 13:24:31;-66120.00
2025-05-08 13:24:30;-32620.00
2025-05-08 13:24:29;-77870.00
2025-05-08 13:24:28;-53870.00
2025-05-08 13:24:27;-10870.00
2025-05-08 13:24:26;-35370.00
2025-05-08 13:24:25;-10870.00
2025-05-08 13:24:24;-89620.00
2025-05-08 13:24:23;-3620.00
2025-05-08 13:24:22;-82370.00
2025-05-08 13:24:21;-56620.00
2025-05-08 13:24:20;-22620.00
2025-05-08 13:24:19;-65620.00
2025-05-08 13:24:18;-48870.00
2025-05-08 13:24:17;-27620.00
2025-05-08 13:24:16;-96370.00
2025-05-08 13:24:15;59880.00
2025-05-08 13:24:14;52630.00
2025-05-08 13:24:13;-39370.00
2025-05-08 13:24:12;-5870.00
2025-05-08 13:24:11;-41620.00
2025-05-08 13:24:10;-72870.00
2025-05-08 13:24:09;-67870.00
