Fecha y Hora;FIC-2051 - Control de lodo
2025-05-08 13:27:39;80.43
2025-05-08 13:27:38;13.93
2025-05-08 13:27:37;40.18
2025-05-08 13:27:36;59.18
2025-05-08 13:27:35;40.18
2025-05-08 13:27:34;80.93
2025-05-08 13:27:33;83.18
2025-05-08 13:27:32;36.18
2025-05-08 13:27:31;76.93
2025-05-08 13:27:30;72.43
2025-05-08 13:27:29;22.68
2025-05-08 13:27:28;50.68
2025-05-08 13:27:27;43.93
2025-05-08 13:27:26;68.93
2025-05-08 13:27:25;48.93
2025-05-08 13:27:24;89.18
2025-05-08 13:27:23;72.43
2025-05-08 13:27:22;43.43
2025-05-08 13:27:21;60.18
2025-05-08 13:27:20;97.68
2025-05-08 13:27:19;79.18
2025-05-08 13:27:18;90.93
2025-05-08 13:27:17;60.18
2025-05-08 13:27:16;16.68
2025-05-08 13:27:15;53.43
2025-05-08 13:27:14;17.18
2025-05-08 13:27:13;62.43
2025-05-08 13:27:12;9.93
2025-05-08 13:27:11;31.18
2025-05-08 13:27:10;81.43
2025-05-08 13:27:09;62.43
2025-05-08 13:27:08;69.68
2025-05-08 13:27:07;90.93
2025-05-08 13:27:06;26.68
2025-05-08 13:27:05;93.18
2025-05-08 13:27:04;88.68
2025-05-08 13:27:03;83.68
2025-05-08 13:27:02;55.68
2025-05-08 13:27:01;76.93
2025-05-08 13:27:00;14.93
2025-05-08 13:26:59;67.43
2025-05-08 13:26:58;81.93
2025-05-08 13:26:57;14.93
2025-05-08 13:26:56;5.43
2025-05-08 13:26:55;99.68
2025-05-08 13:26:54;97.43
2025-05-08 13:26:53;54.43
2025-05-08 13:26:52;85.18
2025-05-08 13:26:51;60.18
2025-05-08 13:26:50;94.18
2025-05-08 13:26:49;70.18
2025-05-08 13:26:48;22.68
2025-05-08 13:26:47;86.43
2025-05-08 13:26:46;77.43
2025-05-08 13:26:45;91.43
2025-05-08 13:26:44;17.18
2025-05-08 13:26:43;86.43
2025-05-08 13:26:42;91.43
2025-05-08 13:26:41;22.18
2025-05-08 13:26:40;30.43
2025-05-08 13:26:39;33.18
2025-05-08 13:26:38;42.68
2025-05-08 13:26:37;66.18
2025-05-08 13:26:36;82.43
2025-05-08 13:26:35;73.43
2025-05-08 13:26:34;1.43
2025-05-08 13:26:33;53.43
2025-05-08 13:26:32;82.43
2025-05-08 13:26:31;3.18
2025-05-08 13:26:30;72.93
2025-05-08 13:26:29;44.43
2025-05-08 13:26:28;63.43
2025-05-08 13:26:27;80.18
2025-05-08 13:26:26;46.68
2025-05-08 13:26:25;13.68
2025-05-08 13:26:24;62.93
2025-05-08 13:26:23;21.93
2025-05-08 13:26:22;93.43
2025-05-08 13:26:21;21.93
2025-05-08 13:26:20;58.93
2025-05-08 13:26:19;20.93
2025-05-08 13:26:18;84.68
2025-05-08 13:26:17;82.43
2025-05-08 13:26:16;91.93
2025-05-08 13:26:15;53.93
2025-05-08 13:26:14;32.68
2025-05-08 13:26:13;68.43
2025-05-08 13:26:12;11.43
2025-05-08 13:26:11;44.43
