Fecha y Hora;PIT-402A - Presión salida bomba B-402A
2025-05-08 13:27:39;12.92
2025-05-08 13:27:38;70.42
2025-05-08 13:27:37;25.17
2025-05-08 13:27:36;56.42
2025-05-08 13:27:35;65.92
2025-05-08 13:27:34;68.67
2025-05-08 13:27:33;27.92
2025-05-08 13:27:32;11.67
2025-05-08 13:27:31;14.42
2025-05-08 13:27:30;78.67
2025-05-08 13:27:29;64.17
2025-05-08 13:27:28;7.17
2025-05-08 13:27:27;57.42
2025-05-08 13:27:26;51.17
2025-05-08 13:27:25;55.67
2025-05-08 13:27:24;85.42
2025-05-08 13:27:23;52.92
2025-05-08 13:27:22;23.42
2025-05-08 13:27:21;63.67
2025-05-08 13:27:20;89.92
2025-05-08 13:27:19;73.17
2025-05-08 13:27:18;11.67
2025-05-08 13:27:17;73.17
2025-05-08 13:27:16;2.17
2025-05-08 13:27:15;99.92
2025-05-08 13:27:14;40.17
2025-05-08 13:27:13;59.17
2025-05-08 13:27:12;73.17
2025-05-08 13:27:11;61.42
2025-05-08 13:27:10;37.92
2025-05-08 13:27:09;51.92
2025-05-08 13:27:08;9.42
2025-05-08 13:27:07;40.17
2025-05-08 13:27:06;61.42
2025-05-08 13:27:05;70.92
2025-05-08 13:27:04;75.92
2025-05-08 13:27:03;37.92
2025-05-08 13:27:02;59.17
2025-05-08 13:27:01;51.92
2025-05-08 13:27:00;70.92
2025-05-08 13:26:59;68.67
2025-05-08 13:26:58;45.17
2025-05-08 13:26:57;80.92
2025-05-08 13:26:56;45.17
2025-05-08 13:26:55;57.92
2025-05-08 13:26:54;58.92
2025-05-08 13:26:53;65.17
2025-05-08 13:26:52;44.42
2025-05-08 13:26:51;4.92
2025-05-08 13:26:50;93.17
2025-05-08 13:26:49;21.67
2025-05-08 13:26:48;16.67
2025-05-08 13:26:47;76.42
2025-05-08 13:26:46;97.67
2025-05-08 13:26:45;66.92
2025-05-08 13:26:44;56.92
2025-05-08 13:26:43;33.42
2025-05-08 13:26:42;74.17
2025-05-08 13:26:41;88.17
2025-05-08 13:26:40;38.42
2025-05-08 13:26:39;93.67
2025-05-08 13:26:38;98.67
2025-05-08 13:26:37;20.42
2025-05-08 13:26:36;43.92
2025-05-08 13:26:35;74.67
