Fecha y Hora;TT-3036 - Temperatura salida reactor R-303
2025-05-08 13:27:39;-13.53
2025-05-08 13:27:38;-15.78
2025-05-08 13:27:37;-53.78
2025-05-08 13:27:36;-51.53
2025-05-08 13:27:35;-25.28
2025-05-08 13:27:34;-67.78
2025-05-08 13:27:33;-57.28
2025-05-08 13:27:32;-93.53
2025-05-08 13:27:31;-98.03
2025-05-08 13:27:30;-66.78
2025-05-08 13:27:29;-16.53
2025-05-08 13:27:28;-47.78
2025-05-08 13:27:27;-92.03
2025-05-08 13:27:26;-15.53
2025-05-08 13:27:25;-26.03
2025-05-08 13:27:24;-95.28
2025-05-08 13:27:23;-83.53
2025-05-08 13:27:22;-5.28
2025-05-08 13:27:21;-26.53
2025-05-08 13:27:20;-13.03
2025-05-08 13:27:19;-31.53
2025-05-08 13:27:18;-57.78
2025-05-08 13:27:17;-24.28
2025-05-08 13:27:16;-94.03
2025-05-08 13:27:15;-31.03
2025-05-08 13:27:14;-12.53
2025-05-08 13:27:13;-76.78
2025-05-08 13:27:12;-67.28
2025-05-08 13:27:11;-98.53
2025-05-08 13:27:10;-95.78
2025-05-08 13:27:09;-22.03
2025-05-08 13:27:08;-31.53
2025-05-08 13:27:07;-84.03
2025-05-08 13:27:06;-95.78
2025-05-08 13:27:05;-65.03
2025-05-08 13:27:04;-76.78
2025-05-08 13:27:03;-10.28
2025-05-08 13:27:02;-28.78
2025-05-08 13:27:01;-62.28
2025-05-08 13:27:00;-33.78
2025-05-08 13:26:59;-88.53
2025-05-08 13:26:58;-33.28
2025-05-08 13:26:57;-5.28
2025-05-08 13:26:56;-6.03
2025-05-08 13:26:55;-20.53
2025-05-08 13:26:54;-68.03
2025-05-08 13:26:53;-11.03
2025-05-08 13:26:52;-63.53
2025-05-08 13:26:51;-17.03
2025-05-08 13:26:50;-37.78
2025-05-08 13:26:49;-50.03
2025-05-08 13:26:48;-16.53
2025-05-08 13:26:47;-79.03
2025-05-08 13:26:46;-52.28
2025-05-08 13:26:45;-47.78
2025-05-08 13:26:44;-48.28
2025-05-08 13:26:43;-7.53
2025-05-08 13:26:42;-90.78
2025-05-08 13:26:41;-83.03
2025-05-08 13:26:40;-63.53
2025-05-08 13:26:39;-60.78
2025-05-08 13:26:38;-68.03
2025-05-08 13:26:37;-63.53
2025-05-08 13:26:36;-11.53
2025-05-08 13:26:35;-37.28
2025-05-08 13:26:34;-75.78
2025-05-08 13:26:33;-4.78
2025-05-08 13:26:32;-54.53
2025-05-08 13:26:31;-62.28
2025-05-08 13:26:30;-11.53
2025-05-08 13:26:29;-68.53
2025-05-08 13:26:28;-85.28
2025-05-08 13:26:27;-8.78
2025-05-08 13:26:26;-28.28
2025-05-08 13:26:25;-25.53
2025-05-08 13:26:24;-34.03
2025-05-08 13:26:23;-10.03
2025-05-08 13:26:22;-72.03
2025-05-08 13:26:21;-81.53
2025-05-08 13:26:20;-30.03
2025-05-08 13:26:19;-37.28
2025-05-08 13:26:18;-64.03
2025-05-08 13:26:17;-87.53
2025-05-08 13:26:16;-73.53
2025-05-08 13:26:15;-21.03
2025-05-08 13:26:14;-51.78
2025-05-08 13:26:13;-97.03
2025-05-08 13:26:12;-54.03
2025-05-08 13:26:11;-75.78
2025-05-08 13:26:10;-90.28
2025-05-08 13:26:09;-78.03
2025-05-08 13:26:08;-88.03
2025-05-08 13:26:07;-87.53
2025-05-08 13:26:06;-1.53
2025-05-08 13:26:05;-40.03
2025-05-08 13:26:04;-18.28
2025-05-08 13:26:03;-44.53
2025-05-08 13:26:02;-32.78
2025-05-08 13:26:01;-66.28
2025-05-08 13:26:00;-44.03
2025-05-08 13:25:59;-25.53
2025-05-08 13:25:58;-13.28
2025-05-08 13:25:57;-42.78
2025-05-08 13:25:56;-40.03
2025-05-08 13:25:55;-27.78
2025-05-08 13:25:54;-75.78
2025-05-08 13:25:53;-16.03
2025-05-08 13:25:52;-59.78
2025-05-08 13:25:51;-19.53
2025-05-08 13:25:50;-53.03
2025-05-08 13:25:49;-47.03
2025-05-08 13:25:48;-28.03
2025-05-08 13:25:47;-50.28
2025-05-08 13:25:46;-17.28
2025-05-08 13:25:45;-86.53
2025-05-08 13:25:44;-65.28
2025-05-08 13:25:43;-48.03
2025-05-08 13:25:42;-67.03
2025-05-08 13:25:41;-41.78
2025-05-08 13:25:40;-94.28
2025-05-08 13:25:39;-67.53
2025-05-08 13:25:38;-79.78
2025-05-08 13:25:37;-29.53
2025-05-08 13:25:36;-30.03
2025-05-08 13:25:35;-81.53
2025-05-08 13:25:34;-39.03
2025-05-08 13:25:33;-26.78
2025-05-08 13:25:32;-27.28
2025-05-08 13:25:31;-6.03
2025-05-08 13:25:30;-31.78
2025-05-08 13:25:29;-72.53
2025-05-08 13:25:28;-48.53
2025-05-08 13:25:27;-17.28
2025-05-08 13:25:26;-65.28
2025-05-08 13:25:25;-31.78
2025-05-08 13:25:24;-69.78
2025-05-08 13:25:23;-93.78
2025-05-08 13:25:22;-25.03
2025-05-08 13:25:21;-36.28
2025-05-08 13:25:20;-27.53
2025-05-08 13:25:19;-38.53
2025-05-08 13:25:18;-68.78
2025-05-08 13:25:17;-20.78
2025-05-08 13:25:16;-47.03
2025-05-08 13:25:15;-19.53
2025-05-08 13:25:14;-45.78
2025-05-08 13:25:13;-86.03
2025-05-08 13:25:12;-45.28
2025-05-08 13:25:11;-40.78
2025-05-08 13:25:10;-81.53
2025-05-08 13:25:09;-26.78
2025-05-08 13:25:08;-31.28
2025-05-08 13:25:07;-19.53
2025-05-08 13:25:06;-90.53
2025-05-08 13:25:05;-14.53
2025-05-08 13:25:04;-38.53
2025-05-08 13:25:03;-55.28
2025-05-08 13:25:02;-19.53
2025-05-08 13:25:01;-29.03
2025-05-08 13:25:00;-16.78
2025-05-08 13:24:59;-26.28
2025-05-08 13:24:58;-29.53
2025-05-08 13:24:57;-87.78
2025-05-08 13:24:56;-23.53
2025-05-08 13:24:55;-16.28
2025-05-08 13:24:54;-75.53
2025-05-08 13:24:53;-63.78
2025-05-08 13:24:52;-63.78
2025-05-08 13:24:51;-83.28
2025-05-08 13:24:50;-77.78
2025-05-08 13:24:49;-96.28
2025-05-08 13:24:48;-24.78
2025-05-08 13:24:47;-70.03
2025-05-08 13:24:46;-66.03
2025-05-08 13:24:45;-51.03
2025-05-08 13:24:44;-76.03
2025-05-08 13:24:43;-50.28
2025-05-08 13:24:42;-25.78
2025-05-08 13:24:41;-50.28
2025-05-08 13:24:40;-21.28
2025-05-08 13:24:39;-42.53
2025-05-08 13:24:38;-66.53
2025-05-08 13:24:37;-78.78
2025-05-08 13:24:36;-33.53
2025-05-08 13:24:35;-92.78
2025-05-08 13:24:34;-24.03
2025-05-08 13:24:33;-21.78
2025-05-08 13:24:32;-24.03
2025-05-08 13:24:31;-81.03
2025-05-08 13:24:30;-85.03
2025-05-08 13:24:29;-9.53
2025-05-08 13:24:28;-40.28
2025-05-08 13:24:27;-58.78
2025-05-08 13:24:26;-30.78
2025-05-08 13:24:25;-54.28
2025-05-08 13:24:24;-30.78
2025-05-08 13:24:23;-23.53
2025-05-08 13:24:22;-54.78
2025-05-08 13:24:21;-66.53
2025-05-08 13:24:20;-99.53
2025-05-08 13:24:19;-21.28
2025-05-08 13:24:18;-71.53
2025-05-08 13:24:17;-88.53
2025-05-08 13:24:16;-41.03
2025-05-08 13:24:15;-89.03
2025-05-08 13:24:14;-46.03
2025-05-08 13:24:13;-70.03
2025-05-08 13:24:12;-73.28
2025-05-08 13:24:11;-66.03
2025-05-08 13:24:10;-44.78
2025-05-08 13:24:09;-11.28
2025-05-08 13:24:08;-73.28
2025-05-08 13:24:07;-44.78
2025-05-08 13:24:06;-85.53
2025-05-08 13:24:05;-77.28
2025-05-08 13:24:04;-67.78
2025-05-08 13:24:03;-56.03
2025-05-08 13:24:02;-46.03
2025-05-08 13:24:01;-43.78
2025-05-08 13:24:00;-27.03
2025-05-08 13:23:59;-15.28
2025-05-08 13:23:58;-32.03
2025-05-08 13:23:57;-32.53
2025-05-08 13:23:56;-56.53
2025-05-08 13:23:55;-23.03
2025-05-08 13:23:54;-96.78
2025-05-08 13:23:53;-1.28
2025-05-08 13:23:52;-41.53
2025-05-08 13:23:51;-20.28
2025-05-08 13:23:50;-18.03
2025-05-08 13:23:49;-66.03
2025-05-08 13:23:48;-63.28
2025-05-08 13:23:47;-39.78
2025-05-08 13:23:46;-60.53
2025-05-08 13:23:45;-7.53
2025-05-08 13:23:44;-95.28
2025-05-08 13:23:43;-59.53
2025-05-08 13:23:42;-22.03
2025-05-08 13:23:41;-29.28
2025-05-08 13:23:40;-62.78
2025-05-08 13:23:39;-75.03
2025-05-08 13:23:38;-84.53
2025-05-08 13:23:37;-15.78
2025-05-08 13:23:36;-15.78
2025-05-08 13:23:35;-41.53
2025-05-08 13:23:34;-27.03
2025-05-08 13:23:33;-84.53
2025-05-08 13:23:32;-86.78
2025-05-08 13:23:31;-48.78
2025-05-08 13:23:30;-60.53
2025-05-08 13:23:29;-5.78
2025-05-08 13:23:28;-99.03
2025-05-08 13:23:27;-91.78
2025-05-08 13:23:26;-67.78
2025-05-08 13:23:25;-62.78
2025-05-08 13:23:24;-27.03
2025-05-08 13:23:23;-10.78
2025-05-08 13:23:22;-22.53
2025-05-08 13:23:21;-43.78
2025-05-08 13:23:20;-15.28
2025-05-08 13:23:19;-90.78
2025-05-08 13:23:18;-17.53
2025-05-08 13:23:17;-14.78
2025-05-08 13:23:16;-10.28
2025-05-08 13:23:15;-38.78
2025-05-08 13:23:14;-73.53
2025-05-08 13:23:13;-94.78
2025-05-08 13:23:12;-6.53
2025-05-08 13:23:11;-17.78
2025-05-08 13:23:10;-98.78
2025-05-08 13:23:09;-78.53
2025-05-08 13:23:08;-2.03
2025-05-08 13:23:07;-2.53
2025-05-08 13:23:06;-78.53
2025-05-08 13:23:05;-24.28
2025-05-08 13:23:04;-71.78
2025-05-08 13:23:03;-57.28
2025-05-08 13:23:02;-28.78
2025-05-08 13:23:01;-76.78
2025-05-08 13:23:00;-69.53
2025-05-08 13:22:59;-47.78
2025-05-08 13:22:58;-88.53
2025-05-08 13:22:57;-65.03
2025-05-08 13:22:56;-81.28
2025-05-08 13:22:55;-29.28
2025-05-08 13:22:54;-88.53
2025-05-08 13:22:53;-33.78
2025-05-08 13:22:52;-26.53
2025-05-08 13:22:51;-66.78
2025-05-08 13:22:50;-88.53
2025-05-08 13:22:49;-33.78
2025-05-08 13:22:48;-93.03
2025-05-08 13:22:47;-14.78
2025-05-08 13:22:46;-74.03
2025-05-08 13:22:45;-69.03
2025-05-08 13:22:44;-90.28
2025-05-08 13:22:43;-36.03
2025-05-08 13:22:42;-41.28
2025-05-08 13:22:41;-59.03
2025-05-08 13:22:40;-96.53
2025-05-08 13:22:39;-68.03
