Fecha y Hora;PIC-3042 - Presión desgasificador S-304
2025-05-08 13:27:39;-13.57
2025-05-08 13:27:38;89.18
2025-05-08 13:27:37;70.18
2025-05-08 13:27:36;53.43
2025-05-08 13:27:35;15.43
2025-05-08 13:27:34;65.68
2025-05-08 13:27:33;81.93
2025-05-08 13:27:32;53.93
2025-05-08 13:27:31;95.18
2025-05-08 13:27:30;47.68
2025-05-08 13:27:29;62.18
2025-05-08 13:27:28;1.93
2025-05-08 13:27:27;87.93
2025-05-08 13:27:26;65.43
2025-05-08 13:27:25;92.93
2025-05-08 13:27:24;73.93
2025-05-08 13:27:23;57.18
2025-05-08 13:27:22;49.43
2025-05-08 13:27:21;35.43
2025-05-08 13:27:20;1.43
2025-05-08 13:27:19;30.43
2025-05-08 13:27:18;85.18
2025-05-08 13:27:17;99.68
2025-05-08 13:27:16;10.93
2025-05-08 13:27:15;87.93
2025-05-08 13:27:14;23.18
2025-05-08 13:27:13;6.43
2025-05-08 13:27:12;94.68
2025-05-08 13:27:11;70.68
2025-05-08 13:27:10;25.43
2025-05-08 13:27:09;68.43
2025-05-08 13:27:08;75.68
2025-05-08 13:27:07;42.18
2025-05-08 13:27:06;11.43
2025-05-08 13:27:05;1.43
2025-05-08 13:27:04;73.43
2025-05-08 13:27:03;13.68
2025-05-08 13:27:02;40.43
2025-05-08 13:27:01;28.18
2025-05-08 13:27:00;11.43
2025-05-08 13:26:59;61.68
2025-05-08 13:26:58;87.93
2025-05-08 13:26:57;42.18
2025-05-08 13:26:56;99.68
2025-05-08 13:26:55;29.68
2025-05-08 13:26:54;1.18
2025-05-08 13:26:53;93.93
2025-05-08 13:26:52;93.43
2025-05-08 13:26:51;77.93
2025-05-08 13:26:50;11.93
2025-05-08 13:26:49;68.93
2025-05-08 13:26:48;76.18
2025-05-08 13:26:47;80.68
2025-05-08 13:26:46;47.68
2025-05-08 13:26:45;71.18
2025-05-08 13:26:44;90.18
2025-05-08 13:26:43;14.18
2025-05-08 13:26:42;18.68
2025-05-08 13:26:41;39.93
2025-05-08 13:26:40;2.43
2025-05-08 13:26:39;27.43
2025-05-08 13:26:38;27.43
2025-05-08 13:26:37;74.43
2025-05-08 13:26:36;35.93
2025-05-08 13:26:35;81.68
2025-05-08 13:26:34;31.43
2025-05-08 13:26:33;14.18
2025-05-08 13:26:32;19.18
2025-05-08 13:26:31;97.43
2025-05-08 13:26:30;36.43
2025-05-08 13:26:29;88.43
2025-05-08 13:26:28;69.43
2025-05-08 13:26:27;31.43
2025-05-08 13:26:26;35.93
2025-05-08 13:26:25;38.68
2025-05-08 13:26:24;71.68
2025-05-08 13:26:23;27.93
2025-05-08 13:26:22;99.43
2025-05-08 13:26:21;61.43
2025-05-08 13:26:20;10.18
2025-05-08 13:26:19;72.18
2025-05-08 13:26:18;69.43
2025-05-08 13:26:17;43.18
2025-05-08 13:26:16;88.43
2025-05-08 13:26:15;7.43
2025-05-08 13:26:14;38.68
2025-05-08 13:26:13;57.68
2025-05-08 13:26:12;96.18
2025-05-08 13:26:11;62.18
2025-05-08 13:26:10;97.93
2025-05-08 13:26:09;93.43
2025-05-08 13:26:08;31.43
2025-05-08 13:26:07;31.93
2025-05-08 13:26:06;31.93
2025-05-08 13:26:05;67.18
2025-05-08 13:26:04;45.93
2025-05-08 13:26:03;29.18
2025-05-08 13:26:02;31.43
2025-05-08 13:26:01;67.18
2025-05-08 13:26:00;67.68
2025-05-08 13:25:59;29.18
2025-05-08 13:25:58;45.93
2025-05-08 13:25:57;38.18
2025-05-08 13:25:56;14.68
2025-05-08 13:25:55;12.43
2025-05-08 13:25:54;29.18
2025-05-08 13:25:53;48.18
2025-05-08 13:25:52;64.93
2025-05-08 13:25:51;73.18
2025-05-08 13:25:50;27.93
2025-05-08 13:25:49;28.43
2025-05-08 13:25:48;31.18
2025-05-08 13:25:47;23.43
2025-05-08 13:25:46;70.43
2025-05-08 13:25:45;22.93
2025-05-08 13:25:44;20.68
2025-05-08 13:25:43;44.68
2025-05-08 13:25:42;97.18
2025-05-08 13:25:41;88.93
2025-05-08 13:25:40;65.43
2025-05-08 13:25:39;8.43
2025-05-08 13:25:38;20.18
2025-05-08 13:25:37;74.93
2025-05-08 13:25:36;60.43
2025-05-08 13:25:35;32.43
2025-05-08 13:25:34;63.18
2025-05-08 13:25:33;77.68
2025-05-08 13:25:32;29.68
2025-05-08 13:25:31;48.68
2025-05-08 13:25:30;79.93
2025-05-08 13:25:29;39.18
2025-05-08 13:25:28;91.68
2025-05-08 13:25:27;80.43
2025-05-08 13:25:26;27.43
2025-05-08 13:25:25;70.43
2025-05-08 13:25:24;92.18
2025-05-08 13:25:23;53.68
2025-05-08 13:25:22;8.43
2025-05-08 13:25:21;18.43
2025-05-08 13:25:20;55.68
2025-05-08 13:25:19;64.18
2025-05-08 13:25:18;85.93
2025-05-08 13:25:17;93.68
2025-05-08 13:25:16;69.68
2025-05-08 13:25:15;39.68
2025-05-08 13:25:14;1.68
2025-05-08 13:25:13;80.43
2025-05-08 13:25:12;59.68
2025-05-08 13:25:11;68.68
2025-05-08 13:25:10;27.93
2025-05-08 13:25:09;56.43
2025-05-08 13:25:08;75.93
2025-05-08 13:25:07;30.68
2025-05-08 13:25:06;68.68
2025-05-08 13:25:05;87.68
2025-05-08 13:25:04;80.43
2025-05-08 13:25:03;89.93
2025-05-08 13:25:02;23.43
2025-05-08 13:25:01;4.43
2025-05-08 13:25:00;99.93
2025-05-08 13:24:59;73.68
2025-05-08 13:24:58;92.18
2025-05-08 13:24:57;78.18
2025-05-08 13:24:56;33.43
2025-05-08 13:24:55;98.18
2025-05-08 13:24:54;19.93
2025-05-08 13:24:53;57.43
2025-05-08 13:24:52;40.68
2025-05-08 13:24:51;74.18
2025-05-08 13:24:50;76.93
2025-05-08 13:24:49;21.18
2025-05-08 13:24:48;91.93
2025-05-08 13:24:47;99.18
2025-05-08 13:24:46;5.43
2025-05-08 13:24:45;67.93
2025-05-08 13:24:44;28.43
2025-05-08 13:24:43;51.93
2025-05-08 13:24:42;88.18
2025-05-08 13:24:41;94.93
2025-05-08 13:24:40;83.68
2025-05-08 13:24:39;62.43
2025-05-08 13:24:38;14.43
2025-05-08 13:24:37;66.43
2025-05-08 13:24:36;94.93
2025-05-08 13:24:35;11.68
