Fecha y Hora;CV-5041 - Válvula control agua de dilución
2025-05-08 13:27:39;-54.83
2025-05-08 13:27:38;-97.33
2025-05-08 13:27:37;-61.58
2025-05-08 13:27:36;-37.58
2025-05-08 13:27:35;-90.08
2025-05-08 13:27:34;-28.08
2025-05-08 13:27:33;-61.58
2025-05-08 13:27:32;-38.08
2025-05-08 13:27:31;-10.83
2025-05-08 13:27:30;-60.58
2025-05-08 13:27:29;-58.33
2025-05-08 13:27:28;-22.58
2025-05-08 13:27:27;-91.33
2025-05-08 13:27:26;-28.83
2025-05-08 13:27:25;-33.83
2025-05-08 13:27:24;-4.08
2025-05-08 13:27:23;-55.58
2025-05-08 13:27:22;-63.33
2025-05-08 13:27:21;-73.33
2025-05-08 13:27:20;-13.58
2025-05-08 13:27:19;-52.08
2025-05-08 13:27:18;-56.58
2025-05-08 13:27:17;-54.33
2025-05-08 13:27:16;-72.83
2025-05-08 13:27:15;-82.33
2025-05-08 13:27:14;-77.83
2025-05-08 13:27:13;-82.33
2025-05-08 13:27:12;-44.83
2025-05-08 13:27:11;-66.08
2025-05-08 13:27:10;-56.08
2025-05-08 13:27:09;-1.83
2025-05-08 13:27:08;-94.08
2025-05-08 13:27:07;-56.58
2025-05-08 13:27:06;-44.83
2025-05-08 13:27:05;-37.58
2025-05-08 13:27:04;-87.33
2025-05-08 13:27:03;-72.83
2025-05-08 13:27:02;-47.08
2025-05-08 13:27:01;-25.33
2025-05-08 13:27:00;-15.83
2025-05-08 13:26:59;-23.08
2025-05-08 13:26:58;-42.08
2025-05-08 13:26:57;-91.83
2025-05-08 13:26:56;-61.08
2025-05-08 13:26:55;-94.58
2025-05-08 13:26:54;-63.58
2025-05-08 13:26:53;-38.33
2025-05-08 13:26:52;-99.83
2025-05-08 13:26:51;-0.83
2025-05-08 13:26:50;-43.83
2025-05-08 13:26:49;-60.58
2025-05-08 13:26:48;-1.33
2025-05-08 13:26:47;-91.33
2025-05-08 13:26:46;-65.58
2025-05-08 13:26:45;-77.33
2025-05-08 13:26:44;-56.08
2025-05-08 13:26:43;-56.08
2025-05-08 13:26:42;-3.08
2025-05-08 13:26:41;-75.08
2025-05-08 13:26:40;-81.83
2025-05-08 13:26:39;-77.33
2025-05-08 13:26:38;-4.83
2025-05-08 13:26:37;-59.58
2025-05-08 13:26:36;-23.83
2025-05-08 13:26:35;-43.33
2025-05-08 13:26:34;-50.58
2025-05-08 13:26:33;-36.08
2025-05-08 13:26:32;-3.08
2025-05-08 13:26:31;-70.08
2025-05-08 13:26:30;-50.58
2025-05-08 13:26:29;-14.83
2025-05-08 13:26:28;-62.83
2025-05-08 13:26:27;-60.08
2025-05-08 13:26:26;-46.08
2025-05-08 13:26:25;-43.83
2025-05-08 13:26:24;-27.08
2025-05-08 13:26:23;-88.58
2025-05-08 13:26:22;-6.08
2025-05-08 13:26:21;-84.83
2025-05-08 13:26:20;-44.58
2025-05-08 13:26:19;-40.58
2025-05-08 13:26:18;-9.83
2025-05-08 13:26:17;-22.08
2025-05-08 13:26:16;-29.33
2025-05-08 13:26:15;-52.83
2025-05-08 13:26:14;-17.08
2025-05-08 13:26:13;-79.08
2025-05-08 13:26:12;-74.08
2025-05-08 13:26:11;-62.33
2025-05-08 13:26:10;-55.08
2025-05-08 13:26:09;-60.08
2025-05-08 13:26:08;-99.83
2025-05-08 13:26:07;-85.83
2025-05-08 13:26:06;-24.33
2025-05-08 13:26:05;-43.33
2025-05-08 13:26:04;-64.58
2025-05-08 13:26:03;-88.58
2025-05-08 13:26:02;-19.33
2025-05-08 13:26:01;-55.08
2025-05-08 13:26:00;-81.33
2025-05-08 13:25:59;-43.33
2025-05-08 13:25:58;-12.08
2025-05-08 13:25:57;-17.08
2025-05-08 13:25:56;-66.83
2025-05-08 13:25:55;-81.33
2025-05-08 13:25:54;-50.08
2025-05-08 13:25:53;-76.33
2025-05-08 13:25:52;-38.33
2025-05-08 13:25:51;-36.83
2025-05-08 13:25:50;-20.58
2025-05-08 13:25:49;-77.58
2025-05-08 13:25:48;-1.08
2025-05-08 13:25:47;-41.83
2025-05-08 13:25:46;-35.08
2025-05-08 13:25:45;-8.83
2025-05-08 13:25:44;-4.33
2025-05-08 13:25:43;-73.08
